"""Thompson and Wallace, 1994, D1"""	
840	
-24.80564	-33.08230922
-27.83586	-30.3404258
-28.90012	-28.98282875
-28.3083	-20.89195957
-27.34564	-11.82381624
-25.97658	-1.805532904
-24.03348	4.954873372
-21.8186	11.25355431
-18.39722	17.41700933
-14.58214	20.07749031
-9.20496	22.65701366
-4.27228	27.70663414
0.62484	34.30423553
5.6388	36.88375889
10.7315	37.64395986
15.18158	36.99229548
19.1262	35.66183258
22.62124	34.22283309
26.21534	32.10503507
27.67838	31.3448341
28.6385	30.77457217
28.43784	24.1774156
27.60218	15.65195523
26.75382	8.077079692
25.9207	2.565733873
24.74468	-1.588459719
22.55774	-7.561530878
20.25904	-11.55247476
17.8943	-14.56614449
15.494	-16.33075376
11.00582	-18.63849081
6.41604	-20.29456349
1.93548	-23.79709271
0.2921	-25.80635413
0.25146	-25.2360922
0.23622	-24.74723271
0.23368	-24.96475072
-2.11328	-29.58022483
-8.06958	-33.46263212
-13.78458	-33.57116871
-18.27784	-32.07790092
-22.76094	-30.2861575
-27.41676	-28.24976193
-31.35884	-26.78362829
-33.08858	-25.96915902
-34.47034	-25.48029953
-35.41014	-25.34462879
-36.35756	-25.15468976
-37.32022	-25.1818239
-38.26002	-25.01901901
-38.90264	-24.2316839
-38.61054	-19.80614882
-37.70884	-11.09074942
-35.67176	1.968337793
-32.89554	12.12273669
-29.87548	19.39869178
-26.85288	24.63869612
-21.6535	28.65721897
-16.76908	30.20475506
-12.21486	31.2905658
-7.6073	33.89722331
-3.1115	36.82904577
2.27838	38.18664282
8.34898	37.96956963
14.44498	35.44475939
20.80006	30.77457217
27.25928	25.53456783
31.58236	22.8469527
34.7091	20.70202053
37.58184	19.50722837
38.13048	9.461810889
35.86988	-7.425415315
33.12922	-16.27648546
29.70276	-24.01416589
25.96642	-28.54823756
22.1361	-31.26343165
18.34388	-31.91509603
14.56182	-32.15930336
10.93216	-32.43108967
5.92582	-33.27269308
0.61722	-34.0057599
0.14732	-32.2949741
-3.95224	-33.16415649
-10.10412	-31.01922432
-16.45666	-27.02783562
-22.10816	-23.851361
-26.76144	-21.81496543
-31.25216	-20.67488639
-33.88614	-20.34927661
-36.27628	-20.1317586
-38.65118	-20.07749031
-39.04488	-14.53901034
-36.85794	1.778398756
-34.29762	11.33540157
-30.74416	20.4578132
-27.0764	26.53942095
-22.02942	29.98723705
-15.27302	29.22703608
-8.97128	29.19990193
-2.79908	28.92856045
3.2004	28.14122533
9.38784	24.99188487
15.52702	22.30382492
21.89734	19.67047808
28.56484	12.01375528
33.99282	10.60233475
37.20592	10.54806646
38.83406	6.828464057
36.59886	-7.126939686
32.16656	-17.19949132
26.7843	-22.57561122
20.28952	-24.80150101
13.92936	-25.20895805
7.5184	-24.39448879
0.46228	-23.79709271
-0.3302	-23.44434878
-0.34544	-22.92835514
