"Soesianawati et al. 86, Specimen 4"	
-1.2319	-77.373
-3.5507	-115.89
-4.7826	-135.49
-6.0869	-154.07
-7.6812	-173.67
-9.2753	-191.91
-10.652	-207.12
-11.812	-215.9
-13.551	-226.38
-15.29	-233.13
-16.667	-237.19
-17.536	-236.85
-18.261	-233.47
-18.551	-228.07
-18.261	-215.23
-17.609	-193.94
-15.58	-153.39
-14.493	-134.48
-13.116	-116.57
-11.739	-101.02
-10.362	-83.453
-9.0579	-65.55
-6.4493	-33.45
-5.145	-12.164
-3.9855	6.4198
-3.0434	22.3
-2.029	39.532
-0.86957	56.765
0	70.278
0.7971	85.482
2.3188	115.22
3.2609	132.79
4.2753	148.67
5.3622	164.54
7.0289	187.52
9.4204	220.63
12.464	244.96
14.71	256.11
16.739	263.54
17.536	263.21
17.826	251.04
17.536	240.57
16.594	212.19
15.29	187.52
14.131	166.24
12.681	143.26
11.087	121.3
9.4204	97.309
8.0434	78.387
6.6667	58.451
5.5796	43.248
4.4204	25.679
2.2464	-6.0818
1.0145	-30.409
-0.36233	-52.709
-1.2319	-71.969
-3.1158	-95.957
-4.6378	-110.48
-6.1595	-126.37
-7.7536	-139.54
-9.6378	-156.44
-10.942	-169.28
-12.754	-184.48
-13.551	-194.28
-14.783	-204.42
-15.652	-211.85
-16.667	-218.27
-17.899	-224.35
-18.623	-226.38
-18.188	-211.17
-17.971	-195.97
-17.681	-184.14
-17.246	-171.98
-16.739	-157.45
-16.159	-144.61
-15.362	-133.12
-14.275	-119.61
-12.609	-98.999
-11.377	-79.401
-10.362	-66.222
-9.3477	-53.723
-8.1885	-40.545
-7.0289	-25.679
-5.8697	-12.839
-5	-0.33787
-4.1305	9.1228
-0.86957	56.089
0.28986	78.049
1.4493	97.309
2.5362	114.54
3.5507	127.72
4.855	143.26
6.3043	160.15
7.826	175.7
9.2753	189.55
11.014	203.06
12.246	213.2
14.058	225.02
16.232	236.85
18.696	247.66
20.435	254.08
21.739	257.13
23.478	257.13
24.638	253.75
25.436	250.36
25.87	245.64
26.378	227.39
26.378	216.24
26.159	205.43
25.651	194.28
24.493	181.44
23.261	169.28
21.884	154.41
20.145	136.84
18.696	121.64
16.667	101.36
13.913	73.321
11.957	54.061
9.8552	32.436
8.2608	15.205
5.797	-5.4061
3.3332	-28.719
0.072464	-59.465
-2.1739	-82.106
-5.797	-120.62
-7.6086	-138.87
-9.1305	-153.06
-10.362	-166.57
-12.609	-182.11
-14.855	-196.65
-17.246	-210.5
-19.493	-219.62
-22.899	-228.4
-24.42	-229.42
-25.651	-229.76
-26.667	-226.71
-27.247	-221.65
-27.536	-215.23
-27.536	-204.08
-27.173	-192.25
-26.449	-177.39
-25.29	-157.11
-23.261	-133.8
-20.652	-109.47
-18.551	-88.524
-16.159	-68.926
-14.203	-52.709
-11.594	-29.733
-9.5651	-9.4605
-7.7536	6.7574
-6.1595	23.989
-4.4204	42.235
-2.1739	65.884
-0.28986	84.129
1.2319	101.02
3.1158	119.61
5	136.16
7.174	154.07
8.9131	166.91
11.812	183.13
13.985	193.6
16.087	204.08
18.768	215.56
21.159	224.69
23.188	232.12
25	236.18
26.233	238.54
26.594	225.7
26.233	210.5
25.796	196.31
24.058	177.05
22.464	158.46
20.507	138.19
17.971	113.86
12.681	59.127
9.8552	31.084
6.8115	0
4.4204	-22.3
1.4493	-48.314
-1.5217	-78.725
-4.1305	-100.68
-6.6667	-118.59
-9.9276	-138.19
-12.754	-154.07
-15.29	-167.59
-18.985	-184.14
-21.232	-195.29
-23.913	-206.78
-25.796	-213.2
-27.247	-213.2
-27.391	-205.43
-25.58	-165.56
-23.478	-135.82
-20.942	-112.51
-18.333	-86.158
-16.449	-67.236
-14.42	-48.99
-13.188	-35.815
-11.594	-19.935
-9.7826	-5.0681
-7.7536	11.825
-3.9855	47.304
-0.14493	86.496
1.8116	108.8
7.971	153.06
10.725	169.28
13.261	183.8
15.072	192.59
17.681	204.08
20.145	213.2
22.391	221.31
24.493	226.71
26.739	231.79
29.855	234.15
31.956	234.49
33.696	232.79
34.348	230.77
34.928	217.59
35.001	204.75
34.783	194.96
34.275	183.47
33.477	168.94
32.464	153.06
31.521	140.56
29.347	119.61
27.028	100.35
25.29	85.482
22.899	67.574
20.362	49.666
16.667	25.003
12.246	1.0136
6.7391	-33.45
2.2464	-61.494
1.3043	-68.926
-1.8116	-87.172
-5	-105.76
-8.0434	-124.34
-11.087	-143.26
-13.768	-159.82
-19.42	-184.14
-23.478	-197.99
-26.378	-206.1
-29.347	-212.19
-31.74	-214.89
-33.406	-213.88
-34.783	-212.19
-35.796	-209.82
-36.304	-204.75
-36.594	-197.99
-36.523	-191.24
-36.449	-183.13
-35.362	-158.8
-34.564	-142.25
-33.117	-125.69
-31.013	-103.73
-28.768	-84.806
-27.028	-69.94
-23.696	-45.952
-20.87	-27.03
-17.826	-7.0954
-14.783	13.853
-11.449	33.45
-7.7536	55.075
-4.855	71.293
-1.9565	89.538
0.94204	106.09
4.2753	122.99
7.5362	139.88
10.652	156.77
13.768	169.62
17.899	185.49
21.811	197.66
25.29	208.13
28.842	213.88
32.319	214.55
34.204	213.2
34.638	212.19
35.146	197.32
34.783	183.47
33.914	165.56
32.464	147.31
30.869	130.42
29.058	111.84
26.957	93.928
24.493	73.321
21.884	55.075
19.42	38.518
16.377	20.273
13.333	1.6894
8.5507	-27.03
5.8697	-39.869
3.7681	-53.385
0.43477	-71.631
-1.8116	-83.791
-4.5651	-96.971
-8.3332	-114.54
-11.014	-127.72
-13.478	-138.19
-16.159	-149.34
-19.058	-159.14
-22.681	-171.3
-24.855	-178.74
-28.334	-187.19
-30.508	-191.58
-32.609	-195.29
-35.291	-198.33
-36.015	-197.99
-35.796	-175.7
-35.291	-159.14
-34.348	-140.89
-32.827	-120.62
-30.289	-94.605
-27.247	-70.954
-24.565	-48.314
-21.957	-28.044
-19.131	-7.0954
-16.014	10.474
-13.188	26.016
-10.362	42.91
-8.1885	54.737
-1.8841	90.552
2.3913	115.22
6.5941	134.81
9.4927	146.64
12.826	158.13
17.319	173.33
21.087	182.11
24.928	189.55
28.189	195.63
31.956	199.68
35.217	202.05
38.334	197.99
40.653	194.96
42.753	190.56
43.84	185.49
43.914	168.94
43.332	154.41
42.245	136.16
40.942	117.24
39.71	102.71
37.465	81.091
35.436	63.184
33.332	47.304
30.218	26.354
27.391	10.136
24.638	-4.7304
22.319	-16.894
19.928	-28.044
17.174	-39.532
12.536	-58.451
9.2029	-71.293
6.8842	-80.077
4.4928	-87.848
1.6667	-96.633
-0.50724	-104.4
-2.3913	-110.48
-4.3477	-115.55
-6.4493	-122.31
-10.435	-132.11
-12.754	-139.54
-14.348	-145.96
-15.942	-152.05
-18.188	-159.48
-20.435	-166.24
-22.536	-172.65
-24.71	-177.72
-26.449	-182.11
-29.926	-184.14
-31.956	-186.85
-33.622	-187.86
-34.783	-185.49
-35.87	-183.47
-36.667	-177.39
-36.883	-167.93
-37.61	-173.33
-38.478	-174.34
-38.986	-174.34
-39.71	-172.32
-40.797	-168.94
-41.956	-164.21
-42.898	-158.8
-43.622	-152.38
-44.13	-145.96
-47.028	-111.84
-48.913	-78.049
-50.724	-50.342
-51.666	-38.856
-52.898	-29.057
-54.059	-20.948
-54.709	-16.218
-55.58	-10.812
-56.667	-4.7304
-57.173	-0.67574
