"Xiao 1998,Specimen nr.HC4-8L16-T6-0.2P"	
0.4055745	-37.63008
-0.551307	-79.70816
-1.463929	-116.80448
-2.351151	-147.58464
-3.479165	-181.0336
-4.556506	-209.41184
-5.852541	-239.68048
-7.30377	-268.8816
-8.935593	-294.41312
-9.100439	-295.21376
-8.400161	-263.0992
-7.766431	-238.36832
-6.819011	-204.1632
-5.74167	-169.6912
-4.581906	-135.2192
-3.019679	-89.71616
-1.673098	-46.30368
-0.541782	1.06752
0.5798185	55.24416
1.5969615	100.76944
3.18135	161.81824
4.7560865	211.01312
6.3658115	250.73376
7.972298	283.60448
10.13968	305.71104
10.6118025	305.97792
10.1586665	275.73152
9.7118805	252.3128
8.8437085	214.9496
8.0293845	181.78976
6.961505	142.60288
5.8683525	107.06336
4.75615	71.03456
3.552063	36.82944
2.3510875	5.7824
1.251585	-28.42272
0.396113	-60.75968
-0.402463	-91.80672
-1.349883	-126.5456
-2.265553	-156.30272
-3.336671	-187.06064
-4.550156	-217.0624
-5.944489	-245.48512
-7.449566	-272.30656
-9.281033	-297.30432
-10.421747	-303.88736
-10.776585	-304.15424
-10.744962	-294.14624
-10.215753	-272.03968
-9.426829	-241.25952
-8.362061	-204.1632
-7.32282	-170.22496
-6.258052	-140.51232
-5.177536	-112.62336
-3.884803	-81.04256
-2.455672	-50.2624
-1.270635	-20.26064
-0.500634	8.40672
0.2947035	41.05504
1.0266045	71.56832
1.8568035	104.17216
2.975356	143.40352
4.1857295	179.6992
5.450078	211.28
7.0154165	243.10544
8.87857	274.39712
10.450195	292.81184
9.9812475	262.29856
9.306306	231.25152
8.5806915	200.47136
7.7029945	167.60064
6.8537455	137.59888
5.9855735	109.46528
4.949444	77.6176
3.903726	46.30368
2.639441	13.43296
1.5558135	-18.14784
0.684403	-51.06304
-0.107823	-82.08784
-0.877697	-110.7552
-1.730121	-140.24544
-2.680716	-168.89056
-3.707384	-196.02336
-4.946269	-222.8448
-6.416548	-249.39936
-8.219567	-275.19776
-10.554843	-296.2368
-10.684764	-291.25504
-9.803892	-254.95936
-8.777224	-218.88608
-7.760081	-184.94784
-6.742938	-154.43456
-5.491353	-121.56384
-4.261866	-90.78368
-3.041904	-63.1616
-1.717421	-34.20512
-0.779526	-4.98176
-0.050673	24.99776
0.700278	53.68736
1.470279	84.20064
2.278253	114.9808
3.165475	143.91504
4.249166	176.00736
5.393055	203.09568
6.717538	230.22848
8.2131535	255.9824
