"Pujol 2002, No. 20-3-3S"	
12980	
4.52	102.727
4.54	101.502
4.60	101.457
4.56	101.524
4.57	101.479
4.51	101.524
4.72	104.822
4.71	104.845
4.70	104.822
4.74	104.822
4.74	104.822
4.78	103.663
4.73	103.686
4.78	103.663
4.72	103.641
4.72	103.641
4.95	107.051
4.94	107.051
4.91	107.051
4.92	107.006
4.87	107.029
4.99	104.466
4.95	104.466
4.95	104.466
4.96	104.466
4.98	104.510
5.05	107.564
5.05	107.564
5.07	107.564
5.03	107.608
5.05	107.519
5.19	109.614
5.24	109.592
5.20	109.614
5.20	109.614
5.18	109.569
5.18	107.363
5.22	107.318
5.22	107.341
5.21	107.318
5.18	107.318
5.28	106.160
5.28	106.160
5.24	106.160
5.27	106.137
5.29	106.137
5.32	109.525
5.35	109.525
5.32	109.547
5.32	109.525
5.35	109.503
5.47	111.664
5.51	111.664
5.49	111.642
5.47	111.664
5.44	111.664
5.57	108.522
5.57	108.544
5.58	108.522
5.61	108.522
5.61	108.522
5.50	107.519
5.49	107.519
5.51	107.564
5.55	107.474
5.52	107.519
5.51	107.318
5.53	107.318
5.54	107.318
5.51	107.318
5.54	107.318
5.79	111.820
5.78	111.843
5.77	111.843
5.75	111.843
5.81	111.820
5.93	114.183
5.88	114.183
5.88	114.138
5.91	114.138
5.91	114.138
5.95	116.144
5.91	116.166
5.94	116.144
5.96	116.122
5.96	116.122
6.14	117.905
6.15	117.860
6.13	117.815
6.13	117.815
6.14	117.838
6.36	120.334
6.36	120.312
6.37	120.289
6.40	120.312
6.37	120.312
6.44	117.548
6.46	117.503
6.44	117.481
6.45	117.503
6.40	117.481
6.45	116.345
6.46	116.322
6.47	116.300
6.47	116.345
6.49	116.367
6.45	115.453
6.47	115.431
6.49	115.408
6.49	115.408
6.49	115.431
6.68	120.780
6.71	120.802
6.71	120.757
6.71	120.802
6.69	120.780
6.87	122.964
6.85	122.897
6.87	122.919
6.88	122.874
6.85	122.874
7.00	124.791
6.95	124.791
6.98	124.791
6.94	124.769
6.95	124.724
7.34	126.552
7.35	126.552
7.33	126.529
7.34	126.529
7.38	126.507
7.36	125.326
7.33	125.348
7.32	125.326
7.36	125.348
7.34	125.304
7.39	123.610
7.39	123.610
7.42	123.610
7.40	123.610
7.46	123.565
7.46	117.458
7.47	117.436
7.47	117.458
7.42	117.436
7.44	117.436
7.62	121.135
7.61	121.068
7.60	121.068
7.60	121.068
7.64	121.046
7.78	123.631
7.78	123.631
7.82	123.609
7.81	123.587
7.79	123.609
7.91	125.347
7.90	125.347
7.87	125.303
7.90	125.303
7.95	125.236
8.00	121.804
8.01	121.804
7.96	121.737
7.97	121.759
7.99	121.759
8.22	124.567
8.21	124.545
8.22	124.501
8.24	124.523
8.24	124.478
8.74	127.376
8.74	127.309
8.75	127.331
8.77	127.286
8.80	127.331
9.25	128.378
9.23	128.378
9.22	128.334
9.28	128.356
9.26	128.334
9.22	124.523
9.22	124.545
9.23	124.501
9.26	124.523
9.29	124.523
9.76	128.089
9.83	128.089
9.77	128.089
9.81	128.066
9.78	128.044
10.30	129.270
10.25	129.292
10.29	129.225
10.31	129.225
10.27	129.203
10.52	129.961
10.56	129.961
10.58	129.938
10.58	129.894
10.60	129.961
10.67	124.657
10.70	124.679
10.66	124.657
10.66	124.612
