"""Mo and Wang, 2000 Test C2-3"""	
-9.9701	-159.91
-13.699	-212.4
-17.6666	-250.98
-16.0398	-209.47
-12.1569	-152.1
-8.5463	-99.61
-4.3631	-45.9
-3.5245	6.35
-1.3062	31.25
1.9334	63.48
5.9703	119.14
9.6649	169.19
13.2272	224.12
11.5444	180.18
7.4795	120.12
3.7639	63.23
2.0013	4.15
0.6867	-21.73
-3.0072	-47.12
-6.0032	-99.85
-10.0191	-147.95
-13.706	-195.31
-17.9949	-243.9
-16.1931	-205.57
-11.8286	-150.15
-8.218	-99.12
-4.4814	-46.14
-4.4814	-46.14
-0.7952	12.94
-0.3843	31.98
4.2525	87.89
8.862	152.83
13.4785	219.48
17.9697	274.66
15.134	217.29
10.7338	146
5.6077	82.28
1.2152	14.89
0.1757	-21.97
-3.5238	-61.52
-8.0493	-121.83
-12.9731	-178.71
-17.5896	-239.26
-22.1991	-282.96
-19.3081	-233.4
-14.4816	-167.72
-10.0051	-108.64
-5.3823	-50.29
-1.9208	9.03
-0.8029	33.69
3.8479	87.4
8.7717	146.97
13.5555	204.1
18.137	265.87
15.4623	213.38
10.5805	144.78
5.915	82.28
1.3412	17.58
0.0147	-22.71
-3.6778	-56.4
-8.3986	-114.01
-13.0221	-166.99
-17.3103	-222.17
-21.8918	-275.15
-19.7967	-229.49
-14.4816	-165.28
-9.8378	-107.67
-5.1933	-50.05
-6.20994	-47.9856
-1.10192	13.4576
-0.53253	33.2592
5.89275	91.4056
12.2802	158.9432
18.67735	228.2592
24.90087	285.6464
20.9714	225.9816
14.87398	151.84
7.77067	85.5712
1.68392	15.4856
0.24347	-22.8488
-4.88298	-63.9808
-11.15403	-126.7032
-17.97701	-185.8584
-24.37416	-248.8304
-30.76161	-294.2784
-26.75551	-242.736
-20.06736	-174.4288
-13.86421	-112.9856
-7.45833	-52.3016
-2.66168	9.3912
-1.11259	35.0376
5.33209	90.896
12.15507	152.8488
18.78405	212.264
25.1327	276.5048
21.42633	221.9152
14.66155	150.5712
8.1965	85.5712
1.85852	18.2832
0.02037	-23.6184
-5.09638	-58.656
-11.63806	-118.5704
-18.04491	-173.6696
-23.98713	-231.0568
-30.33578	-286.156
-27.43257	-238.6696
-20.06736	-171.8912
-13.63238	-111.9768
-7.19643	-52.052
-7.419	-50.05
-2.276	16.6
-0.25	36.38
7.911	110.35
16.102	175.29
24.294	247.56
32.136	301.27
27.657	237.55
19.585	158.94
11.634	92.53
6.372	23.44
1.391	-28.32
-5.742	-71.53
-13.664	-135.25
-22.294	-196.04
-29.498	-258.79
-37.959	-296.14
-32.931	-239.01
-25.149	-165.53
-17.607	-101.56
-10.354	-38.82
-7.194	21.73
0.538	42.24
7.781	108.64
16.462	168.7
23.845	230.47
32.386	289.79
27.447	231.2
19.595	156.01
11.833	91.8
7.151	25.39
1.271	-20.75
-6.241	-64.21
-13.774	-124.76
-21.685	-181.64
-29.727	-237.55
-38.418	-287.84
-33.151	-235.11
-25.378	-162.84
-18.066	-99.85
-10.294	-38.82
-10.294	-38.82
-4.456	26.37
1.446	51.27
10.166	127.93
19.973	193.12
29.343	263.67
38.363	309.81
33.464	238.04
24.055	155.03
15.067	85.21
11.078	14.89
2.28	-24.17
-6.959	-82.28
-16.218	-145.26
-25.846	-205.81
-35.225	-266.36
-44.675	-299.07
-39.207	-234.37
-29.729	-153.81
-20.61	-84.96
-15.862	-19.29
-7.554	28.08
1.306	61.28
10.834	124.02
19.594	182.62
29.113	241.94
38.383	294.92
33.484	227.05
24.115	147.46
15.067	79.1
11.388	10.99
2.27	-31.74
-7.029	-77.39
-16.527	-136.72
-25.906	-193.6
-35.005	-247.56
-44.475	-291.26
-39.227	-229.49
-29.969	-150.88
-21.299	-83.01
-13.841	-18.8
-13.841	-18.8
-6.595	28.08
1.905	66.41
12.69	135.5
23.186	200.44
33.942	263.92
44.13	298.58
39.7	221.44
28.546	136.47
18.22	64.21
13.284	-3.91
2.569	-33.45
-8.046	-94.97
-18.762	-155.03
-29.059	-214.11
-39.785	-267.33
-50.631	-298.34
-45.194	-227.54
-35.107	-140.38
-24.851	-67.87
-18.278	-2.2
-8.083	32.96
2.344	73
12.68	131.59
23.506	188.72
34.222	242.19
44.41	285.16
39.291	212.16
28.356	129.15
18.011	57.62
13.015	-8.54
2.08	-39.31
-7.917	-92.29
-18.423	-149.41
-29.189	-204.1
-39.765	-252.2
-50.841	-289.06
-45.174	-221.44
-34.439	-136.96
-23.933	-65.92
-17.678	-1.46
-17.678	-1.46
-5.076	31.98
4.13	77.64
16.093	140.62
28.266	200.93
40.009	255.86
51.913	284.91
45.118	203.61
32.456	114.5
20.713	39.55
11.152	-26.86
2.179	-58.84
-9.723	-107.91
-21.566	-165.28
-33.439	-220.7
-45.123	-268.31
-57.456	-295.17
-51.1	-217.29
-38.12	-125
-26.267	-49.56
-14.405	12.45
-8.331	40.28
3.402	83.25
16.582	136.23
28.296	189.21
40.269	237.79
52.392	274.17
44.909	196.29
32.706	109.13
20.743	36.13
11.141	-29.54
2.419	-61.04
-9.614	-107.91
-21.806	-161.87
-34.028	-213.13
-45.922	-256.59
-57.765	-289.55
-51.18	-213.13
-38.868	-122.31
-26.996	-47.36
-15.123	13.67
-15.123	13.67
-6.406	40.28
4.399	86.67
17.889	143.8
31.439	198.49
44.809	247.07
58.349	274.9
50.696	189.21
36.937	97.17
23.807	20.26
15.988	-31.74
2.379	-75.2
-10.102	-118.9
-23.781	-173.58
-37.281	-224.12
-50.232	-267.82
-63.792	-294.92
-57.277	-209.47
-43.658	-112.55
-30.249	-33.45
-21.569	26.37
-8.222	52.73
5.078	91.55
18.617	140.14
32.177	189.21
45.537	233.15
59.067	265.38
50.726	182.62
36.967	92.77
23.827	17.09
16.058	-31.74
2.459	-75.93
-10.741	-118.9
-24.21	-170.65
-37.84	-218.75
-51.1	-259.28
-63.951	-289.06
-56.299	-205.81
-42.73	-109.86
-29.541	-32.47
-20.461	26.37
-20.461	26.37
-6.575	50.78
6.225	94.24
21.141	146.73
36.008	197.02
50.775	240.72
65.762	266.6
56.813	176.76
41.777	82.52
32.141	3.91
17.895	-40.28
3.318	-87.4
-11.289	-128.66
-26.375	-181.4
-41.392	-228.52
-55.61	-267.82
-70.577	-292.48
-62.247	-202.39
-47.75	-100.83
-34.784	-20.51
-23.628	24.17
-8.652	62.26
6.045	98.14
20.972	144.53
36.058	190.43
50.805	229.74
65.114	257.81
56.384	171.14
41.807	78.86
32.81	1.71
18.364	-41.02
3.318	-87.89
-11.738	-128.17
-26.136	-177.25
-41.162	-221.92
-55.989	-259.03
-71.406	-286.38
-62.127	-197.27
-47.78	-97.66
-35.184	-17.82
-23.398	29.3
-23.398	29.3
-7.344	59.33
7.562	100.83
23.626	149.17
40.169	195.8
55.495	235.35
72.009	258.54
62.32	164.31
46.397	68.36
33.303	-8.54
19.661	-51.51
3.258	-96.68
-12.726	-136.47
-28.7	-186.28
-44.864	-230.22
-61.288	-266.85
-77.022	-290.53
-67.804	-194.34
-51.89	-88.62
-36.875	-7.32
-25.154	33.2
-9.579	70.07
7.622	104.25
23.556	147.71
40.03	190.43
56.363	226.07
72.657	250.24
62.3	159.18
46.407	64.94
33.844	-10.01
19.711	-51.51
3.537	-97.17
-12.587	-135.99
-29.259	-184.08
-45.253	-225.59
-60.998	-259.77
-77.102	-285.16
-68.572	-190.43
-51.92	-86.18
-35.977	-6.59
-24.975	33.45
-24.975	33.45
-7.773	65.92
8.27	105.96
26.101	151.12
43.133	195.31
61.023	214.11
79.722	230.96
68.517	139.89
51.267	50.29
39.307	-18.8
21.807	-55.18
4.096	-100.34
-13.504	-144.04
-31.334	-192.14
-48.446	-233.15
-66.047	-266.6
-83.599	-287.11
-74.171	-186.52
-56.691	-76.66
-44.4	1.71
-27.729	40.28
-9.36	74.71
7.792	103.03
26.161	138.43
43.323	173.58
61.951	203.37
79.961	223.14
68.308	134.77
51.546	46.39
39.247	-20.51
21.248	-55.42
3.697	-90.58
-13.345	-131.1
-31.175	-181.15
-49.184	-223.63
-66.107	-258.06
-84.567	-280.27
-73.981	-180.66
-56.671	-73.49
-44.77	3.17
-26.93	39.06
-26.93	39.06
-6.935	70.07
9.089	105.96
28.845	141.36
47.164	176.27
66.651	204.35
86.737	221.68
74.415	127.69
55.988	38.09
42.37	-29.05
23.283	-62.74
4.116	-96.68
-14.602	-135.25
-33.958	-184.81
-52.277	-227.78
-71.724	-260.74
-90.673	-281.98
-79.768	-176.51
-61.121	-65.92
-47.824	11.72
-29.275	47.12
-9.3	80.81
9.079	108.15
28.985	139.89
48.062	172.36
66.631	197.75
86.737	214.11
74.185	123.05
55.618	35.4
42.62	-30.03
23.074	-63.23
4.136	-95.95
-14.582	-132.08
-34.417	-179.2
-52.906	-220.21
-71.655	-253.91
-90.843	-275.39
-79.798	-171.39
-61.171	-60.79
-47.884	14.4
-29.535	47.85
-29.535	47.85
-6.835	75.68
10.915	110.6
30.831	142.82
51.963	175.05
72.598	199.46
92.893	213.62
80.331	117.68
62.088	27.83
45.294	-21.73
24.999	-69.82
4.266	-100.83
-16.288	-136.72
-36.193	-183.59
-56.508	-224.85
-77.092	-256.59
-97.119	-275.39
-85.486	-165.28
-65.491	-52.25
-51.446	22.71
-30.323	55.18
-9.709	86.91
10.266	111.57
31.33	140.38
51.774	170.17
71.949	192.87
93.621	207.03
80.152	112.79
60.028	24.17
45.613	-28.56
24.899	-70.07
4.346	-99.37
-15.909	-133.79
-36.034	-178.47
-56.818	-216.8
-76.943	-248.54
-97.648	-266.36
-86.454	-157.23
-65.501	-46.87
-50.847	24.9
-30.912	55.66
-30.912	55.66
-7.893	78.86
11.813	110.11
34.033	137.94
55.576	168.95
78.275	190.43
100.676	201.17
85.84	103.03
70.647	13.92
48.577	-38.33
26.636	-74.46
4.535	-100.1
-16.957	-133.06
-39.087	-175.78
-60.38	-214.6
-82.151	-243.16
-104.812	-255.62
-91.663	-142.82
-74.11	-33.2
-53.871	28.32
-32.069	60.06
-10.986	83.01
11.514	98.88
34.413	121.83
56.424	149.17
78.206	150.39
101.295	148.44
86.379	70.56
69.627	5.13
48.407	-29.54
26.476	-62.5
4.385	-84.47
-17.336	-115.97
-39.467	-152.59
-60.789	-189.21
-82.86	-216.55
-106.17	-206.3
-92.022	-108.89
-71.872	-19.53
-54.619	27.83
-31.47	45.65
-31.47	45.65
-6.695	51.03
14.129	70.07
37.487	90.33
60.236	108.64
84.772	118.41
108.908	95.21
92.086	35.89
68.618	-10.74
50.581	-29.05
27.053	-50.29
4.175	-65.67
-19.113	-91.06
-43.289	-121.34
-66.358	-150.63
-89.247	-175.29
-112.854	-187.26
-96.93	-86.91
-74.89	-8.54
-51.293	22.46
-29.345	30.27
-7.97	29.54
14.269	40.53
37.866	56.4
61.704	67.87
85.331	73.49
109.458	56.88
92.346	14.89
68.778	-10.99
45.231	-29.54
21.653	-39.06
3.846	-50.29
-19.472	-71.04
-43	-92.77
-66.298	-115.97
-90.345	-129.39
-114.711	-118.65
-98.168	-53.96
-73.533	-9.77
-50.444	7.81
-26.617	14.65
-1.503	16.85
