"""Matamoros et. al 1999 Specimen c5-20 North"""	
-13.9	-18.5
-13.3	-17.1
-12.7	-15.7
-12.1	-14.2
-11.5	-13
-11.3	-11.5
-10.8	-10.1
-10.1	-8.63
-9.55	-7.12
-8.94	-5.69
-8.31	-4.85
-7.57	-2.58
-6.93	-1.21
-6.2	0.052
-5.59	1.08
-5	2.34
-4.5	3.73
-3.84	5.12
-3.25	6.67
-2.67	8.01
-2.06	9.12
-1.48	10.3
-0.892	11.5
0.189	13.3
0.759	14.9
1.23	16.1
1.6	17
1.76	17.7
1.92	19
3.84	21.2
4.45	22.2
5.05	23.4
5.64	24.8
6.27	25.7
6.83	27
7.8	28.5
8.38	29.4
9.02	30.8
9.63	31.8
10.2	32.9
10.8	34.3
11.6	35.5
12.2	36.4
12.9	37.6
13.4	38.7
14.1	39.8
14.6	40.9
15.7	42.3
16.4	43
16.9	44.1
17.5	44.9
18.1	46.3
18.7	46.7
19.3	48
19.9	48.5
20.5	48.9
21.2	49.8
21.8	50.3
22.4	50.7
23.1	51.2
23.7	51.2
24.3	51.6
25	52.5
25.7	52
25	47.2
24.5	44.9
23.9	42.8
23	39.9
22.3	37.8
21.7	35.9
21.1	33.9
20.6	32.2
20	30.3
19.1	27.8
18.5	26
17.9	24.2
17.3	22.5
16.8	21
16.2	19.3
15.1	16.9
14.6	15.6
13.9	14
13.4	12.6
12.8	10.9
12.2	9.61
11.5	8.18
11.1	7.16
10.8	6.14
10.6	5.16
10.4	4.17
10.2	3.2
7.37	1.22
7.37	1.19
6.78	-1.45
6.15	-3.22
5.61	-4.49
4.98	-5.78
4.42	-7.16
3.81	-9.03
3.2	-10.2
2.59	-11.3
2	-12
1.44	-12.5
0.767	-12.4
-0.0126	-15.4
-0.584	-17.1
-1.2	-18
-1.83	-19.8
-2.42	-20.3
-3.05	-21.4
-4.27	-23.8
-4.88	-24.8
-5.49	-26.3
-6.1	-26.9
-6.73	-27.8
-7.32	-29.3
-8.69	-31.5
-9.27	-32.7
-9.91	-34.1
-10.4	-35.1
-11	-36.1
-11.7	-37.7
-12.3	-38.8
-12.9	-40
-13.6	-40.6
-14.1	-42.3
-14.8	-43
-15.4	-44.2
-15.9	-44.5
-16.7	-45.8
-17.3	-47.2
-17.9	-47.6
-18.6	-48.5
-19.3	-50.3
-19.9	-50.7
-20.5	-51.2
-21.2	-52
-21.8	-52.5
-22.5	-52.9
-23.1	-52.9
-23.8	-53.4
-24.5	-53.8
-25.1	-54.3
-25.7	-53.8
-25.2	-49.8
-25.2	-49.8
-24.6	-47.6
-24	-45.4
-23.3	-43.2
-19.2	-29
-18.6	-29.1
-17.2	-24.6
-15.7	-20.3
-14.2	-16.5
-12.8	-13.2
-11.3	-10
-9.88	-7.34
-8.43	-5.25
-6.99	-3.56
-5.56	-2.06
-4.17	0.174
-2.82	1.54
-1.52	4.11
-0.752	6.63
-0.719	6.27
0.227	13.6
0.503	14.7
0.572	15.1
0.775	16.4
1.13	17.5
1.49	18.2
1.86	18.9
2.33	19.6
5.54	23
6.17	24.3
6.73	25.3
7.47	26.4
8.03	27.2
8.56	28.4
9.17	29.4
9.75	30.3
10.4	31
10.9	32
11.5	33.2
12.2	34.1
12.8	35
13.4	36.1
14	36.9
14.5	37.8
16	39.3
16.6	40.1
17.3	41.1
17.8	42.5
18.4	43.1
19.1	43.7
19.6	44.5
20.3	45.4
20.9	45.8
21.5	46.3
22.1	47.2
22.8	47.6
23.4	48.9
24.1	48.5
24.7	49.4
25.4	49.4
25.9	49.4
26.7	49.4
27.2	49.8
27.9	50.3
28.4	49.8
29.2	50.3
29.7	50.3
30.5	49.4
31	48.9
31.8	49.4
32.3	48
32.3	47.6
31.8	43.7
31	41.3
30.5	39.1
30	37.4
29.5	35.1
29	33.3
28.2	31.6
27.7	29.7
26.9	28
26.4	26.4
24.7	23.9
24.1	22
23.5	20.2
22.9	18.7
22.3	17.2
21.7	15.7
21.1	14.5
20.4	13.2
19.8	12
19.8	10.7
19.2	9.79
18.7	8.67
18.1	7.52
17.6	6.63
17.1	5.34
16.7	4.63
16.4	3.65
15.3	2.33
14.7	1.39
14.7	1.03
14.2	-0.345
12.5	-1.37
11.9	-2.65
11.3	-3.54
10.8	-4.54
10.1	-5.47
9.47	-6.45
8.89	-7.34
8.28	-8.18
7.62	-9.3
6.99	-9.74
6.3	-10.5
5.74	-11
5.03	-12.3
4.42	-13.5
3.76	-14.3
3.23	-14.9
2.5	-15.6
1.98	-16.5
1.38	-17.1
0.782	-17.7
-0.0427	-18.4
-0.434	-18.9
-1.01	-20
-1.66	-20.8
-2.29	-21.6
-2.92	-22.2
-3.51	-23.1
-4.11	-23.6
-5.18	-24.6
-5.89	-25.6
-6.43	-26.2
-7.06	-27
-7.75	-28.2
-8.31	-28.7
-9.02	-29.8
-9.55	-30.7
-10.2	-32.2
-11	-33.5
-11.4	-33.9
-12.1	-35.3
