"Ohno and Nishioka 1984, Specimen L3"	
2.4925	-36.551
0.92743	-40.813
-0.63759	-44.747
-2.6662	-49.666
-4.5791	-54.088
-6.2601	-58.189
-8.5786	-63.922
-13.158	-76.052
-17.911	-86.38
-20.983	-91.624
-23.765	-96.215
-26.142	-100.31
-28.054	-102.61
-30.663	-105.07
-30.025	-96.379
-28.809	-85.397
-27.648	-75.892
-26.838	-68.023
-25.677	-58.678
-24.577	-50.81
-23.244	-43.6
-22.026	-35.896
-20.519	-28.356
-19.128	-22.455
-17.853	-16.882
-16.635	-11.637
-15.071	-5.081
-13.39	0
-9.448	11.801
-7.0716	18.849
-5.7963	22.947
-3.8255	28.52
-2.5504	31.798
-0.23186	35.568
3.8837	44.747
6.8397	51.468
9.448	57.53
12.578	64.91
16.635	74.086
19.418	79.988
21.62	84.903
23.127	86.869
25.563	90.477
27.937	93.755
30.198	96.215
29.098	86.051
28.23	77.364
27.475	69.825
26.548	61.467
25.504	52.286
24.808	47.371
23.881	40.157
22.896	34.257
21.563	27.209
19.882	18.849
18.548	12.785
17.563	7.7035
17.157	4.9173
14.665	-1.9669
13.158	-6.2285
11.013	-12.293
9.1582	-17.866
6.9555	-23.767
4.8689	-30.323
3.0142	-35.24
0.86947	-40.649
-1.565	-46.713
-4.0574	-53.105
-6.492	-59.661
-8.3467	-64.251
-11.187	-71.791
-13.969	-77.858
-16.578	-83.431
-19.592	-88.84
-22.026	-92.937
-25.04	-97.852
-27.417	-101.62
-30.78	-105.23
-29.619	-94.249
-28.692	-84.739
-27.706	-75.069
-26.607	-66.217
-25.621	-58.353
-24.461	-49.826
-23.186	-40.813
-22.838	-38.682
-21.331	-31.798
-19.824	-24.75
-17.795	-16.063
-16.056	-8.6869
-14.955	-4.2616
-13.042	0.98345
-11.013	7.212
-8.5207	15.08
-6.4341	21.144
-4.6952	25.733
-2.0287	32.945
3.9995	46.877
7.5352	54.417
11.361	62.939
16.346	71.791
21.505	79.659
25.735	85.397
29.677	89.987
32.517	93.59
35.994	95.886
38.778	97.527
39.936	98.016
39.764	92.607
38.951	84.085
38.024	76.052
37.214	68.188
36.342	61.631
34.488	47.696
33.561	40.485
32.692	34.421
31.59	28.356
30.256	21.308
28.923	15.571
27.996	11.309
27.01	7.3757
24.693	1.1474
22.78	-4.0977
20.635	-9.8345
18.896	-14.096
17.621	-17.374
15.824	-21.636
14.259	-25.406
12.462	-29.012
10.665	-32.945
9.1003	-36.388
7.1874	-40.322
2.0867	-51.139
-2.3186	-58.843
-5.2748	-63.433
-8.6947	-68.842
-11.941	-74.58
-14.549	-79.33
-18.143	-86.051
-20.751	-90.97
-25.272	-96.05
-29.909	-100.15
-33.619	-103.59
-36.924	-106.87
-40.053	-109.49
-40.98	-109.33
-40.516	-102.94
-39.474	-92.607
-37.676	-77.858
-36.749	-70.643
-35.763	-63.268
-34.895	-56.712
-32.751	-41.961
-31.938	-36.716
-30.142	-28.848
-28.285	-21.144
-26.49	-13.932
-25.156	-8.3591
-22.78	-2.4586
-18.954	5.2451
-14.839	14.588
-12.172	20.816
-8.9263	27.864
-6.3759	33.601
-3.4199	38.518
2.0867	48.519
5.6225	54.581
8.9263	59.661
12.23	64.91
21.041	78.347
24.403	83.267
27.3	87.692
29.271	90.641
30.952	93.101
33.734	95.067
36.111	96.704
38.255	98.181
39.936	99.164
39.53	92.443
38.837	85.397
38.141	77.693
37.445	70.808
36.228	60.644
34.14	45.401
32.865	38.027
31.648	31.962
30.315	25.57
28.867	19.505
27.534	13.441
26.259	8.0313
23.127	0
20.867	-6.3922
18.78	-11.637
16.983	-15.899
15.302	-20.161
13.39	-24.586
11.883	-28.356
10.086	-32.945
8.173	-37.371
4.8689	-42.944
-1.3911	-55.4
-4.811	-61.302
-8.4628	-67.365
-11.709	-72.284
-14.955	-78.676
-17.563	-84.25
-19.882	-88.675
-22.2	-92.283
-24.982	-95.886
-26.896	-98.345
-29.446	-100.48
-32.403	-102.94
-35.938	-105.72
-38.661	-107.85
-40.922	-108.34
-39.995	-98.674
-38.951	-86.216
-37.91	-75.233
-36.866	-66.547
-33.444	-50.974
-31.765	-43.436
-29.967	-36.06
-28.054	-27.864
-26.662	-21.964
-25.04	-15.08
-23.939	-9.0148
-23.07	-5.4088
-20.229	0.98345
-17.621	6.0644
-15.36	10.326
-13.564	14.26
-11.767	18.194
-6.4341	27.864
-1.1593	35.404
2.9561	42.944
7.4773	50.974
11.187	57.53
14.085	63.104
18.143	70.479
23.939	80.478
27.186	86.216
30.025	91.46
35.301	95.721
39.878	98.999
38.547	82.937
37.562	71.955
36.342	61.956
34.547	48.519
33.503	41.797
31.765	32.618
30.663	26.881
28.809	18.521
27.127	11.637
26.259	6.8842
24.866	4.0977
21.91	-2.4586
19.186	-8.5233
16.694	-15.243
13.332	-22.619
9.6799	-30.979
7.3035	-35.404
4.6952	-40.649
0	-50.974
-4.3472	-60.155
-8.7526	-66.876
-11.941	-72.938
-15.186	-78.676
-18.143	-84.739
-20.983	-88.511
-24.055	-92.443
-27.417	-96.215
-30.142	-98.839
-35.532	-103.42
-40.749	-107.36
-39.588	-94.413
-38.43	-84.414
-37.562	-76.71
-36.807	-70.154
-35.474	-60.809
-34.14	-53.434
-32.459	-45.241
-30.373	-36.388
-28.923	-30.487
-26.431	-16.227
-24.635	-7.5398
-24.229	-5.7366
-22.142	-2.6225
-16.462	6.8842
-12.868	14.096
-8.9263	20.653
-6.7239	24.259
-3.5357	30.487
4.6952	45.241
7.8831	53.598
11.883	61.956
15.534	67.859
19.07	73.597
23.07	79.33
26.896	84.25
30.546	88.84
33.619	91.954
36.053	93.92
40.17	98.181
39.588	91.135
38.661	82.937
37.965	75.727
37.038	67.53
35.822	57.86
34.547	49.666
33.561	40.813
32.169	34.257
30.546	26.553
29.505	21.144
27.765	13.604
26.49	7.5398
20.461	-5.7366
17.563	-12.621
13.332	-21.8
6.2601	-35.568
3.0721	-41.961
-0.52167	-49.502
-3.8255	-55.235
-7.4193	-62.939
-10.607	-69.66
-13.505	-74.415
-16.52	-81.136
-19.534	-86.709
-22.2	-90.806
-25.04	-94.249
-27.996	-97.362
-32.286	-100.97
-36.518	-103.92
-38.603	-106.05
-41.328	-109.16
-40.17	-99.822
-39.416	-90.641
-38.372	-80.478
-37.793	-74.744
-36.342	-64.416
-34.895	-54.581
-32.459	-44.419
-29.619	-33.765
-27.475	-24.422
-25.677	-16.227
-24.403	-10.326
-23.533	-6.72
-16.694	5.7366
-14.897	8.6869
-13.564	11.309
-11.941	14.424
-10.202	17.538
-7.5352	22.292
-5.4486	26.389
-3.2459	30.815
1.565	40.157
7.0137	51.957
10.434	59.172
13.332	64.581
20.113	74.744
23.417	79.659
27.127	84.414
31.242	89.004
34.719	92.607
37.272	94.738
39.878	98.999
38.837	84.739
37.965	75.892
36.576	64.087
35.474	55.894
33.04	42.78
31.128	33.273
29.157	22.619
27.244	12.293
26.2	7.3757
21.273	-3.4421
17.679	-11.474
14.897	-17.702
11.477	-24.914
9.3901	-29.995
5.1587	-37.863
1.7969	-44.911
-3.8837	-56.383
-8.6947	-65.564
-13.448	-74.58
-16.52	-81.79
-21.505	-91.135
-26.779	-97.527
-31.996	-100.81
-36.69	-103.92
-41.039	-109.16
-40.17	-98.51
-39.009	-86.869
-38.313	-81.301
-37.617	-75.398
-37.155	-71.626
-36.401	-66.382
-35.938	-64.087
-35.705	-62.779
-35.243	-60.319
-33.851	-52.286
-32.286	-45.401
-31.184	-40.813
-30.256	-36.716
-29.271	-32.29
-28.461	-29.176
-27.937	-26.717
-26.952	-22.292
-26.49	-20.816
-26.083	-18.686
-25.214	-15.243
-24.461	-11.965
-24.055	-10.162
-23.301	-6.3922
-21.215	-2.6225
-18.085	3.4421
-14.259	9.8345
-11.651	14.424
-8.9263	19.505
-6.3759	24.422
-3.5357	29.831
4.637	45.565
8.6365	54.417
12.404	62.614
15.824	69.006
21.505	76.875
25.156	81.79
27.3	84.579
29.794	87.528
34.257	92.607
37.562	95.396
41.907	97.198
46.081	99.822
49.558	101.46
48.283	89.004
47.356	80.153
46.487	72.284
45.385	63.762
44.399	55.729
42.197	44.911
40.46	36.716
38.837	28.684
37.503	21.144
36.17	14.752
35.011	9.1789
33.155	5.9007
30.546	0.98345
27.3	-5.4088
24.577	-10.982
21.968	-15.899
19.592	-19.997
16.404	-26.061
13.969	-30.159
11.767	-34.093
8.8105	-39.666
6.0861	-44.419
3.13	-48.843
0	-54.746
-3.8837	-62.121
-8.9845	-69.66
-13.737	-76.875
-17.621	-83.92
-23.359	-91.954
-26.721	-95.886
-30.373	-99.164
-34.836	-102.44
-39.705	-105.23
-44.574	-108.02
-47.183	-109
-49.268	-109.49
-51.935	-109.66
-51.298	-103.42
-50.312	-96.544
-49.213	-88.017
-48.341	-80.642
-47.531	-73.921
-46.777	-68.023
-44.226	-55.235
-42.951	-47.696
-41.676	-39.502
-40.17	-32.454
-38.141	-25.078
-36.111	-17.538
-33.734	-8.0313
-28.402	0
-26.083	4.0977
-23.939	7.7035
-21.389	11.801
-19.128	15.571
-16.404	20.325
-12.462	26.061
-9.622	30.651
-3.9416	39.666
4.2314	52.615
6.9555	57.041
11.013	62.939
15.36	68.513
18.201	72.614
20.577	76.216
22.896	79.659
25.504	83.267
27.765	85.562
31.011	88.84
39.009	93.755
43.647	96.379
47.762	98.51
49.268	98.839
48.341	89.494
47.473	80.971
46.429	72.614
45.502	64.91
44.226	54.911
43.124	45.73
41.735	36.879
40.343	30.159
38.603	22.783
37.097	15.571
36.111	10.654
35.301	7.7035
33.271	4.0977
31.242	-0.49173
28.402	-5.2451
22.954	-14.915
20.229	-19.177
17.099	-24.914
14.201	-29.995
9.622	-38.191
6.8397	-43.108
3.9995	-47.696
2.1446	-51.303
-0.17389	-54.911
-2.7823	-59.336
-4.811	-62.779
-7.8831	-68.023
-10.434	-72.12
-10.491	-71.955
-13.564	-77.693
-16.52	-83.267
-18.548	-86.869
-23.359	-93.426
-26.314	-96.544
-29.04	-98.839
-32.576	-100.97
-35.59	-102.44
-37.91	-103.75
-40.632	-104.9
-44.516	-106.38
-47.414	-108.18
-49.675	-109.49
-51.587	-110.15
-51.067	-105.23
-50.371	-97.527
-49.444	-89.987
-48.689	-83.267
-47.821	-76.546
-45.908	-64.91
-45.037	-59.826
-43.531	-52.615
-41.618	-44.091
-40.343	-38.191
-37.851	-27.7
-36.228	-20.816
-34.719	-14.752
-33.213	-8.3591
-29.794	-4.4255
-24.345	1.9669
-19.997	8.3591
-17.041	12.621
-14.317	16.719
-11.419	21.308
-9.3322	26.061
-7.3035	30.979
-4.985	35.568
-2.5504	40.322
-0.52167	44.255
17.505	68.677
25.098	78.182
27.592	81.79
30.256	85.068
32.751	88.346
35.994	92.443
38.489	93.266
40.343	94.249
42.72	95.232
45.385	96.544
47.589	97.852
49.502	98.839
50.66	99.328
49.85	90.148
48.689	80.313
47.356	69.825
46.256	60.809
45.502	54.911
44.922	50.485
43.82	44.091
42.139	37.207
40.632	29.995
39.24	23.275
37.503	15.243
36.459	9.8345
32.923	2.9504
29.098	-3.9338
26.142	-9.8345
22.606	-17.047
17.099	-27.864
14.201	-33.929
11.593	-39.502
9.3322	-44.255
4.7531	-51.632
1.623	-56.223
-1.2172	-61.138
-6.492	-68.842
-10.549	-75.727
-12.752	-79.495
-14.955	-82.608
-18.143	-86.545
-21.389	-90.641
-25.272	-95.067
-28.344	-98.674
-35.011	-102.44
-41.907	-105.07
-44.574	-106.54
-47.008	-107.53
-49.096	-108.51
-50.312	-108.83
-49.213	-100.48
-48.341	-93.59
-47.414	-86.216
-46.312	-77.858
-45.212	-69.825
-44.399	-62.939
-43.647	-58.189
-42.197	-51.303
-40.574	-44.747
-39.24	-39.502
-37.793	-34.093
-36.286	-27.7
-34.778	-20.98
-33.271	-14.26
-32.055	-9.5067
-31.59	-7.7035
-30.256	-5.7366
-27.186	-1.3113
-23.997	2.6225
-20.461	7.212
-14.607	15.571
-7.999	25.733
-1.0434	36.224
6.0282	47.86
8.5786	52.945
10.723	56.383
12.636	58.189
19.012	65.564
23.012	70.318
29.388	78.347
32.403	81.79
35.763	83.431
39.126	85.397
41.907	86.869
44.343	88.182
50.833	91.789
53.675	93.101
52.979	84.739
52.052	77.364
51.239	69.496
50.488	63.104
49.906	58.678
48.458	50.974
47.066	43.763
45.618	37.371
43.82	28.684
42.024	20.161
40.691	13.604
40.112	10.654
37.734	5.081
35.59	0.81954
33.04	-4.2616
29.909	-10.818
26.838	-17.374
24.519	-22.127
22.084	-24.914
19.302	-29.995
16.694	-33.437
14.259	-37.207
11.941	-40.649
7.8252	-46.224
5.1587	-50.156
2.4925	-53.598
-0.92743	-57.366
-14.897	-75.892
-18.085	-79.17
-20.983	-82.448
-25.794	-86.709
-28.344	-88.84
-31.128	-91.135
-33.734	-93.266
-36.342	-95.396
-39.068	-97.527
-41.559	-99.328
-44.226	-101.29
-46.835	-103.1
-48.92	-104.57
-50.602	-105.39
-49.616	-98.345
-48.865	-92.283
-48.169	-86.545
-47.473	-81.136
-46.66	-74.58
-45.908	-69.496
-44.864	-61.631
-44.11	-56.877
-43.589	-55.4
-42.139	-48.519
-40.98	-42.452
-39.822	-37.535
-38.255	-30.651
-37.038	-25.57
-35.415	-17.702
-34.14	-12.129
-33.33	-8.1954
-30.315	-4.7531
-25.969	0.65564
-23.186	4.0977
-19.302	9.9982
-13.737	17.21
-9.3322	23.767
-4.6952	30.815
-0.28981	36.716
3.4778	41.797
5.8544	44.091
9.1582	47.696
13.216	51.957
17.795	56.547
21.563	59.99
24.751	63.762
29.736	68.677
33.792	73.103
38.199	77.693
43.01	81.136
47.066	83.431
52.111	86.051
51.529	80.153
49.792	68.513
48.748	58.024
47.704	49.502
47.066	44.911
45.733	37.535
44.516	32.454
42.835	24.259
41.559	17.538
39.995	9.9982
38.547	7.212
36.401	2.7864
34.315	-0.98345
32.459	-4.7531
30.49	-8.1954
28.285	-11.965
26.721	-14.915
25.33	-17.702
23.591	-20.816
21.736	-24.586
19.997	-27.7
18.548	-30.651
17.621	-32.454
14.839	-36.06
10.375	-42.124
6.7239	-47.531
2.8402	-52.945
-1.8548	-58.843
-6.1443	-63.762
-12.346	-69.496
-18.316	-74.58
-21.794	-77.858
-26.025	-81.301
-29.619	-84.739
-34.953	-88.675
-37.793	-90.641
-40.632	-92.772
-43.878	-94.903
-46.312	-96.544
-49.037	-98.181
-47.531	-88.346
-45.966	-79.33
-44.226	-69.989
-42.431	-60.809
-40.691	-51.632
-39.126	-43.763
-37.503	-35.076
-35.184	-23.111
-33.444	-13.932
-32.403	-7.7035
-29.329	-3.9338
-23.765	3.4421
-16.288	11.309
-13.042	15.243
-6.6657	23.767
-2.0287	29.504
1.565	33.601
5.6225	37.043
11.303	41.633
15.708	45.076
19.534	48.19
23.533	51.632
26.662	54.417
32.228	59.99
37.155	65.893
40.864	69.335
45.908	73.267
51.471	77.199
55.413	79.495
59.124	80.971
62.832	82.119
66.312	82.937
69.499	83.591
72.918	84.579
72.222	76.875
71.412	70.154
71.123	67.53
69.672	55.894
68.976	50.32
67.876	43.436
66.253	35.404
64.63	26.553
62.194	15.08
60.513	10.326
58.021	4.2616
55.819	-0.49173
53.617	-6.0644
50.719	-13.113
47.762	-19.997
45.908	-24.586
44.11	-26.553
41.791	-29.504
37.503	-33.929
34.14	-37.207
31.765	-39.502
31.011	-40.322
27.592	-43.436
22.142	-47.531
18.375	-49.826
14.143	-53.105
10.839	-55.4
6.9555	-57.366
3.8255	-59.336
-2.8981	-63.762
-7.1874	-65.399
-12.462	-68.348
-18.433	-71.301
-26.49	-75.233
-30.198	-77.693
-35.301	-79.988
-39.936	-81.79
-44.285	-83.756
-49.616	-86.216
-54.717	-88.017
-58.892	-89.165
-62.37	-90.148
-65.326	-90.312
-68.049	-90.477
-69.847	-90.312
-71.643	-90.148
-72.339	-89.823
-73.035	-90.641
-72.05	-82.448
-70.833	-73.432
-69.441	-63.922
-68.28	-55.075
-67.932	-52.615
-65.905	-44.582
-64.455	-37.699
-63.122	-32.618
-61.557	-25.733
-60.399	-20.488
-59.296	-16.555
-58.486	-13.276
-55.123	-7.212
-51.935	-1.3113
-48.865	3.7699
-45.733	9.3426
-42.197	15.08
-39.416	20.488
-37.503	21.308
-32.923	23.931
-27.765	26.717
-22.2	29.504
-17.795	31.47
-13.564	32.782
-10.028	33.601
-5.8544	35.24
-1.6809	36.879
6.6078	39.83
13.505	42.288
18.606	43.928
23.823	45.565
27.765	46.877
32.692	48.679
36.98	49.991
41.211	51.139
45.56	51.632
49.792	52.615
53.79	53.598
59.992	55.564
64.689	56.877
69.093	58.353
74.658	60.484
74.021	55.894
73.497	51.139
72.453	42.944
71.585	37.371
70.427	31.634
68.862	24.914
67.587	18.849
66.774	15.08
65.73	12.949
63.18	7.7035
60.571	2.2947
57.153	-4.4255
54.254	-10.326
51.877	-15.08
48.631	-21.964
45.733	-27.7
42.72	-29.667
35.88	-33.601
31.59	-36.224
27.127	-39.01
24.229	-40.977
22.838	-41.797
20.809	-41.961
16.752	-42.78
13.042	-43.436
