"Paultre, Legeron,  July-August 2000 test 1006015"	
31.81	-1.06
31.81	-1.06
31.04	-3.58
15.81	-17.38
7.32	-32.45
1.71	-46.97
-5.53	-64.26
-14.87	-78.06
-28.58	-91.63
-33.34	-95.65
-37.15	-98.11
-42.96	-102.19
-47.15	-104.59
-51.53	-107.23
-56.38	-109.82
-61.34	-111.5
-66.29	-112.4
-70.86	-115.28
-71.14	-109.46
-75.72	-111.86
-80.96	-112.22
-85.53	-113.12
-87.62	-112.64
-83.72	-102.19
-79.15	-89.89
-72.19	-74.04
-65.43	-58.8
-59.82	-48.35
-54.1	-38.27
-45.91	-26.63
-42.29	-22.19
-37.91	-17.68
-32.19	-11.92
-25.81	-6.34
-24.95	0.36
-11.43	15.85
-3.91	28.44
4.66	46.29
13.43	59.12
29.8	74.37
34.29	77.51
38.29	79.51
43.14	82.41
47.61	85.32
52.48	87.19
57.04	90.16
62.19	92.46
67.14	94.45
71.52	96.51
75.71	99.11
81.24	100.02
86.38	101.17
90.95	101.78
84.86	82.59
76.95	63.29
65.62	38.54
56.1	23.72
45.42	10.16
31.24	-1.03
17.81	-14.64
6.38	-30.25
-0.28	-45.01
-8.48	-59
-23.42	-74.3
-28.57	-78.87
-33.52	-82.05
-38.48	-85.23
-43.14	-88.41
-47.43	-91.23
-52.1	-93.93
-57.04	-96.63
-62	-99.81
-66.86	-102.21
-71.62	-103.23
-76.1	-105.33
-81.24	-107.01
-86.38	-107.32
-87.62	-106.11
-82.19	-92.25
-75.43	-77.37
-66.28	-56.72
-55.71	-37.75
-48.28	-25.87
-35.15	-10.86
-23.91	2.3
-14.67	13.98
-3.52	32.55
4	45.93
14.09	59.6
33.43	74.79
38.57	76.97
42.58	79.63
47.05	82.17
51.8	84.53
57.52	87.44
66.67	91.31
72	94.21
76	95.73
81.24	97.78
85.23	98.33
90	100.02
89.81	95.97
95.14	100.32
100.1	100.45
104.67	101.35
109.05	101.29
113.52	101.59
118.48	101.53
124.29	101.96
124.57	98.21
111.33	66.92
106	55.37
99.43	42.78
94	33.64
89.81	26.74
84.39	20.27
66.86	1.75
44	-13.86
18.09	-28.87
4.77	-46.39
-3.61	-59.54
-20.76	-75.02
-28.47	-80.01
-32.85	-82.71
-38.67	-85.83
-43.14	-88.17
-46.95	-89.73
-51.91	-92.55
-56	-94.53
-61.9	-97.17
-67.42	-99.45
-71.91	-100.95
-76.95	-102.09
-81.43	-103.59
-86.09	-103.89
-90.47	-104.67
-94.96	-105.15
-99.34	-105.57
-105.04	-105.87
-110.09	-105.75
-114.77	-106.17
-119.62	-105.87
-111.52	-82.05
-101.34	-61.1
-88.09	-37.51
-82.76	-29.95
-73.8	-19.33
-50.66	-0.54
-30.38	16.22
-16.29	28.98
-3.05	44.11
10.1	58.75
36	74.12
38.29	75.09
43.53	77.03
47.61	78.72
52.29	80.48
57.71	82.78
62.48	84.59
67.42	85.98
72.29	88.22
76.48	90.34
82.09	91.73
85.9	92.52
90.57	93.97
95.62	95.3
100.48	95.85
105.14	96.63
110.28	97.12
114.66	97.54
119.62	98.63
123.62	99.3
118.19	79.75
112.1	69.28
105.53	54.94
100.57	45.32
93.43	32.92
85.72	21.42
81.62	16.28
73.8	8.11
60.57	-5.04
15.62	-28.93
1.72	-45.55
-8.48	-59
-30.1	-73.46
-34.57	-75.98
-39.23	-77.79
-42.76	-79.95
-47.43	-82.65
-51.05	-83.43
-54.76	-85.65
-58.38	-86.73
-62.28	-88.35
-66.38	-89.91
-70.66	-91.59
-75.43	-93.21
-79.9	-95.49
-85.9	-96.39
-90.67	-97.95
-95.14	-99.87
-99.9	-99.57
-104.48	-100.77
-109.05	-101.19
-114.28	-101.73
-119.52	-101.91
-121.52	-102.39
-114.57	-84.93
-107.9	-71.42
-88.95	-36.67
-76.1	-20.35
-56.38	-2.52
-53.33	-0.48
-34.95	14.52
-13.81	30.31
-1.72	44.9
15.71	60.45
37.9	71.88
42.67	73.46
47.61	75.33
52.29	76.79
57.24	78.42
66.67	82.05
76.1	85.5
86.38	89.19
95.71	92.03
100.29	92.58
104.67	93.85
109.62	95.73
114.66	95.06
119.43	95.85
123.81	95.48
128.09	96.27
132.95	96.51
137.81	95.24
142.66	95.73
147.53	95
151.43	94.94
147.53	83.26
142.85	72.91
138.19	62.32
128.39	43.26
119.52	27.77
108.09	14.28
92	-0.85
70.66	-14.58
31.24	-29.41
3.52	-49.52
-14.09	-65.84
-23.33	-70.94
-33.15	-75.62
-42.76	-79.65
-47.81	-81.69
-52.85	-83.13
-58.38	-85.47
-62.57	-86.13
-66.58	-88.53
-70.66	-89.43
-76.29	-91.89
-80.95	-92.19
-80.95	-90.51
-85.62	-93.69
-90.28	-95.01
-94.86	-95.79
-99.24	-97.35
-103.81	-98.01
-109.81	-98.73
-114.96	-98.85
-118.85	-100.05
-123.71	-99.45
-128.09	-99.87
-132.95	-99.93
-137.91	-99.57
-142.57	-100.41
-147.53	-99.75
-142.66	-87.45
-125.71	-55.94
-123.43	-50.54
-114.57	-35.05
-100.38	-17.53
-82.19	0
-54.1	15.55
-29.71	29.41
-6.96	44.53
10.57	58.51
28.57	66.92
37.9	68.98
47.91	72.55
57.43	75.45
66.58	77.57
70.96	79.33
77.05	81.2
86.67	83.5
95.33	86.23
99.9	88.16
104.57	88.4
110	89.55
114.66	90.52
119.62	90.04
124.57	91.49
128.95	92.34
133.33	92.4
138.38	91.91
145.43	93.55
151.43	92.64
151.53	90.1
144.38	73.4
134.47	52.1
125.14	35.15
99.24	3.45
92.28	0.3
72.38	-13.8
32.85	-28.81
1.81	-44.59
-16.86	-60.44
-35.15	-69.62
-44.47	-72.92
-54.19	-76.34
-64.09	-79.77
-73.8	-82.65
-83.81	-85.47
-93.91	-87.57
-102.67	-89.61
-107.33	-90.87
-112.19	-92.19
-117.05	-92.31
-121.71	-93.63
-126.57	-93.81
-131.42	-95.31
-136.1	-94.65
-141.43	-95.13
-145.34	-96.27
-149.9	-95.49
-151.81	-95.19
-145.52	-75.44
-137.62	-59.12
-126.48	-39.31
-104.95	-12.24
-88.28	0.42
-66.38	14.22
-34.85	29.41
-10.38	43.75
14.67	59.06
30.38	64.93
38.48	67.35
47.24	69.46
56.76	72.49
68.77	75.88
75.33	77.39
85.33	80.78
91.24	81.57
86.09	68.62
81.34	57.72
75.15	43.38
70.66	34.31
64.95	24.75
57.04	14.64
44.76	0.12
50.76	16.22
63.23	38.91
67.62	46.35
76.19	60.39
86.09	74.79
94.57	82.23
94.66	81.69
105.23	85.38
115.33	88.28
123.71	88.52
133.24	90.1
142.95	91.37
152.58	90.88
161.43	90.46
171.9	89.73
176.58	89.8
182.1	88.65
182.38	83.44
175.05	66.8
161.91	39.94
148.76	20.63
146.95	18.27
128.48	-1.7
105.62	-14.82
67.24	-28.93
12.48	-44.83
-10.85	-58.82
-25.43	-64.88
-33.9	-69.62
-43.05	-70.88
-42.86	-68.66
-54.76	-75.32
-64.86	-77.73
-74.38	-80.49
-84.39	-82.53
-94.1	-84.87
-89.52	-71.6
-67.62	-32.71
-39.9	0.3
-47.05	-15.66
-55.52	-29.77
-64.67	-45.37
-73.71	-59.24
-81.81	-70.4
-93.14	-81.09
-102.09	-85.65
-112.1	-87.63
-121.24	-89.13
-130.48	-89.55
-139.71	-90.87
-148.57	-90.75
-153.81	-90.99
-157.91	-91.53
-162.48	-92.61
-166.85	-91.89
-171.43	-91.35
-176.28	-91.29
-182.76	-90.57
-173.43	-70.16
-163.33	-49.94
-151.43	-30.97
-140.96	-15.66
-122.38	2
-97.15	13.92
-55.43	29.04
-18.19	45.02
19.62	59.9
38.86	63.05
40.39	63.53
40.28	60.45
57.62	68.13
66.28	70.43
76	72.91
85.9	75.51
90.77	76.06
85.33	62.38
74.38	38.36
56.1	9.74
45.81	-0.43
52.96	15.97
60.86	30.01
69.24	44.9
78.19	59.78
84.39	68.5
94.38	78
105.14	79.93
115.05	81.57
124.67	82.96
134.47	83.87
143.43	84.05
151.62	84.41
161.8	84.17
171.72	84.11
176.38	82.53
181.91	82.96
172.28	58.81
161.62	38.79
140.66	10.16
127.53	-2.66
104.38	-15.36
67.14	-29.11
12.48	-44.35
-20.19	-59.36
-38.38	-65.96
-38.48	-63.44
-45.72	-68.36
-56.95	-71.6
-67.24	-73.28
-76.48	-75.74
-85.23	-77.31
-94.57	-78.75
-82.09	-53.72
-60.95	-20.17
-42.67	0.66
-43.91	-2.7
-50.86	-15.9
-60.09	-30.49
-69.24	-45.31
-78.85	-59.96
-89.33	-72.74
-98.66	-78.09
-108.58	-80.43
-118.29	-81.93
-128.28	-82.89
-136.47	-83.31
-143.62	-83.85
-151.9	-84.69
-162.76	-84.63
-172.76	-83.91
-177.14	-83.49
-182.19	-83.55
-175.72	-69.02
-160.47	-40.57
-135.33	-6.42
-107.05	11.01
-95.91	16.7
-79.43	22.87
-69.72	26.02
-55.15	30.98
-18.39	43.14
39.04	51.67
39.81	49.43
61.81	57.54
76	60.2
85.62	62.02
66.19	28.92
56.95	16.4
47.43	6.59
39.9	0.18
49.24	14.16
58.76	27.35
68	40.84
77.71	53.25
87.33	61.6
102.95	64.92
109.42	65.89
118.66	67.47
128.57	68.56
138.96	69.22
146.57	69.16
152.19	68.92
159.71	69.22
166.38	69.52
171.72	69.71
176.19	69.28
182.19	69.22
185.52	68.8
190.48	68.92
195.14	68.56
200.1	67.89
204.76	67.77
209.52	67.41
211.9	67.16
212.09	62.63
210.29	58.75
204.57	48.77
192.76	30.43
176.86	11.62
171.72	7.26
160	0.48
129.23	-14.64
77.62	-28.81
38.76	-39.49
17.04	-44.83
2.47	-48.92
-9.9	-51.5
-26.57	-55.1
-39.72	-57.44
-48	-59.78
-57.71	-61.46
-68.86	-63.74
-77.71	-63.32
-86.09	-64.64
-93.14	-63.56
-84.67	-45.61
-70	-20.89
-55.24	-3.66
-50.57	0.78
-56.1	-9.48
-66.38	-24.43
-75.62	-38.65
-83.23	-50.06
-83.23	-50.06
-90.28	-57.62
-99.71	-60.98
-105.14	-62.48
-114.86	-60.74
-123.81	-61.22
-132.76	-58.46
-141.24	-58.34
-150.57	-55.94
-159.33	-56
-168.57	-54.2
-177.33	-53.3
-188.76	-52.1
-195.14	-51.56
-199.52	-51.32
-204.1	-51.86
-207.52	-51.14
-212.57	-49.58
-212.38	-44.71
-206	-32.41
-200.77	-23.71
-194.67	-14.28
-183.62	0.96
-181.62	0.96
-175.91	0.9
