Tanaka 90 Specimen 2	
29.474	-59.056
21.965	-65.799
13.448	-72
5.6035	-76.853
0.44826	-79.548
-4.7069	-82.248
-12.664	-86.829
-17.931	-90.606
-22.638	-93.301
-28.354	-97.078
-32.837	-100.85
-37.991	-104.63
-43.37	-108.4
-48.638	-111.91
-56.706	-116.49
-62.309	-118.11
-69.146	-120
-75.308	-119.19
-82.258	-118.38
-85.395	-117.84
-86.18	-115.68
-86.517	-113.26
-86.629	-108.94
-86.403	-99.506
-86.403	-91.415
-85.395	-81.167
-84.498	-74.157
-82.931	-63.909
-81.585	-54.47
-77.551	-36.404
-74.973	-23.73
-72.06	-11.056
-69.035	1.3483
-64.552	15.101
-59.172	27.775
-55.027	36.135
-49.982	43.955
-43.035	50.965
-35.639	58.518
-26.896	66.337
-17.931	72.809
-9.1895	78.2
0.56035	83.324
6.9482	84.134
14.905	87.372
24.655	94.382
34.854	100.04
44.602	104.63
53.68	109.48
60.515	113.53
67.241	116.76
75.535	120
81.923	121.08
85.844	119.46
85.844	103.28
85.733	88.448
83.602	70.919
82.034	62.561
80.129	52.584
77.551	40.719
75.423	31.281
72.845	22.112
70.043	11.865
67.241	1.8876
65.225	-5.6627
62.085	-13.753
59.284	-20.225
54.353	-31.011
49.982	-38.561
45.837	-44.765
42.921	-49.346
38.776	-53.661
30.033	-62.832
23.758	-67.685
19.612	-71.19
13	-74.157
-0.56035	-80.091
-16.474	-84.405
-23.086	-86.291
-30.706	-89.529
-36.198	-91.144
-46.284	-95.192
-52.337	-98.158
-60.18	-101.39
-68.473	-105.44
-74.861	-108.14
-81.361	-109.21
-84.386	-108.94
-86.403	-110.02
-86.853	-100.32
-86.517	-87.639
-84.836	-69.304
-82.034	-52.313
-79.121	-37.752
-75.085	-22.651
-72.06	-10.247
-66.904	8.09
-62.197	20.764
-58.052	30.741
-52.896	38.831
-51.999	39.91
-45.837	47.189
-39.223	55.013
-31.714	61.213
-24.767	67.414
-17.259	73.076
-9.8621	76.853
-2.6896	80.629
7.7328	85.215
14.681	87.639
23.87	91.415
31.267	94.382
41.801	98.964
50.767	103.55
60.63	107.33
73.518	110.29
83.266	112.18
89.654	110.56
99.629	108.14
106.24	106.52
112.29	101.39
120.81	93.573
127.42	87.639
129.21	86.291
129.33	73.886
128.88	64.447
127.53	48.808
125.4	36.135
123.05	25.078
120.03	11.595
117.22	0
