"Pujol 2002, No. 10-3-2.25N"	
15.97	108.241
16.00	108.219
15.99	108.263
15.94	107.974
15.97	107.951
15.93	107.974
15.96	107.951
15.89	107.951
16.36	112.899
16.42	112.832
16.43	112.855
16.47	112.832
16.43	112.788
16.63	113.323
16.58	113.345
16.66	113.323
16.63	113.300
16.68	113.300
16.73	110.670
16.68	110.648
16.71	110.648
16.68	110.626
16.74	110.626
17.21	113.256
17.23	113.256
17.20	113.256
17.23	113.233
17.16	113.189
17.51	113.523
17.53	113.545
17.45	113.501
17.49	113.501
17.50	113.479
17.64	110.893
17.60	110.826
17.60	110.849
17.58	110.893
17.61	110.871
17.72	109.734
17.70	109.734
17.71	109.734
17.69	109.757
17.66	109.690
18.19	113.033
18.19	113.033
18.16	112.988
18.16	112.988
18.13	113.011
18.16	110.537
18.13	110.492
18.19	110.514
18.16	110.492
18.22	110.492
18.13	110.136
18.09	110.091
18.16	110.113
18.10	110.091
18.20	110.069
18.15	109.021
18.20	108.999
18.14	109.021
18.19	109.044
18.13	108.999
18.24	108.442
18.23	108.397
18.26	108.419
18.20	108.419
18.23	108.442
18.24	108.130
18.21	108.152
18.23	108.130
18.24	108.174
18.20	108.152
18.71	113.969
18.67	113.969
18.69	113.947
18.67	113.947
18.71	113.924
18.81	110.670
18.77	110.670
18.79	110.648
18.75	110.670
18.79	110.693
19.26	113.545
19.31	113.479
19.25	113.523
19.33	113.479
19.31	113.479
19.66	114.080
19.65	114.080
19.66	114.036
19.62	114.013
19.62	113.991
19.66	111.138
19.70	111.161
19.66	111.161
19.69	111.205
19.66	111.138
20.11	113.724
20.04	113.679
20.10	113.679
20.03	113.657
20.10	113.635
20.19	111.718
20.18	111.785
20.16	111.785
20.17	111.740
20.17	111.718
20.16	110.537
20.19	110.537
20.17	110.581
20.21	110.581
20.21	110.537
20.32	106.543
20.33	106.587
20.31	106.610
20.34	106.587
20.28	106.610
20.27	106.431
20.32	106.409
20.31	106.454
20.32	106.431
20.29	106.431
20.31	106.387
20.27	106.364
20.32	106.364
20.30	106.409
20.33	106.387
20.16	99.188
20.16	99.188
20.15	99.188
20.13	99.210
20.13	99.188
19.95	93.728
19.98	93.683
19.93	93.728
19.93	93.750
19.90	93.706
19.73	89.739
19.78	89.716
19.76	89.761
19.80	89.761
19.78	89.761
19.73	90.162
19.78	90.184
19.74	90.184
19.78	90.207
19.76	90.162
19.76	90.942
19.73	90.898
19.75	90.920
19.74	90.875
19.74	90.942
19.38	82.317
19.36	82.317
19.39	82.339
19.34	82.317
19.38	82.317
19.15	78.417
19.16	78.439
19.16	78.439
19.13	78.417
19.19	78.417
18.78	71.664
18.74	71.686
18.73	71.731
18.72	71.686
18.78	71.664
18.50	66.003
18.50	65.981
18.50	66.026
18.48	66.003
18.50	66.048
18.39	68.054
18.40	68.054
18.42	68.054
18.41	68.076
18.45	68.121
18.42	68.611
18.47	68.633
18.44	68.633
18.46	68.633
18.48	68.633
18.12	62.683
18.09	62.660
18.11	62.638
18.10	62.638
18.11	62.660
17.80	57.022
17.75	57.000
17.81	56.977
17.75	57.000
17.82	57.044
17.41	49.756
17.37	49.734
17.39	49.779
17.37	49.779
17.37	49.801
17.07	44.876
17.04	44.920
17.07	44.898
17.04	44.920
17.02	44.920
16.93	46.525
16.97	46.503
16.91	46.569
16.97	46.525
16.96	46.569
16.93	46.770
17.00	46.770
17.01	46.748
17.02	46.792
17.00	46.792
16.46	37.744
16.38	37.744
16.43	37.766
16.41	37.811
16.48	37.766
16.00	31.883
16.01	31.905
16.01	31.905
16.00	31.905
16.04	31.927
15.74	27.648
15.74	27.670
15.79	27.648
15.76	27.648
15.79	27.648
15.62	29.364
15.64	29.275
15.63	29.320
15.70	29.320
15.69	29.297
15.24	22.500
15.24	22.545
15.17	22.545
15.19	22.500
15.16	22.478
15.15	23.169
15.18	23.169
15.11	23.191
15.17	23.213
15.14	23.191
15.18	23.570
15.15	23.547
15.21	23.547
15.16	23.547
15.20	23.592
15.15	23.637
15.16	23.614
15.21	23.614
15.17	23.659
15.25	23.637
14.89	19.135
14.90	19.135
14.89	19.135
14.92	19.157
14.90	19.135
14.56	14.611
14.51	14.588
14.54	14.655
14.50	14.611
14.56	14.655
14.50	16.015
14.54	16.015
14.49	16.037
14.49	16.037
14.47	16.059
14.15	10.666
14.19	10.666
14.17	10.688
14.18	10.688
14.16	10.755
13.63	6.231
13.69	6.231
13.66	6.253
13.71	6.275
13.66	6.298
13.70	7.501
13.67	7.501
13.70	7.523
13.65	7.523
13.66	7.501
13.23	3.066
13.22	3.066
13.22	3.066
13.22	3.044
13.21	3.088
13.11	5.030
13.15	5.053
13.11	5.053
13.15	5.075
13.11	5.053
13.04	3.025
13.07	3.002
13.03	3.047
13.05	3.025
13.01	3.069
13.03	4.607
13.07	4.629
13.03	4.674
13.08	4.651
13.02	4.696
13.00	5.097
12.96	5.075
13.01	5.075
12.93	5.053
12.99	5.097
13.06	4.050
13.01	4.072
13.03	4.027
12.99	4.050
13.05	4.005
13.01	3.381
13.03	3.381
13.04	3.381
13.06	3.381
13.03	3.314
12.99	2.779
12.94	2.779
12.97	2.757
12.98	2.757
13.00	2.779
13.01	2.802
12.98	2.779
13.03	2.757
12.97	2.779
13.00	2.824
13.06	2.935
13.02	2.935
13.00	2.935
13.01	2.913
13.01	2.935
13.01	3.025
13.03	3.091
13.01	3.025
13.03	3.025
13.02	3.025
13.00	3.091
13.00	3.114
13.00	3.091
12.99	3.091
13.04	3.091
12.69	3.233
12.69	3.322
12.69	3.255
12.73	3.255
12.66	3.300
12.72	3.277
12.63	3.210
12.73	3.233
12.74	3.277
12.62	3.255
12.62	3.324
12.71	3.346
12.61	3.324
12.72	3.368
12.59	3.346
12.70	3.190
12.72	3.145
12.69	3.145
12.60	3.190
12.63	3.145
12.52	1.340
12.59	1.318
12.59	1.340
12.62	1.318
12.61	1.363
12.54	1.251
12.57	1.229
12.54	1.273
12.61	1.251
12.63	1.273
12.46	-0.755
12.46	-0.799
12.46	-0.799
12.45	-0.822
12.46	-0.777
11.82	-8.176
11.82	-8.221
11.80	-8.221
11.89	-8.198
11.90	-8.198
11.84	-7.820
11.80	-7.753
11.88	-7.753
11.82	-7.775
11.84	-7.797
11.78	-7.262
11.84	-7.240
11.85	-7.285
11.87	-7.307
11.87	-7.262
11.79	-7.084
11.87	-7.129
11.83	-7.106
11.81	-7.106
11.85	-7.084
11.82	-6.928
11.82	-6.950
11.81	-6.950
11.78	-7.017
11.83	-6.950
11.70	-9.313
11.63	-9.268
11.65	-9.335
11.62	-9.268
11.60	-9.246
11.38	-11.541
11.37	-11.497
11.43	-11.497
11.31	-11.475
11.34	-11.497
11.39	-10.516
11.37	-10.472
11.33	-10.449
11.36	-10.516
11.30	-10.449
10.95	-13.324
11.05	-13.324
11.04	-13.347
11.02	-13.369
11.05	-13.302
10.98	-12.009
10.97	-12.054
11.02	-12.009
10.96	-12.032
11.01	-12.009
10.69	-15.174
10.69	-15.196
10.77	-15.174
10.74	-15.152
10.66	-15.130
10.63	-14.015
10.67	-14.037
10.73	-14.060
10.72	-14.037
10.67	-13.993
10.70	-13.436
10.68	-13.436
10.68	-13.458
10.67	-13.436
10.66	-13.413
10.18	-17.938
10.18	-17.960
10.20	-17.938
10.22	-17.960
10.23	-17.938
10.18	-17.403
10.18	-17.403
10.14	-17.358
10.14	-17.380
10.09	-17.380
10.20	-16.623
10.10	-16.556
10.12	-16.600
10.12	-16.623
10.18	-16.578
9.80	-20.211
9.82	-20.144
9.71	-20.189
9.74	-20.144
9.76	-20.122
9.76	-19.609
9.76	-19.631
9.80	-19.609
9.83	-19.631
9.71	-19.609
9.78	-18.874
9.70	-18.874
9.73	-18.874
9.79	-18.874
9.79	-18.851
9.77	-18.183
9.72	-18.160
9.71	-18.183
9.71	-18.160
9.67	-18.250
9.30	-21.503
9.36	-21.526
9.34	-21.481
9.35	-21.503
9.38	-21.503
9.32	-20.612
9.29	-20.590
9.31	-20.634
9.30	-20.634
9.35	-20.634
9.31	-20.411
9.29	-20.367
9.29	-20.389
9.28	-20.367
9.35	-20.411
9.32	-20.211
9.33	-20.189
9.35	-20.189
9.34	-20.166
9.26	-20.189
9.28	-19.449
9.29	-19.449
9.32	-19.449
9.30	-19.449
9.28	-19.472
8.64	-23.773
8.55	-23.751
8.63	-23.773
8.64	-23.751
8.70	-23.773
8.63	-23.349
8.59	-23.327
8.59	-23.349
8.56	-23.372
8.63	-23.349
8.55	-23.015
8.55	-23.060
8.57	-23.037
8.63	-23.037
8.64	-23.060
8.56	-22.458
8.56	-22.480
8.57	-22.458
8.59	-22.458
8.61	-22.502
8.59	-22.369
8.60	-22.346
8.57	-22.369
8.53	-22.324
8.61	-22.324
7.98	-26.759
8.02	-26.759
8.04	-26.737
8.01	-26.715
7.94	-26.737
8.01	-25.712
8.00	-25.712
7.96	-25.689
7.95	-25.734
7.95	-25.756
7.29	-30.147
7.28	-30.147
7.30	-30.080
7.28	-30.124
7.38	-30.102
7.23	-29.233
7.33	-29.255
7.26	-29.255
7.32	-29.300
7.34	-29.278
7.33	-28.810
7.34	-28.810
7.29	-28.832
7.25	-28.787
7.26	-28.787
7.27	-28.720
7.29	-28.720
7.34	-28.720
7.34	-28.720
7.25	-28.720
6.32	-34.114
6.36	-34.158
6.32	-34.136
6.32	-34.092
6.30	-34.136
6.30	-32.732
6.27	-32.710
6.31	-32.732
6.28	-32.732
6.33	-32.777
6.29	-32.554
6.30	-32.576
6.30	-32.576
6.31	-32.531
6.33	-32.576
6.31	-31.907
6.33	-32.019
6.29	-31.952
6.32	-31.997
6.25	-31.997
5.87	-36.565
5.78	-36.565
5.87	-36.543
5.93	-36.521
5.91	-36.498
5.86	-35.785
5.81	-35.785
5.88	-35.785
5.82	-35.763
5.86	-35.830
5.27	-39.373
5.32	-39.329
5.30	-39.329
5.32	-39.307
5.35	-39.307
5.24	-38.549
5.32	-38.527
5.31	-38.482
5.30	-38.527
5.31	-38.527
5.28	-37.791
5.30	-37.791
5.26	-37.836
5.29	-37.791
5.29	-37.813
5.27	-37.390
5.30	-37.412
5.29	-37.390
5.30	-37.390
5.29	-37.368
4.38	-43.563
4.45	-43.519
4.44	-43.519
4.44	-43.519
4.45	-43.474
4.42	-42.003
4.41	-42.003
4.44	-42.003
4.42	-42.026
4.41	-42.003
4.36	-41.714
4.45	-41.691
4.40	-41.669
4.41	-41.691
4.42	-41.714
4.43	-40.577
4.38	-40.621
4.36	-40.644
4.37	-40.555
4.39	-40.599
4.41	-40.421
4.37	-40.443
4.37	-40.399
4.44	-40.421
4.40	-40.399
3.56	-47.887
3.61	-47.887
3.65	-47.909
3.60	-47.865
3.58	-47.842
3.54	-46.572
3.53	-46.527
3.53	-46.527
3.51	-46.550
3.56	-46.572
2.74	-52.367
2.69	-52.411
2.69	-52.367
2.66	-52.367
2.70	-52.367
2.68	-50.806
2.69	-50.806
2.62	-50.829
2.63	-50.762
2.63	-50.762
2.67	-50.383
2.69	-50.405
2.63	-50.361
2.66	-50.361
2.61	-50.338
1.76	-57.515
1.76	-57.426
1.78	-57.403
1.78	-57.403
1.82	-57.381
1.66	-56.178
1.77	-56.200
1.75	-56.200
1.75	-56.200
1.75	-56.200
1.71	-55.576
1.76	-55.576
1.73	-55.576
1.72	-55.531
1.75	-55.576
1.71	-53.904
1.72	-53.927
1.70	-53.927
1.67	-53.904
1.63	-53.927
1.69	-53.837
1.71	-53.837
1.73	-53.837
1.71	-53.837
1.67	-53.815
1.00	-60.902
0.99	-60.858
1.02	-60.902
0.96	-60.858
0.96	-60.858
0.95	-59.587
0.89	-59.632
0.94	-59.654
0.99	-59.654
0.99	-59.632
0.44	-62.395
0.43	-62.373
0.39	-62.395
0.44	-62.440
0.41	-62.395
0.42	-61.415
0.44	-61.370
0.34	-61.348
0.41	-61.348
0.34	-61.393
0.43	-60.523
0.37	-60.523
0.38	-60.479
0.39	-60.501
0.37	-60.523
0.32	-59.721
0.26	-59.721
0.36	-59.721
0.34	-59.743
0.36	-59.743
0.34	-58.566
0.31	-58.566
0.30	-58.566
0.32	-58.588
0.22	-58.521
0.33	-58.521
0.31	-58.566
0.28	-58.521
0.28	-58.499
0.27	-58.499
-0.29	-66.455
-0.31	-66.455
-0.37	-66.411
-0.34	-66.478
-0.35	-66.411
-0.41	-64.472
-0.37	-64.472
-0.37	-64.472
-0.33	-64.516
-0.36	-64.494
-0.78	-69.865
-0.81	-69.798
-0.81	-69.821
