"Mo and Wang, 2000 Test C3-3"	
779	
-18.004	30.27
-3.53	60.79
13.233	96.92
29.556	146.24
45.211	187.5
62.393	219.73
78.807	240.97
68.73	145.02
54.577	43.21
42.493	-31.49
26.12	-68.6
9.747	-106.69
-6.407	-139.4
-22.79	-186.28
-38.964	-231.69
-54.819	-269.04
-71.193	-295.65
-62.214	-208.01
-46.2	-107.67
-29.877	-27.1
-18.704	30.03
-18.704	30.03
-0.125	54.44
13.872	101.07
31.542	151.12
49.243	192.63
66.973	223.63
84.624	242.43
74.207	140.14
56.667	33.94
43.566	-25.63
27.377	-77.64
9.587	-114.01
-7.894	-147.95
-25.704	-194.58
-43.095	-238.28
-59.748	-275.39
-77.139	-298.58
-67.611	-203.86
-50.111	-98.39
-32.561	-16.85
-16.249	37.6
-3.559	63.96
13.872	102.54
32.47	147.95
50.171	186.52
67.791	216.55
85.542	235.6
73.988	135.99
56.218	31.74
44.036	-31.98
27.247	-77.15
9.756	-113.04
-7.804	-144.78
-25.734	-191.41
-42.905	-233.4
-60.247	-268.8
-77.858	-292.97
-67.641	-199.46
-50.809	-95.21
-32.81	-14.89
-15.749	37.84
-15.749	37.84
-0.695	60.55
15.548	105.96
34.166	152.59
53.712	190.67
72.281	219.24
92.317	237.06
80.195	131.35
64.007	23.44
48.32	-30.03
29.243	-84.72
9.807	-118.9
-8.812	-152.59
-28.028	-197.75
-46.517	-239.5
-65.016	-273.19
-84.304	-295.17
-73.698	-196.29
-55.61	-87.65
-36.164	-5.86
-22.187	44.92
-4.108	73
16.077	107.42
34.935	149.17
54.022	186.04
72.581	214.11
92.387	232.18
80.484	127.69
63.547	21.24
48.45	-40.04
29.064	-84.23
9.966	-118.16
-9.011	-150.39
-28.138	-194.09
-46.437	-234.62
-65.196	-267.09
-84.484	-289.55
-73.199	-192.14
-54.752	-85.45
-36.124	-6.1
-22.017	44.19
-22.017	44.19
-0.865	64.94
16.945	110.11
36.471	153.56
56.706	189.94
77.58	217.04
99.022	233.15
86.072	122.07
71.298	12.94
51.743	-42.72
31.159	-89.84
10.575	-123.78
-9.68	-156.25
-30.283	-199.95
-50.618	-238.77
-70.524	-270.75
-90.999	-291.02
-79.266	-188.72
-59.401	-77.64
-40.387	0.49
-24.253	48.1
-3.659	77.88
16.286	111.33
36.511	151.37
57.205	185.3
78.298	210.94
99.052	227.54
86.072	117.68
70.658	11.47
51.284	-44.68
31.189	-90.58
10.475	-122.8
-9.42	-154.79
-29.934	-197.02
-50.119	-234.62
-70.714	-265.38
-90.74	-286.62
-79.496	-184.08
-59.91	-74.46
-39.068	1.22
-24.143	36.62
-24.143	36.62
-0.985	69.82
17.094	114.01
38.915	154.54
61.376	188.48
83.606	213.38
105.987	227.54
91.889	112.55
76.357	3.91
54.647	-50.78
32.805	-96.68
10.835	-128.42
-10.807	-159.67
-32.329	-201.17
-54.051	-238.04
-75.343	-268.31
-97.226	-287.11
-85.333	-179.44
-64.989	-66.89
-46.459	8.79
-26.588	48.1
-4.607	83.01
17.184	113.77
39.225	150.88
60.987	183.35
83.077	207.03
106.167	220.95
92.129	107.67
76.427	1.95
54.856	-51.76
32.566	-96.68
11.034	-127.93
-10.827	-158.2
-32.568	-198
-54.52	-232.91
-75.583	-262.45
-97.695	-281.98
-86.022	-175.05
-63.842	-64.21
-44.551	9.03
-25.54	50.54
-25.54	50.54
-1.923	73.24
19.33	114.75
42.358	152.34
65.647	184.08
88.865	206.54
112.492	218.02
97.286	99.85
74.348	-5.37
57.55	-60.06
34.282	-103.03
11.064	-132.57
-11.855	-162.11
-35.333	-200.93
-57.782	-235.6
-80.881	-263.18
-103.561	-279.79
-90.64	-168.7
-68.481	-56.4
-44.944	15.87
-25.136	53.22
-4.098	83.25
19.25	112.06
42.428	145.75
65.617	175.29
88.536	196.53
111.934	208.01
97.616	91.31
74.867	-8.79
57.34	-61.77
34.312	-101.56
11.054	-129.64
-12.205	-157.23
-35.053	-192.14
-58.361	-224.61
-81.69	-252.2
-104.359	-269.53
-90.74	-159.18
-68.72	-49.8
-44.944	17.58
-26.565	44.43
-26.565	44.43
-1.045	68.12
20.467	105.47
45.202	138.43
69.089	167.72
94.074	188.48
119.078	197.75
104.132	78.37
79.518	-20.26
60.643	-69.09
35.958	-103.03
11.303	-126.22
-13.352	-152.1
-37.847	-183.59
-62.542	-211.43
-87.537	-218.51
-113.31	-202.64
-97.885	-110.11
-73.3	-33.94
-48.636	13.67
-26.891	44.92
-3.458	62.99
20.647	88.62
45.592	118.41
69.967	120.85
94.972	136.47
120.915	118.65
103.863	36.13
79.348	-26.86
60.603	-55.42
35.678	-73.97
10.574	-96.68
-13.841	-118.16
-38.586	-142.09
-63.98	-163.82
-88.485	-178.47
-114.039	-167.48
-97.147	-85.69
-72.552	-29.54
-48.456	0.73
-22.643	13.92
4.876	23.68
