"Xiao 1998,Specimen Nr.HC4-8L16-T10-0.2P"	
13.812139	284.16048
14.822932	292.03344
18.387695	296.25904
22.088602	299.15024
23.235666	297.81584
22.953726	274.15248
22.034754	239.14672
21.22678	214.14896
20.412456	190.21872
19.366865	161.0176
18.381345	137.86576
16.936466	108.13088
15.085949	77.08384
12.966065	48.95024
9.442577	17.36944
5.919089	-10.25264
3.0672405	-44.21312
1.213612	-78.66288
-0.456311	-113.13488
-2.54762	-154.70144
-4.629404	-183.90256
-7.693533	-216.52864
-11.153648	-245.196
-14.607413	-268.1032
-18.577814	-278.8896
-22.373844	-284.672
-23.381462	-283.62672
-22.877653	-243.37232
-20.827619	-178.9208
-18.479643	-121.5416
-16.099917	-78.396
-13.539724	-43.67936
-10.310876	-10.51952
-5.617972	23.41872
-1.371981	61.29344
1.2896215	102.34848
3.666109	144.4488
6.077458	180.21072
8.6504145	208.12192
11.891899	235.744
15.827502	262.3208
19.737451	280.20176
22.874478	288.87536
22.269196	259.16272
21.445347	230.47312
20.624673	204.69696
19.582257	174.42832
18.248249	139.4448
16.543528	105.7512
14.899005	77.08384
12.950317	49.99552
10.000234	21.03904
7.100951	-6.04928
4.2903775	-33.93824
2.4271605	-61.8272
0.703453	-89.71616
-0.865124	-117.07136
-2.687066	-144.96032
-5.092065	-172.33776
-8.308213	-199.69296
-12.094718	-226.78128
-15.912973	-250.2
-19.629755	-266.52416
-23.083647	-274.95312
-22.782657	-245.196
-21.809837	-215.21648
-20.878292	-188.3728
-19.766026	-158.9048
-18.625312	-131.5496
-17.294479	-104.9728
-15.640431	-77.35072
-13.742416	-50.77392
-11.540236	-25.77616
-8.476234	3.42496
-4.635754	34.73888
-0.681228	73.68112
1.92024	112.868
3.80238	142.60288
6.1915675	173.9168
9.2271215	203.11792
12.953492	230.47312
16.977614	254.67024
21.172932	273.61872
24.160861	282.04768
23.137495	230.20624
22.091777	198.11392
20.960588	166.0216
19.522059	131.5496
18.05813	103.66064
16.362807	75.77168
14.163929	46.0368
11.277219	17.63632
7.538212	-10.27488
4.2111295	-42.3672
1.9297015	-76.8392
-0.155321	-111.28896
-2.148332	-141.80224
-4.458335	-168.64592
-7.465314	-193.91056
-11.435715	-220.99888
-15.409164	-244.68448
-19.227419	-261.78704
-23.013924	-270.72752
-23.508208	-269.68224
-22.690709	-235.744
-20.28571	-164.42032
-18.806033	-128.6584
-17.066387	-94.72016
-15.288768	-66.8312
-13.137261	-38.67536
-10.678414	-12.36544
-7.541387	15.7904
-3.81508	44.99152
-0.792226	75.77168
1.4733905	107.59712
3.466465	136.5536
5.8715275	166.8
8.6535895	194.42208
12.0979565	220.22048
15.8242	242.03792
19.509486	257.56144
23.356062	270.72752
27.060271	276.7768
30.663007	278.35584
33.993328	275.19776
34.436939	274.15248
33.150429	226.53664
32.386778	204.1632
31.002097	165.48784
29.75356	135.48608
27.703526	97.34448
25.051385	59.44752
21.809837	26.5768
17.940909	0.51152
13.663295	-22.61808
9.296781	-47.10432
5.2314475	-78.92976
2.3226395	-110.7552
-0.193294	-142.60288
-3.415919	-174.16144
-7.110476	-201.00512
-11.083925	-222.8448
-14.943328	-242.03792
-18.742533	-255.47088
-22.659086	-262.05392
-26.746581	-262.83232
-30.596459	-258.62896
-34.462339	-252.84656
-34.189797	-226.78128
-32.969835	-190.21872
-31.835471	-160.48384
-30.625034	-132.08336
-29.373449	-106.28496
-27.228165	-70.52304
-24.338407	-33.1376
-20.716621	-0.26688
-16.578326	28.15584
-12.471908	50.2624
-8.466709	69.7224
-3.330321	96.2992
0.763651	130.48208
4.0716835	161.0176
8.032496	190.75248
11.936349	211.79152
15.8623	229.42784
19.740626	242.57168
23.650702	249.4216
27.988768	254.93712
32.054165	256.00464
35.007296	249.95536
33.616138	206.276
32.174434	168.64592
30.748478	135.2192
29.018484	102.0816
26.977848	71.56832
24.648922	42.87872
21.318728	10.51952
17.541748	-17.36944
13.663295	-41.56656
9.2112465	-65.78592
4.933569	-96.2992
1.4290675	-126.30096
-2.52222	-154.4568
-6.416548	-176.0296
-10.744962	-194.68896
-14.620113	-208.09968
-19.0246	-220.19824
-23.378287	-227.58192
-27.345513	-230.20624
-31.594552	-221.79952
-34.962846	-214.68272
-33.277175	-158.9048
-30.967299	-104.72816
-28.657296	-60.78192
-25.279477	-14.74512
-21.958808	18.14784
-17.516348	48.68336
-12.170791	78.12912
-6.910832	105.7512
-1.875917	135.24144
2.940558	164.17568
7.639558	186.52688
12.2531505	204.69696
16.803243	218.90832
21.249005	229.42784
