"Ohue et al. 1985, Specimen 4D13RS"	
5.8682	76.087
6.0876	77.502
6.3071	81.621
6.5537	82.911
6.6909	84.841
6.9652	85.357
7.1846	87.288
7.2941	86.772
7.3215	83.938
7.1572	79.948
6.9378	74.411
6.8829	71.453
6.6634	67.205
6.5811	65.399
6.3071	61.409
6.115	56.903
6.0053	53.171
5.923	51.494
5.5392	46.348
5.2923	42.613
4.9908	38.236
4.744	34.245
4.5794	30.769
4.3327	26.907
3.7569	23.045
3.6746	18.925
2.9891	14.419
2.4131	10.042
1.8921	6.3082
1.2888	2.961
0.87749	0.12874
-0.32906	-8.1105
-0.85009	-11.072
-1.234	-15.32
-1.6453	-19.182
-2.3034	-23.431
-2.8793	-28.838
-3.4826	-34.76
-3.8938	-39.781
-4.3053	-44.929
-4.8537	-50.725
-5.3198	-56.387
-5.7587	-61.925
-6.2248	-66.689
-6.6909	-70.292
-7.1298	-74.028
-7.2667	-76.216
-7.4587	-75.443
-7.4313	-73.125
-7.4587	-71.324
-7.2667	-69.264
-7.2393	-65.786
-6.9926	-61.796
-6.5537	-51.37
-6.1699	-44.287
-5.9505	-40.039
-5.5392	-32.7
-5.2649	-27.937
-4.8537	-24.847
-4.5245	-20.341
-4.3053	-17.38
-3.9213	-13.131
-3.2906	-7.8534
-2.6325	-3.2185
-1.947	1.1587
-0.9872	6.5657
-0.41133	8.497
0.2468	11.329
1.0969	17.766
1.5082	22.015
2.0018	25.362
2.797	30.898
3.3729	35.404
3.7569	39.652
4.4699	48.021
5.3198	57.161
5.7313	60.893
6.3619	67.716
7.0749	76.599
7.6233	80.98
8.1443	83.551
8.5832	85.357
8.9395	85.099
9.1316	84.325
9.2961	85.486
9.1864	83.298
9.1316	79.303
8.9395	75.314
8.9121	71.453
8.6926	66.689
8.446	62.441
8.2814	59.608
8.2266	58.576
7.7879	50.08
7.3764	42.356
6.9103	36.176
6.5811	31.799
6.4168	30.125
6.1699	27.164
5.7038	22.143
5.3472	19.182
4.9085	16.736
4.6891	15.191
5.0183	12.102
4.0035	10.943
3.7295	8.8831
3.2083	6.1796
2.9342	4.5058
2.5776	3.991
1.1243	0
1.0146	-1.6736
0.57587	-2.8323
0.32906	-4.8924
-0.2468	-7.4669
-0.82266	-10.943
-1.2066	-14.419
-1.5905	-16.35
-1.9195	-18.539
-2.9068	-24.976
-3.2906	-27.036
-3.9487	-32.7
-4.6891	-39.652
-5.21	-44.416
-5.7587	-49.951
-6.2796	-54.328
-6.8829	-59.866
-7.1846	-62.699
-7.7879	-66.173
-8.1443	-69.006
-8.5283	-69.905
-8.8572	-71.84
-9.0767	-71.711
-8.4186	-73.125
-9.3782	-72.738
-9.3782	-70.421
-9.4056	-69.651
-9.3233	-66.302
-9.1864	-61.667
-9.0218	-59.221
-8.8847	-53.683
-8.4186	-46.09
-8.1168	-43.128
-7.9522	-38.493
-7.7056	-36.305
-7.4038	-29.61
-7.0201	-24.075
-6.6909	-20.47
-6.3619	-17.38
-6.0328	-14.419
-5.6215	-10.685
-5.1554	-6.6947
-5.0183	-5.7935
-4.5794	-4.5058
-4.2504	-2.3174
-4.0035	-0.51494
-3.318	1.6736
-2.8519	3.0898
-2.5502	3.6047
-2.3583	4.8924
-1.8373	5.0209
-1.6179	7.2093
-0.54844	7.7244
0	9.7843
0.95976	14.29
2.1937	20.084
2.6325	22.659
3.2357	25.491
3.6472	28.838
3.9213	29.224
4.2504	32.185
4.744	35.146
5.0457	36.949
5.2923	39.524
5.5667	40.425
5.7861	43.514
6.2248	46.989
6.636	49.951
7.3215	57.161
7.6233	58.447
7.8153	60.382
8.0345	60.764
8.1991	63.855
8.5557	66.431
8.8298	68.103
8.9944	67.845
9.2413	70.421
9.3782	69.522
9.1316	62.824
9.0218	59.092
8.7475	54.07
8.3637	46.86
8.1443	42.742
7.9248	38.622
7.1298	28.838
6.4991	22.272
6.0328	17.895
5.4844	13.646
4.9634	11.329
4.4699	10.042
3.8664	7.5958
3.2631	6.4371
2.9068	4.6348
2.1663	2.5748
1.3985	0.25748
0.21937	-2.0599
-0.82266	-5.7935
-1.5905	-9.0121
-2.1663	-10.685
-2.797	-13.775
-3.0714	-15.449
-3.51	-17.509
-3.8115	-19.44
-4.1681	-21.5
-4.7165	-24.847
-5.0457	-26.263
-5.4295	-29.997
-5.7861	-32.314
-5.9505	-34.374
-6.3345	-36.176
-6.6909	-39.266
-7.0475	-42.099
-7.3215	-45.316
-7.4861	-46.606
-6.2248	-48.537
-7.1572	-49.822
-7.9797	-50.467
-8.254	-51.623
-8.3637	-53.3
-8.5832	-54.586
-8.7749	-57.419
-8.8572	-59.995
-8.9121	-62.953
-9.159	-59.35
-9.2687	-60.764
-9.5153	-60.764
-9.4605	-56.387
-9.2961	-53.042
-9.2139	-49.177
-8.9944	-46.219
-8.8024	-42.356
-8.5832	-39.652
-8.5009	-36.305
-8.2814	-31.928
-8.1168	-29.224
-7.8153	-26.778
-7.2941	-20.985
-7.2121	-18.41
-6.8006	-14.805
-6.4442	-11.973
-5.9779	-8.368
-5.4295	-5.7935
-5.0183	-3.991
-4.7988	-1.8024
-4.223	-1.0299
-3.6746	0.25748
-3.0988	2.5748
-2.3309	4.6348
-1.1791	6.5657
-0.74038	6.9522
0.41133	10.042
1.3985	13.003
2.6873	15.449
3.2906	19.054
3.8664	22.143
4.4699	25.362
4.7988	27.164
5.4569	30.512
5.7587	32.571
6.3071	35.919
6.8829	41.326
7.2121	44.671
7.6233	46.989
8.3637	53.042
8.7475	56.129
9.0493	58.834
9.6251	62.312
10.064	63.726
10.256	64.242
10.53	66.689
10.64	66.302
10.804	67.974
10.886	68.232
11.051	67.716
11.161	68.748
11.188	68.361
11.325	68.361
11.407	67.076
11.38	66.947
11.38	65.27
11.243	63.726
11.188	60.124
11.024	58.834
10.886	53.429
10.64	49.177
10.503	45.316
10.503	45.058
10.365	43.386
10.228	40.167
9.9817	38.365
9.8171	34.374
9.4879	31.542
9.1041	28.581
12.203	25.877
8.7749	23.56
8.5557	20.212
8.1168	18.796
7.733	15.964
7.541	13.518
6.9652	11.072
6.3345	8.368
5.6215	6.0511
5.128	4.7634
4.6068	4.5058
4.415	3.0898
4.031	2.7036
3.5923	0.90121
3.0988	2.3174
2.2486	1.2874
1.8099	1.0299
1.4259	1.0299
-0.13711	-2.8323
-0.13711	-2.8323
-1.1243	-6.3082
-1.7276	-9.5267
-2.5228	-11.329
-3.2631	-13.389
-4.0584	-17.251
-4.5245	-19.44
-4.936	-22.659
-5.0731	-22.659
-5.5118	-25.491
-5.8956	-27.164
-6.3894	-29.868
-6.8829	-35.018
-7.1572	-35.275
-7.6233	-39.781
-8.0345	-40.425
-8.5009	-45.187
-8.8024	-46.477
-9.2413	-49.693
-9.8171	-52.397
-10.119	-54.199
-10.448	-55.876
-10.886	-56.516
-11.243	-57.548
-11.49	-57.806
-11.709	-54.844
-11.517	-54.457
-11.407	-49.306
-11.27	-48.408
-11.216	-44.8
-10.804	-40.94
-10.64	-36.305
-10.448	-32.314
-10.283	-29.224
-9.9817	-26.135
-9.6525	-21.371
-9.5976	-20.084
-9.1316	-15.578
-8.6378	-11.072
-7.8976	-5.9221
-7.3215	-2.7036
-6.7457	0
-5.6764	3.6047
-4.936	4.6348
-4.4699	6.0511
-3.6472	6.9522
-3.2357	6.4371
-2.7148	6.0511
-2.2212	6.5657
-1.6453	7.3383
-0.65811	8.368
0.521	10.428
1.3985	13.003
2.468	16.221
3.0988	18.153
4.3876	20.341
5.0183	23.302
5.4295	24.589
5.923	26.778
6.1425	28.066
6.9652	31.799
7.4861	34.631
8.3637	40.296
8.967	43.901
9.1864	44.287
9.3233	45.961
10.201	50.209
10.338	52.655
10.53	53.3
10.832	53.429
10.941	55.102
11.243	56.774
11.599	55.876
11.49	55.618
11.49	53.558
11.325	49.822
11.216	47.634
11.078	46.735
10.886	42.871
10.667	41.326
10.694	37.85
10.42	34.889
10.283	33.602
9.8445	25.748
9.4605	21.242
9.1864	20.599
8.7475	18.281
8.446	16.994
8.446	15.835
8.1717	13.003
8.0345	11.201
7.733	10.17
7.4313	7.8534
7.1846	6.1796
6.8555	7.5958
6.3619	6.4371
5.649	5.1494
5.2375	3.8622
4.8811	3.991
4.3602	2.8323
3.8938	1.9311
3.6472	1.0299
3.0439	0.51494
2.5228	0.51494
2.0841	-0.77244
1.7276	-0.38622
1.0146	-1.4162
-0.79522	-5.0209
-0.79522	-5.0209
-1.4259	-5.1494
-1.9195	-6.3082
-2.7696	-7.2093
-3.51	-8.497
-4.223	-9.9133
-4.8537	-13.26
-4.8811	-13.131
-5.3472	-13.518
-5.7861	-15.835
-6.3619	-18.153
-6.9652	-20.341
-7.3215	-21.5
-7.7605	-26.392
-8.1717	-27.679
-8.5009	-30.125
-8.9395	-32.057
-9.1316	-33.602
-9.5702	-36.82
-9.7897	-38.751
-10.228	-41.841
-10.64	-43.514
-10.722	-44.416
-10.941	-44.929
-11.106	-46.606
-11.325	-47.376
-11.545	-48.666
-11.517	-44.671
-11.353	-44.029
-11.133	-37.721
-11.106	-35.275
-10.804	-31.542
-10.503	-27.164
-10.283	-23.817
-9.9543	-19.826
-9.6251	-15.578
-9.3782	-13.26
-8.8298	-10.299
-8.7201	-8.7546
-8.3363	-7.5958
-8.1991	-5.6645
-7.8976	-4.6348
-7.733	-2.961
-7.4038	-1.9311
-6.3619	0.51494
-5.9779	1.8024
-4.8811	3.0898
-3.7295	5.0209
-2.7696	7.3383
-2.3034	8.8831
-1.6727	8.7546
-1.1517	8.7546
-0.32906	8.6256
0.3839	9.0121
0.43876	9.3982
0.71298	10.042
1.042	9.0121
1.4808	10.428
2.3034	10.685
2.8519	11.587
3.2083	13.389
3.6746	13.389
4.2779	15.449
4.9085	16.736
5.21	17.123
5.4569	19.311
5.9779	20.341
6.4442	22.015
7.1298	24.203
7.5959	26.907
8.1717	29.868
8.5557	32.443
9.1041	34.503
9.5153	37.721
9.9817	40.167
10.256	43
10.722	44.929
11.106	46.86
11.572	48.795
11.874	49.822
12.312	52.397
12.587	52.526
12.669	53.171
12.916	53.171
13.053	53.941
13.355	53.812
13.355	51.881
13.355	49.564
13.217	45.703
13.108	44.671
12.971	39.652
12.724	34.76
12.367	31.284
11.956	24.847
11.49	20.856
10.722	13.389
9.7622	7.8534
9.5428	6.6947
9.1316	6.0511
8.5557	3.476
7.7605	2.4461
7.0475	0.64371
6.4442	0.25748
5.4569	-0.77244
4.8263	-1.8024
3.9487	-1.0299
3.126	-1.4162
2.5502	-1.5449
1.8921	-1.5449
1.4259	-1.5449
0.71298	-2.4461
-0.2468	-4.5058
-0.90493	-5.2784
-1.5905	-5.536
-2.0292	-7.0808
-2.6599	-7.5958
-3.2357	-9.1406
-4.223	-10.943
-4.6068	-11.973
-4.936	-13.775
-5.4295	-14.29
-6.2522	-17.251
-6.6909	-19.182
-7.4313	-22.015
-7.6782	-24.203
-8.062	-24.461
-8.2814	-26.392
-8.6378	-27.036
-8.8847	-29.61
-9.0767	-29.868
-9.3233	-31.284
-9.6251	-32.057
-10.173	-35.661
-10.53	-37.206
-10.914	-39.266
-11.188	-39.91
-11.435	-42.227
-11.709	-42.871
-11.983	-44.542
-12.258	-44.8
-12.532	-45.961
