"Wight and Sozen, 1973, Spec. WS25033E"	
-10.878	-48.127
-10.473	-45.814
-10.018	-43.856
-9.7145	-41.543
-9.2593	-39.408
-8.8544	-37.274
-8.4496	-34.427
-8.0955	-32.114
-7.792	-30.157
-7.3871	-28.2
-7.1341	-26.065
-6.8811	-24.375
-6.0211	-18.503
-5.5656	-15.39
-5.0597	-12.276
-4.6043	-10.141
-4.1488	-7.8285
-3.4912	-4.8038
-2.9347	-2.4908
-2.4792	-0.35584
-1.8215	2.3129
-1.1637	6.4051
-0.70836	9.2518
-0.30358	11.654
0.050597	13.966
0.75895	17.258
1.3661	20.282
1.7709	22.862
2.1251	25.086
2.378	28.2
2.7323	31.136
3.2888	34.872
3.7948	37.807
4.3513	40.921
4.7562	44.034
5.2621	47.683
5.7681	50.618
6.8306	55.155
7.286	57.468
7.6401	59.336
8.1966	61.293
8.7025	62.895
9.1074	64.407
9.6134	66.186
10.271	68.321
11.03	70.634
11.688	72.68
12.346	74.548
12.801	75.705
13.003	76.15
13.307	76.328
13.307	75.794
13.256	74.015
13.105	72.502
12.902	71.079
12.649	68.588
12.346	66.186
12.093	63.962
11.789	61.827
11.435	59.603
11.03	57.468
10.777	54.71
10.625	52.931
10.473	50.707
10.271	48.928
10.018	46.615
9.6134	44.301
9.2593	42.166
8.8544	39.675
8.5509	37.451
8.0449	34.249
7.7414	32.114
6.9825	27.844
6.527	25.442
6.1222	23.485
5.7175	21.172
5.3632	19.215
4.9078	16.902
4.4018	14.767
3.9972	12.899
3.3899	10.23
2.9853	8.0954
2.6817	6.4941
2.2769	3.9142
1.9733	2.046
1.5179	0.44479
0.96134	-1.2454
0.45537	-3.1136
-0.20239	-5.5155
-0.80955	-8.0954
-1.2649	-10.052
-1.6697	-12.01
-2.0745	-14.5
-2.5298	-16.902
-2.9853	-20.46
-3.2888	-22.506
-3.6937	-24.908
-4.1488	-27.043
-4.5032	-29.001
-4.9586	-31.047
-5.4138	-33.449
-5.8692	-35.495
-6.2741	-37.451
-6.6787	-39.23
-7.0836	-41.277
-7.539	-43.501
-8.0955	-46.17
-8.399	-47.772
-8.7533	-49.818
-9.2085	-52.397
-9.6639	-54.71
-10.069	-56.845
-10.423	-58.714
-10.777	-60.493
-11.081	-62.183
-11.587	-63.962
-12.194	-66.008
-12.852	-68.054
-13.256	-69.389
-13.611	-70.278
-13.864	-70.545
-13.56	-68.855
-13.459	-67.61
-13.054	-65.03
-12.902	-62.539
-12.75	-60.671
-12.295	-58.002
-11.941	-55.511
-11.485	-52.575
-10.979	-49.462
-10.524	-46.348
-9.8664	-42.7
-9.2593	-38.697
-8.6015	-34.783
-8.0449	-31.225
-7.539	-28.378
-6.9825	-24.73
-6.3246	-20.638
-5.4646	-16.012
-5.0597	-13.788
-4.4526	-10.319
-3.8959	-7.5616
-3.5923	-5.5155
-3.0358	-2.4908
-2.1757	1.6012
-1.4673	5.1597
-1.0119	8.1843
-0.45537	11.387
0.050597	14.411
0.65776	17.792
1.2649	20.994
1.7203	24.464
2.1757	28.378
2.7828	31.847
3.1877	35.317
3.5418	37.451
4.7562	42.967
5.4138	45.725
5.9197	47.772
6.5776	50.084
7.286	52.308
7.9436	54.177
9.158	57.824
9.8158	60.048
10.423	62.183
11.03	64.229
11.789	66.72
12.295	68.766
12.852	70.812
13.307	72.413
13.864	74.193
14.42	75.883
14.825	76.772
14.268	69.478
13.762	66.987
13.408	64.852
13.105	62.539
12.902	61.471
12.649	59.87
12.346	58.358
12.093	56.934
11.536	53.109
11.182	51.152
10.878	49.017
10.575	47.594
10.271	46.081
10.018	44.747
9.6639	42.967
9.3604	41.277
9.0569	39.586
8.905	38.252
8.652	35.584
8.4496	33.626
8.0449	31.313
7.7414	29.623
7.286	26.865
6.5776	23.93
6.0211	21.617
5.6162	19.749
5.1102	17.614
4.6043	15.479
4.1996	13.966
3.5923	11.298
2.8334	8.1843
2.1757	4.27
1.7709	1.6902
1.2649	-0.35584
0.70836	-3.0246
0.35418	-5.6934
-0.050597	-8.0064
-0.45537	-10.586
-1.1637	-14.767
-1.7709	-18.058
-3.7948	-26.243
-4.2502	-29.178
-4.9078	-32.025
-5.4138	-34.605
-5.8692	-37.096
-6.3246	-39.586
-7.1846	-43.501
-7.9436	-47.06
-8.5004	-49.907
-9.2593	-53.554
-9.7145	-56.045
-10.423	-59.158
-11.03	-61.56
-11.84	-64.763
-12.902	-69.033
-13.611	-71.791
-14.268	-74.193
-15.331	-76.595
-16.09	-77.84
-18.215	-79.441
-19.884	-80.331
-21.2	-80.865
-23.477	-81.398
-25.502	-82.021
-27.374	-82.377
-29.246	-82.555
-30.358	-82.644
-31.067	-82.644
-30.762	-80.509
-29.599	-74.815
-29.296	-74.015
-28.486	-69.567
-28.13	-67.61
-27.828	-65.83
-27.323	-63.517
-26.967	-61.827
-26.513	-59.514
-26.109	-57.735
-25.603	-55.333
-25.096	-52.753
-24.539	-50.351
-24.135	-48.661
-23.578	-45.903
-22.971	-43.145
-22.566	-41.099
-22.161	-38.964
-21.706	-36.829
-21.251	-34.783
-20.694	-32.381
-20.137	-29.801
-19.53	-27.488
-18.974	-24.908
-18.518	-22.684
-18.063	-20.371
-17.608	-17.969
-16.95	-15.212
-16.242	-12.632
-15.685	-10.319
-15.027	-7.6506
-14.37	-5.1597
-13.712	-2.8467
-13.003	-0.44479
-12.244	1.3344
-11.232	3.2915
-10.17	5.0707
-9.0569	6.672
-8.0955	8.0064
-6.78	10.319
-5.7681	12.365
-4.8572	14.589
-3.8453	17.169
-3.1369	18.859
-2.0745	21.706
-0.96134	24.641
0	27.488
0.91074	30.246
1.9733	33.537
2.7828	36.117
3.5418	38.43
4.4526	42.255
5.0597	44.658
6.4765	50.796
7.033	52.575
7.4884	54.088
8.2979	56.756
9.2593	59.425
10.069	62.005
10.828	64.14
12.093	67.61
13.307	70.812
14.066	72.591
14.774	74.282
15.23	75.26
15.989	76.861
17.456	79.174
18.619	80.598
19.783	81.576
21.149	82.466
23.578	84.601
24.894	85.668
25.552	86.024
27.018	86.736
28.031	87.181
29.246	87.537
30.864	87.892
31.219	87.537
30.914	85.313
30.612	83.356
30.358	81.132
29.347	75.26
28.89	72.502
28.486	70.1
28.031	68.143
27.424	64.852
26.614	60.938
26.007	58.714
25.298	55.689
23.932	50.885
23.325	48.75
22.667	46.348
21.605	42.789
20.34	38.964
19.429	36.028
18.366	32.737
17.709	29.801
16.899	26.777
15.533	20.905
15.027	18.592
14.572	16.546
14.015	14.055
13.459	11.031
13.054	8.6291
12.396	6.4051
11.587	4.9818
11.384	4.7149
9.7145	2.224
8.3485	0.08896
7.1846	-1.4233
6.3246	-2.6688
5.0597	-4.8038
3.7948	-7.1168
2.2769	-9.6966
1.1131	-11.921
-0.15179	-13.877
-0.96134	-15.034
-2.378	-17.881
-3.1877	-20.016
-3.9972	-21.884
-4.7562	-23.663
-5.5656	-25.709
-6.0716	-26.954
-6.6787	-28.467
-7.3871	-29.979
-8.0955	-31.669
-8.9555	-33.804
-9.9169	-36.206
-10.929	-38.519
-12.093	-41.01
-12.852	-43.056
-13.611	-45.014
-14.167	-46.526
-14.876	-48.038
-16.09	-50.707
-17.253	-52.842
-18.012	-54.71
-18.771	-56.312
-19.935	-58.803
-20.896	-60.938
-21.757	-63.073
-22.414	-64.585
-23.275	-66.453
-23.932	-67.521
-25.045	-69.122
-26.36	-70.901
-27.424	-72.502
-28.283	-73.837
-29.144	-74.993
-29.853	-75.972
-30.358	-76.595
-30.813	-77.128
-30.864	-77.217
-30.358	-74.548
-30.005	-73.303
-29.548	-71.079
-28.89	-67.788
-28.334	-65.297
-27.93	-63.162
-27.523	-61.027
-27.069	-58.447
-26.817	-56.756
-26.513	-54.355
-26.109	-51.864
-25.603	-49.106
-25.147	-47.149
-24.691	-44.658
-24.084	-42.255
-23.477	-39.23
-23.022	-37.007
-22.769	-35.85
-21.959	-32.737
-21.504	-31.047
-21.048	-29.089
-20.492	-26.688
-19.733	-23.129
-19.075	-20.282
-18.366	-17.525
-17.81	-15.123
-17.152	-12.632
-16.646	-10.675
-15.837	-8.0064
-15.179	-6.1382
-14.117	-3.5584
-13.358	-1.6902
-12.599	0
-11.738	1.9571
-10.625	4.0031
-9.6134	5.6934
-8.2979	7.4726
-6.9317	9.1629
-5.6667	10.586
-4.8572	11.654
-3.2888	13.699
-2.1251	15.123
-0.80955	16.902
0.30358	18.592
1.5179	20.727
2.5298	22.684
3.4912	24.641
4.4526	26.865
5.3127	28.734
6.2235	30.78
7.1846	33.182
7.9944	35.584
8.9555	38.163
9.7653	40.565
10.473	43.056
11.283	45.459
12.093	47.949
12.801	49.996
13.813	52.664
15.027	55.956
15.938	58.447
16.95	60.76
17.81	62.717
18.721	64.852
19.378	66.453
20.441	68.766
21.402	70.901
22.566	73.125
23.578	74.815
25.147	77.306
26.007	78.641
27.323	80.42
28.031	81.22
29.195	82.466
31.27	84.512
31.318	83.711
31.067	81.398
30.104	76.506
29.853	75.171
29.144	71.346
28.89	69.745
28.537	67.788
28.031	65.475
27.424	62.628
26.967	60.226
26.36	57.646
25.702	54.71
24.995	51.864
24.236	49.017
23.426	46.081
22.87	44.123
22.263	41.632
21.605	39.319
21.048	37.184
20.492	34.694
19.834	32.203
19.227	29.89
18.569	27.488
17.962	24.997
17.405	22.773
16.495	19.571
15.685	16.724
14.977	14.5
14.167	11.832
13.307	9.2518
12.396	7.2058
11.435	5.3376
10.473	3.9142
9.4615	2.4019
8.3485	0.8896
7.2354	-0.53376
5.6667	-2.7577
3.9467	-5.4266
2.4286	-7.4726
1.2143	-9.4298
-0.15179	-11.565
-1.2649	-13.255
-2.6817	-15.568
-3.9972	-17.614
-5.2116	-20.016
-6.5776	-22.684
-7.3871	-24.641
-8.5004	-27.577
-9.3604	-29.712
-10.22	-32.203
-11.131	-34.338
-12.093	-36.829
-13.054	-39.142
-14.319	-42.255
-15.381	-44.569
-16.747	-47.683
-17.81	-49.818
-18.872	-52.042
-20.39	-55.511
-21.251	-57.201
-21.858	-58.269
-23.022	-60.137
-24.286	-62.005
-25.298	-63.606
-26.36	-65.119
-27.424	-66.72
-28.232	-68.054
-29.446	-69.745
-30.307	-70.812
-30.762	-71.524
-30.813	-71.524
-30.46	-69.567
-30.206	-67.521
-29.7	-64.763
-29.296	-62.361
-28.839	-59.959
-28.334	-57.023
-27.777	-53.821
-27.221	-50.707
-26.767	-48.305
-26.21	-45.37
-25.552	-42.7
-24.894	-40.031
-24.084	-36.651
-23.376	-33.271
-22.667	-29.801
-22.01	-26.599
-21.402	-24.197
-20.593	-20.994
-19.581	-17.969
-18.67	-15.123
-17.759	-12.454
-16.95	-9.9635
-15.736	-6.672
-14.876	-4.27
-13.712	-1.6012
-11.991	1.7792
-11.03	3.6473
-10.018	5.2486
-8.7533	6.8499
-7.3871	8.1843
-5.8692	9.6077
-4.3513	10.942
-2.9347	12.988
-2.1757	14.233
-1.3661	15.479
-0.30358	17.08
0.75895	18.592
1.9733	20.46
3.4407	23.307
4.4018	25.264
5.9705	27.933
6.8306	30.335
7.539	32.292
8.2979	34.427
9.1074	36.651
9.8158	38.697
10.473	41.01
11.182	43.056
12.194	45.725
13.054	47.86
14.066	50.173
15.078	52.664
16.039	55.066
16.899	57.201
17.759	59.247
18.872	62.005
19.783	63.873
20.795	65.919
21.959	67.699
23.022	69.3
24.185	71.257
25.197	73.214
26.159	74.904
26.817	75.972
27.424	76.772
28.031	77.751
28.788	78.996
29.042	79.263
29.649	79.886
30.307	80.687
31.219	81.843
31.471	82.199
31.318	80.954
30.762	78.73
30.104	75.972
29.7	73.748
29.395	71.791
28.941	69.656
28.486	67.254
28.13	65.03
27.727	63.073
27.424	61.293
26.665	58.358
26.109	56.223
25.552	53.91
25.045	51.775
24.641	50.173
24.033	47.86
23.325	45.192
22.769	43.501
22.212	41.632
21.757	39.942
21.301	38.43
20.846	36.295
19.986	32.915
19.429	30.691
18.771	28.467
17.911	25.442
17.051	21.884
16.343	19.393
15.381	15.923
14.673	13.61
13.864	11.12
13.003	8.6291
11.232	4.8928
8.905	2.224
8.0955	1.4233
7.0836	0.08896
5.2621	-3.0246
2.8839	-6.2272
2.1251	-7.3837
1.3155	-8.3622
0.45537	-9.5187
-0.35418	-10.497
-1.5685	-12.01
-2.7828	-13.521
-3.7948	-14.856
-4.5537	-16.012
-5.2621	-16.991
-5.9705	-18.058
-6.8306	-19.66
-8.5509	-23.04
-9.3099	-24.819
-10.018	-26.51
-10.777	-28.289
-11.688	-30.335
-11.738	-30.513
-11.941	-31.402
-12.447	-32.737
-13.307	-34.872
-13.965	-36.384
-15.078	-38.875
-15.887	-40.654
-16.849	-42.7
-18.872	-46.971
-19.682	-48.839
-20.39	-50.529
-21.2	-52.22
-22.01	-53.554
-22.92	-55.155
-23.882	-56.756
-24.641	-58.091
-25.451	-59.425
-26.411	-61.027
-27.424	-62.361
-28.486	-63.695
-29.347	-64.852
-30.155	-65.83
-30.711	-66.453
-30.965	-66.631
-30.965	-66.631
-30.711	-65.119
-30.46	-63.695
-30.206	-61.56
-29.954	-59.87
-29.599	-57.735
-29.195	-55.422
-28.788	-52.931
-28.283	-50.084
-27.828	-47.683
-27.374	-45.725
-26.513	-42.611
-25.753	-39.675
-25.147	-37.184
-24.539	-34.783
-22.516	-27.399
-21.959	-25.264
-21.352	-22.951
-20.795	-20.905
-20.239	-18.859
-19.631	-16.724
-18.822	-14.144
-18.114	-12.276
-17.405	-10.497
-16.596	-8.6291
-15.837	-6.8499
-15.027	-4.7149
-14.167	-2.4908
-13.256	-0.17792
-12.295	1.6902
-11.283	3.5584
-9.9169	5.5155
-7.7414	7.9174
-6.2741	9.4298
-5.0597	10.497
-3.5923	12.365
-3.0864	13.255
-2.4792	14.233
-0.86015	16.546
0.35418	18.503
1.4673	20.371
2.3275	21.795
4.0983	24.553
5.3127	26.332
6.3246	28.2
7.286	30.424
8.5004	33.36
9.2593	35.406
10.018	37.54
10.625	39.586
11.688	42.433
12.7	45.548
13.509	47.594
14.724	50.529
15.736	52.931
17	55.511
18.114	57.913
19.328	60.137
20.239	62.094
20.998	63.517
22.06	65.475
23.426	67.699
24.388	69.211
25.451	70.901
26.716	72.769
27.727	74.193
29.042	75.527
29.853	76.239
30.46	76.684
30.813	77.128
30.914	75.972
30.762	74.282
30.409	72.769
29.954	70.367
29.246	66.631
28.537	64.852
28.181	63.34
27.981	62.005
27.625	60.582
27.221	58.892
26.866	56.934
26.309	54.621
25.753	52.22
25.298	50.351
24.843	48.394
24.236	46.17
23.629	43.767
23.022	40.921
22.718	39.586
22.263	37.451
21.807	35.584
20.998	32.292
20.441	30.157
19.935	28.289
19.429	26.599
18.974	25.175
18.417	23.307
17.861	21.528
17.253	19.482
16.495	16.991
15.533	14.411
14.876	12.632
14.066	10.497
13.256	8.5402
12.346	6.761
11.536	5.6045
9.7145	3.2915
8.3485	1.6012
7.5895	0.62272
7.4376	0.44479
4.3007	-4.181
2.8839	-5.6045
1.7709	-7.1168
1.0625	-8.0064
-0.35418	-9.8746
-2.6309	-12.632
-4.0983	-14.322
-5.1102	-15.568
-5.3632	-16.012
-5.4646	-16.19
-6.9825	-18.147
-8.0449	-20.016
-8.9555	-21.706
-9.9675	-24.464
-11.03	-26.51
-12.7	-29.445
-13.712	-31.669
-14.977	-34.16
-16.242	-36.651
-17.405	-38.519
-18.721	-40.921
-20.188	-43.412
-21.453	-45.814
-22.667	-48.305
-23.477	-50.173
-24.691	-52.575
-25.702	-53.821
-26.716	-55.333
-27.828	-56.756
-28.839	-58.18
-29.954	-59.336
-30.561	-60.137
-31.318	-61.116
-31.318	-61.027
-30.813	-58.358
-30.256	-55.333
-29.853	-53.198
-29.395	-50.618
-28.839	-47.772
-28.181	-44.569
-27.523	-41.632
-26.665	-38.163
-25.603	-34.338
-24.742	-31.313
-24.033	-29.178
-23.477	-26.954
-22.819	-24.73
-22.161	-22.417
-21.453	-20.105
-20.542	-17.347
-19.884	-15.39
-18.569	-12.099
-17.81	-10.052
-17.152	-8.1843
-16.393	-6.583
-14.724	-3.3804
-13.408	-0.8896
-12.548	0.8896
-11.485	2.8467
-10.473	4.7149
-9.6134	5.9603
-8.7533	6.761
-8.0955	7.3837
-6.78	9.0739
-4.9586	11.298
-3.4407	13.077
-1.6697	15.123
0.20239	17.258
1.5685	18.77
3.0358	20.727
5.0091	24.108
6.0716	26.332
7.2354	29.089
8.2474	31.225
9.411	33.626
10.524	36.384
11.435	38.341
12.295	40.476
13.206	42.611
14.167	44.836
15.432	47.772
16.292	49.996
17.456	53.02
18.518	55.778
19.631	58.18
20.694	60.582
21.908	62.806
23.275	65.119
24.792	67.521
26.259	69.567
27.574	71.168
29.246	72.502
30.612	73.303
31.168	73.659
30.864	71.88
30.46	70.012
29.954	67.965
29.347	64.763
28.788	61.827
28.031	58.625
26.614	52.22
26.058	49.284
25.502	46.526
24.843	43.501
24.388	41.01
23.73	37.54
23.072	34.783
22.313	31.669
21.504	29.001
20.441	25.442
19.227	21.439
18.114	18.058
17.152	15.479
15.483	12.099
13.155	7.2058
11.941	5.1597
11.03	3.9142
9.5123	1.9571
6.8306	-0.8896
5.4646	-2.135
3.7948	-3.8252
2.6309	-5.2486
-0.15179	-7.6506
-0.91074	-8.3622
-2.4792	-9.9635
-3.8453	-11.476
-5.3632	-13.344
-6.2235	-14.411
-7.3365	-15.745
-8.399	-17.347
-9.3604	-18.592
-10.676	-20.816
-11.89	-22.862
-13.307	-25.709
-14.572	-28.022
-16.191	-31.136
-19.277	-36.829
-20.188	-38.697
-21.149	-40.387
-22.111	-41.899
-23.224	-43.945
-24.084	-45.281
-25.096	-46.971
-26.259	-48.839
-27.17	-50.351
-28.232	-51.953
-29.599	-53.643
-30.711	-55.333
-31.168	-55.956
-31.016	-54.799
-30.307	-51.508
-29.7	-48.572
-28.992	-44.658
-28.334	-41.632
-27.523	-38.163
-26.563	-34.516
-25.451	-30.424
-24.337	-27.132
-23.426	-24.019
-22.465	-21.528
-21.2	-18.058
-20.036	-15.034
-18.822	-11.476
-16.849	-6.8499
-15.837	-4.8038
-14.774	-2.7577
-13.459	-0.17792
-12.194	2.135
-10.828	4.537
-9.7145	6.1382
-7.9944	8.0064
-5.1608	10.764
-3.3899	12.454
-0.60716	15.034
0.60716	16.19
2.0239	17.703
4.2502	20.016
5.8692	22.24
7.5895	24.73
9.411	27.933
11.131	32.203
12.649	35.673
13.864	38.786
15.28	41.988
16.495	44.836
17.608	47.238
19.378	50.974
20.998	54.444
22.516	57.646
24.033	60.493
25.349	62.539
26.916	64.674
28.181	66.275
29.548	67.788
30.612	68.855
31.572	69.567
31.369	67.965
30.813	66.097
30.053	63.34
29.599	60.493
28.788	56.934
28.082	53.732
27.221	49.818
26.563	46.793
25.651	43.145
24.894	40.209
23.983	36.295
23.072	32.381
22.212	29.089
21.2	25.086
20.087	21.617
18.67	17.614
17.557	14.767
16.343	12.188
14.724	8.896
13.459	6.672
10.372	2.8467
9.3604	1.6012
8.1966	0.44479
6.6787	-0.8896
4.8572	-2.4019
3.1369	-3.6473
1.6697	-4.7149
0.15179	-5.9603
-1.1131	-7.0278
-2.7828	-8.6291
-4.1996	-9.9635
-5.6667	-11.476
-6.9825	-12.632
-8.2474	-13.877
-9.7145	-15.123
-10.726	-16.279
-11.789	-17.436
-12.75	-18.503
-13.661	-19.927
-14.926	-21.706
-17.253	-25.62
-18.316	-27.577
-19.48	-29.445
-20.542	-31.313
-21.554	-33.004
-22.667	-34.783
-24.185	-37.629
-25.552	-39.586
-27.069	-41.632
-28.181	-43.145
-29.347	-44.569
-30.358	-45.636
-31.471	-46.704
-32.837	-47.416
-34.051	-47.683
-35.065	-46.704
-36.177	-45.636
-37.188	-44.658
-37.795	-43.767
-38.758	-41.543
-39.616	-39.23
-40.223	-37.896
-40.78	-36.384
-41.288	-34.783
-41.742	-33.182
-42.146	-31.491
-42.804	-29.001
-43.21	-27.132
-43.564	-25.175
-43.767	-24.019
-43.967	-23.307
