"Mugaruma et al. 1989, Spec. BL2"	
18.48	118.06
17.43	89.576
16.32	61.321
15.02	31.437
13.48	1.6727
11.6	-29.515
9.45	-61.964
7.11	-95.11
4.74	-128.98
2.37	-163.24
1.23	-176.06
0.97	-175.42
1.23	-156.66
1.82	-126.48
2.57	-99.008
3.55	-70.481
4.46	-42.681
5.54	-13.658
6.56	15.105
7.85	44.649
9.44	77.694
11.38	109.47
13.83	144.26
16	170.15
18.22	190.75
20	197.91
20.1	194.96
19.6	165.54
18.7	137.44
17.83	109.69
16.77	80.88
15.66	52.176
14.36	22.264
13	-7.0286
11.27	-38.282
9.15	-71.221
6.9	-105.29
5.23	-128.07
4.51	-137.52
4.22	-141.9
4.41	-118.13
5.2	-90.694
6.09	-62.763
6.99	-34.127
7.98	-5.518
9.08	22.73
10.26	51.675
11.68	82.7
13.4	113.48
15.08	139.61
17.13	167.32
19.08	186.45
21.2	197.27
23.36	201.64
25.14	201.2
25.91	183.35
25.34	152.87
24.46	124.8
23.45	96.669
22.4	68.004
21.19	38.854
19.64	9.0299
17.77	-22.279
15.36	-55.41
12.28	-91.065
8.79	-129.62
7.37	-141.79
7.34	-137.85
8.02	-112.49
8.19	-95.871
9	-68.471
9.99	-39.85
11.14	-11.001
12.24	17.042
13.55	46.821
15.17	78.196
17.19	110.59
19.96	145.11
25.12	185.97
27.99	190.41
30.28	187.91
31.2	169.1
31.11	157.83
30.44	131.04
29.47	102.84
28.42	74.18
27.27	44.915
