"Aboutaha et al 1999, Test ORC3"	
2.78388432	49.03404032
2.75485809	48.4445024
2.27854991	37.32719344
1.82841472	29.62930227
1.52930006	24.17171747
1.36042849	20.17959299
1.21769333	17.26551248
1.08534689	15.09258442
1.00035326	12.83543347
0.31127751	0.909598208
-0.9679068	-17.45079392
-1.944227	-31.07790912
-2.0142777	-31.7180208
-2.4781121	-39.63488256
-2.653879	-42.4310288
-3.030653	-48.5623744
-3.0937535	-48.9836
-3.1186279	-48.899088
-3.1135067	-48.899088
-3.1082026	-48.865728
-3.1206398	-48.7309536
-3.1436852	-48.663344
-3.1328941	-48.629984
-3.1372837	-48.5961792
-3.1317967	-48.6130816
-3.1328941	-48.5623744
-3.1217372	-48.4952096
-2.6280901	-36.67024608
-1.8829555	-25.3845136
-1.3611418	-18.42779712
-1.1080082	-14.469344
-0.9128539	-12.1448192
-0.7970782	-10.5277488
-0.6970319	-9.11284
-0.5223624	-7.24307872
-0.1375408	-1.8023296
0.86120294	15.41262691
1.39144833	24.72757958
1.42416914	25.01393738
2.35150872	43.15535446
2.42554664	44.99138656
2.73881776	50.3142192
2.74706655	50.56691008
2.77962275	50.3816064
2.76182658	50.36474848
2.75997929	50.21316064
2.75127325	50.09524416
2.76537484	50.04471488
2.74079308	50.02785696
2.77748282	49.96051424
2.75196827	49.96051424
2.77633055	49.90998496
2.76102182	49.8594112
2.4645775	41.28562877
1.88626599	32.22334029
1.57098297	25.82246813
1.38641858	21.30816624
1.24434186	18.00666493
1.0339337	15.61476182
1.00518182	13.82925456
0.93346673	12.36378979
0.76541821	8.658023104
-0.3513509	-7.46205376
-1.6653045	-26.96786816
-2.1382839	-33.40243392
-2.1560252	-33.63826688
-3.05443	-48.663344
-3.2387932	-50.7690272
-3.2578148	-50.8197344
-3.2435486	-50.7521248
-3.2369642	-50.7018624
-3.2494014	-50.6342528
-3.2669598	-50.6173504
-3.2618386	-50.5501856
-3.2534252	-50.4994784
-3.2545226	-50.5501856
-3.2484869	-50.4656736
-3.2627531	-50.3985088
-3.2640334	-50.3816064
-3.2742758	-49.8763136
-2.4204986	-32.71183744
-1.7108466	-22.89154304
-1.309564	-16.7938688
-1.0611858	-13.49238528
-0.9033431	-11.53842336
-0.7820804	-10.02241152
-0.6774616	-8.92753632
-0.6257009	-8.0684496
-0.5051698	-6.83884448
-0.323733	-4.17742816
-0.1315051	-1.49915392
-0.0764522	-0.65692512
-0.043896	-0.23583296
0.26714374	4.497457312
1.25061533	21.67874246
1.77442264	33.03187104
3.03641435	56.17610496
3.22959333	60.01659712
3.29701027	62.69487136
3.44872582	66.82172576
3.44978664	66.55222144
3.43619717	66.36696224
3.44541533	66.16480064
3.433033	65.99635488
3.45880361	65.92901216
3.43921502	65.74370848
3.41485274	65.71003712
3.42326614	65.65946336
3.42829589	65.57526272
3.42738139	65.47420416
3.42710704	64.36247104
3.40942061	64.34561312
3.4160233	64.31194176
3.42178465	64.29508384
3.42910065	63.9413344
3.00204744	49.3541184
2.4186696	38.75896906
1.95693855	30.79156912
1.62532256	25.04762653
1.42890625	21.00496832
1.3181603	17.98982035
1.20503665	15.80004771
1.12432288	14.13245248
1.04351766	12.86912262
0.94085589	11.63948192
0.84285807	8.944376448
-0.1269326	-5.6260528
-1.401014	-23.80115904
-2.337462	-36.21548256
-2.3449609	-36.6197168
-3.2945777	-53.329296
-3.985391	-67.7314752
-4.0327621	-67.8662496
-4.0561733	-67.7648352
-4.0755607	-67.680768
-4.0943994	-67.5967008
-4.0971429	-67.5121888
-4.0792187	-67.4112192
-4.0916559	-67.3609568
-4.0836083	-67.2595424
-4.0779384	-67.1923776
-4.0790358	-67.1754752
