"Zahn et al. 86, Specimen 7"	
-42.001	49.026
-36.822	51.953
-31.874	53.781
-24.741	55.609
-14.845	57.441
-7.7099	58.905
-7.0195	49.026
-4.9482	50.489
-7.1346	41.708
-8.8605	34.025
-11.622	21.586
