"Bayrak and Sheikh 1996, ES8-HT"	
5.989707697	163.2415966
6.118632363	165.1365546
6.292673767	166.8592437
6.450352477	168.3235294
6.626792294	170.1323529
6.83235429	171.855042
6.944304124	173.4915966
7.186159607	174.8697479
7.266778048	176.3340336
7.452696817	177.9705882
7.822483086	176.2478992
7.945818195	172.8886555
8.319598515	171.2521008
8.427690113	166.8592437
9.201151544	168.5819328
9.32313729	166.5147059
9.149176561	164.6197479
9.152290189	162.8109244
9.010590779	161.1743697
9.008268582	159.1071429
8.878244622	157.2983193
8.792135391	155.7478992
8.668795996	153.4222689
8.595768542	151.9579832
8.469010584	149.7184874
8.336151882	147.1344538
8.254007021	145.6701681
8.223211319	143.8613445
8.011042494	141.7079832
7.958259376	140.0714286
7.854765408	137.9180672
7.688483845	136.1092437
7.543295088	133.697479
7.489804086	131.9747899
7.338012601	129.8214286
7.264662678	128.3571429
7.194461692	126.4621849
7.106442571	125.342437
6.991940648	123.2752101
6.890599661	120.9495798
6.808688381	119.0546218
6.724862443	117.0735294
6.632293485	115.092437
6.586914312	112.6806723
6.452736026	110.9579832
6.40348637	109.0630252
6.294875005	107.2542017
6.261419828	105.2731092
6.187216089	103.2920168
6.072673125	101.2247899
6.017083775	99.41596639
5.934456124	97.5210084
5.940783756	95.62605042
5.84329088	93.47268908
5.764992122	91.66386555
5.756918504	89.5105042
5.666899632	87.78781513
5.673840002	85.87563025
5.620537956	84.25630252
5.556993116	82.25798319
5.465578429	80.29411765
5.391627185	78.86428571
5.310274599	76.50420168
5.2578692	74.50588235
5.219561408	72.63676471
5.159067532	70.70735294
5.033100422	68.74348739
5.01693284	66.51260504
4.947979223	64.40231092
4.850183397	62.66239496
4.866955576	60.54348739
4.768652826	58.63130252
4.695086091	56.36596639
4.635298596	54.22983193
4.581509234	52.42962185
4.478554295	50.43991597
4.47685567	48.69138655
4.36751598	46.56386555
4.376625444	44.64306723
4.27444538	42.56722689
4.196583679	40.60336134
4.142929705	38.58781513
4.11871397	36.66701681
4.06598992	34.59978992
3.985643104	32.52394958
3.982234013	30.50840336
3.932704718	28.62205882
3.885434899	26.88214286
3.840417887	24.95273109
3.809031982	23.02418067
3.677289712	21.34972689
3.595749342	19.34796218
3.522556767	17.63733193
3.436310885	15.73634454
3.338323653	13.8577521
3.221580008	12.10147059
3.102968686	10.1289916
3.020425505	8.475210084
2.846265575	6.364915966
2.691617333	4.194327731
2.589453867	2.428571429
2.473189446	0.688655462
2.316739624	-1.731722689
2.168741099	-3.652521008
2.092278696	-5.616386555
1.985061143	-7.175420168
1.886547832	-8.708613445
1.781674796	-10.71554622
1.671182487	-12.91197479
1.554166439	-14.64327731
1.421101369	-16.85693277
1.264503554	-18.95
1.18148012	-20.80189076
1.063353492	-22.34369748
0.996159328	-24.13529412
0.858159636	-26.18529412
0.768131286	-28.07163866
0.567411266	-30.30252101
0.434300277	-32.1802521
0.36572752	-34.08382353
0.243468351	-35.87542017
0.134557905	-38.15798319
-0.037348187	-40.01848739
-0.139552582	-42.03403361
-0.168791983	-43.91176471
-0.370115296	-45.92731092
-0.534455557	-47.52079832
-0.549030454	-49.16596639
-0.685210782	-51.57773109
-0.821411321	-53.55882353
-0.903821227	-55.28151261
-1.025348935	-57.3487395
-1.133589748	-59.15756303
-1.238425017	-60.8802521
-1.414220937	-62.60294118
-1.418836374	-64.49789916
-1.541218517	-65.96218487
-1.600968	-67.5987395
-1.771899702	-69.57983193
-1.893031777	-71.21638655
-1.974630496	-73.19747899
-2.06997384	-74.92016807
-2.124661378	-76.38445378
-2.253482109	-77.93487395
-2.351260685	-79.65756303
-2.435519811	-81.03571429
-2.547650017	-82.5
-2.694204218	-84.39495798
-2.741322546	-86.20378151
-2.951679378	-88.0987395
-2.953253185	-89.73529412
-3.067029311	-91.37184874
-3.183325252	-93.09453782
-3.349269101	-95.33403361
-3.473984206	-97.57352941
-3.553758584	-99.6407563
-3.726400269	-101.6218487
-3.858306702	-103.6029412
-3.887880613	-105.1533613
-3.98981613	-106.7037815
-4.232301374	-108.512605
-4.329717361	-110.3214286
-4.449456718	-112.2163866
-4.622975819	-113.7668067
-4.695943345	-115.5756303
-4.822705836	-117.3844538
-4.999223324	-118.9348739
-5.041291252	-120.7436975
-5.190207328	-122.4663866
-5.360637697	-124.1890756
-5.549140933	-125.5672269
-5.584779013	-127.5483193
-5.780879202	-129.2710084
-5.822737962	-131.2521008
-6.064654824	-133.0609244
-6.22869705	-134.9558824
-6.191513202	-134.9558824
-6.363609958	-136.2478992
-6.420207025	-137.9705882
-6.588303735	-139.4348739
-6.736936185	-141.4159664
-6.921889483	-143.052521
-7.073974235	-144.6029412
-7.12122116	-146.4978992
-7.285890378	-147.9621849
-7.360788958	-149.7710084
-7.636358571	-151.407563
-7.696581899	-153.0441176
-7.853316727	-154.7668067
-8.049740483	-156.5756303
-8.128941332	-158.2121849
-8.264769374	-159.6764706
-8.378844672	-161.2268908
-8.508485126	-162.6911765
-8.752551735	-164.4138655
-8.891165592	-165.8781513
-8.956470878	-167.342437
-9.266883668	-169.3235294
-9.431341479	-166.8256303
-9.605372592	-165.2752101
-9.653792929	-163.3802521
-9.774037416	-161.4852941
-9.854190945	-159.9348739
-9.821271353	-158.3844538
-9.685841029	-156.3172269
-9.714521227	-154.4222689
-9.620730777	-152.355042
-9.431599828	-150.2016807
-9.399418782	-148.3928571
-9.327173424	-146.842437
-9.23541258	-145.1197479
-9.114886412	-143.3970588
-9.055247744	-141.7605042
-8.865065954	-140.1239496
-8.874828113	-138.3151261
-8.788877887	-136.3340336
-8.675133601	-134.4390756
-8.558999349	-132.9747899
-8.432990672	-131.1659664
-8.360932248	-129.5294118
-8.249340298	-127.9789916
-8.116919357	-125.8256303
-7.955368118	-124.2752101
-7.953470239	-122.2941176
-7.888986546	-120.657563
-7.742455361	-119.0210084
-7.583918878	-116.9537815
-7.42751408	-114.8865546
-7.345487571	-113.25
-7.278799882	-111.4411765
-7.132842782	-109.460084
-7.024419605	-107.5651261
-6.912049903	-105.9285714
-6.831287273	-104.2058824
-6.736793794	-102.1386555
-6.571589189	-100.0714286
-6.526631105	-97.83193277
-6.367059395	-96.19537815
-6.31399842	-94.64495798
-6.151430466	-92.92226891
-6.045777088	-91.28571429
-5.904749151	-89.21848739
-5.930726349	-87.58193277
-5.823251387	-85.60084034
-5.611941601	-83.6197479
-5.521221223	-82.15546218
-5.427531992	-80.08823529
-5.348774945	-78.19327731
-5.250224399	-76.38445378
-5.163432908	-74.31722689
-4.99487855	-72.50840336
-4.901272017	-70.95798319
-4.789907824	-69.23529412
-4.669884055	-67.16806723
-4.508406908	-65.18697479
-4.460750895	-63.55042017
-4.32692913	-61.74159664
-4.197436588	-59.93277311
-4.04689095	-57.95168067
-3.981983034	-56.2289916
-3.911003664	-54.33403361
-3.686408693	-52.35294118
-3.664572613	-50.54411765
-3.604678878	-48.90756303
-3.438741971	-47.01260504
-3.367930874	-44.78172269
-3.228715626	-42.85231092
-3.109095273	-41.14684874
-2.980213803	-39.17436975
-2.842511817	-37.08130252
-2.762758122	-35.47920168
-2.59550059	-33.26554622
-2.52303825	-31.62037815
-2.396374076	-29.42394958
-2.23540425	-27.77016807
-2.147853053	-26.10777311
-2.084549471	-24.44537815
-1.941372641	-22.71407563
-1.805719527	-20.92247899
-1.727094943	-19.16533613
-1.613133317	-16.57268908
-1.450385544	-14.7552521
-1.340254107	-12.87752101
-1.26066204	-10.97394958
-1.138023252	-9.096218487
-0.983278424	-7.166806723
-0.879357622	-5.469957983
-0.802188613	-3.575
-0.643968502	-1.688655462
-0.538906036	0.094327731
-0.517163578	1.66197479
-0.325939014	3.867016807
-0.177204465	5.744747899
-0.089811206	7.450210084
0.05251476	9.198739496
0.163448486	11.10231092
0.289334214	13.00588235
0.452761102	14.98697479
0.582434084	16.88968487
0.752205849	18.93796218
0.92911304	20.89838235
1.092279964	22.69945378
1.250465914	24.80113445
1.36491391	26.81581933
1.582301184	29.20777311
1.729346896	31.05105042
1.848801168	32.60147059
1.951026946	33.72121849
2.07759778	36.0210084
2.174693227	37.95042017
2.278222717	40.18991597
2.40572557	42.4552521
