"Pujol 2002, No. 10-3-1.5N"	
20547	
20.08983382	99.23658933
20.09798263	99.28116589
19.86043616	95.91589003
19.95821171	95.91589003
19.9004486	95.87132194
20.0195104	95.89360175
19.89001423	95.87132194
19.69099012	90.61168643
19.63246601	90.63397471
19.75970855	90.63397471
19.65316875	90.67854278
19.73036669	90.61168643
19.65590247	91.70372735
19.7035466	91.72601563
19.5992068	91.68143907
19.76048487	91.70372735
19.6143259	91.65915079
19.70748821	91.81516026
19.61764824	91.83744854
19.73940802	91.83744854
19.60907041	91.85973682
19.71880615	91.85973682
19.31918869	83.27940199
19.25265749	83.27940199
19.28589117	83.27940199
19.32473657	83.27940199
19.29613018	83.27940199
19.09627867	79.31238497
19.02868004	79.29009668
19.05300262	79.31238497
19.08855888	79.33467325
19.04435839	79.33467325
18.65658493	71.75723468
18.64078399	71.7349464
18.69211948	71.7349464
18.66510658	71.75723468
18.73144114	71.75723468
18.42854711	68.39195882
18.52541099	68.4142471
18.44586749	68.4142471
18.52482747	68.43653536
18.37697158	68.43653536
18.35837436	69.75144213
18.49897523	69.77373041
18.40451181	69.79601444
18.45973273	69.77373041
18.41217543	69.79601444
18.39708186	70.01888029
18.48059252	70.01888029
18.43479726	69.99659625
18.44803429	70.04116857
18.44061966	70.01888029
18.20438195	64.4472343
18.15634456	64.29122905
18.15569464	64.31351734
18.18292588	64.33580137
18.17394967	64.35808965
18.06253488	62.53059062
18.00633591	62.57516294
18.05335949	62.55287466
18.06163343	62.57516294
18.00625674	62.55287466
17.62247341	56.80293514
17.78671121	56.80293514
17.67090918	56.82522342
17.74712779	56.78065111
17.6471931	56.82522342
17.18347172	49.04720732
17.16035703	49.06949135
17.24917041	49.11406367
17.18223701	49.09177963
17.24718875	49.11406367
16.78618067	47.93287812
16.90469343	47.91058984
16.83567494	47.95516215
16.94381335	47.93287812
16.82709583	47.97745043
16.89171559	48.11507018
16.82477964	48.0927819
16.90901554	48.0927819
16.83977616	48.0927819
16.8945936	48.04820958
16.91101125	47.84763202
16.84263118	47.84763202
16.86383061	47.82534374
16.88709342	47.84763202
16.84077338	47.82534374
16.89475192	48.22316028
16.78839344	48.24544431
16.90045558	48.26773259
16.84467413	48.22316028
16.90051304	48.24544431
16.33386022	36.90157478
16.23951683	36.90157478
16.32619916	36.90157478
16.21058228	36.90157478
16.32717595	36.8792865
16.2706003	38.21648152
16.19926179	38.2387698
16.27086461	38.21648152
16.20230068	38.2387698
16.28005915	38.2387698
15.98035085	32.57797705
15.84863553	32.62254937
15.92982871	32.62254937
15.87708742	32.57797705
15.9843895	32.60026322
15.41344649	26.33773354
15.47014344	26.3600197
15.40110324	26.3600197
15.51678524	26.3600197
15.39428745	26.33773354
15.05596485	21.7244115
14.96326986	21.7244115
15.04338156	21.65755091
15.03902753	21.67983708
15.04592248	21.7244115
14.99778549	23.0170321
15.08040874	23.10617886
14.94904838	23.06160655
15.03508847	23.10617886
14.97800846	23.10617886
15.06163531	23.6410573
14.96307578	23.66334347
15.01349577	23.68562963
14.94869597	23.70791578
15.06773479	23.68562963
14.66208935	17.13337457
14.58217046	17.17794796
14.67010665	17.17794796
14.59680691	17.11108736
14.6629691	17.17794796
14.25218947	12.8766364
14.22370565	12.85435023
14.21545342	12.8766364
14.22590693	12.89892361
14.23084832	12.8766364
13.5540716	5.566637064
13.52578824	5.544350917
13.45007654	5.544350917
13.50718719	5.611210446
13.5351309	5.611210446
13.48396396	7.193558017
13.46632565	7.193558017
13.44486319	7.215844697
13.4983642	7.193558017
13.46672147	7.193558017
13.10909938	2.713954532
13.05461776	2.758527648
13.08695765	2.691667852
13.04239709	2.758527648
13.07700593	2.736240967
13.10301012	3.516271391
13.01772082	3.516271391
13.0948945	3.538558093
13.02921624	3.516271391
13.10234999	3.516271391
13.08065898	4.384333965
13.01494369	4.428907081
13.05868195	4.428907081
13.02366453	4.428907081
13.07254336	4.406620668
13.04854382	5.877535038
12.98628239	5.832961656
13.05843807	5.855248358
12.96248586	5.810675509
13.04817353	5.810675509
12.85912284	2.445401226
12.9890659	2.423114523
12.91726262	2.445401226
12.95484267	2.423114523
12.81504877	2.423114523
12.93917581	3.091712057
12.87731658	3.047138942
12.97571268	3.091712057
12.85163671	3.091712057
12.9607136	3.091712057
12.69558731	3.297305947
12.76348345	3.252732564
12.76645722	3.252732564
12.75694474	3.252732564
12.76183888	3.275019267
12.68793264	1.536665669
12.68363989	1.536665669
12.704372	1.5143791
12.69685011	1.536665669
12.62920168	1.536665669
12.57274606	2.85157428
12.61986412	2.873860693
12.67160437	2.896147395
12.62302431	2.85157428
12.6149636	2.85157428
12.63976373	2.628708435
12.60838275	2.628708435
12.60148524	2.584135052
12.65000401	2.628708435
12.61208177	2.628708435
12.21666767	-2.118334144
12.21109808	-2.185193806
12.21295461	-2.162907259
12.21109808	-2.185193806
12.21295461	-2.162907259
11.63004375	-9.16089492
11.64502622	-9.138607684
11.7328309	-9.138607684
11.67925073	-9.138607684
11.69096066	-9.16089492
11.61132778	-8.046286793
11.71329776	-8.001713411
11.64225803	-8.068573473
11.55647459	-8.024000091
11.69392038	-8.068573473
11.67875532	-7.645128486
11.63886929	-7.667414655
11.62360973	-7.667414655
11.70858237	-7.689701335
11.58532359	-7.622841806
11.40256518	-10.78753641
11.29735202	-10.8321098
11.39404353	-10.78753641
11.40689113	-10.8321098
11.34459012	-10.8321098
11.12800941	-12.88247574
11.09062727	-12.90476188
11.06771943	-12.9270491
11.11472896	-12.88247574
11.1476779	-12.8601885
10.56631776	-16.11403041
10.65037044	-16.13631655
10.61157292	-16.11403041
10.54107968	-16.11403041
10.5980952	-16.11403041
10.3941744	-17.8523848
10.35843364	-17.8523848
10.35260166	-17.83009652
10.37542842	-17.87467095
10.34061082	-17.87467095
10.26708891	-16.40375578
10.31348365	-16.42604195
10.36290067	-16.42604195
10.278848	-16.40375578
10.36027357	-16.44832916
10.33172208	-15.69058489
10.26572269	-15.69058489
10.32516549	-15.66829872
10.2924949	-15.7128721
10.27013163	-15.66829872
9.952774792	-19.83588908
9.906347495	-19.7690306
9.999597272	-19.81360291
9.891580164	-19.81360291
9.858464596	-19.79131677
9.68379627	-21.41823823
9.653736826	-21.41823823
9.713443293	-21.39594995
9.637451967	-21.3736638
9.595597684	-21.41823823
9.672302127	-20.21476229
9.648733516	-20.23704843
9.666373744	-20.23704843
9.619249928	-20.21476229
9.626321086	-20.21476229
9.1947187	-24.09262832
9.23784472	-24.07034004
9.217578025	-24.09262832
9.142461337	-24.09262832
9.285544391	-24.07034004
8.763505752	-26.65558548
8.777326303	-26.67787163
8.75549356	-26.6332972
8.781408371	-26.65558548
8.750289786	-26.65558548
8.774212082	-24.71665138
8.743641263	-24.73893755
8.716934809	-24.71665138
8.685800264	-24.69436524
8.760223626	-24.73893755
8.732397381	-24.62750464
8.699067942	-24.5829323
8.777041567	-24.60521847
8.706498531	-24.62750464
8.676636998	-24.62750464
7.730595744	-30.91232259
7.714476236	-30.91232259
7.743740845	-30.91232259
7.750400859	-30.89003642
7.733469279	-30.86774814
7.739660054	-29.26311495
7.694175067	-29.21854262
7.730512749	-29.21854262
7.669995486	-29.21854262
7.708178845	-29.21854262
7.783925017	-29.17396819
7.67807152	-29.15168202
7.723559699	-29.19625434
7.697891958	-29.15168202
7.672869022	-29.17396819
7.146773851	-34.90162153
7.10991011	-34.90162153
7.117110868	-34.90162153
7.040061038	-34.87933325
