"Saatcioglu and Ozcebe 1989, Spec. U1"	
-14.6	-155.1
-15.4	-161.6
-16.2	-168.1
-16.9	-174.3
-17.7	-180.6
-18.4	-186.8
-19.2	-193.1
-20	-199.1
-20.6	-205.3
-21.4	-211.3
-22.1	-217.8
-23.1	-224.1
-23.3	-217.6
-23.3	-207.3
-23.2	-199.1
-23	-190.1
-22.5	-181.6
-22.2	-174.3
-21.9	-166.6
-21.5	-159.3
-21.2	-153.1
-20.8	-146.3
-20.5	-139.8
-20.1	-133.3
-19.8	-126.8
-19.4	-119.8
-18.9	-113.3
-18.5	-106.8
-18.2	-101.3
-17.8	-94.83
-17.4	-88.75
-17	-82.48
-17	-82.48
-8.66	-1.802
-8.19	4.348
-7.26	10.4
-6.32	16.05
-5.26	21.87
-4.28	27.95
-3.19	33.92
-2.15	39.92
-0.92	46.2
-0.153	49.42
-0.145	48.85
-0.153	47.37
-0.134	46.92
1.13	58.7
3.27	70.57
5.24	82.65
6.99	94.87
8.7	107.2
10.3	119.4
11.9	131.7
13.3	143.9
14.8	156.4
16.3	168.7
17.5	180.7
18.8	192.7
20.1	204.7
21.5	216.9
22.7	228.9
24.3	240.2
26.4	246.2
28.5	252.2
30.5	256.2
32.5	258.7
32.5	258.7
34.5	262.4
36.7	265.9
38.8	268.7
41	271.7
43.1	274.2
45.2	276.2
46.7	267.2
46.7	263.4
46.7	261.2
46.8	260.2
46.4	248.4
46	236.2
45.4	223.7
44.9	211.2
44.3	199.2
43.7	186.9
43	174.7
42.3	162.4
41.5	150.2
40.8	137.9
40	125.7
39.2	113.2
38.3	100.4
37.4	87.62
36.4	75.47
35.4	63.15
34.3	51.12
33.2	39.37
32	27.75
30.7	16.25
29.1	4.973
27.3	-6.33
25.2	-14.28
25.2	-14.28
22.4	-24.88
20.3	-33.35
18.1	-41.78
15.9	-50.08
15	-53.53
12.8	-61.73
10.9	-70.13
8.64	-80.18
6.49	-89.9
4.34	-99.83
2.23	-109.6
0.135	-117.8
-1.99	-127.3
-4.41	-135.8
-6.88	-147.6
-9.02	-156.6
-11.3	-165.3
-13.6	-175.3
-15.9	-183.8
-18.1	-191.3
-20.1	-196.3
-22.7	-202.1
-25	-207.8
-27.1	-212.8
-29.2	-218.1
-30.9	-221.8
-32.7	-223.3
-36	-235.1
-36.8	-229.1
-38.7	-243.8
-40.7	-247.1
-42.8	-249.6
-45.2	-251.3
-45.2	-251.3
-47.4	-250.1
-47.3	-246.6
-47.4	-235.3
-47.2	-222.3
-46.4	-203.3
-45.5	-184.1
-44.4	-167.1
-43.4	-151.3
-42.3	-136.1
-41.2	-122.1
-40.2	-108.6
-39	-95.08
-38	-82.53
-36.7	-69.3
-35.5	-56.5
-34	-43.73
-32.3	-31.28
-30.5	-18.8
-28.5	-6.652
-26.3	3.171
-24.1	9.731
-21.9	14.9
-19.6	20.1
-17.5	26.02
-15.3	31.95
-12.9	38.9
-10.6	45.9
-8.4	53.2
-6.21	60.22
-3.97	67.57
-1.84	75.25
0.3	82.92
2.38	90.42
2.38	90.42
7.78	111.2
9.87	119.4
12	127.9
14.2	136.4
16.3	144.9
18.6	153.4
20.9	161.9
23.1	170.4
25.4	178.4
27.6	186.2
29.9	193.9
32.2	201.7
34.3	207.7
36.3	213.9
38.5	220.2
40.7	226.4
42.8	232.2
45.1	237.2
45	225.2
44.3	212.2
43.7	199.4
43.1	186.4
42.3	173.9
41.5	161.2
40.8	148.4
40	136.2
39.2	123.7
38.3	111.2
37.2	98.67
36.2	86.72
35.1	74.37
34	62.3
32.8	50
32.8	50
30.1	28.85
28.4	16.92
26.3	6.598
24	-0.3595
21.8	-4.757
19.6	-9.192
17.4	-14.23
15.3	-19.9
13.1	-26.33
11.1	-32.7
9.01	-39.88
6.92	-47.23
4.85	-54.6
2.79	-62.4
0.7	-71.9
-1.38	-81.63
-3.48	-92
-5.72	-102.3
-7.76	-111.6
-9.92	-121.1
-12.2	-130.3
-14.4	-139.6
-16.7	-148.3
-18.9	-157.1
-21	-164.8
-23.3	-172.3
-25.5	-180.1
-27.6	-187.1
-29.9	-194.3
