"Pujol 2002, No. 10-3-3N"	
0.61	26.939
0.63	26.916
0.67	26.961
0.65	26.916
0.66	29.346
0.69	29.390
0.69	29.368
0.72	29.390
0.73	29.390
0.72	29.412
0.72	29.390
0.69	29.390
0.67	29.368
0.74	29.390
0.66	29.346
0.74	29.368
0.78	29.323
0.69	29.346
0.76	29.323
0.70	29.368
0.76	29.390
0.77	29.368
0.68	29.390
0.75	29.346
0.77	29.346
0.79	29.368
0.70	29.323
0.78	29.368
0.79	29.301
0.80	31.507
0.80	31.507
0.77	31.507
0.79	31.485
0.79	31.485
0.78	31.463
0.87	31.441
0.88	31.441
0.75	31.463
0.84	31.418
0.91	31.441
0.85	31.463
0.78	31.418
0.85	31.441
0.82	31.418
0.90	33.669
0.93	33.714
0.83	33.714
0.92	33.691
0.95	33.669
0.97	33.714
0.86	33.669
0.96	33.691
0.94	33.691
0.88	33.691
0.95	35.809
1.00	35.831
0.98	35.809
0.96	35.831
1.02	35.809
0.99	35.831
1.01	35.809
1.02	35.764
0.97	35.786
1.02	35.809
1.05	35.809
1.01	35.764
0.98	35.809
1.02	35.809
1.00	35.831
1.08	38.528
1.10	38.505
1.14	38.550
1.09	38.550
1.09	38.572
1.14	38.617
1.13	38.595
1.09	38.595
1.16	38.550
1.16	38.572
1.21	38.595
1.16	38.595
1.22	38.595
1.16	38.595
1.16	38.595
1.22	40.444
1.25	40.467
1.21	40.489
1.21	40.467
1.23	40.489
1.24	40.489
1.30	40.467
1.28	40.467
1.23	40.444
1.27	40.467
1.33	42.495
1.33	42.450
1.31	42.472
1.34	42.495
1.31	42.495
1.38	42.472
1.37	42.450
1.41	42.495
1.43	42.472
1.37	42.472
1.44	44.545
1.45	44.567
1.52	44.567
1.44	44.590
1.41	44.545
1.45	44.590
1.53	44.567
1.53	44.567
1.44	44.567
1.52	44.590
1.67	44.567
1.63	44.500
1.58	44.523
1.64	44.545
1.58	44.545
1.63	44.523
1.63	44.523
1.66	44.500
1.64	44.523
1.56	44.523
1.61	44.545
1.68	44.545
1.59	44.545
1.61	44.523
1.68	44.523
1.66	47.286
1.71	47.264
1.70	47.286
1.69	47.264
1.71	47.309
1.75	47.286
1.72	47.286
1.74	47.264
1.74	47.264
1.75	47.286
1.83	49.404
1.88	49.448
1.76	49.404
1.83	49.470
1.84	49.426
1.94	49.404
1.91	49.381
1.89	49.381
1.89	49.448
1.90	49.426
1.94	49.404
1.93	49.426
1.85	49.426
1.92	49.404
1.92	49.404
1.92	49.448
1.88	49.381
1.93	49.404
1.91	49.404
1.90	49.470
2.13	54.173
2.17	54.128
2.12	54.151
2.12	54.151
2.10	54.151
2.11	54.128
2.18	54.151
2.17	54.151
2.17	54.151
2.15	54.106
2.17	54.151
2.22	54.151
2.20	54.128
2.23	54.151
2.16	54.173
2.30	54.217
2.29	54.195
2.23	54.262
2.27	54.217
2.27	54.217
2.29	54.195
2.19	54.195
2.28	54.262
2.33	54.240
2.22	54.195
2.27	54.240
2.40	54.240
2.35	54.240
2.25	54.240
2.37	54.240
2.60	58.274
2.55	58.274
2.47	58.318
2.54	58.274
2.51	58.274
2.67	58.251
2.70	58.251
2.68	58.251
2.66	58.251
2.68	58.296
2.86	62.352
2.79	62.352
2.85	62.374
2.86	62.374
2.80	62.397
3.20	67.188
3.23	67.188
3.20	67.233
3.24	67.210
3.20	67.233
3.35	67.188
3.43	67.210
3.40	67.166
3.35	67.210
3.44	67.210
3.47	67.233
3.46	67.188
3.44	67.210
3.48	67.210
3.45	67.166
3.47	67.233
3.56	67.210
3.48	67.188
3.43	67.210
3.54	67.166
3.59	66.787
3.49	66.787
3.58	66.742
3.57	66.765
3.52	66.787
3.57	65.072
3.59	65.117
3.56	65.072
3.58	65.094
3.59	65.072
3.60	64.805
3.64	64.805
3.55	64.805
3.55	64.760
3.60	64.805
3.55	64.782
3.59	64.760
3.59	64.738
3.51	64.738
3.61	64.738
3.86	72.315
3.79	72.315
3.84	72.315
3.83	72.315
3.82	72.315
3.83	71.736
3.89	71.713
3.90	71.736
3.78	71.736
3.85	71.758
4.24	78.021
4.25	77.954
4.21	77.954
4.26	77.931
4.21	77.931
4.28	75.903
4.28	75.903
4.30	75.881
4.25	75.881
4.32	75.948
4.70	83.570
4.69	83.548
4.72	83.525
4.68	83.503
4.69	83.525
4.78	82.188
4.75	82.166
4.78	82.188
4.71	82.166
4.73	82.121
5.17	88.696
5.17	88.674
5.16	88.651
5.21	88.651
5.23	88.629
5.18	85.865
5.30	85.865
5.30	85.843
5.20	85.843
5.28	85.843
5.34	83.904
5.23	83.927
5.28	83.927
5.37	83.904
5.28	83.904
5.22	83.860
5.30	83.904
5.35	83.927
5.27	83.882
5.32	83.904
5.88	94.535
5.77	94.535
5.79	94.513
5.83	94.468
5.80	94.468
6.32	99.705
6.23	99.705
6.25	99.705
6.31	99.683
6.21	99.683
6.32	96.518
6.30	96.518
6.36	96.518
6.39	96.496
6.34	96.496
6.71	102.826
6.74	102.848
6.78	102.803
6.71	102.781
6.67	102.781
7.02	105.010
7.00	104.965
6.97	104.965
6.98	104.943
7.01	104.898
7.00	103.739
7.00	103.762
7.01	103.717
7.01	103.717
6.99	103.762
7.04	102.246
7.01	102.224
7.09	102.202
7.03	102.246
6.97	102.224
7.06	102.001
7.13	101.956
7.03	102.001
7.03	102.001
7.08	102.001
7.08	100.508
7.06	100.485
7.12	100.508
7.09	100.485
7.04	100.508
7.14	100.040
7.07	100.017
7.06	100.040
7.14	100.017
7.11	100.040
7.17	97.160
7.14	97.160
7.11	97.182
7.20	97.137
7.15	97.137
7.68	105.740
7.54	105.696
7.57	105.629
7.64	105.651
7.58	105.629
7.58	102.665
7.67	102.642
7.73	102.642
7.63	102.665
7.61	102.642
8.21	105.696
8.16	105.696
8.18	105.696
8.17	105.651
8.12	105.696
8.17	103.712
8.22	103.690
8.25	103.667
8.18	103.690
8.22	103.690
8.20	103.199
8.27	103.222
8.26	103.177
8.14	103.199
8.27	103.222
8.50	107.322
8.48	107.300
8.55	107.300
8.52	107.300
8.45	107.256
8.56	104.381
8.64	104.336
8.60	104.358
8.55	104.358
8.59	104.381
9.15	106.609
9.08	106.587
9.08	106.565
9.10	106.565
9.10	106.565
9.77	110.287
9.79	110.220
9.73	110.175
9.79	110.108
9.79	110.019
9.89	105.517
9.84	105.495
9.91	105.517
9.92	105.495
9.84	105.495
10.31	109.930
10.34	109.796
10.33	109.685
10.37	109.573
10.37	109.507
10.60	109.507
10.52	109.507
10.48	109.440
10.59	109.484
10.63	109.373
10.64	106.253
10.59	106.230
10.59	106.208
10.65	106.208
10.64	106.230
10.65	104.898
10.74	104.854
10.69	104.876
10.62	104.854
10.64	104.876
11.01	108.687
11.06	108.687
11.03	108.598
10.97	108.643
11.00	108.598
11.16	106.347
11.10	106.347
10.99	106.325
11.08	106.303
11.12	106.347
11.03	105.322
11.12	105.344
11.16	105.300
11.10	105.322
11.07	105.322
11.52	109.668
11.58	109.646
11.55	109.646
11.47	109.623
11.53	109.601
11.97	110.582
11.98	110.559
11.97	110.559
11.96	110.582
11.97	110.537
12.15	107.149
12.13	107.172
11.98	107.149
12.06	107.149
12.10	107.127
12.13	106.459
12.10	106.459
12.04	106.414
12.09	106.459
12.10	106.414
12.43	108.776
12.47	108.732
12.48	108.754
12.41	108.732
12.36	108.732
12.99	110.960
12.92	110.871
13.03	110.894
13.03	110.827
12.91	110.827
13.08	106.993
13.14	106.971
13.10	106.993
13.07	106.927
13.07	106.971
13.37	109.556
13.43	109.579
13.48	109.534
13.45	109.512
13.43	109.579
13.80	111.005
13.76	110.960
13.74	110.938
13.84	110.894
13.83	110.894
13.90	107.573
13.92	107.573
13.81	107.595
13.85	107.573
13.90	107.595
13.93	106.102
13.87	106.169
13.91	106.191
13.92	106.147
13.86	106.124
13.97	103.024
13.93	103.024
13.96	103.024
14.01	103.046
14.01	103.046
14.18	107.638
14.15	107.660
14.11	107.660
14.12	107.638
14.20	107.638
14.64	111.293
14.68	111.226
14.63	111.248
14.63	111.226
14.66	111.159
14.77	107.080
14.72	107.058
14.68	107.058
14.81	107.058
14.80	107.103
15.24	109.822
15.29	109.799
15.28	109.822
15.19	109.777
15.32	109.777
15.67	111.203
15.67	111.226
15.75	111.203
15.72	111.159
15.64	111.181
15.92	111.047
15.95	111.025
15.91	111.047
15.91	111.003
15.90	111.025
15.95	108.640
15.91	108.685
16.01	108.618
15.98	108.640
15.89	108.640
16.00	107.905
16.00	107.860
15.96	107.905
16.00	107.860
16.04	107.905
16.61	112.295
16.62	112.251
16.57	112.251
16.65	112.229
16.69	112.162
16.74	108.685
16.77	108.685
16.71	108.685
16.69	108.663
16.70	108.640
17.20	111.449
17.21	111.404
17.06	111.359
17.14	111.404
17.24	111.359
17.45	111.560
17.48	111.560
17.33	111.538
17.40	111.560
17.44	111.538
17.56	109.153
17.41	109.131
17.43	109.175
17.50	109.175
17.44	109.108
17.50	107.860
17.54	107.860
17.52	107.860
17.46	107.860
17.47	107.860
17.49	106.969
17.54	106.969
17.50	106.947
17.46	106.969
17.55	106.969
17.95	111.649
18.00	111.582
18.00	111.582
18.00	111.538
18.04	111.538
18.76	112.273
18.73	112.206
18.62	112.206
18.70	112.184
18.70	112.139
18.79	108.462
18.79	108.507
18.78	108.440
18.74	108.462
18.74	108.418
19.06	110.825
19.07	110.735
19.13	110.802
19.12	110.780
19.07	110.780
19.62	112.095
19.62	112.117
19.56	112.050
19.58	112.028
19.61	112.073
19.66	108.930
19.69	108.908
19.63	108.886
19.67	108.930
19.65	108.886
20.06	111.426
19.99	111.404
20.11	111.382
20.15	111.382
20.05	111.359
20.28	110.089
20.16	110.067
20.21	110.067
20.27	110.067
20.17	110.044
20.35	111.337
20.32	111.248
20.35	111.293
20.42	111.270
20.36	111.293
20.39	109.465
20.42	109.487
20.36	109.443
20.38	109.465
20.46	109.487
20.41	108.997
20.37	108.997
20.45	108.997
20.42	108.975
20.34	109.019
20.47	105.186
20.52	105.119
20.54	105.164
20.51	105.141
20.47	105.141
20.52	104.919
20.51	104.941
20.47	104.941
20.53	104.941
20.51	104.941
20.52	104.896
20.45	104.896
20.56	104.919
20.56	104.896
20.47	104.941
20.55	103.267
20.53	103.222
20.53	103.267
20.55	103.267
20.53	103.244
20.52	99.411
20.46	99.411
20.49	99.366
20.45	99.411
20.44	99.433
20.29	94.753
20.27	94.753
20.26	94.731
20.24	94.731
20.27	94.731
20.10	89.939
20.10	89.961
20.01	89.984
20.08	90.006
20.07	89.984
20.05	90.853
20.04	90.831
20.06	90.853
20.08	90.875
20.02	90.831
20.10	91.031
20.01	91.009
19.94	91.031
20.07	91.009
20.08	91.009
19.99	91.076
20.05	91.076
20.09	91.076
20.03	91.076
19.99	91.009
19.99	91.076
20.09	91.098
20.07	91.098
19.98	91.098
19.99	91.054
20.02	91.143
20.02	91.165
20.06	91.120
20.01	91.165
19.99	91.143
19.65	82.585
19.57	82.585
19.60	82.562
19.70	82.562
19.68	82.562
19.40	76.902
19.31	76.924
19.36	76.902
19.37	76.879
19.31	76.902
19.07	71.976
19.12	71.998
19.08	71.932
19.02	71.976
19.13	71.976
18.87	68.366
18.89	68.410
18.87	68.343
18.90	68.343
18.83	68.388
18.80	69.681
18.86	69.681
18.88	69.703
18.78	69.681
18.80	69.681
18.81	69.993
18.85	69.993
18.81	69.970
18.87	69.993
18.84	69.993
18.39	60.811
18.33	60.811
18.38	60.833
18.36	60.811
18.29	60.833
17.97	53.991
17.90	54.036
17.93	54.036
17.93	54.036
17.94	54.102
17.70	49.511
17.56	49.511
17.59	49.534
17.64	49.556
17.61	49.467
17.50	50.804
17.58	50.782
17.65	50.826
17.55	50.782
17.60	50.804
17.20	44.430
17.24	44.430
17.16	44.408
17.19	44.430
17.19	44.452
17.20	44.764
17.22	44.720
17.17	44.697
17.18	44.742
17.25	44.720
17.22	45.232
17.14	45.255
17.15	45.277
17.22	45.255
17.24	45.255
17.19	46.216
17.19	46.172
17.15	46.172
17.23	46.194
17.20	46.172
16.78	39.307
16.77	39.307
16.80	39.307
16.78	39.307
16.72	39.285
16.42	33.067
16.31	33.045
16.30	33.156
16.36	33.067
16.33	33.089
16.29	34.449
16.30	34.516
16.40	34.471
16.36	34.494
16.27	34.494
16.24	34.828
16.31	34.806
16.32	34.806
16.24	34.850
16.31	34.850
15.70	27.050
15.81	27.094
15.88	27.072
15.78	27.094
15.78	27.072
15.71	28.164
15.81	28.186
15.77	28.142
15.71	28.164
15.79	28.164
15.25	21.500
15.34	21.478
15.38	21.500
15.28	21.500
15.32	21.478
15.23	22.303
15.32	22.392
15.36	22.347
15.28	22.325
15.31	22.347
15.31	22.659
15.22	22.682
15.32	22.659
15.32	22.704
15.24	22.682
15.30	23.306
15.28	23.283
15.23	23.239
15.25	23.306
15.27	23.350
14.74	17.221
14.85	17.288
14.85	17.355
14.75	17.355
14.80	17.377
14.26	10.937
14.27	10.914
14.22	10.914
14.23	10.914
14.27	10.959
14.19	11.962
14.23	11.895
14.26	11.939
14.21	11.917
14.27	11.939
13.63	6.078
13.69	6.056
13.71	6.100
13.62	6.078
13.66	6.100
13.34	3.292
13.40	3.270
13.38	3.270
13.30	3.315
13.35	3.315
13.26	4.295
13.32	4.295
13.38	4.273
13.38	4.273
13.37	4.317
13.17	2.356
13.23	2.356
13.17	2.312
13.19	2.356
13.16	2.312
13.19	4.607
13.28	4.585
13.25	4.607
13.12	4.585
13.18	4.607
13.17	3.404
13.13	3.381
13.22	3.337
13.22	3.337
13.13	3.315
13.24	2.869
13.19	2.913
13.20	2.913
13.12	2.913
13.20	2.891
13.17	2.668
13.23	2.668
13.22	2.668
13.18	2.668
13.15	2.668
13.21	3.047
13.15	3.069
13.14	3.069
13.15	3.114
13.21	3.069
13.17	3.136
13.10	3.181
13.20	3.136
13.21	3.136
13.12	3.159
13.19	3.225
13.18	3.248
13.20	3.225
13.18	3.225
13.12	3.225
13.11	3.292
13.15	3.270
13.19	3.248
13.17	3.270
13.18	3.270
13.19	3.315
13.20	3.337
13.17	3.315
13.09	3.359
13.19	3.337
13.16	3.337
13.16	3.337
13.12	3.315
13.17	3.359
13.22	3.315
13.14	3.359
13.18	3.337
13.24	3.337
13.21	3.337
13.11	3.359
13.14	3.404
13.15	3.381
13.13	3.381
13.19	3.381
13.21	3.381
13.04	3.845
13.02	3.868
13.05	3.845
13.04	3.868
13.05	3.868
12.88	2.575
12.94	2.597
12.88	2.597
12.90	2.597
12.85	2.597
12.86	2.486
12.91	2.464
12.86	2.508
12.91	2.508
12.87	2.508
12.88	2.553
12.93	2.553
12.90	2.508
12.93	2.597
12.91	2.530
12.91	2.378
12.91	2.445
12.92	2.378
12.90	2.378
12.92	2.400
11.94	-8.364
11.90	-8.386
11.90	-8.364
11.90	-8.364
11.91	-8.364
11.81	-7.161
11.83	-7.138
11.78	-7.161
11.84	-7.138
11.82	-7.205
11.82	-6.648
11.83	-6.693
11.82	-6.648
11.84	-6.693
11.80	-6.670
11.91	-6.604
11.88	-6.581
11.90	-6.604
11.89	-6.604
11.90	-6.581
11.85	-6.514
11.89	-6.514
11.87	-6.537
11.87	-6.537
11.88	-6.537
11.40	-11.039
11.39	-11.061
11.40	-11.039
11.39	-10.994
11.42	-10.994
11.37	-10.036
11.33	-10.013
11.38	-9.991
11.33	-10.013
11.36	-9.991
11.07	-13.267
11.08	-13.223
11.07	-13.289
11.08	-13.223
11.07	-13.223
11.02	-11.841
11.00	-11.841
11.02	-11.863
11.01	-11.841
11.00	-11.841
10.96	-11.596
10.92	-11.596
10.97	-11.573
10.93	-11.551
10.97	-11.596
10.56	-15.006
10.63	-15.028
10.59	-15.028
10.65	-15.028
10.60	-15.006
10.68	-14.560
10.71	-14.582
10.68	-14.538
10.71	-14.582
10.68	-14.538
10.26	-16.744
10.23	-16.722
10.29	-16.722
10.22	-16.699
10.27	-16.722
10.05	-17.925
10.10	-17.925
10.08	-17.903
10.11	-17.881
10.10	-17.903
10.08	-17.301
10.09	-17.279
10.07	-17.279
10.07	-17.323
10.06	-17.256
10.04	-16.677
10.02	-16.699
10.05	-16.722
10.00	-16.655
10.05	-16.699
9.74	-20.020
9.76	-20.042
9.75	-20.042
9.74	-19.998
9.73	-20.042
9.70	-19.173
9.66	-19.129
9.71	-19.151
9.70	-19.151
9.73	-19.151
9.44	-21.290
9.45	-21.246
9.46	-21.246
9.48	-21.246
9.48	-21.246
9.44	-20.421
9.44	-20.421
9.42	-20.421
9.43	-20.399
9.41	-20.377
8.97	-24.143
8.99	-24.121
8.97	-24.098
8.97	-24.121
8.98	-24.098
8.95	-23.430
8.92	-23.408
8.94	-23.408
8.91	-23.408
8.93	-23.408
8.88	-22.004
8.91	-22.004
8.86	-22.026
8.89	-22.004
8.87	-22.026
8.95	-21.558
8.91	-21.558
8.94	-21.558
8.92	-21.513
8.97	-21.558
8.82	-21.201
8.87	-21.201
8.84	-21.224
8.88	-21.157
8.84	-21.201
8.90	-21.157
8.87	-21.157
8.89	-21.179
8.85	-21.157
8.87	-21.179
8.25	-27.486
8.31	-27.486
8.26	-27.441
8.31	-27.464
8.28	-27.441
7.51	-31.475
7.55	-31.453
7.52	-31.453
7.54	-31.453
7.47	-31.475
7.46	-29.960
7.43	-29.960
7.48	-29.960
7.43	-29.915
7.50	-29.915
6.26	-33.860
6.22	-33.771
6.23	-33.838
6.18	-33.815
6.24	-33.771
6.19	-31.631
6.22	-31.609
6.18	-31.609
6.18	-31.609
6.17	-31.631
5.42	-38.273
5.43	-38.273
5.46	-38.250
5.44	-38.228
5.47	-38.206
5.37	-36.869
5.35	-36.846
5.36	-36.891
5.34	-36.891
5.41	-36.891
4.26	-44.268
4.30	-44.246
4.26	-44.201
4.27	-44.201
4.25	-44.223
4.23	-41.281
4.25	-41.304
4.25	-41.304
4.25	-41.326
4.24	-41.281
4.19	-41.192
4.22	-41.170
4.15	-41.170
4.22	-41.170
4.14	-41.148
4.19	-41.081
4.24	-41.103
4.20	-41.125
4.24	-41.103
4.24	-41.125
3.70	-46.274
3.69	-46.274
3.70	-46.251
3.68	-46.229
3.71	-46.229
3.71	-45.783
3.69	-45.761
3.66	-45.806
3.67	-45.783
3.66	-45.783
3.65	-42.797
3.66	-42.841
3.64	-42.797
3.67	-42.819
3.65	-42.775
3.15	-48.792
3.20	-48.792
3.17	-48.770
3.19	-48.792
3.17	-48.725
3.20	-47.098
3.15	-47.121
3.20	-47.121
3.17	-47.076
3.18	-47.098
2.61	-52.269
2.65	-52.291
2.64	-52.269
2.66	-52.246
2.64	-52.269
1.80	-57.662
1.79	-57.662
1.82	-57.640
1.79	-57.640
1.81	-57.573
1.76	-55.589
1.74	-55.545
1.77	-55.612
1.75	-55.567
1.77	-55.545
1.74	-55.077
1.75	-55.077
1.74	-55.077
1.74	-55.055
1.76	-55.099
1.02	-62.142
0.96	-62.119
1.02	-62.119
0.98	-62.097
0.99	-62.097
0.25	-66.844
0.21	-66.822
0.22	-66.777
0.22	-66.733
0.24	-66.733
0.21	-65.106
0.21	-65.106
0.24	-65.128
0.23	-65.106
0.23	-65.150
0.11	-61.678
0.12	-61.678
0.08	-61.678
0.11	-61.678
0.09	-61.700
0.13	-61.544
0.11	-61.633
0.14	-61.566
0.14	-61.588
0.10	-61.544
-0.48	-70.704
-0.48	-70.681
-0.52	-70.659
-0.48	-70.681
-0.54	-70.659
-0.60	-69.054
-0.61	-69.077
-0.59	-69.054
-0.61	-69.032
-0.57	-69.032
-1.14	-74.269
-1.12	-74.269
-1.17	-74.269
-1.11	-74.269
-1.14	-74.225
-1.99	-79.462
-2.04	-79.440
-2.00	-79.418
-2.03	-79.418
-1.97	-79.418
-2.69	-83.429
-2.73	-83.474
-2.73	-83.385
-2.73	-83.452
-2.71	-83.407
-2.70	-81.089
-2.71	-81.134
-2.70	-81.134
-2.70	-81.089
-2.69	-81.134
-3.48	-88.912
-3.45	-88.889
-3.49	-88.867
-3.46	-88.823
-3.51	-88.800
-3.65	-83.741
-3.64	-83.719
-3.64	-83.764
-3.63	-83.719
-3.62	-83.719
-3.66	-83.741
-3.69	-83.741
-3.64	-83.741
-3.66	-83.764
-3.61	-83.719
-4.36	-93.726
-4.36	-93.637
-4.36	-93.659
-4.36	-93.637
-4.40	-93.592
-4.45	-90.606
-4.44	-90.583
-4.45	-90.583
-4.43	-90.628
-4.44	-90.606
-4.44	-89.491
-4.44	-89.491
-4.44	-89.469
-4.47	-89.514
-4.43	-89.491
-5.00	-95.910
-5.04	-95.887
-5.02	-95.887
-5.05	-95.843
-5.02	-95.843
-4.97	-94.706
-4.97	-94.729
-4.95	-94.706
-4.95	-94.706
-4.97	-94.684
-5.48	-98.473
-5.50	-98.450
-5.49	-98.428
-5.50	-98.406
-5.47	-98.361
-5.54	-95.999
-5.55	-96.021
-5.52	-95.999
-5.50	-95.999
-5.49	-96.021
-6.08	-100.412
-6.07	-100.389
-6.09	-100.345
-6.08	-100.322
-6.11	-100.256
-6.14	-97.247
-6.11	-97.225
-6.10	-97.247
-6.11	-97.247
-6.12	-97.225
-6.58	-100.835
-6.55	-100.835
-6.58	-100.857
-6.58	-100.791
-6.59	-100.791
-6.59	-98.005
-6.59	-97.982
-6.58	-98.005
-6.56	-98.005
-6.56	-98.005
-6.61	-97.604
-6.64	-97.581
-6.60	-97.581
-6.66	-97.604
-6.62	-97.559
-6.63	-94.120
-6.64	-94.098
-6.61	-94.098
-6.66	-94.143
-6.68	-94.098
-6.96	-100.272
-7.00	-100.272
-6.99	-100.249
-7.03	-100.272
-6.98	-100.272
-7.44	-103.191
-7.46	-103.191
-7.44	-103.146
-7.45	-103.169
-7.43	-103.102
-7.56	-100.338
-7.57	-100.361
-7.56	-100.316
-7.57	-100.338
-7.54	-100.338
-8.00	-103.258
-8.02	-103.325
-8.02	-103.258
-8.02	-103.280
-8.03	-103.280
-8.48	-104.484
-8.49	-104.439
-8.51	-104.461
-8.50	-104.417
-8.49	-104.417
-8.54	-100.539
-8.57	-100.517
-8.54	-100.539
-8.56	-100.517
-8.56	-100.494
-8.92	-104.328
-8.90	-104.305
-8.92	-104.305
-8.94	-104.283
-8.95	-104.261
-9.49	-106.200
-9.51	-106.155
-9.51	-106.111
-9.52	-106.111
-9.51	-106.111
-9.54	-103.013
-9.57	-103.057
-9.56	-103.080
-9.57	-103.035
-9.53	-103.035
-9.59	-102.366
-9.55	-102.366
-9.58	-102.366
-9.54	-102.366
-9.58	-102.411
-9.64	-101.787
-9.59	-101.809
-9.62	-101.787
-9.62	-101.787
-9.64	-101.765
-9.61	-100.717
-9.65	-100.740
-9.62	-100.695
-9.65	-100.740
-9.61	-100.695
-10.19	-106.333
-10.17	-106.311
-10.18	-106.244
-10.15	-106.267
-10.20	-106.200
-10.23	-102.678
-10.26	-102.634
-10.22	-102.656
-10.25	-102.634
-10.24	-102.612
-10.62	-106.133
-10.63	-106.111
-10.63	-106.133
-10.59	-106.066
-10.63	-106.088
-11.26	-107.559
-11.24	-107.559
-11.25	-107.515
-11.21	-107.537
-11.24	-107.492
-11.37	-104.016
-11.34	-104.038
-11.33	-103.971
-11.31	-103.971
-11.36	-103.993
-11.35	-101.943
-11.33	-101.943
-11.34	-101.943
-11.32	-101.965
-11.36	-101.965
-11.76	-106.801
-11.75	-106.801
-11.75	-106.712
-11.75	-106.735
-11.73	-106.712
-12.41	-109.164
-12.45	-109.142
-12.43	-109.097
-12.43	-109.075
-12.41	-109.030
-12.56	-104.439
-12.58	-104.439
-12.59	-104.461
-12.62	-104.395
-12.56	-104.417
-13.11	-107.849
-13.11	-107.871
-13.10	-107.849
-13.12	-107.782
-13.11	-107.827
-13.62	-108.584
-13.58	-108.584
-13.60	-108.584
-13.57	-108.562
-13.59	-108.562
-13.70	-102.032
-13.69	-102.032
-13.70	-102.010
-13.73	-102.010
-13.72	-102.010
-13.70	-102.857
-13.68	-102.879
-13.70	-102.857
-13.71	-102.901
-13.71	-102.857
-13.72	-102.567
-13.76	-102.612
-13.71	-102.500
-13.75	-102.589
-13.72	-102.567
-14.38	-109.320
-14.40	-109.298
-14.42	-109.320
-14.38	-109.320
-14.42	-109.275
-14.43	-106.111
-14.41	-106.111
-14.45	-106.133
-14.45	-106.111
-14.45	-106.133
-14.46	-105.375
-14.45	-105.397
-14.48	-105.397
-14.45	-105.397
-14.49	-105.353
-14.48	-104.060
-14.51	-104.127
-14.47	-104.083
-14.51	-104.083
-14.49	-104.105
-14.51	-102.411
-14.54	-102.411
-14.53	-102.411
-14.54	-102.456
-14.54	-102.366
-14.89	-108.651
-14.95	-108.629
-14.93	-108.629
-14.95	-108.607
-14.92	-108.607
-15.40	-110.144
-15.39	-110.122
-15.41	-110.100
-15.38	-110.122
-15.41	-110.078
-15.42	-106.801
-15.42	-106.824
-15.45	-106.846
-15.44	-106.846
-15.47	-106.801
