Galeota 1996 SpecimenBA4	
37.43	43.76045
37.03	42.63034
36.82	41.62579
36.45	39.42835
36.11	38.23545
35.92	36.79142
35.48	34.46841
35.28	33.65223
34.75	31.14086
34.54	30.13632
34.16	28.12723
33.97	27.49939
33.6	25.4903
33.37	24.23462
32.99	22.72781
32.8	21.5977
32.26	19.83974
32.13	18.8352
31.68	16.82611
31.45	16.00992
30.94	13.49856
30.78	13.12186
30.27	11.23834
30.1	10.48493
29.7	8.978112
29.37	7.53408
29.16	6.59232
28.58	5.02272
28.62	4.771584
28.09	3.1392
28.03	2.323008
27.57	1.25568
27.07	-0.125568
27.14	-0.376704
26.57	-1.757952
26.2	-3.201984
25.95	-3.704256
25.18	-5.713344
24.95	-5.96448
24.17	-7.785216
23.7	-8.47584
23.33	-9.10368
22.67	-10.29658
22.03	-11.61504
21.78	-11.86618
21.19	-11.67782
20.59	-12.68237
20.04	-13.12186
19.55	-14.25197
19.21	-14.5031
18.7	-15.44486
18.08	-15.88435
17.53	-16.8889
17.31	-17.2656
16.71	-17.95622
16.12	-19.14912
15.6	-19.46304
15.39	-19.96531
14.72	-20.84429
14.13	-20.4048
13.58	-21.40934
13	-22.3511
12.64	-21.53491
11.84	-23.544
10.97	-24.92525
10.88	-25.30195
10.23	-25.74144
9.71	-26.99712
9.270001	-27.8761
8.96	-27.68774
8.34	-29.25734
7.6	-30.95251
7.33	-31.51757
6.61	-33.02438
6.28	-33.90336
5.85	-35.41018
5.39	-36.60307
5.07	-36.4775
4.37	-39.17722
4.09	-40.24454
3.37	-42.25363
3.24	-42.19085
2.71	-43.63488
2.39	-45.76954
1.98	-46.58573
1.61	-48.2809
1.27	-48.97152
0.53	-50.35277
0.37	-51.29453
-0.02	-53.30362
-0.29	-54.11981
-0.72	-54.43373
-1.24	-56.25446
-1.52	-57.38457
-1.9	-59.01696
-2.44	-60.46099
-2.54	-61.2144
-3.04	-62.34451
-3.31	-62.97235
-3.7	-64.3536
-4.13	-65.73485
-4.45	-66.7394
-4.93	-68.37177
-5.17	-68.93683
-5.91	-69.87859
-6.37	-71.44819
-6.54	-72.07603
-7.04	-73.14336
-7.52	-74.65018
-7.82	-74.21069
-8.439999	-76.09421
-8.99	-77.2871
-9.29	-77.66381
-10.05	-78.41721
-10.57	-79.35898
-10.76	-80.0496
-11.27	-80.67744
-11.93	-80.55187
-12.43	-80.99136
-13.01	-81.74477
-13.8	-81.43085
-14.45	-82.18426
-14.95	-81.9959
-15.69	-81.17971
-16.28	-80.86579
-16.84	-81.17971
-17.49	-79.48454
-18.24	-79.86124
-18.83	-79.61012
-19.54	-78.04051
-20.13	-78.41721
-20.79	-78.04051
-21.22	-76.59648
-21.58	-76.47091
-22.12	-76.40813
-22.87	-76.59648
-23.51	-74.5246
-24.16	-74.71296
-24.94	-73.08057
-25.26	-72.82944
-25.87	-72.70387
-26.71	-71.32262
-27.58	-70.75757
-28.36	-69.37632
-28.7	-69.37632
-29.25	-68.99962
-30.07	-67.17888
-30.69	-67.55559
-31.31	-67.17888
-31.72	-65.60928
-32.13	-65.54649
-32.81	-65.79763
-33.52	-63.97689
-34.08	-63.72576
-34.81	-63.78854
-35.17	-62.34451
-35.53	-62.34451
-36.2	-61.84224
-36.89	-60.46099
-37.71	-60.27264
-38.67	-58.82861
-39.08	-58.38912
-39.58	-58.57747
-40.15	-57.07066
-40.75	-56.5056
-41.37	-56.81952
-42	-55.12435
-42.26	-54.87321
-42.86	-54.68486
-43.55	-53.05248
-44.31	-53.11526
-44.88	-52.92691
-45.42	-51.35731
-45.67	-51.16896
-45.63	-48.53203
-45.08	-45.95789
-44.83	-45.1417
-44.25	-42.44198
-44.07	-41.81414
-43.52	-39.67949
-43.19	-38.61216
-42.64	-37.04256
-42.34	-36.1008
-41.88	-34.28006
-41.62	-33.27552
-41.11	-31.70592
-40.82	-30.70138
-40.27	-29.25734
-40.08	-28.50394
-39.77	-27.68774
-39.2	-26.18093
-38.92	-25.36474
-38.65	-24.7369
-38.03	-23.23008
-37.73	-22.41389
-37.26	-21.03264
-36.66	-19.58861
-36.42	-18.77242
-35.85	-17.45395
-35.51	-16.70054
-35.25	-16.19827
-34.67	-14.62867
-34.4	-13.87526
-34.14	-13.05907
-33.6	-11.67782
-33.34	-10.73606
-32.99	-10.04544
-32.38	-8.538624
-32.21	-7.785216
-31.84	-7.094592
-31.09	-5.085504
-30.75	-4.39488
-30.2	-2.950848
-29.88	-2.385792
-29.66	-1.632384
-29	-0.376704
-28.46	0.816192
-28.26	1.130112
-27.76	2.323008
-27.25	2.950848
-27.04	3.327552
-26.75	3.829824
-26.25	4.959936
-25.59	5.96448
-25.37	6.529536
-24.74	7.471296
-24.12	8.538624
-23.89	8.978112
-23.29	10.04544
-22.71	10.86163
-22.34	11.55226
-22.09	11.74061
-21.46	12.61958
-20.73	13.49856
-20.28	14.1264
-20.15	14.5031
-19.58	14.87981
-18.93	15.696
-18.35	16.00992
-17.83	16.63776
-17.63	16.51219
-17	17.2656
-16.44	17.89344
-15.81	18.4585
-15.26	18.96077
-14.9	19.40026
-14.6	19.65139
-13.96	20.15366
-13.21	21.15821
-12.52	21.78605
-12.24	22.22554
-11.98	22.53946
-11.37	23.1673
-10.74	24.10906
-10.1	24.61133
-9.8	25.17638
-9.479999	25.55309
-8.8	25.61587
-8.23	26.55763
-7.57	27.56218
-7.19	28.31558
-6.91	28.94342
-6.08	29.88518
-5.32	30.70138
-4.94	31.70592
-4.61	31.95706
-3.84	33.71501
-3.07	35.03347
-2.8	35.91245
-2.12	36.97977
-1.71	37.98432
-1.29	38.29824
-0.6	40.24454
0.25	41.37466
0.4	42.3792
0.94	42.44198
1.68	43.63488
2.16	44.76499
2.47	45.70675
3.31	46.77408
3.54	47.77863
4.12	47.59027
4.85	48.72038
5.69	49.72493
5.96	50.66669
6.33	51.48288
7.14	52.23629
7.71	51.92237
8.59	53.49197
8.8	53.49197
9.71	54.05702
10.44	54.49651
11.01	55.3127
11.4	56.06611
11.7	55.81498
12.68	55.81498
13.49	57.07066
14.35	57.25901
15.2	57.44736
16.02	57.51014
16.88	57.19622
17.63	58.38912
18.5	58.0752
19.04	57.63571
19.45	58.57747
20.08	57.82406
21.04	58.4519
21.83	58.01242
22.38	58.38912
23.19	57.88685
24.08	57.63571
24.97	56.88231
25.76	56.63117
26.66	56.06611
27.19	56.25446
27.91	55.81498
28.86	56.44282
29.4	55.50106
30.29	54.81043
31.14	54.30816
31.95	54.81043
32.46	53.7431
33.39	53.05248
33.81	53.42918
34.64	52.67578
35.51	51.85958
36.33	52.36185
37.35	51.67123
37.73	50.47834
38.28	49.72493
39.04	50.16442
39.98	49.34822
40.86	48.53203
41.76	47.33913
41.8	46.89965
41.34	43.76045
40.99	42.00249
40.66	39.99341
40.17	37.85875
39.73	35.72409
39.27	33.84058
38.91	31.70592
38.51	29.69683
38.17	28.12723
37.73	26.18093
37.4	24.61133
36.91	23.1673
36.56	21.34656
36.15	19.65139
35.78	17.89344
35.41	16.44941
35.07	15.19373
34.74	13.87526
34.18	11.92896
33.88	10.67328
33.56	9.292032
33.13	7.910784
32.71	6.403968
32.41	5.587776
31.99	3.829824
31.89	3.829824
31.3	2.009088
30.89	0.439488
30.77	0.376704
30.27	-1.192896
29.84	-2.385792
29.43	-3.327552
28.9	-4.520448
28.49	-5.587776
27.96	-6.529536
27.46	-7.471296
27	-8.350272
26.48	-9.166464
25.47	-10.35936
24.88	-11.23834
24.32	-11.86618
23.73	-12.30566
22.98	-13.24742
22.46	-14.00083
21.92	-14.5031
21.41	-15.00538
20.81	-15.63322
19.81	-16.63776
19.3	-17.20282
18.71	-17.6423
18.18	-18.27014
17.09	-19.2119
16.51	-19.65139
15.98	-20.0281
15.47	-20.21645
14.92	-20.59315
14.35	-21.03264
13.72	-21.34656
13.24	-21.72326
12.73	-22.22554
12.12	-22.72781
11.59	-23.23008
11.03	-23.60678
9.95	-24.7369
9.439999	-25.30195
8.810001	-25.67866
7.8	-26.87155
7.34	-27.49939
6.72	-27.93888
6.22	-28.50394
5.23	-29.69683
4.72	-30.51302
4.1	-31.14086
3.55	-31.70592
2.58	-32.89882
2.11	-33.71501
1.54	-34.21728
0.49	-35.66131
0.04	-36.28915
-0.45	-36.97977
-1.01	-37.60762
-1.61	-38.17267
-2.01	-38.80051
-2.54	-39.42835
-3.63	-40.74681
-4.2	-41.37466
-4.62	-42.00249
-5.12	-42.56755
-5.75	-43.13261
-6.25	-43.76045
-6.69	-44.13715
-7.28	-44.70221
-7.87	-45.20448
-8.82	-46.08345
-9.359999	-46.58573
-9.97	-46.96243
-10.45	-47.33913
-11.02	-47.90419
-11.54	-48.09254
-12.08	-48.46925
-12.64	-48.72038
-13.77	-49.28544
-14.28	-49.66214
-14.93	-49.72493
-15.96	-50.28999
-16.52	-50.54112
-17.09	-50.72947
-17.63	-50.91782
-18.27	-51.04339
-19.34	-51.35731
-19.87	-51.54567
-20.52	-51.67123
-21.69	-51.92237
-22.21	-51.73402
-22.77	-51.67123
-23.31	-51.85958
-23.89	-51.73402
-24.5	-51.67123
-25.09	-51.67123
-25.63	-51.48288
-26.3	-51.48288
-26.84	-51.48288
-27.55	-51.29453
-28.11	-51.10617
-28.71	-50.85504
-29.31	-50.72947
-29.91	-50.35277
-30.55	-50.28999
-31.07	-50.10163
-31.67	-49.85049
-32.3	-49.47379
-32.92	-49.15987
-33.55	-48.97152
-34.37	-48.34368
-35.19	-47.52749
-35.84	-47.59027
-36.4	-47.27635
-37.1	-46.96243
-37.7	-46.58573
-38.27	-46.14624
-38.98	-45.70675
-39.6	-45.20448
-40.19	-44.70221
-40.78	-44.38829
-41.57	-43.9488
-42.07	-43.50931
-42.73	-43.13261
-43.36	-42.44198
-44.02	-42.12806
-44.72	-41.62579
-45.24	-41.1863
-45.85	-40.8096
-46.46	-40.37011
-46.66	-37.85875
-45.94	-34.71955
-45.46	-33.08717
-44.95	-31.83149
-44.64	-30.32467
-44.18	-28.94342
-43.7	-27.68774
-43.35	-26.3065
-42.91	-25.1136
-42.46	-23.73235
-42	-22.53946
-41.04	-20.34202
-40.61	-19.33747
-39.68	-17.01446
-39.27	-15.88435
-38.77	-14.81702
-38.33	-13.62413
-37.88	-12.61958
-36.98	-10.35936
-36.44	-9.480384
-35.5	-7.094592
-35.07	-5.96448
-34.13	-3.892608
-33.73	-2.699712
-32.75	-0.816192
-32.29	0.188352
-31.67	1.381248
-31.28	2.009088
-31.17	2.19744
-30.28	3.829824
-29.78	4.7088
-29.31	5.524992
-28.33	6.969024
-27.81	7.722432
-27.39	8.350272
-26.86	9.10368
-26.35	9.857088
-25.83	10.54771
-25.32	11.11277
-24.46	12.24288
-23.79	12.74515
-23.6	13.05907
-23.11	13.68691
-22.43	14.62867
-21.67	15.50765
-21.36	15.696
-21.12	16.00992
-20.19	17.2656
-19.63	17.39117
-19.08	17.6423
-18.51	17.83066
-17.55	18.20736
-16.98	18.64685
-16.44	18.77242
-15.86	19.02355
-14.86	19.46304
-14.35	19.65139
-13.83	20.21645
-13.28	20.15366
-12.74	20.46758
-12.01	21.03264
-11.36	21.5977
-10.32	21.84883
-9.810001	22.22554
-9.22	22.41389
-8.689999	22.79059
-7.67	23.60678
-7.08	24.17184
-6.1	24.98803
-5.56	25.4903
-4.49	26.3065
-4.06	26.74598
-3.53	27.31104
-2.58	28.31558
-2.05	28.75507
-1.53	29.32013
-0.97	29.69683
0.02	30.76416
1.05	31.70592
1.52	32.27098
2.06	32.83603
2.6	33.08717
3.56	34.21728
4.08	34.5312
4.62	35.03347
5.09	35.47296
5.63	35.91245
6.16	36.41472
6.73	36.85421
7.7	37.60762
8.26	37.98432
8.770001	38.42381
9.32	38.80051
9.859999	39.17722
10.42	39.42835
10.94	39.80506
11.49	40.18176
12.01	40.4329
12.56	40.8096
13.12	40.99795
13.68	41.1863
14.2	41.56301
14.75	41.75136
15.35	42.00249
15.89	42.25363
16.98	42.56755
17.56	42.75591
18	43.00704
18.62	43.19539
19.16	43.19539
19.74	43.32096
20.29	43.44653
20.89	43.5721
21.43	43.5721
22.01	43.63488
22.58	43.63488
23.12	43.76045
23.63	43.5721
24.17	43.63488
24.79	43.63488
25.35	43.5721
25.94	43.5721
26.53	43.38374
27.69	43.19539
28.22	42.94426
28.84	42.94426
29.34	42.75591
29.93	42.3792
30.49	42.3792
31.12	41.93971
31.66	42.00249
32.28	41.75136
32.79	41.37466
33.41	41.1863
33.96	40.8096
34.57	40.62125
35.24	40.37011
35.67	40.18176
36.33	39.99341
36.93	39.6167
38.08	39.17722
38.63	38.8633
39.24	38.61216
39.86	38.29824
40.4	38.17267
40.97	37.85875
41.65	35.72409
42.22	36.1008
42.12	32.83603
41.63	30.95251
41.22	28.75507
40.91	26.93434
40.47	25.1136
40.03	23.544
39.63	21.9744
39.31	20.34202
38.84	18.8352
38.58	17.39117
38.17	16.0727
37.84	14.81702
37.29	12.74515
37.03	11.92896
36.43	9.668736
36.05	8.287488
35.73	7.094592
35.44	6.152832
34.93	4.583232
34.74	3.829824
34.06	1.820736
33.94	1.5696
33.44	0.251136
32.91	-1.318464
32.46	-2.19744
31.63	-4.143744
31.25	-5.085504
30.73	-6.152832
30.37	-6.90624
29.87	-7.848
28.93	-9.354816
28.49	-10.04544
28.07	-10.67328
27.52	-11.30112
26.56	-12.61958
26.12	-13.05907
25.09	-14.06362
24.11	-15.25651
23.6	-15.696
22.58	-16.63776
21.58	-17.6423
21.07	-18.14458
20.65	-18.4585
20.13	-19.14912
19.07	-20.21645
18.08	-21.03264
17.65	-21.72326
16.69	-22.72781
16.18	-23.1673
15.67	-23.544
15.09	-23.41843
14.53	-23.544
13.99	-23.73235
12.99	-24.29741
11.97	-24.79968
11.47	-24.92525
10.92	-25.30195
10.37	-25.67866
9.41	-26.3065
8.88	-26.49485
8.350001	-26.87155
7.35	-27.31104
6.35	-27.93888
5.75	-28.12723
4.76	-28.56672
4.24	-28.88064
3.72	-29.13178
2.69	-29.75962
2.19	-29.94797
1.65	-30.26189
1.12	-30.51302
0.62	-30.88973
0.09000001	-31.32922
-0.38	-31.51757
-0.91	-31.89427
-1.48	-32.08262
-2.51	-32.83603
-3.15	-32.83603
-3.81	-33.08717
-4.82	-34.02893
-5.33	-34.28006
-5.91	-34.59398
-6.9	-35.09626
-7.53	-35.41018
-8.45	-35.78688
-9.03	-35.97523
-10.09	-36.60307
-10.56	-36.66586
-11.57	-37.04256
-12.1	-37.23091
-12.64	-37.48205
-13.15	-37.6704
-13.65	-37.79597
-14.21	-37.85875
-14.76	-38.17267
-15.27	-38.17267
-16.38	-38.42381
-16.89	-38.61216
-17.86	-38.80051
-18.46	-38.8633
-19.52	-38.8633
-20.05	-39.05165
-20.62	-39.05165
-21.12	-39.05165
-21.67	-39.17722
-22.13	-39.24
-22.78	-39.24
-23.32	-39.24
-23.87	-39.24
-24.94	-39.17722
-25.48	-39.24
-26.01	-39.24
-26.61	-39.17722
-27.11	-38.98886
-27.64	-38.8633
-28.29	-38.8633
-28.82	-38.67495
-29.8	-38.42381
-30.41	-38.23545
-31.02	-38.0471
-31.53	-37.98432
-32.12	-37.79597
-32.69	-37.48205
-33.29	-37.23091
-33.83	-36.97977
-34.41	-36.85421
-34.99	-36.66586
-35.51	-36.41472
-36.21	-34.78234
-36.76	-35.03347
-37.46	-33.90336
-37.97	-34.02893
-38.61	-33.21273
-39.16	-33.27552
-39.67	-33.40109
-40.28	-32.52211
-40.86	-32.52211
-41.41	-31.70592
-41.97	-31.89427
-42.66	-31.14086
-43.2	-31.14086
-43.76	-31.14086
-44.38	-30.32467
-44.88	-30.51302
-45.46	-29.50848
-46.06	-29.63405
-46.72	-28.75507
-46.9	-28.31558
-46.26	-24.92525
-45.97	-23.60678
-45.32	-21.72326
-45.01	-20.84429
-44.4	-19.14912
-44.06	-18.20736
-43.36	-16.57498
-43.02	-15.82157
-42.39	-14.18918
-42.08	-13.68691
-41.68	-12.87072
-41.02	-11.23834
-40.73	-10.54771
-40.31	-9.543168
-39.62	-8.099136
-39.21	-6.717888
-38.83	-5.776128
-38.11	-4.583232
-37.86	-3.704256
-37.45	-3.1392
-36.8	-1.381248
-36.45	-0.62784
-36.16	-0.188352
-35.56	0.94176
-35.03	2.009088
-34.97	1.946304
-34.3	3.578688
-33.62	4.7088
-33.23	5.33664
-32.56	6.341184
-31.84	7.471296
-31.5	8.16192
-30.75	9.292032
-30.1	10.10822
-29.74	10.86163
-29.11	11.55226
-28.55	12.43123
-28.35	12.68237
-28.04	12.9335
-27.3	14.31475
-26.71	15.19373
-26.56	15.19373
-25.97	16.26106
-25.27	17.07725
-24.62	17.89344
-24.31	18.4585
-23.63	19.08634
-22.91	20.21645
-22.67	20.4048
-22.25	20.7815
-21.74	20.21645
-21.06	21.03264
-20.24	20.84429
-19.41	20.84429
-18.64	22.03718
-17.83	21.9744
-17.04	21.9744
-16.18	22.22554
-15.44	23.1673
-15.01	22.79059
-14.26	22.91616
-13.41	23.1673
-12.67	24.17184
-11.82	24.36019
-11.07	24.61133
-10.27	24.61133
-9.439999	24.79968
-8.7	25.61587
-7.9	25.61587
-7.56	26.36928
-7.1	25.80422
-6.18	26.11814
-5.25	26.18093
-4.47	27.49939
-3.72	27.18547
-2.93	27.31104
-2.15	28.50394
-1.36	28.56672
-1.05	28.94342
-0.62	28.50394
0.15	29.50848
0.99	29.69683
1.73	29.57126
2.52	30.32467
3.28	30.76416
4.1	30.63859
4.84	31.51757
5.3	30.88973
6.06	32.08262
6.86	31.89427
7.68	31.89427
8.390001	32.71046
9.28	32.45933
10.04	32.52211
10.91	32.45933
11.61	33.08717
12.45	33.02438
13.29	32.83603
13.99	33.71501
14.84	33.46387
15.64	33.08717
16.42	34.09171
16.89	33.27552
17.72	34.02893
18.47	34.02893
19.29	33.3383
20.12	33.02438
20.9	33.84058
21.76	33.3383
22.56	32.71046
23.4	33.3383
24.25	32.71046
25.06	32.14541
26	31.70592
26.71	32.08262
27.19	31.26643
27.57	31.32922
28.48	30.76416
29.25	31.45478
30.12	30.45024
31.02	29.75962
31.9	30.13632
32.62	29.50848
33.12	28.56672
33.52	28.88064
34.35	28.12723
35.23	28.69229
36.07	27.93888
36.73	27.31104
37.25	27.68774
38.18	26.55763
39.02	26.99712
39.57	25.99258
39.97	26.18093
40.85	25.36474
41.86	24.61133
41.72	22.60224
41.15	19.96531
40.89	18.64685
40.16	16.38662
39.95	15.3193
39.47	13.49856
39.24	12.68237
38.64	10.29658
38.35	9.354816
37.84	7.471296
37.62	6.529536
37.08	4.771584
36.81	4.332096
36.22	2.448576
35.97	2.134656
35.63	0.753408
35.14	-0.565056
34.97	-1.318464
34.24	-2.762496
33.89	-3.704256
33.59	-4.206528
32.84	-5.713344
32.41	-6.529536
32.17	-7.157376
31.39	-8.47584
30.99	-9.354816
30.7	-9.857088
29.94	-11.11277
29.59	-11.86618
29.17	-12.30566
28.42	-13.31021
27.71	-14.25197
27.27	-14.69146
26.91	-15.19373
26.1	-15.63322
25.31	-16.44941
24.49	-17.20282
24.08	-17.6423
23.36	-18.27014
22.44	-19.2119
21.75	-19.77696
21.32	-20.34202
20.46	-21.03264
19.76	-21.72326
18.92	-22.53946
18.56	-22.79059
17.71	-23.60678
16.93	-24.36019
16.2	-25.1136
15.76	-25.17638
14.87	-25.55309
13.86	-25.74144
12.99	-26.18093
12.21	-26.55763
11.38	-26.93434
10.49	-27.24826
9.68	-27.49939
9.229999	-27.75053
8.88	-27.93888
8.38	-28.06445
7.61	-28.31558
7.11	-28.31558
6.3	-28.69229
5.49	-28.75507
4.71	-29.06899
3.86	-29.25734
2.96	-29.50848
2.12	-29.63405
1.31	-29.69683
0.44	-29.88518
-0.37	-30.13632
-0.89	-30.13632
-1.63	-30.26189
-2.15	-30.32467
-3	-30.45024
-3.74	-30.51302
-4.25	-30.51302
-5.06	-30.70138
-5.57	-30.88973
-6.37	-31.07808
-7.27	-31.07808
-8.05	-31.26643
-8.93	-31.32922
-9.67	-31.32922
-10.69	-31.51757
-11.49	-31.70592
-12.36	-31.64314
-13.22	-31.83149
-14.08	-31.89427
-14.83	-31.70592
-15.35	-31.70592
-15.85	-31.70592
-16.57	-31.89427
-17.13	-31.89427
-17.93	-31.89427
-18.79	-31.83149
-19.61	-31.89427
-20.46	-31.64314
-20.99	-31.51757
-21.78	-31.51757
-22.7	-31.64314
-23.25	-31.45478
-24.01	-31.45478
-24.82	-31.32922
-25.35	-31.26643
-26.26	-31.0153
-27.14	-30.82694
-27.95	-30.51302
-28.45	-30.51302
-29.2	-29.8224
-29.83	-29.8224
-30.33	-28.44115
