"Atalay and Penzien, 1975, Spec. 5"	
-2.9296	-7.2809
-1.9366	-2.78
-0.59588	2.9123
0.3476	7.2809
0.94348	9.7958
1.6387	12.973
2.5325	16.415
3.5255	19.592
6.7036	29.52
7.8953	32.697
8.4912	34.551
10.428	38.919
12.166	43.949
13.457	47.789
13.854	49.11
15.344	53.483
16.536	57.321
18.174	62.352
19.912	68.704
20.608	70.292
21.799	72.542
22.544	73.601
23.339	74.001
24.282	74.13
25.524	74.13
26.467	74.13
27.61	74.13
28.453	73.339
29.098	72.147
29.248	70.559
29.05	67.378
28.801	63.277
28.702	60.101
28.204	56.921
27.61	54.141
27.112	52.024
26.17	48.581
25.524	46.597
24.183	43.023
22.494	38.919
19.912	33.756
16.585	26.608
14.351	21.445
12.712	17.739
10.974	14.032
9.2362	10.061
7.5974	5.8247
6.0582	2.3828
4.5187	-0.52949
0.24828	-9.6637
-1.4897	-13.238
-2.8801	-17.606
-4.4193	-22.372
-5.5616	-26.74
-7.4981	-33.624
-8.8885	-38.39
-10.229	-42.758
-11.52	-46.201
-12.911	-50.302
-14.847	-56.263
-16.486	-60.364
-18.174	-64.999
-19.863	-69.762
-20.657	-71.484
-22.544	-74.397
-23.786	-75.718
-26.518	-75.718
-28.801	-75.852
-30.091	-76.119
-31.234	-76.514
-31.73	-76.514
-31.483	-73.468
-31.036	-70.425
-30.091	-64.999
-29.347	-61.16
-28.603	-57.98
-27.361	-53.745
-26.467	-51.099
-24.878	-46.464
-24.133	-44.347
-22.743	-41.169
-22.047	-39.448
-20.061	-34.154
-18.82	-31.109
-16.536	-25.284
-14.698	-20.519
-11.818	-14.694
-9.2857	-9.0019
-7.0513	-3.9714
-4.8664	0.26475
-2.1849	6.4865
0.29794	11.649
2.0856	15.62
5.2139	22.901
7.2499	28.461
9.1864	33.492
10.825	37.463
12.414	41.037
13.159	42.89
14.351	45.672
15.394	48.052
16.585	50.703
17.777	53.082
18.522	54.67
19.515	56.921
21.203	60.364
22.594	62.881
23.934	64.999
24.878	66.32
26.218	67.779
27.658	68.837
29.197	69.896
29.644	70.158
29.893	70.292
29.248	67.645
28.651	63.01
28.204	60.631
27.31	57.321
26.467	54.408
25.077	49.11
23.239	43.552
21.551	38.654
20.707	36.536
18.82	31.241
15.84	24.49
13.308	18.665
11.918	15.62
10.18	11.781
7.6967	5.2949
6.0084	0.92665
4.6678	-2.2504
1.9366	-7.0158
-0.099314	-11.385
-1.9863	-16.282
-4.4691	-22.372
-6.8029	-27.402
-8.7396	-31.638
-10.825	-36.801
-12.96	-42.096
-13.705	-43.949
-16.734	-51.494
-17.678	-54.012
-18.721	-56.392
-20.061	-59.172
-21.65	-62.085
-22.792	-64.069
-23.786	-65.79
-24.928	-67.779
-26.218	-69.629
-27.46	-70.821
-28.951	-72.542
-29.842	-73.468
-30.737	-74.264
-31.234	-74.531
-30.737	-70.292
-29.695	-66.32
-28.801	-62.748
-27.112	-55.467
-25.921	-50.302
-24.63	-45.934
-22.047	-39.052
-18.423	-28.858
-16.585	-23.299
-12.911	-15.62
-10.08	-10.193
-7.8953	-4.8981
-6.1077	-1.7209
-4.2207	2.3828
-2.1849	7.0158
-0.64554	10.855
1.3904	15.488
3.5255	19.989
6.2568	27.534
8.7396	34.021
10.378	37.595
13.01	42.493
14.748	46.201
16.536	50.04
17.529	52.157
18.721	54.141
20.111	56.392
20.757	57.584
22.197	59.968
23.438	62.085
24.878	64.202
25.87	65.661
27.46	67.645
28.504	68.704
28.849	69.367
28.354	62.881
27.958	59.968
26.863	54.141
26.467	52.157
25.624	49.244
24.431	45.405
22.197	39.184
20.409	35.477
18.621	31.506
16.933	27.402
15.791	24.754
13.258	19.062
10.577	12.179
8.9383	9.0019
6.8527	4.633
5.7602	2.2504
2.6815	-3.9714
0.14897	-9.0019
-3.0289	-17.077
-7.9946	-28.064
-10.329	-34.021
-12.017	-38.919
-12.96	-41.699
-14.847	-46.993
-16.337	-51.099
-19.763	-58.776
-21.353	-61.289
-22.643	-63.411
-23.885	-65.79
-25.027	-68.174
-26.02	-70.158
-27.112	-71.751
-28.255	-72.938
-29.197	-73.468
-29.743	-73.734
-30.142	-74.13
-30.34	-72.013
-30.34	-70.158
-30.289	-67.645
-30.091	-65.261
-29.842	-63.54
-28.999	-60.101
-27.856	-56.525
-26.665	-52.553
-25.573	-49.244
-23.835	-44.347
-21.849	-38.919
-19.962	-34.154
-17.678	-28.064
-14.798	-20.783
-13.01	-17.209
-11.272	-13.502
-9.4348	-9.134
-7.3988	-4.2361
-6.1575	-1.1914
-4.2705	3.1771
-2.731	5.8247
-0.49657	10.855
0.59588	12.973
2.7808	17.606
5.9588	25.549
8.2926	31.638
10.477	37.066
12.563	41.302
15.543	47.127
16.387	48.714
17.678	50.965
19.019	53.483
21.353	57.188
24.084	61.556
25.87	64.336
26.965	65.924
28.405	67.249
29.545	68.441
29.893	68.971
30.19	69.233
30.538	69.629
30.538	69.629
29.497	64.732
28.255	61.289
27.511	58.909
26.317	54.804
25.87	53.349
24.779	49.64
23.537	45.801
22.743	43.42
21.253	39.316
19.813	35.345
18.721	32.962
16.983	28.461
16.089	25.946
14.45	21.445
13.01	18.268
11.868	15.753
10.13	12.047
8.2926	8.0749
6.952	5.2949
5.065	0.66191
2.8303	-4.8981
1.1918	-8.34
-0.84417	-12.84
-1.9366	-15.488
-4.1712	-21.313
