"Atalay and Penzien, 1975, Spec. 10"	
4.9022	29.271
5.4788	30.955
6.3439	33.156
6.9207	34.97
7.7859	37.171
8.747	39.503
9.1316	40.409
9.5641	41.186
11.342	44.556
13.553	49.346
16.196	54.915
19.224	60.355
21.243	63.073
23.79	65.924
26.144	68.646
27.922	70.327
29.413	71.884
29.558	73.823
29.075	73.952
28.547	72.916
27.732	69.94
27.155	66.96
26.241	61.778
25.519	57.246
24.655	51.548
24.174	47.923
23.934	45.459
23.261	42.611
22.492	40.15
21.579	37.56
19.849	33.415
19.224	32.12
17.734	29.142
16.485	26.292
14.755	22.795
13.649	19.946
12.159	15.931
10.718	12.563
8.843	8.2893
6.8727	3.6265
4.9502	-0.25903
0.62479	-11.527
-0.52868	-15.412
-2.2108	-21.241
-2.9317	-23.572
-3.8448	-26.551
-4.9022	-29.789
-5.9113	-33.156
-6.5362	-35.229
-7.5456	-38.337
-9.1316	-42.482
-9.9484	-44.295
-11.631	-47.66
-13.985	-51.935
-16.1	-55.693
-18.743	-60.355
-20.762	-64.242
-21.819	-66.053
-22.588	-67.218
-23.742	-69.162
-25.136	-70.848
-26.192	-72.271
-27.203	-73.178
-28.115	-73.823
-29.124	-74.602
-29.797	-75.118
-29.797	-75.118
-29.51	-71.751
-29.268	-68.646
-28.933	-65.408
-28.451	-61.907
-28.019	-58.669
-27.297	-54.528
-26.337	-50.511
-25.088	-46.624
-23.982	-43.388
-22.54	-40.021
-21.099	-36.653
-18.84	-32.25
-15.86	-24.867
-14.562	-22.018
-12.64	-18.262
-11.054	-14.895
-8.1222	-8.5482
-6.6805	-5.0511
-4.0371	1.2952
-2.7874	4.6624
-1.0573	9.3252
0.28837	13.34
3.1239	21.759
5.0945	27.587
9.0833	37.689
10.381	40.15
11.342	41.963
13.697	47.273
15.379	50.382
17.302	54.008
18.695	56.467
20.858	59.319
22.492	61.262
24.415	63.464
25.857	65.274
27.442	66.96
28.499	68.255
29.558	70.585
28.115	62.815
27.346	59.19
26.192	54.528
25.712	52.584
24.415	47.273
23.213	43.518
22.348	40.798
21.099	37.301
20.185	35.099
18.936	32.25
17.975	30.048
16.821	27.846
15.475	25.126
13.841	22.147
12.352	18.909
11.006	15.672
9.5641	12.045
7.3533	5.9577
6.3919	3.2379
4.5656	-1.1656
3.7005	-3.1084
2.6914	-5.6988
1.4418	-9.0664
0.2403	-12.304
-0.52868	-14.506
-3.3642	-21.759
-4.7099	-26.422
-5.4788	-28.882
-6.5842	-32.509
-7.7376	-36.006
-9.0353	-39.632
-10.862	-44.036
-12.015	-46.757
-12.544	-47.923
-14.226	-51.677
-16.004	-55.044
-17.013	-57.117
-18.023	-58.669
-19.032	-60.097
-19.849	-61.391
-21.051	-62.944
-22.348	-64.242
-23.598	-65.924
-24.415	-67.089
-25.809	-69.162
-27.01	-70.714
-28.164	-71.751
-29.413	-72.787
-28.885	-68.513
-27.97	-64.887
-27.49	-61.133
-26.53	-56.338
-25.761	-52.197
-24.991	-47.66
-24.318	-45.201
-23.261	-42.352
-21.771	-39.503
-20.474	-36.524
-18.888	-33.027
-17.638	-30.436
-16.004	-27.199
-13.841	-22.536
-13.024	-20.463
-11.198	-15.153
-8.0261	-7.7711
-5.9596	-2.5903
-5.0462	0
-3.2682	4.015
-1.9705	7.5118
-0.96121	10.75
0.28837	15.153
2.2108	21.37
2.9317	23.831
5.1425	29.659
6.2479	31.732
9.1796	37.56
13.409	44.943
14.995	48.052
16.341	50.511
17.927	53.621
20.233	57.375
22.444	60.355
24.847	63.335
26.769	65.666
28.595	67.997
29.317	68.775
29.748	69.162
28.981	63.722
28.164	59.448
27.155	54.528
26.144	49.733
25.328	46.108
23.886	40.798
22.684	37.301
21.579	34.193
20.666	32.638
19.128	29.659
17.157	25.644
15.812	22.925
13.985	18.909
12.352	15.283
11.438	13.34
10.141	11.138
8.747	8.1594
7.161	4.6624
5.9113	1.8132
4.5656	-0.90664
2.9797	-4.6624
2.1147	-6.994
1.0573	-9.8434
-0.19224	-13.599
-0.76896	-15.024
-1.2015	-16.06
-4.6139	-26.422
-6.3439	-31.084
-8.4104	-36.265
-9.9967	-40.28
-11.198	-43
-12.111	-45.33
-13.937	-49.604
-15.86	-53.621
-17.446	-56.601
-19.176	-59.319
-20.666	-61.391
-21.435	-62.428
-22.396	-63.722
-23.982	-66.053
-25.039	-67.218
-27.635	-70.848
-28.451	-72.013
-29.124	-73.05
-28.499	-65.924
-28.164	-62.041
-27.874	-58.54
-27.297	-55.044
-26.866	-52.842
-26.434	-50.125
-25.423	-47.015
-23.934	-43.518
-22.829	-40.669
-21.819	-38.337
-19.897	-34.193
-18.695	-31.343
-17.061	-28.105
-16.1	-25.644
-14.899	-22.925
-12.255	-17.096
-8.8913	-9.9729
-7.5936	-7.2529
-5.9113	-3.2379
-3.7488	1.6837
-2.5471	4.7923
-0.81702	9.5841
0.33642	13.211
1.6341	17.226
2.8357	21.111
5.8153	29.4
7.4493	33.027
8.9393	36.394
9.7081	37.949
11.294	40.927
12.063	42.352
13.265	44.685
14.995	48.31
16.533	51.29
17.927	53.75
19.416	56.601
20.233	58.282
21.867	60.871
22.636	62.17
24.751	65.145
25.616	66.053
26.53	66.444
27.155	66.444
28.164	66.182
29.797	66.182
30.566	65.924
33.307	65.666
35.71	65.408
36.766	65.016
38.303	64.242
38.88	63.851
39.794	63.206
40.081	62.944
39.987	59.061
39.362	54.915
38.545	51.29
37.775	48.568
37.054	45.979
36.815	45.072
36.238	42.74
34.989	39.891
31.575	29.4
30.277	26.422
29.317	24.479
28.212	22.406
27.01	19.816
25.568	16.967
24.799	15.542
23.213	13.081
21.675	10.879
19.801	8.1594
18.215	6.0871
16.196	3.2379
14.322	0.38855
12.88	-1.9428
11.198	-5.0511
8.4587	-9.714
7.3533	-11.527
6.3439	-13.081
5.1905	-15.024
3.9411	-16.967
2.4511	-19.428
1.2496	-21.37
-0.096121	-24.349
-1.9224	-27.976
-3.0759	-30.177
-4.5656	-33.027
-6.0556	-35.747
-10.67	-44.424
-13.793	-50.511
-15.427	-53.75
-17.206	-56.988
-18.936	-59.319
-21.675	-62.041
-24.415	-64.371
-25.954	-65.016
-27.683	-65.924
-29.606	-66.831
-33.017	-69.291
-34.026	-68.646
-36.286	-68.255
-36.766	-66.831
-37.678	-64.109
-38.016	-62.944
-38.064	-58.282
-38.064	-54.786
-37.871	-52.197
-37.247	-49.088
-36.286	-44.943
-35.42	-41.575
-34.171	-37.042
-32.634	-32.638
-31.432	-29.4
-29.413	-24.867
-27.49	-21.37
-25.088	-17.873
-22.204	-14.376
-18.888	-9.714
-15.668	-4.6624
-8.9873	7.3823
-5.3348	12.045
0.52868	21.888
0.91316	22.795
3.2682	27.199
