Galeota 1996 Specimen BB4	
13.01	-31.013
12.77	-32.308
12.46	-33.797
12.09	-35.675
11.78	-36.97
11.23	-38.589
10.92	-40.143
10.62	-41.373
10.31	-42.927
10	-44.351
9.68	-45.84
9.31	-47.588
8.93	-49.142
8.55	-50.437
8.24	-51.603
7.86	-53.351
7.54	-54.71
7.16	-56.2
6.77	-57.818
6.39	-59.113
6.07	-60.473
5.49	-61.509
5.18	-62.868
4.93	-64.228
4.62	-65.588
4.3	-66.688
4.03	-68.242
3.71	-69.731
3.31	-71.35
2.93	-72.839
2.6	-74.264
2.29	-76.141
1.91	-77.307
1.59	-78.861
1.27	-80.35
0.96	-81.58
0.65	-83.069
0.33	-84.429
0.02	-85.983
-0.29	-87.537
-0.6	-88.961
-0.9	-90.385
-1.39	-91.875
-1.69	-93.299
-1.93	-94.788
-2.23	-96.277
-2.47	-97.831
-2.76	-99.191
-3.07	-100.615
-3.31	-102.169
-3.6	-103.464
-3.91	-104.953
-4.14	-106.313
-4.43	-107.867
-4.74	-109.227
-4.98	-110.457
-5.28	-111.816
-5.52	-113.435
-5.82	-114.665
-6.11	-116.284
-6.41	-117.644
-6.71	-119.197
-7.25	-120.428
-7.54	-121.982
-7.83	-123.406
-8.06	-124.895
-8.36	-126.255
-8.65	-127.744
-8.94	-129.104
-9.23	-130.399
-9.53	-131.952
-9.83	-133.183
-10.12	-134.672
-10.42	-136.031
-10.77	-137.521
-11.13	-138.945
-11.46	-140.693
-11.94	-141.535
-12.25	-142.7
-12.55	-144.384
-12.89	-145.938
-13.24	-147.232
-13.62	-148.851
-13.98	-150.017
-14.4	-151.7
-14.76	-153.124
-15.12	-154.225
-15.55	-155.908
-15.92	-157.268
-16.34	-158.304
-16.77	-160.117
-17.27	-161.088
-17.7	-162.577
-17.83	-161.282
-18.25	-163.03
-18.68	-164.196
-19.17	-165.944
-19.61	-167.174
-20.1	-168.34
-20.64	-169.376
-21.2	-170.347
-21.72	-171.188
-22.31	-172.03
-22.76	-171.447
-23.31	-172.289
-23.84	-172.937
-24.37	-173.39
-24.92	-173.843
-25.41	-173.714
-25.85	-172.483
-26.39	-173.584
-26.97	-174.037
-27.49	-174.296
-28.08	-172.483
-28.57	-172.613
-29.09	-173.196
-29.6	-173.066
-30.12	-173.584
-30.67	-173.39
-31.2	-173.26
-31.75	-173.39
-32.31	-173.196
-32.88	-172.613
-33.44	-171.901
-33.98	-170.8
-34.55	-170.8
-35.13	-170.606
-35.75	-170.153
-36.36	-169.699
-36.56	-168.275
-37.05	-167.951
-37.61	-167.692
-38.19	-167.627
-38.71	-167.174
-39.23	-166.397
-39.75	-166.268
-40.28	-165.685
-40.47	-164.39
-40.93	-164.325
-41.39	-163.937
-41.87	-163.743
-42.27	-163.225
-42.67	-162.772
-43.08	-162.383
-43.46	-161.865
-43.81	-161.541
-43.98	-159.923
-44.32	-159.858
-44.37	-158.563
-44.77	-158.369
-44.97	-156.426
-44.76	-154.614
-44.55	-152.801
-44.32	-151.052
