Galeota 1996 Specimen BB4	
-42.67	-88.443
-42.74	-87.278
-42.42	-85.335
-42.05	-83.199
-41.68	-81.062
-41.33	-79.055
-40.95	-77.048
-40.55	-74.846
-40.19	-73.033
-39.78	-70.832
-39.41	-68.954
-39.02	-66.947
-39.02	-66.947
