"Kanda et al. 1988, Spec. STC2"	
652	
32.502	-0.52994
27.502	-10.845
22.501	-16.715
17.502	-20.756
12.502	-24.601
7.5015	-28.355
2.502	-32.54
0.0015	-34.651
-3.946	-38.154
-8.9995	-40.781
-13.998	-43.749
-18.999	-46.731
-23.999	-49.48
-28.999	-51.959
-33.998	-52.726
-35	-50.382
-35.999	-50.894
-36.998	-51.105
-37.999	-51.393
-38.998	-51.649
-39.999	-51.756
-41	-51.626
-42	-51.658
-43.25	-51.496
-43.002	-43.561
-42.501	-39.263
-37.5	-12.655
-32.501	1.4146
-27.5	10.576
-22.501	15.821
-17.501	19.481
-12.501	22.728
-7.5015	26.123
-2.5	29.572
-0.002	31.148
3.999	33.322
8.9995	36.057
14	38.374
18.999	40.449
24	42.541
29	44.454
33.999	45.698
38.998	46.188
43.499	46.085
44.499	47.055
45.5	47.109
46.499	47.068
47.498	47.001
48.499	46.794
49.499	46.606
50.499	46.588
51.499	47.239
52.5	46.26
50.002	24.879
47.501	12.66
45.001	3.4624
44.126	0.98345
43.752	0.1392
