"Kanda et al. 1988, Spec. PDC3"	
-5.997	-42.24
-7.4365	-49.309
-8.111	-52.408
-8.1835	-52.506
-8.092	-50.023
-7.4265	-43.758
-6.2185	-34.22
-4.4475	-23.667
-2.2835	-13.409
0.1245	1.6705
2.621	14.55
5.0335	25.261
7.115	35.1
8.644	42.119
9.388	45.155
9.407	44.85
9.2115	41.886
8.3145	33.892
6.944	23.801
5.198	15.884
3.2965	5.4967
1.432	-6.112
-0.166	-14.514
-1.327	-19.742
-1.934	-22.234
-1.982	-21.309
-1.5685	-18.516
-0.861	-13.89
-0.036	-8.1598
0.695	-2.928
1.112	-0.19306
1.1545	-0.44008
1.1905	0.31431
1.2435	0.723
1.307	1.2125
1.3625	1.6437
1.3755	1.2799
1.356	0.95206
1.179	-1.0868
0.826	-4.2168
0.5575	-6.4084
0.493	-6.8305
0.5695	-5.398
0.759	-3.5522
0.9985	-1.5179
1.2295	0.38622
1.3535	1.5897
1.358	1.1676
1.3055	0.3458
1.0335	-2.4026
0.5625	-6.4173
0.003	-10.868
-0.5215	-14.514
-0.903	-16.903
-1.105	-18.066
-1.0195	-16.499
-0.639	-13.45
-0.091	-9.2646
0.489	-4.868
0.981	-1.2709
1.4405	2.3756
1.879	5.6405
2.249	8.1867
2.57	10.244
2.8635	11.999
3.282	14.245
3.397	14.86
3.5635	15.61
3.6015	15.713
3.601	15.192
3.412	13.468
2.931	9.9921
2.109	3.9699
0.968	-4.7647
-0.301	-13.499
-1.4565	-19.948
-2.294	-23.999
-2.7795	-26.029
-2.901	-26.015
-2.509	-22.921
-1.6185	-17.851
-0.3915	-9.6507
0.9895	-0.049442
2.321	9.296
3.44	15.466
4.2385	19.09
4.7225	21.309
4.9475	22.454
4.979	22.553
4.9625	21.574
4.8015	19.98
4.5135	18.322
4.109	16.149
3.6495	13.769
3.2125	11.299
2.8635	9.0265
2.6435	7.5266
2.4925	6.5566
2.3605	5.6629
2.1765	4.2259
1.9335	2.5418
1.6675	0.60626
1.4035	-1.3472
1.2045	-2.8113
1.1265	-3.44
1.112	-3.3546
1.104	-3.4759
1.019	-4.1226
0.807	-5.4743
0.472	-7.805
0.148	-10.136
-0.051	-11.425
-0.0625	-11.51
-0.0195	-10.302
0.228	-7.7422
