Galeota 1996 Specimen BA2	
28.97	26.93434
28.7	25.30195
28.41	23.35565
28.16	21.9744
27.92	20.4048
27.63	18.58406
27.26	17.07725
26.92	15.19373
26.61	13.62413
26.25	12.11731
25.93	10.17101
25.62	8.664192
25.23	7.157376
25.08	5.399424
24.8	4.018176
24.4	2.636928
23.94	1.25568
23.59	-0.251136
23.35	-1.820736
22.89	-3.327552
22.4	-4.771584
21.97	-6.466752
21.45	-7.471296
20.89	-9.040896
20.42	-10.48493
19.88	-11.86618
19.37	-13.24742
18.85	-14.81702
18.3	-16.19827
17.73	-17.6423
17.24	-19.14912
16.6	-20.34202
16.15	-21.72326
15.65	-23.04173
15.2	-24.61133
14.62	-25.55309
14.11	-26.99712
13.58	-28.19002
13.1	-29.50848
12.55	-30.45024
12.01	-31.70592
11.5	-32.83603
10.82	-34.09171
10.31	-35.09626
9.79	-35.91245
9.18	-37.04256
8.63	-38.0471
8.02	-39.36557
7.47	-40.18176
7.07	-41.56301
6.48	-42.75591
5.95	-43.5721
5.62	-44.82778
5.13	-46.20902
4.59	-47.77863
4.05	-49.15987
3.46	-50.85504
3.08	-52.29907
2.68	-53.68032
2.34	-54.87321
1.93	-56.44282
1.47	-57.88685
1.07	-59.39367
0.75	-60.8377
0.32	-62.34451
-0.04	-63.91411
-0.41	-65.10701
-0.73	-66.48826
-1.1	-68.12064
-1.43	-69.37632
-1.8	-70.88313
-2.08	-72.45274
-2.34	-73.83398
-2.71	-75.27802
-3.07	-76.65926
-3.41	-78.10329
-3.78	-79.48454
-4.04	-80.86579
-4.39	-82.24704
-4.76	-83.81664
-5.11	-85.1351
-5.52	-86.51635
-5.85	-88.08595
-6.29	-89.59277
-6.77	-91.16237
-7.15	-92.35526
-7.56	-93.86208
-7.98	-95.24332
-8.47	-96.87571
-8.92	-98.19418
-9.43	-99.26151
-10.01	-99.38707
-10.54	-99.82656
-10.81	-101.0195
-11.31	-102.024
-11.72	-103.4053
-12.25	-104.2214
-12.82	-104.0331
-13.41	-105.0376
-13.93	-105.9166
-14.44	-106.5444
-14.98	-106.5444
-15.5	-105.7283
-16.03	-106.4189
-16.58	-106.1677
-17.12	-105.9794
-17.49	-104.7237
-17.99	-104.5981
-18.56	-104.1587
-19.13	-102.4007
-19.67	-101.3962
-20.18	-100.266
-20.8	-99.82656
-21.07	-98.44531
-21.62	-97.6919
-22.14	-96.43623
-22.67	-95.24332
-22.98	-93.23424
-23.5	-92.29248
-24.05	-90.97401
-24.6	-89.71834
-24.99	-88.08595
-25.52	-86.95584
-26.12	-85.95129
-26.61	-84.19334
-27.26	-83.25159
-27.8	-82.3726
-28.05	-80.99136
-28.59	-80.0496
-29.15	-79.35898
-29.67	-78.29165
-29.87	-76.9104
-30.38	-76.09421
-30.97	-75.27802
-31.43	-73.70842
-32.06	-72.82944
-32.65	-71.95046
-33.12	-70.25529
-33.77	-69.31354
-34.33	-68.74848
-34.7	-67.1161
-35.24	-66.55104
-35.83	-65.79763
-36.31	-63.97689
-36.52	-62.59565
-36.39	-61.2144
-36.18	-60.0215
-36.11	-58.4519
-35.8	-57.07066
-35.7	-55.81498
-35.28	-54.49651
-34.99	-52.92691
-34.67	-51.54567
-34.52	-50.10163
-34.33	-48.6576
-33.99	-46.52295
-33.6	-45.5184
-33.45	-44.19994
-33.18	-42.63034
-32.88	-41.24909
-32.58	-40.05619
-32.24	-38.80051
-31.94	-37.48205
-31.64	-36.03802
-31.31	-34.59398
-30.96	-33.40109
-30.7	-32.20819
-30.4	-30.70138
-30.1	-29.25734
-29.63	-28.06445
-29.34	-26.93434
-28.9	-25.74144
-28.7	-24.48576
-28.34	-23.10451
-27.69	-21.40934
-27.35	-20.21645
-27.1	-19.02355
-26.63	-17.57952
-26.33	-16.19827
-25.71	-15.06816
-25.51	-13.43578
-25.22	-12.05453
-24.95	-10.48493
-24.57	-9.10368
-24.13	-7.785216
-23.95	-6.466752
-23.37	-5.148288
-23.33	-3.892608
-22.75	-2.009088
-22.49	-0.62784
-21.86	0.439488
-21.72	1.820736
-21.17	2.82528
-20.77	4.206528
-20.3	5.776128
-19.99	7.157376
-19.71	8.664192
-19.09	10.04544
-18.94	11.42669
-18.26	12.68237
-17.73	13.68691
-17.36	15.06816
-17.13	16.82611
-16.58	18.08179
-16.19	19.58861
-15.76	21.22099
-15.22	21.84883
-14.79	23.35565
-14.28	23.98349
-13.78	25.36474
-13.19	26.36928
-12.57	27.49939
-12.06	28.37837
-11.5	29.50848
-10.87	30.88973
-10.16	32.27098
-9.93	30.76416
-9.43	31.83149
-8.92	33.27552
-8.39	32.89882
-7.92	34.28006
-7.42	35.59853
-6.63	36.03802
-6.31	37.41927
-5.76	38.61216
-5.25	38.61216
-4.86	40.05619
-4.14	40.37011
-3.64	41.93971
-3.15	43.32096
-2.65	43.19539
-2.06	44.51385
-1.84	46.14624
-1.33	45.8951
-0.69	47.40192
-0.19	47.59027
0	49.09709
0.62	50.28999
1.2	50.47834
1.75	52.23629
2.42	52.48742
2.95	53.86867
3.26	55.43827
3.78	55.81498
4.28	56.19168
4.78	57.57293
5.45	57.44736
5.85	59.07974
6.36	59.77037
6.89	59.95872
7.46	61.40275
7.99	61.02605
8.54	62.53286
9.16	63.41184
9.25	62.21894
9.73	63.72576
10.35	64.41638
10.91	63.97689
11.42	65.35815
12.06	66.36269
12.21	64.98144
12.75	66.17434
13.33	67.1161
13.32	65.79763
13.92	67.1161
14.57	67.99507
14.71	66.7394
15.22	67.74393
15.8	68.49734
16.47	68.12064
17.01	69.12518
17.58	68.37177
18.27	69.37632
18.87	68.56013
19.37	69.37632
19.98	70.12973
20.21	68.74848
20.73	69.31354
21.42	69.94138
22.01	69.18797
22.54	69.69024
23	68.12064
23.55	68.74848
24.08	68.93683
24.31	67.4928
25.08	67.93229
25.53	66.61382
26.22	67.17888
26.86	65.60928
27.37	65.79763
28.01	66.11155
28.17	64.60474
28.79	64.60474
29.42	64.60474
29.55	63.03514
30.18	63.22349
30.7	62.97235
30.81	61.40275
31.33	61.33997
31.9	61.2144
32.12	59.6448
32.65	59.45645
33.47	59.39367
33.5	57.57293
34	57.38457
34.76	55.43827
35.33	55.3127
35.98	55.06157
35.95	53.49197
36.58	53.30362
37.2	53.05248
37.23	51.48288
37.43	50.16442
37.61	48.6576
37.16	47.27635
37.07	45.5184
36.53	43.50931
36.55	41.75136
36.24	39.99341
35.92	38.23545
35.5	36.79142
35.29	35.03347
35.4	33.3383
34.86	32.89882
34.83	31.32922
34.45	29.69683
34.27	28.12723
33.92	26.49485
33.68	24.61133
33.45	23.04173
32.94	21.5977
32.73	19.65139
32.65	17.83066
32.15	16.57498
32.06	14.87981
31.8	13.24742
31.28	11.74061
30.97	10.04544
30.84	8.16192
30.37	6.529536
30.14	4.771584
29.62	3.327552
29.2	1.946304
29.16	0.439488
28.65	-1.004544
28.33	-2.574144
28.27	-3.892608
27.79	-5.524992
27.27	-6.2784
27.04	-7.910784
26.66	-9.354816
26.2	-10.86163
25.55	-12.11731
25.22	-13.49856
24.89	-15.00538
24.26	-16.44941
23.62	-17.83066
23.33	-19.2119
22.79	-20.4048
22.16	-21.53491
21.55	-23.29286
21.1	-24.79968
20.56	-26.3065
20.17	-27.68774
19.64	-28.69229
19.3	-30.26189
18.4	-31.64314
17.91	-33.02438
17.22	-34.40563
16.57	-35.22182
16.28	-36.85421
15.64	-37.35648
15.03	-38.61216
14.49	-39.6167
13.82	-40.24454
13.32	-40.99795
12.82	-41.75136
12.28	-42.12806
11.68	-42.75591
10.99	-43.19539
10.34	-43.5721
9.74	-44.13715
8.94	-44.3255
8.34	-44.76499
7.82	-45.20448
7.29	-45.58118
6.52	-46.08345
5.73	-46.58573
5.19	-47.33913
4.6	-47.71584
4.01	-48.46925
3.38	-48.84595
2.88	-49.34822
2.27	-50.03885
