"""Thompson and Wallace, 1994, C2"""	
-11.95832	-47.58084075
-13.35278	-50.15991928
-14.224	-49.67150462
-14.2494	-46.79350563
-13.97254	-42.74784863
-13.56868	-37.7796306
-12.89304	-29.90583461
-12.04468	-23.17256248
-11.18108	-18.44855178
-10.30986	-13.61600448
-8.72744	-6.882732353
-6.4389	0.746411484
-4.20624	6.095397236
-1.95072	9.706018222
0.2667	13.80594352
2.4638	20.29456349
5.14604	29.47168824
7.98068	37.04656378
10.91692	42.69358034
12.97178	45.43590858
12.58316	34.49417457
11.77544	26.43088436
10.95248	21.05476446
9.63168	14.59327863
7.63524	6.774195761
5.37464	-0.746411484
3.18516	-5.606537748
0.46482	-11.52534061
-0.3048	-13.31708403
-0.32258	-13.28994988
-2.94894	-23.71569026
-6.46938	-35.17297309
-10.03808	-44.45863443
-12.8524	-47.85218223
-15.59814	-49.86144366
-18.40992	-41.33598329
-19.3548	-38.26804526
-19.18208	-36.3948994
-19.03476	-33.87008916
-18.95602	-33.05517507
-18.9357	-32.64816285
-18.8976	-32.26783996
-18.86966	-31.96936433
-18.85188	-31.56190728
-18.83156	-31.18202921
-18.81886	-30.63890143
-18.76044	-30.20475506
-18.64868	-28.76575556
-18.16862	-23.09116003
-17.51076	-17.66121666
-16.86306	-14.70181523
-15.14856	-6.964134798
-11.33094	2.972746094
-7.62	8.647341624
-3.8481	13.26281573
-0.45974	19.23588689
1.7145	23.93276345
3.7846	29.58022483
6.01472	34.68455843
8.25246	38.59409986
10.10412	41.36311743
11.88974	43.39951301
13.49248	44.75711006
14.85646	45.00131739
15.75054	44.64857347
16.18742	44.40436613
16.42872	43.91550664
16.61922	44.62143932
16.80718	44.43150028
16.99006	44.32251887
17.16786	44.10544568
17.34058	43.8883725
17.52854	44.18684813
17.70126	44.02404324
17.87906	44.15971398
18.0467	44.02404324
18.24482	44.10544568
18.4404	43.94264079
18.48866	42.93823249
18.27784	40.1687701
18.06956	37.64395986
18.02384	36.96516133
17.98828	36.61197258
17.95272	36.25922866
17.91462	35.79750332
17.87652	35.60756428
17.84604	35.52616184
17.39392	30.25902335
15.98676	19.56194149
14.56944	13.80594352
13.17752	8.783012365
11.43762	3.217398249
8.52678	-3.380203138
