Saatcioglu et al. Column BG-9	
-14.51152	-172.325228
-15.01111	-176.5467477
-15.51071	-186.0054103
-16.0103	-186.6436474
-16.5099	-190.2449848
-15.99307	-144.2584802
-15.49348	-137.3494225
-14.99388	-132.7144073
-14.49429	-127.562614
-13.99469	-122.2384802
-13.4951	-115.8462614
-12.97828	-109.0352584
-12.47868	-107.4322796
-11.99631	-101.768997
-11.47949	-96.09495441
-10.99712	-89.983769
-10.49753	-84.34954407
-9.997932	-83.43568389
-9.498337	-77.49142857
-8.998742	-70.96133739
-8.499146	-67.04990881
-7.999552	-61.86364742
-7.499957	-53.12845593
-6.983134	-47.66115502
-6.483539	-42.44040729
-5.966717	-38.73031003
-5.484349	-31.20643769
-4.984754	-26.36470517
-4.485158	-20.90277204
-3.985563	-16.85349544
-3.485968	-9.255343465
-2.986373	-4.137961094
-2.486778	-0.364329362
-1.987183	6.992638298
-1.487588	7.045118541
-0.9879924	18.08877812
-0.4883973	18.45135562
0.01119782	27.91008511
0.510793	31.99381763
1.010388	36.66328267
1.509983	41.9873921
2.009578	49.82672948
2.509173	53.73818237
3.008769	57.92528267
3.508364	62.25021277
4.007959	68.88358663
4.507554	73.00176292
5.007149	77.08553191
5.506744	81.13477204
6.00634	86.59671733
6.523162	91.16820669
7.00553	96.10790274
7.505125	99.57142857
8.004721	107.479696
8.504315	108.5658359
9.003911	114.0966565
9.503506	118.6283283
10.02033	123.3031611
10.5027	127.3815198
11.00229	131.6719149
11.50189	133.0337386
12.00148	137.5653495
12.50108	140.4775684
13.0179	144.7044985
13.50027	148.472766
14.01709	152.2517933
14.51668	156.4043769
15.01628	159.2821884
15.51587	163.6415805
16.01547	167.6218845
16.51506	171.843465
17.03189	176.6215805
17.51426	180.5276596
18.01385	184.4735562
18.51344	187.4547112
19.01304	188.9887538
19.51264	192.7279027
20.01223	194.1586018
20.51183	198.0010942
21.01142	200.9477812
21.51101	202.6196353
22.01061	204.1192097
22.51021	205.8944681
23.02703	209.4666869
23.5094	209.5482067
24.00899	211.2544681
24.50859	211.4103343
25.00818	212.0485106
25.50778	213.1001824
26.00737	212.2912462
26.50697	215.9270517
27.00656	215.2558663
27.50616	215.0327052
28.00575	215.808693
28.50535	213.2080851
29.00494	213.1916109
29.50454	216.0693617
30.00413	217.4655927
30.50373	216.7255319
31.00332	218.2251064
31.50292	218.656535
32.00251	219.3291793
32.50211	219.2781763
33.00171	218.5381763
33.5013	199.1924012
32.98448	161.3717325
32.48488	154.8417629
31.98529	152.9976292
31.48569	146.5021277
30.9861	140.6956839
30.4865	138.5759271
29.98691	134.0443161
29.47008	129.2317325
28.98771	126.3937994
28.47089	121.1332523
27.98853	116.1246201
27.48893	112.90231
26.98933	110.2657143
26.48974	103.528997
25.99014	101.5815198
25.49055	94.81033435
24.97373	92.30620061
24.49136	91.46662614
23.99176	83.86851064
23.49217	77.4418845
22.99257	75.63221884
22.49298	74.40826748
21.99338	68.49841945
21.49379	64.62145897
20.99419	59.05618237
20.4946	55.79940426
19.995	53.78299696
19.49541	49.04464438
18.99581	47.13160486
18.49622	43.01343465
17.99662	40.8247538
17.49703	35.60402432
16.99743	31.3824924
16.49784	28.81479635
15.99824	25.11008511
15.49865	23.23149544
14.99905	16.94265046
14.49946	11.03281459
13.99986	9.739957447
13.48304	3.445733739
12.98344	2.35961155
12.48385	-3.274590274
11.98425	-4.257350152
11.46743	-10.48266261
10.98506	-14.6643769
10.48547	-15.33704559
9.985873	-20.76451672
9.486279	-23.50449848
8.986683	-27.14030395
8.487088	-31.9131307
7.987493	-37.37506383
7.487897	-38.01327052
6.988302	-43.37184195
6.488707	-48.31694833
5.989112	-53.84778723
5.489517	-54.52045593
4.989922	-59.22438298
4.490326	-63.37702128
3.990731	-69.76924012
3.473909	-70.72291793
2.991541	-71.80364742
2.491946	-75.85294833
1.992351	-79.79884498
1.492756	-82.95227964
0.9931607	-88.27641337
0.4935656	-93.80723404
-0.006029591	-94.27319149
-0.5056247	-99.18382979
-1.00522	-104.8180547
-1.504815	-105.3873556
-2.00441	-110.4702736
-2.504005	-116.24231
-3.003601	-117.3629179
-3.503196	-122.8937386
-4.002791	-124.0832219
-4.502386	-128.8216413
-5.001981	-133.56
-5.501576	-134.5083283
-6.001172	-139.4879027
-6.500767	-144.0884498
-7.000362	-145.2779331
-7.517184	-150.8830395
-8.016779	-151.6246201
-8.516374	-157.0865653
-9.015969	-158.1382371
-9.532792	-162.5029787
-10.01516	-162.9979939
-10.51475	-168.356535
-11.01435	-169.0636474
-11.51394	-174.5945289
-12.01354	-175.2671733
-12.51313	-179.6954407
-13.02996	-182.7508815
-13.51233	-183.0047416
-14.01192	-187.1917933
-14.51152	-191.3099696
-15.01111	-195.1869909
-15.51071	-195.7218237
-16.0103	-197.7726444
-16.5099	-201.6151976
-17.00949	-204.458541
-17.50909	-204.8210942
-18.00868	-207.45769
