"Paultre, Legeron, Mongequ, July-August 2001 test 1008040"	
29.98	133.8
29.58	131.97
29.24	130.16
28.84	128.33
28.53	126.53
28.13	124.73
27.66	122.91
27.28	121.09
26.94	119.28
26.56	117.44
26.19	115.65
25.85	113.81
25.45	111.98
25.16	110.19
24.74	108.36
24.49	106.56
24.02	104.71
23.73	102.9
23.33	101.08
23.02	99.25
22.68	97.42
22.46	95.61
21.99	93.79
21.66	91.95
21.41	90.13
21.08	88.29
20.65	86.45
20.45	84.64
20.16	82.8
19.83	80.98
19.43	79.14
19.09	77.3
18.87	75.47
18.42	73.63
18.2	71.8
17.89	69.95
17.53	68.11
17.24	66.27
17.04	64.42
16.71	62.55
16.35	60.74
16.08	58.9
15.73	57.06
15.5	55.22
15.12	53.39
14.83	51.53
14.59	49.69
14.3	47.85
13.92	46
13.7	44.13
13.32	42.29
13	40.46
12.74	38.62
12.45	36.77
12.13	34.92
11.91	33.07
11.58	31.22
11.26	29.37
11	27.52
10.71	25.68
10.44	23.83
10.06	21.98
9.81	20.13
9.44	18.29
9.21	16.39
8.95	14.57
8.52	12.73
8.37	10.86
7.99	9.01
7.67	7.14
7.45	5.32
7.14	3.54
6.78	1.75
6.56	-0.11
6.13	-1.96
5.98	-3.81
5.62	-5.65
5.38	-7.51
5.04	-9.36
4.75	-11.21
4.51	-13.05
4.15	-14.91
3.88	-16.77
3.55	-18.6
3.26	-20.45
2.95	-22.3
2.63	-24.16
2.23	-25.99
2.34	-25.77
2.19	-23.96
2.08	-25.87
1.83	-27.77
1.54	-29.61
1.27	-31.47
0.98	-33.32
0.58	-35.18
0.38	-37.04
-0.02	-38.89
-0.2	-40.74
-0.6	-42.58
-0.82	-44.42
-1.16	-46.27
-1.58	-48.12
-1.85	-49.96
-2.18	-51.81
-2.38	-53.67
-2.72	-55.51
-3.14	-57.37
-3.46	-59.19
-3.81	-61.03
-4.04	-62.87
-4.41	-64.71
-4.77	-66.54
-5.06	-68.38
-5.37	-70.22
-5.69	-72.05
-6.11	-73.89
-6.38	-75.71
-6.78	-77.54
-7.16	-79.37
-7.47	-81.2
-7.76	-83.03
-8.05	-84.85
-8.5	-86.69
-8.83	-88.5
-9.21	-90.34
-9.59	-92.18
-9.97	-93.97
-10.28	-95.8
-10.64	-97.62
-11.08	-99.43
-11.48	-101.25
-11.75	-103.05
-12.22	-104.87
-12.6	-106.67
-12.96	-108.49
-13.27	-110.29
-13.78	-112.09
-14.12	-113.91
-14.52	-115.71
-14.99	-117.51
-15.32	-119.3
-15.79	-121.09
-16.26	-122.88
-16.64	-124.68
-17.06	-126.44
-17.55	-128.21
-17.91	-129.99
-18.44	-131.76
-18.84	-133.54
-19.36	-135.31
-19.76	-137.07
-20.27	-138.83
-20.81	-140.58
-21.21	-142.34
-21.65	-144.09
-22.26	-145.83
-22.72	-147.57
-23.26	-149.32
-23.95	-151.06
-24.35	-152.8
-25.02	-154.51
-25.65	-156.22
-26.14	-157.93
-26.78	-159.66
-27.43	-161.33
-28.19	-163.02
-28.9	-164.69
-29.64	-166.35
-30.31	-168.01
-30.89	-169.15
-31.18	-169.63
-31.04	-167.67
-30.78	-165.81
-30.53	-163.96
-30.15	-162.13
-29.86	-160.29
-29.64	-158.43
-29.24	-156.62
-28.88	-154.8
-28.43	-153.02
-28.1	-151.21
-27.63	-149.4
-27.12	-147.6
-26.9	-145.78
-26.45	-143.99
-25.94	-142.17
-25.62	-140.39
-25.24	-138.58
-24.87	-136.77
-24.42	-134.98
-23.97	-133.16
-23.64	-131.37
-23.33	-129.55
-22.88	-127.75
-22.57	-125.94
-22.14	-124.13
-21.7	-122.32
-21.34	-120.49
-21.14	-118.69
-20.72	-116.86
-20.25	-115.07
-19.94	-113.24
-19.49	-111.42
-19.13	-109.58
-18.8	-107.78
-18.44	-105.93
-18.22	-104.15
-17.86	-102.31
-17.51	-100.5
-17.06	-98.68
-16.75	-96.86
-16.39	-95.04
-16.1	-93.2
-15.77	-91.38
-15.43	-89.55
-15.21	-87.72
-14.87	-85.89
-14.52	-84.06
-14.21	-82.21
-13.71	-80.38
-13.56	-78.55
-13.2	-76.72
-12.78	-74.9
-12.55	-73.05
-12.22	-71.22
-11.82	-69.38
-11.48	-67.54
-11.28	-65.69
-10.9	-63.87
-10.57	-62.02
-10.24	-60.19
-10.03	-58.35
-9.63	-56.5
-9.39	-54.66
-8.99	-52.83
-8.76	-50.98
-8.36	-49.13
-8.09	-47.28
-7.8	-45.42
-7.45	-43.59
-7.09	-41.76
-6.91	-39.91
-6.49	-38.06
-6.27	-36.21
-5.86	-34.39
-5.55	-32.54
-5.35	-30.7
-4.95	-28.84
-4.66	-26.99
-4.35	-25.16
-4.08	-23.31
-3.7	-21.47
-3.5	-19.63
-3.1	-17.77
-2.83	-15.94
-2.59	-14.09
-2.12	-12.25
-1.89	-10.4
-1.51	-8.56
-1.29	-6.72
-0.87	-4.87
-0.58	-3.04
-0.33	-1.19
-0.02	0.58
0.36	2.36
0.69	4.21
0.89	6.06
1.23	7.89
1.63	9.74
1.96	11.59
2.17	13.48
2.52	15.31
2.79	17.14
3.17	19
3.5	20.85
3.82	22.69
4.13	24.53
4.4	26.39
4.77	28.24
4.93	30.06
5.38	31.91
5.67	33.75
6.02	35.58
6.27	37.44
6.58	39.27
6.89	41.11
7.23	42.94
7.5	44.79
7.96	46.66
8.28	48.47
8.57	50.31
8.9	52.15
9.26	53.99
9.5	55.82
9.84	57.65
10.17	59.49
10.6	61.31
10.82	63.15
11.18	65
11.53	66.83
11.89	68.65
12.27	70.48
12.58	72.29
12.85	74.11
13.27	75.97
13.56	77.78
14.05	79.63
14.36	81.43
14.74	83.25
15.08	85.06
15.39	86.88
15.86	88.69
16.19	90.5
16.51	92.34
16.91	94.12
17.2	95.92
17.71	97.74
18.07	99.53
18.47	101.33
18.89	103.14
19.23	104.93
19.63	106.73
19.96	108.53
20.48	110.3
20.85	112.09
21.19	113.88
21.77	115.66
22.24	117.43
22.51	119.21
23.08	120.99
23.46	122.76
23.93	124.54
24.36	126.31
24.96	128.07
25.4	129.82
25.9	131.58
26.5	133.35
26.97	135.11
27.41	136.85
28.04	138.59
28.62	140.32
29.2	142.04
29.69	143.77
30.24	145.5
30.85	147.22
31.52	148.93
32.1	150.63
32.76	152.33
33.48	154
34.12	155.69
34.88	157.35
35.71	158.98
36.6	160.56
37.72	162.05
38.96	163.55
40.26	164.94
41.11	165.48
42.22	162.09
42.47	160.07
43.54	161.57
44.41	163.09
45.72	164.5
47.44	165.48
47.6	165.65
50.29	166.38
52.41	163.38
52.55	161.41
52.46	145.59
52.12	143.77
51.79	141.95
51.54	140.13
51.07	138.33
50.67	136.56
50.29	134.8
49.83	133.03
49.31	131.24
48.96	129.47
48.42	127.72
47.97	125.94
47.6	124.18
47.08	122.4
46.7	120.63
46.17	118.86
45.74	117.06
45.23	115.31
44.76	113.54
44.43	111.75
43.92	109.99
43.38	108.22
42.93	106.45
42.4	104.68
42.04	102.91
41.51	101.14
41.11	99.36
40.5	97.58
40.12	95.81
39.63	94.03
39.14	92.25
38.65	90.48
38.34	88.7
37.74	86.93
37.29	85.15
36.93	83.37
36.36	81.58
35.89	79.81
35.42	78.03
34.95	76.25
34.59	74.48
34.04	72.7
33.54	70.91
33.1	69.14
32.68	67.35
32.21	65.55
31.81	63.78
31.27	62
30.85	60.21
30.4	58.43
29.98	56.63
29.51	54.85
29.13	53.06
28.73	51.28
28.24	49.49
27.77	47.71
27.34	45.92
26.97	44.14
26.5	42.34
26.1	40.54
25.58	38.76
25.2	36.95
24.82	35.18
24.33	33.39
23.91	31.59
23.55	29.81
23.08	28.02
22.62	26.22
22.33	24.43
21.88	22.63
21.43	20.84
21.03	19.04
20.68	17.25
20.19	15.45
19.81	13.66
19.38	11.87
19.05	10.1
18.71	8.38
18.33	6.58
18	4.77
17.53	2.96
17.22	1.15
16.84	-0.65
16.39	-2.46
16.04	-4.26
15.66	-6.07
15.3	-7.88
14.88	-9.69
14.54	-11.48
14.16	-13.31
13.81	-15.14
13.43	-16.91
12.94	-18.71
12.51	-20.51
12.16	-22.33
11.71	-24.13
11.4	-25.96
11.06	-27.74
10.57	-29.55
10.22	-31.36
9.84	-33.17
9.37	-34.99
9.06	-36.8
8.57	-38.59
8.19	-40.4
7.79	-42.2
7.41	-43.99
7	-45.81
6.63	-47.61
6.27	-49.42
5.71	-51.21
5.33	-53.02
5.02	-54.81
4.55	-56.62
4.08	-58.45
3.7	-60.24
3.35	-62.04
3.17	-62.42
3.12	-59.98
2.77	-61.81
2.43	-63.65
2.08	-65.5
1.79	-67.32
1.45	-69.14
1.07	-70.94
0.65	-72.75
0.14	-74.56
-0.22	-76.35
-0.62	-78.14
-1.05	-79.94
-1.56	-81.74
-1.98	-83.53
-2.45	-85.33
-2.92	-87.12
-3.34	-88.9
-3.79	-90.68
-4.19	-92.47
-4.64	-94.24
-5.22	-96.02
-5.55	-97.79
-6.15	-99.57
-6.6	-101.34
-7.07	-103.12
-7.56	-104.9
-8.07	-106.65
-8.45	-108.42
-9.03	-110.19
-9.43	-111.95
-10.01	-113.71
-10.53	-115.47
-11.02	-117.24
-11.53	-118.99
-12.11	-120.73
-12.51	-122.49
-13.02	-124.25
-13.63	-125.99
-14.18	-127.74
-14.67	-129.46
-15.25	-131.19
-15.83	-132.92
-16.44	-134.64
-16.81	-136.37
-17.42	-138.09
-18.02	-139.83
-18.58	-141.54
-19.25	-143.24
-19.85	-144.94
-20.38	-146.64
-20.99	-148.34
-21.41	-149.36
-21.77	-150.02
-21.83	-147.93
-21.79	-149.97
-21.94	-147.75
-22.57	-149.65
-23.17	-151.35
-23.84	-153.03
-24.42	-154.7
-25.24	-156.35
-26	-158
-26.72	-159.64
-27.7	-161.24
-28.43	-162.84
-29.39	-164.43
-30.31	-166.01
-31.33	-167.58
-32.34	-169.1
-33.61	-170.55
-34.92	-171.98
-36.33	-173.36
-37.76	-174.39
-38.09	-174.59
-40.68	-175.4
-42.51	-176.61
-45.3	-177.41
-49.8	-173.36
-49.91	-171.36
-49.84	-159.51
-49.47	-157.69
-49.02	-155.86
-48.71	-154.05
-48.37	-152.24
-48.04	-150.44
-47.55	-148.67
-47.01	-146.88
-46.66	-145.13
-46.03	-143.35
-45.63	-141.58
-45.16	-139.81
-44.67	-138.05
-44.2	-136.28
-43.71	-134.5
-43.22	-132.73
-42.71	-130.98
-42.24	-129.2
-41.79	-127.43
-41.28	-125.66
-40.81	-123.9
-40.28	-122.13
-39.65	-120.36
-39.27	-118.6
-38.85	-116.82
-38.16	-115.06
-37.87	-113.27
-37.33	-111.52
-36.73	-109.75
-36.22	-107.99
-35.84	-106.21
-35.26	-104.44
-34.88	-102.68
-34.41	-100.91
-33.92	-99.13
-33.43	-97.36
-32.76	-95.6
-32.4	-93.84
-31.85	-92.08
-31.31	-90.31
-30.8	-88.58
-30.29	-86.81
-29.77	-85.06
-29.19	-83.28
-28.66	-81.54
-28.32	-79.8
-27.7	-78.03
-27.27	-76.28
-26.81	-74.51
-26.25	-72.77
-25.65	-71.02
-25.18	-69.25
-24.67	-67.51
-24.22	-65.75
-23.68	-63.99
-23.15	-62.23
-22.66	-60.46
-22.14	-58.7
-21.65	-56.94
-21.16	-55.18
-20.81	-53.43
-20.25	-51.67
-19.83	-49.9
-19.25	-48.14
-18.8	-46.39
-18.35	-44.62
-17.93	-42.87
-17.37	-41.09
-16.97	-39.32
-16.46	-37.57
-15.99	-35.82
-15.5	-34.04
-15.05	-32.28
-14.52	-30.5
-14.03	-28.74
-13.51	-26.98
-13.18	-25.2
-12.62	-23.45
-12.22	-21.68
-11.64	-19.91
-11.28	-18.12
-10.73	-16.37
-10.24	-14.6
-9.83	-12.84
-9.28	-11.06
-8.79	-9.31
-8.27	-7.55
-7.89	-5.78
-7.43	-4.03
-6.8	-2.36
-6.49	-0.58
-6.04	1.18
-5.51	2.96
-4.99	4.73
-4.57	6.49
-4.12	8.27
-3.54	10.05
-3.17	11.8
-2.65	13.58
-2.07	15.34
-1.58	17.13
-1.02	18.89
-0.56	20.65
-0.11	22.42
0.47	24.17
0.54	24.77
0.94	23.94
1.34	25.78
1.63	27.59
2.08	29.38
2.61	31.17
2.99	32.96
3.59	34.72
3.95	36.49
4.44	38.26
5	40.02
5.49	41.79
5.98	43.55
6.58	45.31
7.12	47.06
7.58	48.81
8.01	50.58
8.63	52.35
9.17	54.09
9.57	55.87
10.22	57.59
10.66	59.33
11.22	61.07
11.76	62.82
12.36	64.56
12.8	66.29
13.36	68.03
13.99	69.78
14.52	71.5
15.12	73.23
15.59	74.98
16.19	76.7
16.75	78.42
17.26	80.14
17.84	81.86
18.4	83.57
18.96	85.28
19.61	87.02
20.14	88.71
20.79	90.41
21.35	92.1
21.95	93.79
22.68	95.5
23.24	97.18
23.93	98.87
24.62	100.53
25.23	102.25
25.94	103.91
26.61	105.58
27.39	107.26
28.01	108.92
28.77	110.57
29.44	112.23
30.15	113.88
30.91	115.53
31.81	117.18
32.54	118.84
33.32	120.46
34.12	122.09
35.04	123.69
35.73	125.32
36.6	126.93
37.58	128.55
38.45	130.16
39.37	131.73
40.37	133.3
41.33	134.85
42.33	136.41
43.2	137.93
44.32	139.47
45.45	140.97
46.5	142.44
47.66	143.89
48.93	145.31
50.32	146.67
51.72	147.98
52.79	148.8
52.88	145.4
52.79	143.53
52.55	141.7
52.12	139.88
51.83	138.06
51.54	136.25
51.03	134.49
50.63	132.72
50.12	130.94
49.69	129.18
49.25	127.42
48.8	125.64
48.44	123.88
47.89	122.1
47.51	120.34
46.95	118.56
46.46	116.8
46.08	115.03
45.48	113.28
44.96	111.5
44.58	109.73
44.16	107.99
43.69	106.21
43.14	104.45
42.62	102.69
42.13	100.92
41.75	99.16
41.17	97.4
40.64	95.63
40.12	93.86
39.63	92.1
39.21	90.33
38.63	88.58
38.25	86.81
37.65	85.05
37.27	83.29
36.64	81.51
36.18	79.73
35.75	77.99
35.13	76.2
34.68	74.46
34.19	72.7
33.68	70.92
33.25	69.16
32.79	67.39
32.18	65.63
31.85	63.87
31.23	62.1
30.71	60.31
30.38	58.55
29.89	56.78
29.31	55.01
28.77	53.25
28.39	51.48
27.84	49.72
27.34	47.95
26.88	46.17
26.39	44.41
25.92	42.65
25.38	40.88
24.91	39.11
24.49	37.35
23.93	35.59
23.6	33.83
23.02	32.06
22.51	30.29
22.06	28.51
21.66	26.75
21.1	24.99
20.63	23.22
20.16	21.45
19.76	19.67
19.34	17.92
18.85	16.14
18.31	14.39
17.91	12.63
17.42	10.86
17	9.14
16.51	7.44
16.15	5.66
15.57	3.89
15.15	2.1
14.7	0.33
14.32	-1.43
13.78	-3.21
13.29	-4.97
12.8	-6.75
12.34	-8.52
11.91	-10.28
11.49	-12.05
10.89	-13.82
10.44	-15.6
9.97	-17.36
9.48	-19.13
9.1	-20.91
8.59	-22.68
8.12	-24.44
7.58	-26.2
7.05	-27.96
6.63	-29.74
6.07	-31.49
5.64	-33.26
5.11	-35.03
4.62	-36.78
4.08	-38.55
3.55	-40.32
3.03	-42.07
2.77	-42.34
2.81	-39.97
2.43	-41.81
2.08	-43.63
1.61	-45.44
1.14	-47.23
0.65	-49
0.25	-50.78
-0.2	-52.55
-0.8	-54.31
-1.31	-56.08
-1.85	-57.83
-2.36	-59.6
-2.81	-61.35
-3.39	-63.09
-3.92	-64.85
-4.48	-66.59
-4.93	-68.34
-5.48	-70.07
-6.04	-71.82
-6.64	-73.56
-7.34	-75.28
-7.76	-77
-8.29	-78.74
-9.03	-80.46
-9.59	-82.19
-10.19	-83.93
-10.66	-85.64
-11.35	-87.35
-11.89	-89.08
-12.53	-90.78
-13.02	-92.51
-13.65	-94.22
-14.27	-95.93
-14.85	-97.63
-15.63	-99.32
-16.21	-101
-16.84	-102.68
-17.53	-104.4
-18.11	-106.06
-18.78	-107.73
-19.4	-109.41
-20.2	-111.09
-20.76	-112.75
-21.61	-114.42
-22.26	-116.08
-23.06	-117.74
-23.77	-119.4
-24.4	-121.06
-25.18	-122.72
-26.05	-124.32
-26.76	-125.95
-27.56	-127.57
-28.46	-129.18
-29.3	-130.79
-30.17	-132.38
-31.2	-133.97
-31.94	-135.57
-32.98	-137.15
-33.9	-138.73
-34.75	-140.32
-35.66	-141.88
-36.69	-143.44
-37.82	-144.96
-38.85	-146.52
-39.92	-148
-40.99	-149.49
-42.37	-150.97
-43.6	-152.35
-45.14	-153.69
-45.79	-154.14
-47.15	-154.79
-49.02	-155.88
-50.22	-153.43
-49.84	-151.58
-49.58	-149.75
-49.11	-147.91
-48.86	-146.1
-48.46	-144.25
-47.95	-142.48
-47.64	-140.7
-47.12	-138.93
-46.68	-137.16
-46.25	-135.39
-45.81	-133.6
-45.21	-131.83
-44.8	-130.06
-44.36	-128.28
-43.87	-126.5
-43.4	-124.75
-42.98	-122.98
-42.46	-121.19
-41.95	-119.44
-41.5	-117.67
-40.97	-115.9
-40.52	-114.13
-39.88	-112.37
-39.36	-110.6
-39.01	-108.83
-38.56	-107.05
-37.91	-105.29
-37.51	-103.54
-36.86	-101.74
-36.57	-99.98
-35.95	-98.22
-35.46	-96.44
-34.99	-94.67
-34.59	-92.9
-33.97	-91.14
-33.47	-89.39
-32.92	-87.62
-32.45	-85.87
-31.96	-84.1
-31.45	-82.35
-30.98	-80.6
-30.33	-78.84
-29.95	-77.1
-29.26	-75.35
-28.77	-73.59
-28.39	-71.83
-27.81	-70.09
-27.32	-68.33
-26.74	-66.59
-26.34	-64.82
-25.8	-63.07
-25.13	-61.32
-24.62	-59.58
-24.24	-57.82
-23.68	-56.07
-23.08	-54.31
-22.75	-52.55
-22.21	-50.8
-21.68	-49.04
-21.19	-47.28
-20.7	-45.52
-20.05	-43.78
-19.56	-42
-19.2	-40.25
-18.64	-38.5
-18.26	-36.74
-17.75	-34.99
-17.24	-33.24
-16.68	-31.48
-16.28	-29.74
-15.77	-27.98
-15.23	-26.23
-14.65	-24.48
-14.18	-22.72
-13.65	-20.96
-13.29	-19.19
-12.73	-17.44
-12.2	-15.7
-11.66	-13.93
-11.26	-12.18
-10.77	-10.43
-10.28	-8.67
-9.63	-6.93
-9.19	-5.19
-8.72	-3.53
-8.27	-1.78
-7.76	-0.03
-7.22	1.73
-6.71	3.5
-6.18	5.23
-5.69	6.98
-5.15	8.74
-4.57	10.5
-4.15	12.25
-3.63	14
-3.1	15.76
-2.54	17.51
-1.98	19.27
-1.36	21.02
-0.94	22.76
-0.36	24.49
0.29	26.24
0.56	26.94
1.01	25.91
1.36	27.75
1.81	29.56
2.28	31.34
2.63	33.12
3.15	34.89
3.75	36.65
4.22	38.4
4.8	40.16
5.29	41.9
5.82	43.64
6.36	45.37
6.92	47.15
7.56	48.86
8.12	50.59
8.57	52.34
9.23	54.06
9.77	55.8
10.37	57.53
10.91	59.25
11.49	60.97
12.16	62.69
12.78	64.4
13.36	66.13
13.85	67.84
14.54	69.55
15.12	71.26
15.64	72.97
16.26	74.68
16.86	76.38
17.49	78.08
18.07	79.78
18.74	81.46
19.34	83.16
19.94	84.85
20.63	86.53
21.35	88.2
21.95	89.88
22.71	91.54
23.31	93.21
23.98	94.87
24.76	96.56
25.45	98.22
26.14	99.86
26.94	101.52
27.66	103.17
28.35	104.82
29.13	106.45
30.02	108.1
30.78	109.73
31.49	111.36
32.32	112.99
33.19	114.6
33.97	116.21
34.95	117.83
35.66	119.43
36.67	121.04
37.51	122.65
38.38	124.22
39.41	125.82
40.28	127.38
41.26	128.97
42.18	130.54
43.25	132.06
44.21	133.59
45.34	135.1
46.35	136.6
47.42	138.06
48.69	139.5
49.98	140.91
51.23	142.26
52.7	143.56
53.62	144.13
54.31	144.74
56.58	145.62
63.45	144.54
71.19	139.19
71.28	137.2
71.33	135.19
71.26	133.2
71.24	131.2
70.95	125.45
70.59	123.65
70.19	121.81
69.72	120.07
69.21	118.3
68.74	116.56
68.23	114.78
67.89	113.03
67.27	111.27
66.71	109.51
66.26	107.77
65.68	106
65.17	104.24
64.79	102.49
64.14	100.73
63.74	98.98
63.1	97.25
62.63	95.47
62.03	93.74
61.51	91.99
61.07	90.24
60.42	88.5
59.91	86.75
59.46	84.99
58.93	83.26
58.43	81.52
57.99	79.77
57.39	78.03
56.9	76.28
56.41	74.54
55.94	72.8
55.4	71.05
54.98	69.3
54.46	67.58
54.02	65.83
53.51	64.09
53.04	62.35
52.64	60.61
52.03	58.87
51.52	57.12
50.94	55.4
50.45	53.64
49.96	51.92
49.45	50.19
48.93	48.42
48.38	46.7
47.82	44.97
47.26	43.23
46.77	41.49
46.19	39.76
45.54	38.02
45.01	36.31
44.45	34.58
43.98	32.85
43.34	31.13
42.73	29.39
42.15	27.67
41.55	25.95
40.97	24.23
40.35	22.51
39.75	20.86
39.23	19.16
38.74	17.43
38.12	15.73
37.49	14
36.98	12.28
36.31	10.58
35.62	8.87
35.13	7.14
34.48	5.43
33.9	3.73
33.17	2.02
32.52	0.3
31.92	-1.41
31.27	-3.1
30.67	-4.8
30.09	-6.51
29.46	-8.24
28.84	-9.94
28.19	-11.65
27.55	-13.35
26.88	-15.02
26.23	-16.72
25.56	-18.43
24.94	-20.1
24.29	-21.8
23.69	-23.49
23.02	-25.17
22.33	-26.87
