"Bayrak and Sheikh 1996, AS7-HT"	
6.066735318	116.3676471
5.940203615	114.3004202
5.942843515	112.3193277
5.802859077	110.855042
5.758912371	108.8739496
5.601495084	107.0651261
5.53718587	104.8256303
5.44541488	102.6722689
5.325730181	100.6911765
5.231491877	99.22689076
5.204606997	97.76260504
5.018381997	95.78151261
4.965822396	93.54201681
4.900457319	91.1302521
4.608145805	87.42647059
4.511291752	83.98109244
4.398200547	82.01722689
4.20570459	79.70882353
4.086513605	76.90084034
4.011949901	74.68718487
3.882163159	72.29264706
3.807360778	70.5355042
3.693255707	67.88256303
3.490504705	64.48886555
3.34375607	62.75756303
3.300776536	60.8539916
3.231278814	58.85567227
3.016287951	55.03130252
2.8707845	52.60231092
2.747441974	49.49285714
2.606363552	47.40840336
2.498737821	45.31533613
2.496362335	43.23088235
2.344082731	41.08613445
2.185402193	38.74327731
2.061308052	35.47016807
1.947964604	32.25735294
1.867108916	30.6552521
1.781509137	28.6052521
1.63427139	25.93508403
1.483751534	23.37689076
1.407144522	20.96684874
1.30300585	18.84105042
1.225851833	16.84617647
1.090302286	14.78670168
1.009662302	12.70397059
0.881784221	10.76939076
0.792214334	8.64789916
0.687518341	6.701260504
0.590149941	3.815756303
0.518255981	1.82605042
0.454382548	0.430672269
0.366280984	-0.714915966
0.212354228	-2.635714286
0.117559009	-4.539285714
0.07563809	-6.124159664
-0.028260242	-7.795168067
-0.083268458	-10.09495798
-0.164888168	-11.53340336
-0.261001308	-13.63508403
-0.345053865	-15.55588235
-0.425736053	-17.3302521
-0.546532905	-19.475
-0.633018861	-20.95651261
-0.657288031	-23.36827731
-0.78404388	-25.01344538
-0.932731269	-26.65861345
-1.000881623	-28.61386555
-1.144772944	-30.32794118
-1.117876368	-31.89558824
-1.235590511	-34.17815126
-1.353265848	-35.93529412
-1.457847736	-37.52878151
-1.501301051	-39.65630252
-1.642553555	-41.37037815
-1.693666429	-43.38592437
-1.719211479	-45.10861345
-1.945961881	-47.08970588
-1.972404645	-49.26890756
-2.036887208	-50.87962185
-2.181259806	-52.3697479
-2.251621632	-54.52310924
-2.245487985	-56.33193277
-2.418511983	-57.79621849
-2.456121774	-59.69117647
-2.536666112	-61.24159664
-2.649086048	-63.22268908
-2.788564106	-65.20378151
-2.855225566	-66.66806723
-2.938677672	-68.04621849
-3.045489818	-69.68277311
-3.131034677	-71.23319328
-3.199025592	-73.30042017
-3.175351956	-74.42016807
-3.298112306	-76.05672269
-3.435456253	-77.86554622
-3.432113771	-79.32983193
-3.554713315	-80.96638655
-3.659993786	-82.77521008
-3.746297672	-84.84243697
-3.83590164	-86.56512605
-3.995996784	-88.28781513
-4.031466769	-90.18277311
-4.148115799	-91.64705882
-4.233389691	-93.54201681
-4.252365174	-95.35084034
-4.383052453	-97.50420168
-4.44571904	-98.96848739
-4.629283878	-100.7773109
-4.608011102	-98.88235294
-4.521465695	-96.9012605
-4.448135841	-95.09243697
-4.376582181	-93.28361345
-4.206609395	-91.64705882
-4.151763082	-89.83823529
-4.138057308	-87.85714286
-3.935312919	-85.78991597
-3.975245487	-84.32563025
-3.872872785	-82.51680672
-3.795524341	-80.79411765
-3.674886879	-79.32983193
-3.578081153	-77.86554622
-3.575021224	-75.97058824
-3.411728706	-73.81722689
-3.346982872	-71.66386555
-3.263187401	-69.85504202
-3.162801508	-67.70168067
-3.107451136	-65.9789916
-3.023138869	-63.7394958
-2.90725709	-61.24159664
-2.680441501	-59.00210084
-2.664419943	-57.27941176
-2.574442532	-55.12605042
-2.430993855	-53.31722689
-2.303877923	-51.50840336
-2.219860638	-49.43256303
-2.112735319	-47.12415966
-2.104981071	-44.64348739
-1.844604968	-42.39537815
-1.788035601	-40.50042017
-1.752889664	-38.16617647
-1.590050442	-36.5210084
-1.572793385	-34.58298319
-1.394572378	-32.92058824
-1.354430489	-30.81890756
-1.203226635	-28.57079832
-1.170430144	-26.71890756
-1.084969466	-24.99621849
-0.954542025	-22.95483193
-0.887622861	-21.19768908
-0.819101125	-19.3802521
-0.686545558	-17.31302521
-0.597938428	-15.76260504
-0.454162433	-12.37752101
-0.382214308	-10.0605042
-0.237024751	-8.044957983
-0.113513367	-5.521218487
-0.007887369	-3.264495798
0.062973113	-1.119747899
0.229795893	0.895798319
0.279744738	3.109453782
0.455097471	4.711554622
0.544706446	7.037184874
0.689258863	10.90462185
0.763183482	12.81163866
0.901971603	15.71092437
0.989118744	17.94094538
1.090530372	19.95821429
1.145168753	21.82302521
1.346637882	25.65945378
1.507432871	28.4157563
