"Zhou et al. 1987, Specimen 10408"	
-0.21429	3.6715
-0.19047	4.9275
-0.13809	8.2128
-0.090475	10.145
-0.05238	11.401
-0.0047619	12.85
0.085712	17.488
0.18571	22.319
0.21429	24.928
0.24285	26.57
0.31429	31.498
0.3238	34.396
0.33809	35.749
0.37619	38.648
0.43332	40.87
0.44285	42.899
0.47619	44.831
0.49522	45.992
0.54285	48.697
0.59522	51.21
0.6238	52.562
0.67142	56.427
0.69046	58.358
0.71427	59.906
0.74761	61.645
0.76665	62.801
0.80475	64.638
0.85712	66.956
0.89999	69.371
0.91427	70.341
1.0047	73.912
1.0476	75.652
1.0952	76.91
1.2047	78.65
1.2666	79.615
1.3857	81.256
1.4428	81.839
1.4809	82.128
1.5476	82.515
1.5857	82.706
1.6238	82.706
1.6476	80.776
1.6476	77.68
1.6524	75.652
1.6143	70.723
1.6048	67.538
1.5523	63.673
1.519	61.351
1.4856	57.78
1.4428	54.395
1.3809	51.597
1.319	48.408
1.2809	46.281
1.2143	42.03
1.1809	39.71
1.1619	38.165
1.1238	35.362
1.0762	32.851
1.0428	31.112
1.0238	29.759
0.92856	25.024
0.84761	20.773
0.77617	17.681
0.71904	14.589
0.68094	12.561
0.63332	9.952
0.59999	8.2128
0.57619	6.1836
0.53809	4.2513
0.50951	3.0918
0.46666	1.0628
0.43332	-0.77297
0.40475	-2.2223
0.34761	-4.541
0.3	-6.5701
0.23809	-8.8889
0.20952	-10.145
0.18095	-11.788
0.16666	-13.816
0.16666	-14.493
0.099999	-17.488
0.042856	-19.517
0.019047	-20.29
-0.023809	-22.802
-0.10952	-26.087
-0.15237	-28.02
-0.21905	-31.208
-0.25714	-33.14
-0.27619	-35.073
-0.29524	-36.329
-0.30476	-37.778
-0.31904	-39.324
-0.33809	-41.16
-0.35714	-42.802
-0.38571	-44.929
-0.41427	-46.668
-0.43809	-48.599
-0.4619	-50.049
-0.48571	-51.788
-0.53332	-54.301
-0.59522	-56.814
-0.63809	-58.358
-0.6857	-59.999
-0.74761	-62.708
-0.79999	-65.217
-0.88094	-68.695
-0.91904	-69.856
-0.95236	-71.11
-0.99522	-72.658
-1.0524	-74.202
-1.0809	-75.362
-1.1238	-76.523
-1.1952	-78.454
-1.2333	-79.13
-1.3	-80.1
-1.3429	-80.776
-1.3904	-81.643
-1.4143	-82.03
-1.4571	-82.608
-1.4714	-82.804
-1.5047	-82.897
-1.5047	-80.482
-1.5286	-78.841
-1.5333	-75.362
-1.5333	-74.882
-1.5381	-73.819
-1.5381	-71.11
-1.5333	-68.695
-1.5333	-66.956
-1.5237	-64.83
-1.5142	-63.384
-1.5047	-61.645
-1.4047	-57.197
-1.3762	-53.816
-1.3381	-52.655
-1.2809	-49.177
-1.2428	-47.345
-1.2238	-45.992
-1.1619	-41.643
-1.1333	-40.097
-1.0333	-35.556
-0.99999	-31.884
-0.96665	-29.759
-0.90951	-26.764
-0.88094	-25.024
-0.85712	-23.865
-0.79999	-21.353
-0.75714	-18.841
-0.6619	-13.527
-0.59999	-9.6619
-0.53809	-5.2175
-0.50475	-2.3189
-0.4619	1.4493
-0.39524	5.8936
-0.29047	10.628
-0.18571	15.266
-0.099999	19.13
-0.0095236	22.512
0.099999	26.281
0.19524	29.179
0.14285	28.889
0.22856	31.981
0.29047	34.107
0.23332	35.556
0.28571	38.841
0.34761	41.836
0.44285	45.023
0.51427	47.731
0.61904	51.21
0.69046	54.688
0.80475	58.647
0.88094	61.062
0.9857	64.349
1.1	67.151
1.1524	68.695
1.2428	71.11
1.3334	73.236
1.3999	74.397
1.5	76.039
1.5762	76.91
1.5999	77.199
1.6333	77.199
1.6524	75.749
1.6285	73.143
1.5999	70.243
1.5762	68.215
1.5237	64.251
1.5	61.16
1.4619	57.971
1.4285	55.169
1.3618	51.303
1.3143	46.86
1.2333	42.899
1.1666	39.131
1.1095	35.362
1.019	30.242
0.9476	25.894
0.84761	21.256
0.77141	17.875
0.68094	13.044
0.64761	10.725
0.59522	7.0532
0.54285	4.6379
0.44285	0
0.37619	-2.9952
0.31429	-5.604
0.25237	-8.6958
0.21905	-10.725
0.19524	-12.85
0.1619	-15.072
0.071427	-17.875
0.014285	-20.387
-0.014285	-22.126
-0.14285	-27.826
-0.17142	-29.082
-0.28095	-33.43
-0.38571	-37.488
-0.48095	-41.933
-0.59522	-47.055
-0.6619	-50.147
-0.78094	-54.203
-0.86189	-57.393
-0.9476	-60.293
-1.0952	-64.349
-1.1762	-66.764
-1.2619	-69.954
-1.3048	-71.306
-1.3618	-72.756
-1.4094	-74.202
-1.438	-74.882
-1.4761	-75.558
-1.5095	-75.941
-1.5762	-75.558
-1.5999	-74.495
-1.6095	-73.819
-1.6429	-72.369
-1.6761	-71.404
-1.7	-70.047
-1.7142	-66.956
-1.7142	-65.123
-1.6905	-63.286
-1.6619	-61.738
-1.6143	-59.132
-1.5762	-57.393
-1.5618	-57.103
-1.5571	-56.716
-1.4856	-53.14
-1.4094	-47.634
-1.3334	-42.513
-1.2666	-37.682
-1.1666	-31.788
-1.0905	-28.696
-1.0476	-26.667
-0.9857	-21.836
-0.95236	-19.034
-0.86189	-14.686
-0.8238	-12.947
-0.75714	-10.048
-0.68094	-6.1836
-0.60475	-2.9952
-0.52856	0.19324
-0.40475	5.5075
-0.2619	11.401
-0.14285	16.232
-0.090475	18.551
-0.028571	21.45
0.05238	24.831
0.12857	27.73
0.20476	30.338
0.31429	33.527
0.40475	38.068
0.51904	41.546
0.64285	45.023
0.80475	49.471
0.95712	53.042
1.0333	55.556
1.0952	57.682
1.2381	61.062
1.3238	62.899
1.3999	63.962
1.4905	65.506
1.5667	66.475
1.619	66.956
1.6666	67.151
1.6714	64.349
1.6666	61.547
1.6333	57.682
1.5762	53.625
1.519	48.599
1.4475	43.479
1.4047	40.097
1.3476	36.329
1.2476	30.628
1.1143	23.575
1.0095	18.841
0.93809	15.266
0.81904	10.628
0.71904	6.7632
0.68094	4.6379
0.57142	-0.096619
0.49522	-3.2851
0.35714	-8.4058
0.28095	-11.691
0.17142	-16.039
0.085712	-19.13
0.0095236	-21.16
-0.10952	-24.638
-0.20476	-29.179
-0.24761	-31.401
-0.4	-36.812
-0.51904	-40
-0.61904	-42.802
-0.69999	-45.023
-0.80475	-47.731
-0.89999	-50.534
-0.99999	-53.914
-1.0762	-56.04
-1.1476	-57.873
-1.2428	-59.71
-1.3523	-61.351
-1.419	-62.414
-1.4714	-62.899
-1.5	-62.512
-1.5047	-59.71
-1.5047	-57.197
-1.4856	-51.979
-1.4761	-50.436
-1.438	-45.699
-1.3285	-41.063
-1.2809	-37.971
-1.2143	-32.851
-1.1333	-28.599
-1.0238	-24.928
-0.89046	-20.677
-0.77141	-15.749
-0.6619	-10.048
-0.58095	-4.058
-0.49047	0.96619
-0.4238	4.058
-0.26666	11.788
-0.22856	13.623
-0.15714	16.329
-0.066666	19.517
0.023809	23.285
0.12857	27.054
0.21429	30.048
0.29047	32.851
0.34285	35.073
0.53809	39.227
0.69046	41.643
0.83332	44.252
0.93809	46.281
1.1285	50.436
1.2524	52.851
1.3429	54.492
1.4856	56.814
1.5286	57.49
1.5857	58.069
1.638	58.166
1.819	59.519
1.9856	59.906
2.1619	59.906
2.3285	59.519
2.5	58.843
2.6952	57.006
2.7951	56.04
3	53.042
3.0809	49.858
3.1095	48.599
3.1333	46.958
3.138	45.507
3.2189	42.996
3.2475	42.416
3.2523	41.353
3.2523	39.421
3.2333	35.846
3.1713	31.981
3.119	28.792
3.0809	25.894
3.0142	22.802
2.9619	18.744
2.9238	15.749
2.8904	13.333
2.8142	10.242
2.5999	5.314
2.4333	1.1594
2.3095	-2.1256
1.9905	-8.8889
1.9475	-9.952
1.7809	-14.396
1.638	-19.42
1.4238	-23.768
1.2714	-26.184
1.0286	-29.082
0.89999	-30.532
0.55714	-34.493
0.36666	-36.715
0.27142	-37.392
0.12381	-38.261
-0.15237	-39.517
-0.43332	-40.773
-0.63809	-41.257
-0.74761	-41.257
-0.8857	-41.45
-1.1	-41.45
-1.2381	-41.546
-1.319	-41.45
-1.4809	-41.16
-1.6429	-40.677
-1.9094	-39.71
-2.0523	-38.551
-2.1761	-37.392
-2.2904	-36.329
-2.4761	-34.783
-2.6285	-33.817
-2.7333	-32.754
-2.8762	-30.822
-2.9761	-29.469
-3.0809	-27.633
-3.2142	-23.961
-3.3285	-19.324
-3.3523	-18.358
-3.3809	-16.619
-3.3952	-15.266
-3.4238	-14.01
-3.4666	-12.947
-3.5142	-11.981
-3.5667	-10.918
-3.5951	-10.435
-3.5476	-9.1789
