"Mo and Wang, 2000 Test C3-2"	
23.805	224.37
30.97	255.37
26.909	195.31
19.855	124.27
12.591	65.92
6.206	9.28
3.991	-41.99
-1.184	-59.57
-7.659	-109.13
-14.842	-168.21
-21.008	-229.98
-28.023	-274.17
-24.302	-214.84
-17.607	-142.82
-11.002	-78.86
-4.397	-18.55
3.145	34.67
4.661	85.45
10.635	99.12
17.43	146
23.386	201.17
30.76	246.34
26.47	191.65
19.865	122.07
13.05	65.67
5.797	10.74
3.941	-38.82
-1.254	-55.42
-8.188	-103.76
-14.254	-158.2
-20.819	-213.13
-28.263	-266.6
-24.531	-212.16
-16.918	-141.6
-10.294	-79.59
-3.469	-20.51
-3.469	-20.51
4.074	37.35
6.839	88.38
12.551	105.96
21.172	173.34
29.034	231.45
37.345	259.52
32.377	192.38
24.175	114.01
16.003	52.25
7.832	-2.93
5.051	-44.43
-2.242	-71.04
-10.094	-126.22
-18.195	-187.01
-26.476	-249.51
-34.409	-282.47
-29.799	-213.87
-22.207	-134.03
-13.357	-65.67
-6.243	-4.39
2.487	46.39
5.6	74.71
13.13	112.55
20.763	159.42
29.323	209.47
37.615	249.02
32.187	184.33
23.975	108.15
16.033	48.34
8.131	-5.62
4.83	-44.19
-2.551	-69.82
-10.403	-116.94
-18.794	-171.63
-26.526	-226.32
-34.648	-274.41
-30.498	-209.72
-21.289	-131.59
-13.337	-65.19
-5.545	-6.35
-5.545	-6.35
3.694	43.95
6.076	78.37
15.165	120.61
25.222	179.93
34.252	231.45
43.292	257.08
38.094	182.86
28.296	99.12
19.177	33.45
13.26	-22.95
5.85	-54.69
-3.209	-82.76
-12.678	-135.25
-22.216	-193.85
-31.295	-252.44
-40.705	-282.23
-35.168	-205.08
-26.488	-119.14
-17.239	-47.36
-7.192	9.28
-1.003	55.42
6.156	94.48
15.704	112.79
25.043	168.7
33.803	214.84
43.522	248.78
38.323	177
28.535	95.21
18.977	31.25
13.338	-22.95
5.321	-52.73
-3.968	-78.86
-12.568	-125.73
-22.126	-177.98
-31.784	-230.22
-40.955	-272.71
-35.427	-199.22
-25.799	-115.23
-16.55	-45.9
-7.162	9.03
-7.162	9.03
3.594	55.66
9.843	76.66
18.987	129.39
28.984	185.79
40.239	231.45
50.337	254.15
43.322	167.24
32.387	80.81
21.022	12.21
11.566	-39.06
5.15	-56.4
-5.525	-93.51
-15.901	-142.82
-26.577	-198.24
-37.103	-250.98
-47.649	-277.59
-40.346	-187.74
-29.561	-97.9
-18.645	-25.39
-8.099	28.32
2.886	69.34
9.752	81.05
18.847	126.71
29.783	177.73
39.86	218.75
52.252	248.29
43.632	163.09
32.447	78.86
21.072	11.23
12.267	-37.6
5.49	-58.59
-5.585	-91.06
-15.941	-135.5
-26.697	-185.3
-37.632	-233.89
-48.148	-270.02
-41.065	-182.13
-29.82	-94.24
-19.803	-23.68
-8.099	28.32
-8.099	28.32
3.534	66.41
7.582	81.79
20.583	134.28
32.037	187.99
45.088	229.74
57.132	253.42
49.419	165.28
37.126	74.22
27.003	2.93
18.971	-46.14
6.469	-69.09
-5.823	-99.85
-18.165	-144.29
-29.849	-196.53
-41.892	-244.63
-54.325	-271.97
-47.012	-181.88
-34.939	-86.18
-22.787	-14.4
-10.445	39.31
-2.722	77.64
8.21	89.84
20.763	133.3
32.925	181.15
44.829	220.21
57.341	246.34
49.858	160.4
37.805	71.78
26.604	2.69
18.981	-44.92
6.469	-67.38
-5.833	-98.14
-17.726	-139.16
-30.108	-186.77
-42.182	-230.71
-54.605	-262.7
-47.74	-174.8
-34.959	-82.52
-23.475	-12.7
-10.455	39.79
-10.455	39.79
3.524	75.2
9.398	99.85
23.317	141.6
36.836	191.16
50.347	228.76
63.538	250.98
55.595	156.98
41.716	64.21
30.226	-5.86
20.228	-49.07
6.159	-74.46
-6.831	-106.45
-20.081	-148.44
-34.06	-197.02
-47.2	-239.5
-60.97	-265.14
-53.667	-169.43
-39.31	-72.02
-25.78	-1.46
-12.101	50.29
-3.641	86.18
9.138	106.45
23.077	140.87
36.767	185.79
50.337	221.19
64.665	244.87
55.126	153.32
41.467	62.5
29.657	-5.62
19.988	-47.36
6.149	-73
-7.081	-104.49
-20.79	-143.55
-33.85	-188.23
-47.28	-227.78
-61.26	-257.08
-52.799	-164.06
-39.32	-69.09
-26.459	-0.49
-12.061	50.05
-12.061	50.05
-2.195	82.76
10.535	107.18
24.963	147.46
39.84	193.36
55.505	229
70.752	249.51
61.223	151.12
46.457	54.93
37.08	-15.14
22.334	-53.96
7.078	-81.05
-7.789	-111.33
-22.675	-151.12
-37.622	-197.02
-52.639	-235.6
-68.095	-260.25
-58.767	-159.91
-43.89	-60.3
-29.732	8.06
-18.668	58.35
-4.621	92.77
9.787	112.79
25.781	145.75
40.468	187.74
54.976	221.19
70.702	242.68
61.393	146.48
47.557	53.22
37.17	-15.62
21.705	-41.26
7.098	-79.59
-8.238	-109.37
-22.675	-146.73
-37.712	-189.7
-53.088	-226.81
-68.075	-253.42
-59.006	-154.79
-44.579	-57.37
-29.084	9.52
-13.738	58.35
-13.738	58.35
3.454	88.38
11.803	112.55
27.558	151.37
44.67	193.85
60.265	226.07
77.477	245.61
66.83	141.6
50.417	44.43
34.523	-24.17
23.421	-51.51
7.047	-86.43
-8.957	-115.97
-25.659	-153.81
-41.783	-197.27
-57.877	-233.15
-74.161	-256.59
-65.331	-150.39
-48.419	-49.32
-32.186	18.55
-15.514	65.19
-3.951	98.88
12.493	117.68
28.176	149.41
43.951	188.72
60.464	220.46
76.768	240.72
66.8	138.43
50.158	43.7
34.194	-23.93
23.341	-53.96
6.528	-85.21
-9.007	-113.77
-25.48	-150.15
-41.753	-190.43
-58.386	-225.59
-74.58	-250
-64.144	-146.24
-47.711	-47.61
-31.956	18.8
-16.002	65.19
-16.002	65.19
2.955	93.51
12.74	118.41
30.112	153.56
47.952	193.85
66.052	225.34
84.302	243.16
72.927	135.01
54.917	35.89
42.717	-31.25
25.427	-58.84
7.427	-91.06
-10.164	-119.63
-27.794	-156.01
-45.574	-197.51
-63.305	-230.47
-81.515	-253.42
-71.279	-142.33
-52.601	-40.04
-35.04	27.59
-22.54	71.04
-4.261	73.49
12.84	122.07
30.232	152.83
47.643	189.7
66.221	218.75
84.232	237.79
72.867	131.59
55.107	34.42
42.047	-30.76
25.616	-59.08
7.397	-89.84
-10.423	-117.92
-27.824	-152.59
-45.963	-191.89
-63.105	-224.85
-81.765	-248.29
-70.381	-138.67
-52.601	-38.33
-35.06	28.08
-23.268	70.56
-23.268	70.56
-2.205	87.4
13.958	123.78
33.185	156.25
52.392	193.36
71.49	222.41
90.867	239.26
78.595	127.69
59.647	27.1
46.14	-36.87
26.774	-62.99
7.806	-94.97
-11.351	-122.8
-30.358	-157.71
-49.625	-196.78
-68.384	-228.27
-87.722	-249.76
-76.816	-134.77
-57.889	-31.01
-38.024	35.4
-23.867	76.66
-5.358	99.61
14.008	126.71
33.225	155.27
51.803	189.45
71.51	216.8
90.668	234.13
78.854	124.51
59.697	25.88
45.961	-37.11
27.023	-61.28
7.427	-93.75
-11.102	-121.09
-30.338	-153.32
-49.506	-190.43
-68.464	-222.17
-88.251	-243.65
-76.168	-130.37
-57.65	-29.05
-38.004	36.13
-24.216	76.66
-24.216	76.66
-2.205	94.97
15.105	128.17
35.939	158.45
56.304	193.12
76.07	219.48
97.283	235.11
84.332	119.63
64.237	18.55
49.303	-41.5
28.35	-68.36
7.976	-98.14
-12.778	-125.24
-32.933	-157.96
-53.587	-193.6
-73.712	-223.14
-94.616	-242.43
-81.895	-122.56
-61.341	-20.26
-41.047	43.7
-25.883	83.74
-5.977	106.69
15.115	129.88
35.73	157.23
56.334	189.21
77.008	214.84
96.844	230.47
84.581	116.7
64.227	17.09
49.134	-40.53
28.599	-66.89
8.036	-96.44
-12.289	-122.07
-33.152	-152.83
-53.467	-185.55
-74.051	-212.65
-94.936	-230.22
-81.696	-113.04
-61.511	-15.62
-41.077	46.63
-26.761	85.69
-26.761	85.69
-3.144	99.61
15.844	131.84
38.045	160.89
60.634	191.41
81.947	216.06
104.208	229.74
90.349	111.33
68.437	10.25
49.907	-45.9
30.076	-70.07
8.345	-97.9
-13.806	-123.29
-35.807	-152.83
-57.499	-182.37
-79.559	-205.08
-102.06	-218.75
-87.533	-98.63
-66.789	-4.39
-43.961	54.93
-27.699	92.04
-6.167	111.08
16.503	131.84
38.484	156.25
59.497	182.86
81.498	204.83
104.487	216.31
90.389	90.09
68.467	2.44
50.407	-44.92
29.866	-65.92
8.185	-90.33
-13.796	-112.3
-35.717	-138.67
-58.118	-162.35
-79.949	-182.37
-101.96	-195.31
-87.613	-81.3
-65.801	2.93
-44.939	55.66
-22.029	83.01
-22.029	83.01
-3.154	75.2
17.011	111.82
41.078	130.86
64.696	152.1
87.625	165.28
112.17	171.63
96.246	72.02
72.688	-4.39
49.33	-39.55
31.213	-54.2
8.085	-70.31
-15.204	-92.29
-38.781	-117.43
-62.099	-142.58
-85.886	-163.09
-109.244	-177.49
-93.689	-64.7
-70.012	12.7
-46.923	55.66
-24.034	71.78
0.252	81.05
17.861	90.33
42.157	105.96
65.296	122.56
88.593	132.08
112.949	118.65
96.296	44.92
72.718	-5.62
49.34	-31.25
26.982	-46.39
7.636	-57.62
-15.513	-75.2
-39.051	-94.97
-62.598	-114.99
-85.996	-132.81
-109.584	-148.19
-94.398	-45.17
-70.451	18.31
-46.644	47.61
-23.944	56.4
3.126	59.08
