"Mugaruma et al. 1989, Spec. AH2"	
0.97	101.03
1.83	129.01
2.94	158.22
4.04	185.7
5.3	211.63
6.53	228.93
7.58	237.39
7.63	234.62
7.67	224.54
7.19	198.63
6.5	171.4
5.81	144.53
5.17	116.98
4.41	89.922
3.75	62.597
2.97	35.078
2.19	7.0862
1.51	-20.772
0.78	-46.867
-0.02	-74.551
-0.94	-102.92
-1.98	-132.83
-3.07	-159.67
-4.39	-190.42
-6.4	-221.41
-7.44	-230.4
-7.55	-228.4
-7.39	-202.73
-6.74	-175.15
-6.02	-147.3
-5.28	-120.22
-4.56	-92.747
-3.82	-65.411
-3.02	-37.477
-2.21	-9.5439
-1.5	17.831
-0.73	44.765
0.15	73.686
1.09	102.89
2.05	129.45
3.21	159.32
4.54	188.44
6.08	214.74
7.41	231.5
8.74	241.51
10.06	244.82
10.11	233.02
9.53	206.29
8.94	179.26
8.07	151.03
7.25	123.31
6.42	95.848
5.57	68.04
4.79	40.565
3.81	11.383
2.96	-16.511
2.06	-43.06
1.03	-72.209
-0.03	-100.7
-1.23	-129.81
-2.66	-159.54
-4.33	-191.14
-5.72	-210.47
-7.22	-227.52
-8.55	-236.86
-10.02	-241.18
-9.95	-212.08
-9.23	-184.92
-8.48	-157.56
-7.6	-129.53
-6.76	-101.75
-5.79	-73.192
-4.89	-45.3
-3.85	-15.661
-2.92	11.475
-1.89	40.562
-0.9	67.032
0.35	98.414
1.59	126.86
3.15	157.17
5	188.61
6.34	207.12
7.71	222.83
8.65	231.36
10.03	239.46
9.63	206.13
8.88	178.33
8.04	150.48
7.17	122.96
6.32	95.147
5.48	68.008
4.53	39.221
3.4	10.195
2.47	-17.815
1.4	-45.904
0.27	-74.715
-1.08	-104.61
-2.57	-133.68
-4.36	-166.53
-6.29	-195.95
-7.88	-214.39
-8.71	-219.75
-10.09	-229.37
-10.3	-225.28
-10.27	-213.73
-9.56	-185.81
-8.77	-158.69
-7.89	-130.29
-6.99	-102.42
-6.09	-74.437
-5.16	-46.289
-4.21	-19.835
-4.1	-17.251
-3.18	10.362
-2.07	39.021
-0.89	68.145
0.39	98.348
1.83	127.85
3.49	158.71
5.52	187.85
7.26	211.88
8.91	227.43
10.27	235.74
11.96	244.67
12.55	241.93
12.3	213.6
11.7	186.44
10.85	158.83
9.92	130.73
8.98	102.93
7.95	74.541
6.88	46.248
5.63	17.018
4.44	-11.69
2.97	-41.99
1.64	-71.083
0.07	-101.24
-1.69	-132.12
-3.84	-164.68
-6.35	-198.39
-7.87	-214.09
-10	-229.48
-11.53	-234.82
-12.6	-237.37
-12.82	-233.99
-12.99	-224.63
-12.39	-197.7
-11.63	-170.01
-10.7	-141.78
-9.7	-113.28
-8.63	-84.395
-7.52	-55.743
-6.27	-25.782
-5.03	3.2541
-3.64	33.035
-2.05	64.106
-0.46	93.556
1.37	124.12
3.58	157.66
6.38	191.92
7.12	198.41
8.93	217.68
10.86	229.59
11.99	233.5
12.52	234.22
12.48	212.63
11.71	185.51
10.81	156.78
9.85	129.16
8.9	101.59
7.86	72.761
6.73	43.996
5.4	13.866
4.09	-14.023
2.56	-44.391
0.9	-75.75
-0.95	-105.66
-3.18	-138.67
-5.73	-171.18
-7.55	-190.33
-9.33	-206.65
-11.54	-222.52
-12.54	-225.38
-12.52	-198.68
-11.68	-170.7
-10.73	-142.23
-9.63	-110.76
-8.67	-85.311
-7.59	-56.406
-6.34	-26.782
-5.07	2.5295
-3.7	31.623
-2.05	62.335
-0.38	92.67
1.65	125.09
4	157.56
6.26	184.37
8.32	205.64
10.41	222.58
12.3	231.06
14.33	237.01
15.09	236.2
15.27	220.31
14.54	192.82
13.73	165.5
12.74	136.97
11.72	108.79
10.63	79.84
9.44	51.174
7.96	21.427
6.43	-8.1809
4.69	-38.6
2.68	-69.916
0.38	-103.29
-2.2	-136.68
-5.16	-170.06
-7.1	-189.33
-9.15	-205.76
-11.52	-219.83
-12.85	-224.91
-14.14	-228.05
-15.04	-227.27
-15.35	-208.96
-14.49	-180.99
-13.5	-152.71
-12.61	-124.87
-11.43	-95.225
-10.21	-66.114
-8.83	-36.047
-7.4	-5.5912
-5.61	25.565
-3.69	57.679
-1.55	87.977
1.08	121.59
4.15	156.88
6.36	177.71
8.29	195.93
10.9	214.12
13.75	225.48
16.21	232.4
17.55	229.39
17.36	199.35
16.49	171.72
15.42	143.28
14.35	114.36
13.24	86.037
12.01	57.351
10.33	25.238
8.7	-3.9223
6.83	-32.962
4.25	-68.785
1.52	-99.613
-2.01	-137.91
-5.87	-175.46
-8.36	-193.73
-10.59	-207.77
-13.94	-221.36
-16.15	-219.88
-17.54	-216.93
-18.25	-193.44
-17.36	-165.17
-16.3	-136.03
-15.18	-106.92
-13.98	-78.279
-12.52	-47.605
-11.1	-18.033
-9.38	13.349
-7.11	45.649
-4.53	79.59
-1.29	114.74
2.23	149.06
4.71	168.63
7.02	188.25
9.84	205.12
12.15	215.58
15.06	223.28
17.39	225.58
18.65	224.86
20.08	224.7
20.08	205.58
19.26	178.55
18.25	149.98
17.16	121.78
16.09	93.971
14.86	65.167
13.18	33.507
11.49	3.3872
9.24	-28.151
6.29	-63.327
2.64	-100.17
-2.14	-140.71
-4.1	-155.26
-7.4	-178.06
-10.5	-193.56
-15.5	-208.78
-16.94	-205.22
-18.75	-204.65
-20.15	-202.26
-20.67	-198.15
-20.26	-172.07
-19.25	-143.71
-18.32	-115.5
-17.18	-87.184
-15.79	-56.071
-14.48	-27.071
-12.95	2.2482
-10.71	36.263
-8.19	69.082
-4.94	101.99
-0.02	144.65
6.64	189
8.14	195.82
10.95	209.15
13.62	215.08
17.16	218.97
19.89	218.58
20.92	215.79
22.54	213.87
22.18	185.85
21.24	157.23
20.22	128.93
19.1	101.01
17.87	71.942
16.31	40.761
14.7	11.349
12.66	-19.39
9.82	-51.194
5.98	-91.072
0.5	-134.07
-3.51	-159.32
-6.84	-175.36
-13.09	-194.56
-18.09	-197.36
-22.35	-189.81
-25.22	-177.77
-25.74	-160.37
-25.29	-133.33
-24.24	-104.84
-23.03	-76.124
-21.87	-47.187
-20.43	-17.285
-18.69	14.052
-16.72	45.306
-13.85	79.449
-9.96	115.19
-7.38	134.35
-3.72	160.06
-0.52	177.21
2.77	192.04
5.89	201.89
10	206.98
13.59	207.11
17.91	206.84
20.4	202.04
22.61	197.72
25.23	197.4
27.66	191.89
30.11	186.13
32.75	176.11
35.09	167.36
37.69	162.08
40.31	158.37
41.24	134.63
40.45	107.07
