"Nosho,Stanton and MacRae 1996,No.1"	
849	
-8.281098246	-29.03140535
-15.29350942	-32.33027138
-16.33791043	-36.06898536
-18.87431074	-38.04830109
-20.51551396	-38.92800128
-23.35032135	-40.02762114
-25.73751825	-40.90731705
-28.72151736	-40.4674691
-31.1087262	-39.58777323
-32.15312721	-38.92800128
-33.19752797	-38.04830109
-34.9879346	-37.60845318
-36.33073074	-36.94868123
-37.3751315	-35.18928734
-37.52433516	-28.15170944
-37.3751315	-28.15170944
-36.47993415	-25.51261748
-34.39113239	-22.65360152
-32.00392355	-19.5746616
-29.01992443	-15.83594766
-25.88672191	-12.09723476
-23.49951282	-9.238217715
-21.11231617	-6.81905079
-19.0235144	-4.619807865
-16.78550897	-2.420564625
-14.39830013	-0.00139725
-11.56350443	2.857618755
-9.027091928	5.056861725
-5.744685742	7.695953415
-2.909890294	10.11512088
0.372515892	11.8745159
3.356515004	15.17337977
4.997718224	16.27300179
7.534130728	18.03239573
10.07053104	19.57186566
12.60693135	20.45156369
14.69573312	20.67148769
17.67974442	20.67148769
20.21614473	18.6921698
23.05095237	14.29368282
25.28895171	2.41777017
26.33335246	-0.00139725
