"""Mo and Wang, 2000 Test C1-1"""	
-11.47	-74.46
-9.125	-48.34
-5.863	-22.71
-3.269	-0.24
-0.715	23.93
-2.264	-21.97
-3.077	-21.48
-2.793	-34.18
-4.507	-45.41
-6.99	-71.04
-9.594	-95.7
-9.424	-95.7
-15.032	-143.8
-17.676	-167.48
-20.269	-190.67
-22.943	-214.36
-25.617	-236.08
-24.55	-218.51
-21.886	-185.79
-19.222	-156.01
-17.017	-128.17
-14.363	-100.83
-10.572	-74.22
-8.427	-48.58
-5.853	-23.19
-3.249	-0.98
5.43	83.985
6.6472	95.09
9.844	130.74
11.9712	154.05
13.8904	177.12
16.2132	200.81
18.3604	222.53
17.5744	204.715
15.3236	172.485
13.264	143.315
11.0252	116.21
9.0616	89.355
6.192	62.99
4.3724	37.35
2.4012	11.96
0.402	-10.865
-0.9448	-22.705
-1.1968	-37.11
-2.28	-43.7
-3.7348	-61.035
-5.43	-83.985
-6.6472	-95.09
-9.844	-130.74
-11.9712	-154.05
-13.8904	-177.12
-16.2132	-200.81
-18.3604	-222.53
-17.5744	-204.715
-15.3236	-172.485
-13.264	-143.315
-11.0252	-116.21
-9.0616	-89.355
-6.192	-62.99
-4.3724	-37.35
-2.4012	-11.96
-2.5992	-0.98
-3.249	15.135
9.871	49.805
-1.961	36.255
-0.289	52.855
3.113	74.95
6.375	103.145
9.718	130.735
13.05	159.18
15.704	187.135
19.765	215.21
23.177	235.715
26.171	246.46
25.742	224.24
22.569	186.4
18.727	151.61
15.565	120.36
11.733	88.745
8.92	59.45
4.989	29.54
3.615	3.785
2.564	-15.135
1.131	-49.805
-2.082	-36.255
-5.104	-52.855
-8.347	-74.95
-12.078	-103.145
-14.922	-130.735
-18.424	-159.18
-21.766	-187.135
-24.869	-215.21
-28.73	-235.715
-32.013	-246.46
-31.435	-224.24
-28.561	-186.4
-24.54	-151.61
-21.208	-120.36
-18.375	-88.745
-14.673	-59.45
-11.201	-29.54
-8.388	-3.785
-4.707	17.7
-3.056	31.86
-2.99	35.89
-0.399	54.2
3.133	73.61
6.405	97.415
9.738	108.765
12.631	145.875
15.994	170.285
20.044	194.58
23.197	217.895
26.64	238.645
25.981	219.36
22.579	182.62
19.176	148.44
15.116	118.285
11.733	87.525
8.431	58.835
5.168	30.15
2.406	5.13
1.794	-17.7
0.632	-31.86
-1.892	-35.89
-5.154	-54.2
-8.407	-73.61
-11.719	-97.415
-11.569	-108.765
-18.982	-145.875
-22.325	-170.285
-25.208	-194.58
-28.541	-217.895
-32.033	-238.645
-31.465	-219.36
-27.893	-182.62
-25.249	-148.44
-21.238	-118.285
-17.706	-87.525
-14.693	-58.835
-11.221	-30.15
-8.408	-5.13
-5.176	10.74
-5.176	16.845
-1.075	37.475
-0.634	50.415
1.497	69.215
4.979	90.33
9.389	117.065
13.629	144.775
16.962	172.605
21.461	199.95
25.732	226.2
28.895	243.285
33.933	250
31.888	218.63
27.338	176.395
23.706	138.795
19.186	103.15
15.345	69.825
11.115	38.21
7.703	7.57
3.154	-17.335
3.012	-16.845
0.941	-37.475
-3.11	-50.415
-6.811	-69.215
-10.742	-90.33
-15.132	-117.065
-19.142	-144.775
-22.864	-172.605
-26.885	-199.95
-30.906	-226.2
-35.415	-243.285
-39.516	-250
-37.331	-218.63
-33.331	-176.395
-29.32	-138.795
-25.089	-103.15
-21.118	-69.825
-17.218	-38.21
-13.307	-7.57
-9.136	17.335
-5.455	30.03
-4.675	38.94
-1.754	54.2
1.198	71.535
5.388	90.21
8.72	110.84
12.961	121.335
17.69	157.23
21.511	180.545
25.572	203.125
29.404	224
33.943	240.845
31.908	211.425
27.348	170.045
23.726	133.18
19.655	98.27
15.355	65.555
11.344	35.4
6.954	6.225
3.782	-16.605
2.242	-30.03
0.472	-38.94
-2.88	-54.2
-6.821	-71.535
-11.321	-90.21
-15.262	-110.84
-15.112	-121.335
-22.974	-157.23
-27.005	-180.545
-31.505	-203.125
-35.495	-224
-39.107	-240.845
-37.361	-211.425
-33.819	-170.045
-30.038	-133.18
-25.129	-98.27
-21.148	-65.555
-17.457	-35.4
-13.766	-6.225
-9.126	16.605
-5.196	35.89
-5.196	34.18
-3.016	48.34
-2.784	63.355
1.896	81.79
6.605	101.56
11.993	124.76
16.942	149.29
20.992	174.93
26.191	199.83
30.96	223.265
35.749	240.115
40.828	247.315
38.344	211.425
33.574	165.04
28.596	124.02
23.846	86.185
19.207	49.805
14.179	16.725
11.539	-10.01
10.2	-26.365
5.581	-34.18
1.431	-48.34
-3.329	-63.355
-7.958	-81.79
-12.867	-101.56
-17.516	-124.76
-22.235	-149.29
-26.705	-174.93
-31.614	-199.83
-36.144	-223.265
-41.622	-240.115
-46.531	-247.315
-43.927	-211.425
-39.008	-165.04
-35.037	-124.02
-30.189	-86.185
-25.609	-49.805
-20.76	-16.725
-15.692	10.01
-13.703	26.365
-11.533	38.21
-7.603	48.34
-2.355	68.85
2.315	85.69
7.054	102.54
11.554	120.85
16.523	129.76
21.731	162.6
25.802	184.085
31.25	204.71
36.248	223.88
41.078	238.89
38.134	204.835
33.145	159.67
28.845	119.265
23.866	82.155
18.738	47
14.837	15.14
10.678	-10.255
9.58	-31.98
5.571	-38.21
1.071	-48.34
-3.339	-68.85
-8.307	-85.69
-12.478	-102.54
-17.626	-120.85
-17.516	-129.76
-26.775	-162.6
-32.193	-184.085
-36.473	-204.71
-41.243	-223.88
-46.591	-238.89
-43.758	-204.835
-39.298	-159.67
-35.087	-119.265
-30.668	-82.155
-24.931	-47
-20.531	-15.14
-16.361	10.255
-13.863	31.98
-10.304	40.04
-10.304	42.97
-5.495	59.445
-2.485	75.805
3.222	93.75
8.64	111.695
14.048	130.98
19.466	153.32
24.904	175.78
30.342	198.485
36.029	219.115
41.517	235.715
47.743	242.8
44.8	203.49
39.362	154.42
33.704	109.865
28.057	69.09
22.57	32.105
17.362	0.49
16.404	-24.9
12.456	-33.57
6.799	-42.97
1.481	-59.445
-4.177	-75.805
-9.584	-93.75
-14.892	-111.695
-20.539	-130.98
-25.947	-153.32
-31.285	-175.78
-37.172	-198.485
-41.472	-219.115
-47.409	-235.715
-53.047	-242.8
-50.213	-203.49
-45.554	-154.42
-39.528	-109.865
-34.719	-69.09
-29.411	-32.105
-23.664	-0.49
-20.807	24.9
-16.44	33.57
-12.612	48.22
-6.905	64.695
-1.786	80.565
3.212	96.435
8.421	111.815
14.078	127.805
20.194	136.105
25.632	165.53
31.08	185.425
36.308	204.1
41.547	221.31
47.084	234.5
44.6	195.68
39.162	147.58
33.724	104.37
28.307	65.065
23.019	29.175
17.662	-0.49
16.503	-25.025
12.416	-36.865
6.988	-48.22
1.451	-64.695
-3.758	-80.565
-9.295	-96.435
-14.952	-111.815
-20.599	-127.805
-20.509	-136.105
-31.136	-165.53
-36.793	-185.425
-42.46	-204.1
-48.147	-221.31
-53.107	-234.5
-50.503	-195.68
-44.916	-147.58
-39.578	-104.37
-34.29	-65.065
-29.441	-29.175
-22.986	0.49
-21.027	25.025
-16.959	36.865
-13.2	52.98
-13.2	54.445
-6.316	68.48
-1.536	87.77
4.839	102.905
10.776	119.02
17.321	135.62
22.998	155.03
29.584	168.82
35.241	188.235
41.836	205.69
47.763	219.36
54.398	226.925
50.986	185.18
44.85	134.525
38.264	90.21
32.617	50.05
26.341	14.65
20.135	-11.475
16.659	-28.445
13.793	-35.645
7.677	-54.445
1.211	-68.48
-4.237	-87.77
-10.572	-102.905
-17.048	-119.02
-22.705	-135.62
-29.51	-155.03
-35.157	-168.82
-41.283	-188.235
-48.108	-205.69
-53.795	-219.36
-59.962	-226.925
-57.827	-185.18
-50.643	-134.525
-44.367	-90.21
-39.019	-50.05
-32.574	-14.65
-26.318	11.475
-20.052	28.445
-17.076	35.645
-12.879	54.32
-7.354	69.335
-1.866	84.23
4.859	98.51
11.255	112.67
16.673	126.585
23.487	134.765
29.843	158.57
35.281	175.905
42.106	192.14
47.573	206.79
54.418	218.505
51.245	177.855
44.65	128.54
38.524	85.57
32.637	46.385
26.571	12.575
20.604	-11.84
16.869	-32.96
13.083	-40.405
7.208	-54.32
1.55	-69.335
-4.446	-84.23
-10.602	-98.51
-16.958	-112.67
-23.074	-126.585
-22.994	-134.765
-35.217	-158.57
-41.353	-175.905
-47.719	-192.14
-54.085	-206.79
-60.012	-218.505
-56.939	-177.855
-50.673	-128.54
-44.387	-85.57
-38.331	-46.385
-32.345	-12.575
-26.318	11.84
-20.262	32.96
-17.406	40.405
-12.61	52.73
-12.61	44.73
-6.685	56.7
-2.564	71.35
2.006	81.11
5.657	90.63
11.375	100.15
15.795	111.63
19.905	124.08
24.455	137.02
29.674	150.2
34.433	162.9
38.983	176.08
43.523	188.53
48.072	200.01
52.622	210.02
57.192	217.34
61.772	221.49
59.258	191.22
54.478	152.4
49.928	119.2
45.628	87.21
40.859	57.43
36.329	29.84
31.59	4.21
27.439	-13.13
23.339	-28.26
18.809	-43.89
18.071	-42.18
14.751	-54.39
10.67	-66.59
5.911	-77.34
1.361	-86.86
-3.179	-95.16
-7.589	-103.46
-12.598	-111.52
-17.148	-119.57
-21.697	-128.36
-26.477	-136.91
-31.007	-146.43
-35.786	-156.93
-40.336	-167.42
-44.876	-178.17
-48.856	-188.91
-53.416	-198.92
-58.206	-207.71
-62.766	-214.79
-67.565	-220.65
-65.13	-191.35
-61.339	-154
-56.62	-120.79
-52.14	-89.79
-47.66	-61.96
-43.19	-37.05
-38.521	-14.84
-34.281	2.25
-29.561	16.9
-25.071	29.6
-22.302	36.43
-19.253	43.76
-16.333	51.33
-12.642	59.38
-6.915	70.12
-2.564	78.43
2.235	86.97
6.575	94.54
11.035	102.35
11.015	102.35
20.404	121.39
24.705	132.38
29.015	144.59
33.784	156.55
38.324	168.03
43.563	179.74
48.112	189.75
52.672	200.25
57.452	209.04
61.792	215.63
59.278	186.09
54.728	148.25
50.178	115.54
45.179	84.53
45.179	81.545
0.023	21.61
6.13	45.285
13.653	66.285
17.546	80.2
23.408	103.885
29.834	131.225
37.197	157.835
45.608	179.93
53.111	195.19
60.635	208.74
68.188	217.53
63.638	170.41
56.364	114.26
48.891	66.405
41.188	25.15
33.565	-5.98
26.293	-28.93
24.009	-38.45
-66.258	-208.74
-73.572	-217.53
-69.601	-170.41
-61.958	-114.26
-54.545	-66.405
-48.09	-25.15
-40.477	5.98
-32.834	28.93
-27.102	38.45
-22.689	55.545
-14.926	69.335
-7.623	83.74
-0.07	95.7
7.573	107.42
15.116	118.29
22.899	130.49
30.392	138.185
37.905	159.18
45.419	174.315
53.161	187.99
61.144	201.05
67.31	211.43
63.448	165.165
56.404	110.35
48.921	63.35
41.438	23.315
34.074	-6.835
26.512	-28.805
24.218	-36.865
16.836	-53.71
9.353	-69.335
1.291	-83.74
-5.773	-95.7
-13.526	-107.42
-20.58	-118.29
-28.313	-130.49
-28.253	-138.185
-43.918	-159.18
-50.992	-174.315
-58.525	-187.99
-66.298	-201.05
-73.831	-211.43
-69.401	-165.165
-62.677	-110.35
-54.565	-63.35
-47.192	-23.315
-39.579	6.835
-32.834	28.805
-27.901	36.865
-21.26	53.71
-15.096	69.82
-15.096	72.75
-6.865	84.225
-0.459	99.61
7.553	110.715
17.172	122.435
25.094	135.255
33.774	149.41
41.956	164.555
50.168	179.565
57.921	193.605
66.841	205.32
75.133	213.745
69.924	163.33
62.211	105.225
54.06	55.905
45.31	15.14
37.747	-15.015
35.086	-35.645
26.914	-44.555
18.633	-60.91
10.211	-72.75
2	-84.225
-5.962	-99.61
-13.825	-110.715
-22.495	-122.435
-31.166	-135.255
-39.148	-149.41
-47.37	-164.555
-55.811	-179.565
-63.484	-193.605
-72.394	-205.32
-81.035	-213.745
-76.626	-163.33
-67.845	-105.225
-59.834	-55.905
-51.772	-15.14
-43.65	15.015
-38.767	35.645
-32.256	44.555
-24.356	60.91
-16.114	74.95
-7.653	89.11
0.219	100.59
7.992	111.45
17.152	122.435
25.343	133.79
33.555	140.75
41.767	160.155
50.427	173.465
57.951	185.915
66.182	197.63
75.382	207.645
70.423	158.2
62.241	101.44
54.309	53.1
45.749	12.82
37.467	-15.87
35.255	-35.155
26.624	-43.455
18.822	-59.815
9.942	-74.95
1.97	-89.11
-5.892	-100.59
-14.563	-111.45
-22.306	-122.435
-30.967	-133.79
-30.927	-140.75
-47.63	-160.155
-56.2	-173.465
-63.973	-185.915
-72.195	-197.63
-80.836	-207.645
-76.885	-158.2
-68.783	-101.44
-59.854	-53.1
-51.772	-12.82
-44.099	15.87
-38.787	35.155
-31.747	43.455
-24.346	59.815
-16.104	75.44
-16.104	77.395
-6.705	87.895
0.868	103.025
10.027	113.77
19.177	124.63
28.097	136.595
36.957	149.535
46.107	163.7
54.548	177.12
63.448	189.455
73.077	199.83
82.297	207.4
76.869	153.2
67.789	93.995
58.949	44.19
50.049	3.665
45.279	-23.315
37.86	-34.18
29.009	-49.56
19.8	-64.945
10.9	-77.395
1.78	-87.895
-7.1	-103.025
-15.87	-113.77
-24.541	-124.63
-33.691	-136.595
-42.581	-149.535
-51.72	-163.7
-60.621	-177.12
-70.229	-189.455
-79.039	-199.83
-88.389	-207.4
-82.383	-153.2
-73.643	-93.995
-64.942	-44.19
-55.943	-3.665
-49.343	23.315
-42.373	34.18
-34.853	49.56
-25.693	64.945
-16.763	75.56
-7.653	87.28
1.157	96.68
10.087	106.32
19.237	116.58
28.067	127.685
37.227	134.765
45.469	153.32
54.588	166.26
63.508	178.47
72.668	189.33
81.888	197.385
76.46	144.65
67.59	87.16
58.75	38.94
49.72	1.955
45.11	-23.435
37.69	-29.665
28.81	-47.605
19.69	-60.305
10.57	-75.56
1.83	-87.28
-7.09	-96.68
-16	-106.32
-25.12	-116.58
-34.229	-127.685
-34.169	-134.765
-51.79	-153.32
-60.581	-166.26
-69.72	-178.47
-78.64	-189.33
-88.22	-197.385
-83.121	-144.65
-73.673	-87.16
-64.713	-38.94
-55.933	-1.955
-46.883	23.435
-40.593	29.665
-33.603	47.605
-25.733	60.305
-16.563	69.58
-16.563	71.165
-7.384	77.76
1.776	91.305
10.706	101.195
20.813	111.45
29.754	123.78
40.28	136.11
50.587	148.68
59.697	161.01
69.545	172.85
78.695	182.005
89.012	189.33
83.115	135.985
73.557	76.54
63.788	29.055
54.469	-5.005
46.502	-28.32
41.172	-39.185
31.105	-50.05
21.526	-57.375
11.708	-71.165
2.109	-77.76
-7.25	-91.305
-17.058	-101.195
-26.507	-111.45
-36.325	-123.78
-45.914	-136.11
-55.951	-148.68
-65.55	-161.01
-75.358	-172.85
-84.957	-182.005
-94.705	-189.33
-88.948	-135.985
-79.499	-76.54
-70.111	-29.055
-60.902	5.005
-51.413	28.32
-43.075	39.185
-34.849	50.05
-27.249	57.375
-17.621	67.38
-7.763	75.075
1.178	82.645
10.567	91.435
21.133	100.71
30.752	110.355
40.6	116.09
50.188	131.715
59.967	142.58
69.815	152.955
78.755	161.62
89.312	168.46
83.395	117.8
73.607	62.255
63.828	19.775
54.04	-8.91
45.101	-28.44
40.282	-36.01
31.354	-47.73
21.756	-57.005
11.927	-67.38
1.87	-75.075
-7.28	-82.645
-17.108	-91.435
-26.707	-100.71
-36.525	-110.355
-36.455	-116.09
-56.001	-131.715
-65.6	-142.58
-75.209	-152.955
-85.266	-161.62
-95.114	-168.46
-88.889	-117.8
-79.649	-62.255
-69.941	-19.775
-60.453	8.91
-51.153	28.44
-41.605	36.01
-35.366	47.73
-26.949	57.005
-17.101	60.79
-17.101	62.745
-6.325	66.04
2.605	76.66
12.732	83.745
23.278	91.8
33.815	100.1
43.893	108.64
54.269	117.55
64.806	126.095
75.353	133.545
85.211	139.405
95.548	142.7
89.601	92.285
79.583	41.015
68.668	5.98
58.421	-17.215
48.134	-32.59
43.467	-38.45
32.99	-48.585
22.933	-55.175
12.655	-62.745
2.329	-66.04
-7.978	-76.66
-18.735	-83.745
-29.271	-91.8
-39.349	-100.1
-49.875	-108.64
-60.632	-117.55
-71.168	-126.095
-81.236	-133.545
-91.523	-139.405
-102.259	-142.7
-96.412	-92.285
-86.006	-41.015
-75.529	-5.98
-65.362	17.215
-54.845	32.59
-46.838	38.45
-36.292	48.585
-25.755	55.175
-17.958	52.245
-7.182	56.03
3.135	59.935
13.652	63.965
22.61	68.605
33.615	74.83
44.162	80.2
54.689	90.335
64.307	96.925
75.323	103.27
85.401	108.52
96.406	113.04
90.001	68.24
79.733	27.22
69.277	0.245
58.78	-16.97
49.342	-26.735
40.236	-35.035
33.21	-39.185
23.123	-43.455
12.576	-52.245
1.79	-56.03
-8.527	-59.935
-18.615	-63.965
-28.932	-68.605
-39.928	-74.83
-39.908	-80.2
-60.323	-90.335
-71.308	-96.925
-81.386	-103.27
-92.382	-108.52
-102.23	-113.04
-95.874	-68.24
-85.417	-27.22
-75.819	-0.245
-64.603	16.97
-54.875	26.735
-43.88	35.035
-33.333	39.185
-23.704	43.455
-12.28	44.92
