"Sugano 1996, No.UC10H"	
-2.0363539	-220.5
-2.19592743	-227.5
-2.321885605	-229.5
-2.481865164	-232
-2.585143438	-233.25
-2.695712245	-232.5
-2.841922782	-232.25
-2.960997732	-232.25
-3.082503212	-232.25
-3.237625862	-231.25
-3.476184143	-226.75
-3.566504673	-223
-3.683152242	-219.75
-3.802635508	-219.5
-3.903892933	-216.25
-4.099523405	-214
-3.996240048	-168
-3.773473442	-131.75
-3.602146935	-105.5
-3.417860721	-85.5
-3.186188242	-62.75
-2.933861568	-40
-2.922926105	-41
-2.675461524	-16.5
-2.477410029	-3.5
