"Mo and Wang, 2000 Test C3-1"	
19.645	198.24
25.881	226.81
22.299	175.54
15.545	118.16
8.55	67.38
2.445	16.85
1.031	-26.61
-5.404	-34.18
-11.729	-84.72
-18.504	-141.11
-24.919	-200.68
-32.004	-247.8
-28.342	-192.38
-21.518	-126.22
-15.432	-67.63
-9.397	-12.45
-6.534	31.49
-0.429	46.63
6.245	91.06
12.89	135.25
19.435	179.2
26.121	220.46
22.309	173.34
15.774	117.92
8.56	68.36
1.936	18.8
0.512	-23.93
-5.214	-31.01
-12.029	-77.64
-18.125	-130.86
-25.637	-184.81
-32.024	-239.26
-28.133	-188.48
-21.528	-124.51
-14.983	-66.65
-9.397	-13.18
-9.397	-13.18
-1.106	35.64
6.248	53.96
14.5	105.22
21.624	157.47
27.776	209.47
33.266	234.62
28.077	175.54
19.605	109.86
10.934	54.2
2.622	0.98
-5.549	-18.8
-13.681	-52.98
-21.563	-99.37
-29.515	-158.2
-32.137	-220.95
-39.509	-252.44
-34.289	-186.52
-25.458	-113.77
-16.877	-50.54
-8.595	2.93
-0.394	39.79
7.528	66.41
14.741	106.2
22.863	147.95
27.293	189.94
33.845	224.37
27.848	167.97
19.855	104.74
11.453	49.8
2.652	-0.24
-5.29	-20.51
-13.202	-51.51
-21.553	-89.84
-29.894	-140.87
-32.247	-193.85
-39.718	-242.19
-34.838	-181.15
-25.548	-109.62
-17.476	-48.1
-8.625	2.93
-8.625	2.93
-5.645	41.5
1.197	71.53
10.616	116.21
20.753	163.82
29.533	208.74
39.83	231.93
33.494	165.77
24.235	95.46
14.537	34.42
6.528	-15.62
1.62	-33.69
-7.719	-69.09
-17.467	-108.64
-27.055	-162.11
-35.485	-218.99
-45.104	-245.85
-39.457	-173.1
-30.179	-94.73
-20.93	-27.34
-12.542	25.39
-7.742	51.27
1.187	83.25
11.314	118.65
21.012	156.25
30.302	194.34
39.86	224.61
33.524	160.89
24.495	91.31
14.787	31.74
5.129	-16.11
1.161	-31.98
-7.729	-67.38
-17.108	-102.05
-26.476	-146.48
-35.835	-195.07
-45.364	-236.57
-39.477	-167.24
-29.939	-90.33
-20.68	-25.63
-13.58	25.63
-13.58	25.63
-5.666	50.05
1.726	88.38
13.24	126.71
24.095	168.95
35.49	208.25
46.316	232.18
39.581	158.94
28.746	82.52
18.19	18.31
12.855	-29.05
2.109	-48.1
-9.115	-81.54
-20.08	-116.94
-30.607	-163.33
-41.442	-212.16
-52.209	-240.72
-45.445	-161.87
-34.829	-77.88
-24.943	-9.28
-18.768	29.54
-9.13	63.72
2.155	97.66
13.23	128.42
25.093	162.84
35.749	197.27
46.805	225.1
39.831	154.79
28.995	79.83
18.18	16.6
12.825	-27.34
1.94	-46.14
-8.606	-80.08
-19.462	-112.3
-30.687	-152.34
-41.502	-195.31
-52.249	-233.15
-45.465	-157.23
-34.849	-74.46
-23.964	-7.81
-19.447	35.64
-19.447	35.64
-6.615	63.23
3.93	100.83
16.233	134.77
27.568	172.61
40.329	208.74
53.47	231.45
45.389	152.59
32.777	71.04
24.224	4.88
14.352	-22.46
2.239	-59.08
-9.943	-91.8
-21.846	-124.02
-33.999	-165.04
-46.97	-209.47
-59.403	-238.53
-51.511	-153.08
-39.07	-63.72
-30.207	3.17
-21.093	42.48
-8.013	76.9
3.97	107.91
16.193	136.47
28.526	168.21
40.369	200.2
53.74	225.1
45.419	148.19
33.196	68.85
24.633	4.64
14.881	-17.33
2.04	-57.37
-9.983	-89.84
-22.156	-119.87
-34.528	-156.98
-47.01	-196.78
-59.373	-231.2
-51.95	-148.44
-39.738	-61.04
-31.745	4.15
-20.155	38.33
-20.155	38.33
-7.124	68.12
4.349	110.35
18.039	141.6
31.898	176.76
46.755	208.98
60.186	230.71
51.226	145.26
37.876	56.15
30.107	-7.57
16.348	-32.47
2.329	-70.07
-11.031	-101.56
-24.81	-132.08
-38.379	-170.41
-52.079	-210.94
-65.51	-236.33
-58.626	-145.75
-44.608	-52.25
-36.379	14.65
-22.89	45.17
-9.091	86.18
4.848	115.72
18.687	142.82
31.898	172.12
45.608	201.42
60.176	224.61
51.435	141.36
37.786	54.93
30.007	-6.1
16.358	-29.3
2.728	-67.87
-11.3	-99.12
-24.91	-128.17
-38.459	-162.35
-51.909	-198.73
-66.009	-229.25
-57.269	-141.36
-43.92	-49.8
-35.93	15.14
-22.171	48.34
-22.171	48.34
-6.845	82.76
5.557	117.92
21.441	147.22
36.518	178.71
50.437	208.25
66.731	228.03
56.584	138.18
41.907	47.12
31.481	-13.18
17.824	-39.55
2.449	-76.42
-12.029	-107.18
-27.275	-135.74
-42.421	-169.68
-57.208	-206.3
-72.215	-231.93
-63.445	-136.96
-48.08	-40.04
-37.114	25.15
-23.658	56.4
-8.741	94.24
6.225	122.8
20.613	148.19
36.528	175.78
51.604	202.39
66.741	223.39
56.604	135.01
42.136	45.9
30.441	-12.94
17.794	-37.35
2.668	-74.95
-12.069	-105.22
-27.544	-132.81
-42.241	-163.82
-57.497	-197.27
-72.404	-224.85
-63.425	-132.32
-48.09	-38.09
-37.294	25.39
-23.438	55.18
-22.171	48.34
-6.845	82.76
5.557	117.92
21.441	147.22
36.518	178.71
50.437	208.25
66.731	228.03
56.584	138.18
41.907	47.12
31.481	-13.18
17.824	-39.55
2.449	-76.42
-12.029	-107.18
-27.275	-135.74
-42.421	-169.68
-57.208	-206.3
-72.215	-231.93
-63.445	-136.96
-48.08	-40.04
-37.114	25.15
-23.658	56.4
-8.741	94.24
6.225	122.8
20.613	148.19
36.528	175.78
51.604	202.39
66.741	223.39
56.604	135.01
42.136	45.9
30.441	-12.94
17.794	-37.35
2.668	-74.95
-12.069	-105.22
-27.544	-132.81
-42.241	-163.82
-57.497	-197.27
-72.404	-224.85
-63.425	-132.32
-48.09	-38.09
-37.294	25.39
-23.438	55.18
-23.438	55.18
-7.364	90.33
7.073	125
23.656	152.1
40.14	181.88
56.623	208.5
73.486	227.54
62.94	132.08
46.637	37.6
36.104	-19.53
19.621	-45.65
3.297	-82.76
-13.106	-112.55
-29.639	-139.65
-46.043	-170.41
-62.466	-203.37
-79.349	-227.29
-68.834	-127.69
-54.48	-29.3
-41.987	24.41
-26.392	64.45
-9.819	101.32
7.333	128.91
23.916	153.32
40.399	179.44
56.853	203.61
72.808	222.41
62.71	129.39
46.587	36.87
36.074	-18.8
19.431	-43.95
2.798	-81.05
-13.306	-110.84
-29.48	-136.47
-46.252	-165.04
-62.466	-195.07
-79.349	-220.21
-68.824	-123.54
-54.44	-27.1
-41.877	24.66
-25.774	63.72
-25.774	63.72
-7.215	96.19
8.141	130.62
26.211	156.49
44.041	183.84
61.921	208.25
79.563	224.85
68.638	125.73
57.127	29.3
39.257	-24.9
21.607	-50.78
3.347	-88.13
-14.104	-116.94
-32.134	-142.82
-50.163	-170.9
-68.064	-200.44
-86.225	-222.9
-74.801	-119.14
-61.661	-19.04
-45.819	32.96
-28.108	71.04
-9.48	106.93
8.38	133.79
26.231	157.47
43.592	182.13
62.151	204.1
80.251	220.7
68.568	123.29
56.897	28.81
38.957	-23.93
21.317	-49.32
3.866	-85.45
-14.174	-114.75
-31.954	-139.89
-50.373	-166.5
-67.824	-193.85
-86.205	-216.8
-75.021	-114.99
-61.711	-17.58
-45.819	31.25
-27.2	70.31
-27.2	70.31
-7.704	100.83
9.688	135.01
28.077	160.4
48.002	186.04
66.781	207.76
86.477	222.66
74.235	119.38
54.998	21.48
40.251	-29.3
22.883	-55.66
3.636	-91.55
-15.421	-119.63
-35.067	-145.02
-53.995	-171.39
-73.093	-197.75
-92.769	-218.02
-80.846	-110.84
-61.421	-10.01
-47.811	34.18
-28.577	76.42
-9.51	110.6
9.009	137.7
28.805	160.89
48.032	183.84
67.26	203.86
86.727	216.55
74.035	115.97
55.237	20.26
41.83	-22.95
22.873	-53.71
3.387	-89.11
-15.421	-117.43
-34.618	-141.6
-54.015	-166.75
-73.193	-191.16
-92.779	-211.91
-80.168	-107.18
-61.421	-8.54
-46.764	38.09
-29.545	74.46
-29.545	74.46
-7.574	102.78
10.965	136.96
31.43	161.13
52.283	184.08
72.918	201.9
93.811	211.67
80.252	106.69
59.988	10.74
45.263	-20.75
24.041	-61.04
3.576	-92.77
-16.769	-119.14
-37.333	-142.58
-58.027	-168.21
-78.84	-192.38
-99.515	-209.96
-86.225	-99.61
-67.75	-0.73
-51.177	44.43
-31.011	77.88
-9.459	107.42
11.155	131.59
31.61	152.83
52.224	172.36
73.307	186.28
94.191	192.87
80.362	93.51
60.907	5.13
44.844	-24.9
24.28	-59.81
3.456	-84.47
-17.368	-107.42
-37.712	-129.64
-58.516	-153.32
-79.479	-176.27
-99.735	-193.85
-86.355	-88.38
-66.141	3.91
-49.567	45.9
-30.023	72.27
-30.023	72.27
-7.04	87.89
11.75	113.28
34.56	130.86
56.8	146.97
78.32	155.76
101.59	163.57
86.64	72.51
64.78	-2.69
49.07	-32.71
26.68	-59.08
4.36	-76.42
-17.34	-93.26
-39.77	-111.57
-61.35	-131.84
-83.79	-150.88
-106.09	-168.95
-90.94	-69.09
-72.21	11.96
-53.55	45.41
-31.31	63.23
-9.05	75.44
11.96	86.91
35	100.34
57.23	115.48
78.74	129.15
101.99	138.92
86.75	55.91
65.51	-8.54
49.11	-33.2
26.69	-53.47
4.23	-65.43
-17.74	-75.93
-39.68	-88.38
-61.87	-103.52
-84.23	-117.92
-107.06	-119.87
-91.32	-39.06
-69.76	18.55
-52.08	40.04
-32.21	51.51
-10.19413333	59.08
