Ang et al. 1981 Specimen 3	
28.12	121.96
26.462	104.57
24.678	89.716
22.978	78.223
20.779	61.961
18.291	45.699
14.89	26.914
12.857	14.579
11.281	6.168
7.2166	-16.821
5.226	-27.195
3.318	-36.167
1.5761	-45.419
-7.2583	-86.349
-9.9543	-97.006
-11.903	-105.42
-14.475	-115.79
-16.922	-125.04
-19.535	-133.73
-21.567	-139.9
-24.222	-147.47
-26.337	-152.24
-27.912	-155.04
-29.324	-156.72
-29.24	-149.71
-28.867	-133.73
-27.955	-116.91
-26.711	-104.57
-24.927	-89.996
-24.097	-83.827
-22.314	-68.971
-20.779	-56.352
-18.664	-41.213
-16.466	-26.914
-14.226	-14.299
-11.738	0.28036
-8.7513	16.541
-5.8481	32.522
-2.7788	48.781
0.74656	65.323
7.8389	93.639
10.95	105.14
13.894	116.07
16.632	124.76
19.742	134.57
24.72	149.71
28.037	157.56
31.272	162.33
33.594	165.13
36.167	166.81
38.489	167.37
40.147	166.25
40.315	160.65
40.066	149.99
39.652	137.66
38.905	127
38.115	117.19
36.83	105.42
35.504	95.04
34.092	84.948
30.858	65.323
28.453	50.182
26.546	39.25
24.927	30.559
23.102	21.588
19.867	6.4483
18.083	-1.4018
16.175	-9.5321
14.309	-16.821
12.277	-24.952
7.7975	-42.334
5.0185	-52.148
2.2811	-60.279
0.24885	-67.005
-7.7975	-93.639
-9.8712	-101.21
-12.443	-110.18
-15.305	-119.15
-19.535	-132.33
-22.438	-141.3
-24.471	-146.07
-27.788	-152.52
-30.691	-156.16
-33.927	-158.4
-36.746	-158.12
-39.03	-157.56
-39.652	-156.16
-39.444	-146.35
-39.07	-128.97
-37.91	-108.78
-36.706	-94.76
-35.42	-82.986
-32.06	-59.999
-29.573	-45.699
-26.711	-29.718
-24.139	-17.102
-21.692	-3.6447
-19.701	6.7285
-16.839	19.065
-14.185	28.877
-10.659	41.493
-7.5486	51.588
-2.7788	66.724
-0.041476	73.734
2.1153	79.624
11.945	105.14
14.682	112.7
18.581	122.24
21.609	129.81
24.636	136.82
27.955	143.55
30.65	148.31
33.513	152.24
36.251	155.32
38.532	156.72
40.439	157.56
40.439	151.96
40.107	143.83
39.235	129.25
38.364	116.63
36.954	103.17
35.131	89.996
33.18	76.257
30.734	61.12
28.578	47.38
26.172	32.241
23.724	20.186
21.153	7.2894
19.577	0.56071
17.793	-7.0092
15.802	-14.859
13.563	-22.148
11.198	-29.999
7.7975	-40.372
3.2766	-53.269
0.70508	-60.279
-12.194	-93.639
-14.558	-99.809
-17.752	-107.66
-21.277	-116.91
-24.554	-123.92
-27.249	-130.65
-29.698	-135.7
-32.309	-141.02
-34.092	-143.83
-36.375	-146.07
-38.115	-147.47
-39.484	-149.15
-39.319	-140.74
-38.572	-121.96
-36.954	-99.248
-34.882	-82.986
-32.103	-63.642
-30.112	-49.622
-27.043	-32.802
-22.107	-8.4107
-19.493	2.2429
-16.922	12.336
-13.77	23.831
-11.032	34.204
-7.3828	46.539
-4.1062	58.033
-0.74656	68.69
1.5761	75.416
8.2121	90.837
12.401	100.37
17.586	111.86
20.779	118.59
23.392	125.04
26.378	131.77
30.734	141.02
34.3	145.79
37.412	149.15
41.267	151.12
44.295	152.8
47.655	153.36
50.02	152.52
50.932	151.96
50.848	143.55
50.434	131.77
49.563	116.07
48.735	104.01
47.615	93.639
45.913	78.783
43.383	62.801
40.107	44.017
37.91	31.4
35.461	20.186
33.264	10.934
31.189	2.5233
28.161	-8.4107
25.55	-17.663
22.936	-26.354
20.696	-32.522
16.383	-41.493
13.314	-48.221
9.5809	-56.632
5.5578	-64.202
1.5761	-69.531
0.41476	-72.053
-9.332	-91.398
-12.111	-97.287
-14.848	-102.89
-19.784	-112.42
-23.06	-120.27
-26.088	-125.88
-29.655	-133.17
-33.264	-137.94
-36.043	-142.14
-40.439	-145.23
-44.171	-146.91
-47.323	-146.07
-49.896	-144.95
-49.479	-127.56
-48.486	-107.38
-46.993	-88.595
-44.006	-62.801
-41.392	-46.539
-38.656	-31.4
-35.71	-17.382
-32.393	-3.084
-28.329	11.214
-22.314	31.12
-18.581	40.933
-13.977	53.83
-10.701	62.241
-5.4747	73.174
-1.2028	81.305
2.1567	85.508
17.295	109.62
21.484	117.75
26.919	126.16
30.112	129.81
34.714	135.98
37.577	139.06
41.267	142.71
44.503	144.67
47.531	146.35
50.767	145.51
50.599	135.13
49.812	120.55
48.611	107.38
47.696	100.09
46.452	90.557
44.668	79.063
41.559	59.154
39.235	45.419
37.412	35.886
35.669	27.475
33.927	19.906
31.313	8.9716
28.329	-3.3643
26.213	-11.214
23.807	-19.065
19.037	-31.961
16.922	-37.848
14.641	-44.017
7.6314	-59.999
4.189	-65.884
1.5761	-70.092
-13.604	-90.277
-20.448	-101.49
-23.766	-107.66
-26.297	-111.86
-30.028	-117.19
-34.425	-122.8
-36.83	-124.76
-40.107	-127.84
-43.299	-130.37
-46.452	-133.45
-49.936	-134.57
-49.853	-127
-49.398	-111.58
-48.776	-98.408
-48.153	-91.117
-46.203	-71.493
-44.42	-59.439
-42.72	-48.781
-40.894	-38.129
-37.991	-22.989
-36.126	-13.457
-33.47	-0.28036
