"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
7.842377	262.83232
9.214485	289.40912
10.744835	316.2528
12.405233	337.55872
14.477619	360.97744
14.708886	361.22208
13.856589	313.3616
13.016865	272.84032
12.170791	236.01088
11.3184305	201.53888
10.2252145	160.21696
9.1351735	123.92128
7.981823	88.64864
6.4228345	46.30368
4.7752	11.29792
2.9595445	-26.04304
1.403731	-61.29344
0.0412115	-97.61136
-1.261237	-133.92928
-2.531745	-165.48784
-4.059047	-199.18144
-5.538851	-227.33728
-7.325868	-257.3168
-9.138412	-283.60448
-11.090402	-308.33536
-13.606272	-332.57696
-14.90853	-339.3824
-13.742416	-283.87136
-12.414885	-233.11968
-11.1125	-187.06064
-9.236583	-128.6584
-7.363968	-79.1744
-5.475478	-37.3632
-3.650234	-3.42496
-1.460754	34.73888
0.5893435	79.1744
1.9803745	116.27072
3.466465	156.81424
5.022342	196.02336
6.521069	231.00688
7.785354	255.73776
9.100312	280.46864
10.637139	307.04544
12.5668405	335.20128
14.784959	357.81936
14.823059	355.97344
13.59027	292.81184
12.845669	258.62896
12.0535065	224.69072
11.270869	193.3768
10.2949375	158.1264
9.293606	124.9888
8.25119	92.87424
6.9425185	57.09008
5.6085105	25.77616
3.80873	-9.47424
2.0564475	-46.57056
0.30734	-90.24992
-0.915797	-123.38752
-2.531745	-162.06288
-4.074922	-194.95584
-6.156706	-232.05216
-8.222615	-262.83232
-10.18413	-288.8976
-12.430633	-312.82784
-14.861032	-332.0432
-14.182852	-297.5712
-13.371703	-264.92288
-12.554204	-233.89808
-11.755755	-204.1632
-10.903331	-175.4736
-9.892538	-144.42656
-11.945874	-227.33728
-11.372342	-196.53488
-10.329799	-158.66016
-8.973693	-116.27072
-7.389368	-76.03856
-5.557774	-36.56256
-3.859403	-3.95872
-1.828292	31.04704
0.196469	70.5008
1.530477	98.92352
1.070991	73.12512
0.323215	41.05504
-0.269367	12.63232
0.4214495	55.51104
1.375156	98.65664
2.385949	128.14688
3.716782	161.28448
5.0413285	193.64368
6.378448	223.64544
7.969123	255.204
9.623171	283.09296
11.5085495	311.51568
13.574522	338.62624
16.058642	362.55648
18.641187	369.11728
19.686905	367.53824
19.195669	335.7128
18.584164	303.3536
17.703292	266.52416
16.873093	232.8528
15.757652	190.99712
14.648688	154.96832
13.488924	119.96256
11.910949	83.66688
9.952736	44.99152
7.29107	5.24864
4.8607345	-31.31392
2.8232735	-62.89472
1.0393045	-98.92352
-0.592582	-135.75296
-2.199005	-170.22496
-4.068572	-204.69696
-5.976112	-233.38656
-8.035798	-260.208
-10.19048	-285.73952
-12.763373	-311.76032
-16.299561	-334.9344
-19.693128	-342.2736
-19.994245	-338.09248
-19.116548	-295.4584
-18.454243	-269.68224
-17.497298	-233.65344
-16.286861	-193.13216
-15.009876	-154.96832
-13.35913	-109.9768
-11.730355	-73.392
-9.547098	-33.93824
-7.253097	0.26688
-4.873371	30.51328
-2.436749	57.6016
-0.418338	86.02432
1.26111	116.5376
2.7883485	148.1184
4.3948985	179.43232
6.1281945	211.52464
7.848727	240.192
9.8322765	269.41536
12.088368	298.3496
14.515592	326.77232
17.75079	351.5032
19.899122	356.77408
18.976975	308.09072
17.855438	260.208
16.48968	208.3888
15.418562	171.53712
14.037183	128.92528
12.6206885	92.87424
10.9286675	58.13536
9.2144215	27.88896
7.2498585	0.26688
5.0920015	-28.93424
3.0799405	-61.02656
1.3023215	-93.14112
-0.136271	-121.29696
-1.682623	-151.54336
-3.390519	-180.23296
-5.279009	-207.58816
-7.452614	-234.4096
-10.025634	-262.29856
-12.98194	-289.16448
-16.445357	-314.9184
-20.013295	-332.31008
-20.143089	-331.24256
-19.455511	-294.41312
-18.229199	-248.37632
-16.898493	-203.11792
-15.646908	-163.9088
-14.404721	-129.4368
-13.235432	-100.76944
-11.571986	-64.98528
-9.604248	-29.97952
-7.249922	4.98176
-4.401312	39.45376
-1.682623	71.03456
0.7953375	110.22144
2.788412	148.91904
4.2270045	175.22896
5.6116855	199.95984
7.167499	226.00288
8.926068	251.5344
10.833608	276.26528
13.178409	302.04144
15.691104	325.97168
19.170269	347.81136
19.588607	349.12352
18.885154	306.77856
