Gill et al. 1979 Specimen 4	
-11.505	-256.55
-10.738	-219.44
-9.8862	-177.04
-9.034	-141
-7.6065	-81.63
-6.0297	-23.323
-5.1775	14.842
-3.6647	79.508
-2.3224	137.81
-1.3423	185.52
-0.40483	225.8
0.53266	261.85
1.5127	300.01
2.5568	337.11
3.9205	382.7
4.9644	413.44
5.9019	445.24
6.8395	473.89
8.0112	506.72
9.034	535.36
10.057	562.94
11.314	592.61
12.358	611.69
13.7	632.91
14.574	641.36
15.426	648.79
15.064	585.18
14.808	545.95
14.467	499.33
14.041	454.81
13.615	410.26
13.253	378.46
12.784	345.6
11.74	281.99
10.973	241.7
10.227	200.36
9.4176	162.2
8.5227	118.73
7.5212	68.908
6.3279	14.842
5.3693	-24.383
4.4105	-63.606
3.3452	-111.31
2.365	-150.54
1.4488	-190.82
0.31961	-232.16
-0.68181	-271.39
-1.5127	-302.13
-3.2385	-363.62
-4.1974	-394.36
-5.1775	-424.05
-6.0937	-452.67
-7.159	-483.41
-8.0752	-510.99
-8.8209	-533.23
-9.8862	-562.94
-11.229	-597.9
-12.4	-622.28
-13.146	-633.93
-13.934	-639.27
-14.616	-643.49
-15.021	-641.36
-14.893	-619.12
-14.616	-575.66
-14.361	-539.59
-13.849	-479.18
-13.444	-439.95
-13.018	-403.9
-12.592	-372.1
-11.932	-328.64
-11.292	-291.53
-10.611	-255.49
-9.8649	-217.32
-8.8636	-169.62
-8.2029	-139.93
-7.5639	-110.25
-6.7541	-75.269
-6.115	-47.705
-5.4757	-22.262
-4.7513	9.541
-4.0696	40.284
-3.4729	69.967
-2.8339	100.71
-2.2372	130.39
-1.6193	160.08
-0.57528	206.72
0.21307	239.59
0.98011	267.15
1.6832	290.47
2.5568	320.15
3.2598	345.6
3.9416	371.04
5.0709	406.02
6.051	435.71
6.9886	462.19
7.8407	488.7
8.6291	509.92
9.4176	531.14
10.44	555.51
11.548	584.11
12.294	598.97
12.891	611.69
13.508	623.34
14.169	633.93
15.021	645.63
15.447	649.85
15.255	604.26
14.957	542.79
14.808	519.44
14.552	485.54
14.275	457.97
13.7	401.78
13.38	371.04
12.891	338.18
12.422	310.61
11.91	283.05
11.207	244.88
10.355	199.3
9.6304	162.2
8.8209	128.27
7.6065	74.206
6.2001	13.781
2.5355	-131.45
1.5767	-163.26
0.23437	-206.72
-1.2145	-257.61
-3.4516	-339.24
-4.5382	-373.16
-5.8379	-415.56
-7.1377	-453.74
-8.1392	-482.34
-9.5453	-523.71
-10.526	-547.02
-12.017	-588.38
-13.04	-615.91
-14.084	-637.13
-15.191	-657.28
-15.042	-627.57
-14.829	-577.75
-14.595	-524.78
-14.361	-482.34
-13.956	-429.35
-13.551	-392.24
-13.146	-355.14
-12.592	-316.97
-12.102	-287.29
-11.527	-256.55
-10.888	-223.69
-10.227	-192.94
-9.6093	-162.2
-8.7782	-127.21
-8.0112	-94.351
-7.3721	-61.485
-6.605	-32.864
-5.9446	-2.1202
