"Paultre, Legeron, Mongequ, July-August 2001 test 1005540"	
3735	
46.68	165.39
46.26	163.61
45.86	161.85
45.28	160.08
44.81	158.3
44.34	156.53
43.92	154.76
43.4	153
42.89	151.24
42.4	149.47
42.06	147.71
41.46	145.93
41.04	144.17
40.59	142.4
40.01	140.63
39.59	138.87
39.1	137.09
38.56	135.31
38.12	133.57
37.56	131.78
37.02	130.03
36.58	128.26
36.11	126.48
35.62	124.67
35.15	122.91
34.7	121.15
34.28	119.37
33.83	117.6
33.32	115.81
32.83	114.04
32.41	112.26
31.92	110.48
31.49	108.7
31.07	106.92
30.6	105.14
30.07	103.36
29.64	101.57
29.26	99.78
28.86	97.98
28.44	96.21
27.99	94.4
27.48	92.61
27.14	90.82
26.72	89.04
26.23	87.25
25.78	85.46
25.4	83.65
24.98	81.85
24.62	80.05
24.18	78.26
23.8	76.46
23.42	74.66
22.95	72.86
22.59	71.06
22.15	69.25
21.75	67.44
21.39	65.62
20.99	63.81
20.61	62.01
20.21	60.2
19.85	58.39
19.47	56.57
19.23	54.75
18.87	52.95
18.51	51.12
18.13	49.29
17.78	47.5
17.44	45.66
17.06	43.86
16.71	42.02
16.35	40.23
16.01	38.41
15.57	36.59
15.28	34.77
14.94	32.95
14.5	31.14
14.28	29.31
13.81	27.49
13.43	25.67
13.16	23.85
12.76	22.02
12.38	20.21
12.07	18.36
11.78	16.55
11.47	14.71
11	12.89
10.68	11.06
10.42	9.24
10.06	7.43
9.7	5.58
9.39	3.79
8.95	2.05
8.57	0.21
8.32	-1.6
8.03	-3.43
7.58	-5.26
7.32	-7.09
7	-8.91
6.56	-10.75
6.31	-12.57
5.96	-14.4
5.53	-16.23
5.24	-18.07
4.89	-19.89
4.44	-21.72
4.24	-23.55
3.77	-25.38
3.41	-27.22
3.1	-29.06
2.77	-30.89
2.5	-32.71
2.05	-34.54
1.83	-36.38
1.38	-38.21
1.09	-40.04
0.69	-41.84
0.38	-43.68
0.07	-45.51
-0.4	-47.35
-0.76	-49.17
-1.11	-51.01
-1.49	-52.84
-1.76	-54.67
-2.21	-56.5
-2.45	-58.33
-2.88	-60.14
-3.21	-61.98
-3.54	-63.8
-3.9	-65.63
-4.35	-67.45
-4.7	-69.28
-5.06	-71.1
-5.35	-72.92
-5.84	-74.74
-6.2	-76.55
-6.47	-78.38
-6.91	-80.2
-7.31	-82.01
-7.58	-83.83
-7.96	-85.64
-8.32	-87.46
-8.81	-89.27
-9.23	-91.09
-9.61	-92.9
-10.01	-94.7
-10.28	-96.51
-10.79	-98.32
-11.13	-100.11
-11.55	-101.92
-11.97	-103.73
-12.26	-105.52
-12.8	-107.32
-13.09	-109.11
-13.49	-110.92
-13.94	-112.72
-14.43	-114.5
-14.7	-116.31
-15.23	-118.09
-15.57	-119.87
-16.03	-121.66
-16.46	-123.44
-16.84	-125.24
-17.44	-127
-17.75	-128.77
-18.29	-130.55
-18.75	-132.32
-19.25	-134.07
-19.69	-135.84
-20.07	-137.62
-20.7	-139.35
-21.16	-141.1
-21.54	-142.87
-22.17	-144.6
-22.59	-146.34
-23.17	-148.09
-23.68	-149.83
-24.22	-151.56
-24.73	-153.29
-25.24	-155
-25.8	-156.74
-26.52	-158.45
-27.05	-160.15
-27.77	-161.85
-28.43	-163.56
-29.04	-165.25
-29.79	-166.94
-30.33	-168.64
-30.93	-170.29
-31.65	-171.97
-32.56	-173.62
-33.32	-175.28
-34.01	-176.9
-34.88	-178.51
-35.79	-180.1
-36.75	-181.68
-37.73	-183.21
-38.83	-184.7
-40.01	-186.14
-41.82	-187.35
-42.06	-187.44
-43.71	-188.42
-46.99	-188.96
-49.47	-185.92
-49.44	-183.92
-49.38	-181.92
-49.24	-180.03
-49	-178.23
-48.46	-176.44
-48.15	-174.64
-47.64	-172.85
-47.32	-171.06
-46.81	-169.28
-46.3	-167.5
-45.99	-165.73
-45.47	-163.93
-45.12	-162.16
-44.49	-160.38
-44.09	-158.61
-43.58	-156.83
-43.09	-155.06
-42.82	-153.28
-42.22	-151.5
-41.91	-149.71
-41.48	-147.95
-40.83	-146.17
-40.57	-144.39
-40.12	-142.6
-39.63	-140.82
-39.09	-139.03
-38.69	-137.28
-38.23	-135.52
-37.73	-133.75
-37.2	-131.98
-36.62	-130.21
-36.31	-128.45
-35.73	-126.68
-35.35	-124.91
-34.81	-123.13
-34.39	-121.37
-33.79	-119.58
-33.52	-117.82
-32.94	-116.04
-32.56	-114.26
-31.94	-112.47
-31.65	-110.71
-31.2	-108.93
-30.69	-107.16
-30.29	-105.38
-29.71	-103.6
-29.33	-101.81
-28.7	-100.02
-28.43	-98.25
-27.88	-96.48
-27.45	-94.68
-26.98	-92.9
-26.56	-91.13
-26.11	-89.34
-25.8	-87.55
-25.27	-85.77
-24.78	-83.98
-24.46	-82.2
-23.95	-80.4
-23.55	-78.61
-23.19	-76.82
-22.79	-75.02
-22.28	-73.24
-21.97	-71.45
-21.54	-69.65
-21.05	-67.87
-20.63	-66.06
-20.32	-64.28
-19.85	-62.48
-19.33	-60.7
-19.09	-58.89
-18.58	-57.09
-18.29	-55.31
-17.95	-53.5
-17.53	-51.7
-17.13	-49.89
-16.73	-48.11
-16.26	-46.31
-15.99	-44.5
-15.54	-42.68
-15.1	-40.88
-14.83	-39.08
-14.38	-37.27
-13.92	-35.47
-13.54	-33.67
-13.18	-31.86
-12.91	-30.05
-12.49	-28.24
-12.13	-26.43
-11.6	-24.62
-11.35	-22.81
-10.79	-21.01
-10.48	-19.19
-10.1	-17.38
-9.79	-15.57
-9.41	-13.76
-8.92	-11.95
-8.67	-10.15
-8.29	-8.32
-7.92	-6.5
-7.38	-4.77
-7.11	-3.01
-6.8	-1.18
-6.33	0.64
-6.04	2.44
-5.69	4.25
