"Saatcioglu and Ozcebe 1989, Spec. U3"	
-5.59	-142.3
-5.35	-132.4
-5.06	-121.5
-4.76	-110.9
-4.47	-100.7
-4.19	-90.77
-3.88	-80.22
-3.64	-69.49
-3.22	-58.74
-2.88	-48.05
-2.58	-37.46
-2.27	-26.9
-1.99	-16.23
-1.67	-5.516
-1.36	5.153
-0.998	15.9
-0.658	26.78
-0.658	26.78
-0.104	34.99
0.177	44.29
0.837	54.8
1.62	65.13
2.78	75.68
3.69	85.88
4.41	95.9
5.11	106.3
5.68	116.6
6.2	126.6
6.72	135.4
6.54	125.8
6.29	115.7
6.01	105.5
5.59	95.04
5.3	84.39
5.03	74.09
4.68	63.34
4.31	53
3.89	41.94
3.59	31.45
3.24	20.71
3.24	20.71
2.34	-9.106
2.03	-19.9
1.72	-30.84
1.41	-41.21
1.04	-51.74
0.592	-62.13
0.0325	-72.36
-0.619	-82.24
-1.43	-91.79
-2.63	-102.7
-3.41	-113.3
-4.07	-124
-4.64	-133.5
-5.11	-143.5
-5.59	-153.1
-5.64	-143.1
-5.39	-132.4
-5.1	-121.8
-4.84	-111.9
-4.56	-102.1
-4.26	-92.11
-3.97	-82.13
-3.97	-82.13
-3.5	-67.39
-3.19	-57.02
-2.83	-46.8
-2.54	-36.57
-2.24	-26.2
-1.95	-16.02
-1.7	-6.358
-1.39	3.658
-1.07	13.38
-0.715	23.53
-0.357	32.82
-0.326	27.61
-0.0162	34.36
0.309	44.36
0.881	53.95
1.69	64.27
2.78	74.21
3.7	83.71
4.47	94.18
5.21	104.3
5.79	114.4
6.31	124.9
6.31	124.9
6.81	135.2
7.4	145
7.9	151.6
8.56	157.7
9.27	165.1
9.76	170.3
10.3	175.4
10.5	177.2
11.1	181.5
11.6	187.6
12	192.3
12.5	197.1
13	202.3
13.5	207.1
13.8	209.8
14.4	216.1
14.8	218.5
15.2	222
15.8	228.4
17	238.3
17.7	241.4
19	249.6
19	249.6
20.5	250.9
20.4	241.6
20.2	231.8
20.2	230
20	220.1
19.7	210.5
19.4	201.1
19	191.4
18.6	180.7
18.3	170.7
17.9	160.5
17.4	150.2
16.9	139.5
16.4	128.7
15.9	118.2
15.4	107.4
14.8	97.59
14.3	86.92
13.7	75.92
13	65.16
12.4	54.32
11.7	43.25
11.7	43.25
9.79	11.63
9.16	1.293
8.56	-9.02
7.88	-20.13
7.21	-31.05
6.56	-41.48
5.82	-52.4
5.03	-62.96
4.2	-72.79
3.29	-82.76
2.31	-92.17
0.98	-102
-0.538	-112.8
-1.62	-123.6
-2.52	-134.9
-3.26	-145.8
-4.07	-157.2
-4.82	-167.9
-5.6	-178.6
-6.43	-188.8
-7.31	-199.7
-8.26	-211.3
-8.26	-211.3
-10.5	-231.5
-11.6	-242.9
-13	-253.9
-14.6	-265.2
-16.3	-267.4
-18.3	-271
-18.5	-262.4
-18.4	-252
-18.1	-241.6
-17.8	-231.5
-17.5	-222
-17.1	-212.6
-16.8	-202.4
-16.4	-192.4
-15.9	-182.7
-15.5	-172.5
-15	-162.5
-14.5	-152.4
-14	-142.7
-13.6	-134.2
-13.1	-124.9
-12.6	-114.5
-12.6	-114.5
-11.7	-100.3
-11.2	-90.94
-10.6	-80.55
-9.86	-69.97
-9.06	-59.33
-8.43	-48.83
-7.5	-38.2
-6.94	-27.79
-6.2	-17.1
-5.51	-6.604
-4.91	3.011
-4.18	13.81
-3.43	24.6
-2.61	34.57
-1.74	44.67
-0.79	54.64
0.577	64.68
2.07	75.42
4.15	84.33
6.25	94.9
7.65	105.9
8.77	117
8.77	117
10.8	138.4
11.8	148.4
12.8	159.5
13.8	170
14.8	181.1
15.6	191.3
16.6	202.6
17.6	213.6
18.6	223.4
19.5	233.9
20	226.4
19.7	216.7
19.2	206
18.9	195.8
18.5	185.6
18.1	175.6
17.7	165.4
17.3	154.4
16.7	143.1
16.1	132.6
15.6	122
15	111.2
15	111.2
13.1	79.15
12.4	68.42
11.6	57.54
10.9	46.57
10.1	35.82
9.38	24.93
8.69	14.51
7.99	3.302
7.31	-7.467
6.66	-18.3
5.97	-29.05
5.3	-39.36
4.47	-50.39
3.56	-61.29
2.55	-71.07
1.15	-80.83
-0.935	-90.12
-3.08	-96.76
-4.4	-107.5
-5.41	-118.2
-6.46	-128.8
-7.51	-139.9
-7.51	-139.9
-9.52	-161.2
-10.5	-172
-11.6	-183.4
-12.5	-194.6
-13.5	-205.9
-14.4	-216.1
-15.2	-226.6
-16	-235.5
-17	-207.3
-17.5	-214.3
-17.6	-208.6
-17.3	-198.2
-16.8	-184.2
-16.4	-171.2
-15.9	-160.2
-15.6	-150.8
-14.9	-139.7
-14.4	-128.8
-13.7	-118.3
-13.3	-108.5
-12.7	-98.25
-12.1	-88.41
-12.1	-88.41
-10.1	-57.46
-9.51	-48.88
-8.82	-38.68
-8.1	-29.07
-7.54	-19.62
-6.85	-9.977
-6.75	-28.59
-6.41	-31.83
-6.49	-33.25
-6.49	-33.27
-6.47	-33.17
-5.65	-45.37
-5.13	-32.1
-4.55	-18.14
-4.13	-7.241
-3.49	5.489
-2.72	20.18
-1.84	36.11
-0.684	51.22
0.988	65.13
3.58	75.09
6.16	90.11
6.16	90.11
8.21	108.5
10.1	124.5
11.3	140.2
12.8	156
14.2	171.7
15.5	187.2
16.9	203.7
18.1	217.4
19.4	231.8
19.4	220.6
18.9	205
18.3	189.7
17.6	173.3
16.9	157.2
16.1	140.8
15.4	125.9
14.6	111
13.7	94.73
12.6	78.47
11.6	63.2
10.4	47.04
9.31	31.07
9.31	31.07
7.26	1.831
6.28	-14.25
5.28	-30.45
4.14	-46.85
2.83	-62.57
1.11	-77.07
-1.49	-89.44
-4.07	-97.91
-5.79	-114.2
-7.3	-129.7
-8.9	-145.6
-10.3	-161.6
-11.8	-177.7
-13.3	-194.3
-14.8	-210.8
-16.1	-227.1
-17.1	-240.3
-18.2	-252.2
-18.3	-238
-17.9	-222.5
-17.3	-206.9
-16.7	-191.9
-16.7	-191.9
-16.1	-177
-15.4	-162.2
-14.6	-147
-13.8	-131.3
-12.9	-116.3
-12	-100.8
-11	-85.9
-9.95	-70.81
-8.7	-55.08
-7.34	-39.16
-6.16	-23.15
-5.2	-6.973
-4.1	8.08
-2.95	23.93
-1.91	37.22
-0.479	52.26
-0.121	45.95
0.8	61.5
3.36	74.45
5.93	85.83
7.97	102.3
9.9	118.6
9.9	118.6
19.2	227.7
20.5	244
22.2	259.1
24.7	265.5
27.1	267
29.8	265.7
32.1	263.8
34.8	261.7
37.4	259.4
40	257.3
42.6	254
44.9	241.5
44.9	236.5
44.8	223.7
44.3	208.6
43.5	193.5
43.4	190.4
42.6	175.2
41.9	159.6
41	144.1
40	127.8
39	111.5
39	111.5
37	84.43
35.8	68.47
34.4	52.62
33	36.7
31.3	20.57
29.5	4.186
27.8	-11.24
25.5	-27.72
23	-44.16
20.4	-58.88
17.8	-72.68
15.6	-82.53
13.1	-92.8
10.4	-100.4
7.9	-104.4
5.3	-114.6
2.84	-127
0.213	-140.4
-2.4	-154.8
-5	-169.7
-7.63	-184.2
-10.2	-199.6
-10.2	-199.6
-13.6	-221.4
-16.1	-235.1
-18.5	-249.9
-21	-259.5
-23.5	-257.4
-26.1	-257.3
-28.8	-256.2
-31.4	-254.9
-33.9	-252.5
-36.5	-250.7
-39.1	-248.1
-41.8	-245.3
-44.4	-242.8
-47	-239.5
-49.6	-236.4
-51.1	-222.5
-50.8	-209.3
-50.3	-194.5
-49.6	-180.2
-48.8	-164.2
-47.9	-148.4
-46.9	-132.1
-46.9	-132.1
-44.4	-99.73
-43.1	-83.52
-41.6	-67.74
-39.9	-51.93
-38.1	-36.34
-35.6	-19.81
-35.4	-24.84
-34	-10.12
-31.5	4.028
-28.9	15.92
-26.3	26.1
-23.5	33.33
-20.9	40.01
-18.3	47.03
-15.7	54.51
-13.1	61.65
-10.5	68.16
-7.74	74.77
-5.1	80.71
-2.71	84.26
-0.05	89.22
2.6	96.16
2.6	96.16
6.25	108.9
8.94	117.4
11.6	127.3
14.1	133.9
16.6	144.5
19.1	153.9
21.8	166.4
24.4	175.1
27	182.7
29.6	190.4
32.3	196.8
35	203.6
37.6	207.8
40.5	210.1
42.9	207.6
44.5	193
43.8	176.9
42.9	158.9
42	142.9
41	125.9
39.9	109.5
38.8	93.58
38.8	93.58
35.1	48.33
33.5	31.79
31.6	16.45
29.6	0.3045
27	-14.8
24.3	-26.58
21.6	-38.93
19	-51.48
16.3	-63.03
13.7	-73.48
11.1	-82.83
8.59	-90.35
5.99	-96.31
3.39	-99.36
0.775	-104.1
-1.79	-112.8
-4.41	-121.4
-7.05	-129.6
-9.7	-137.8
-12.3	-145
-15	-151.9
-17.6	-159.4
-17.6	-159.4
-20.9	-165.9
-23.5	-170.6
-26.1	-175.3
-28.8	-179
-31.4	-182.4
-34	-186.3
-36.8	-190.3
-39.4	-190
-42	-194
-43.9	-179.5
-43.1	-164.6
-42.5	-149.5
-41.6	-134.8
-40.5	-119.2
-39.3	-103.3
-37.9	-87.64
-36.5	-71.93
-34.9	-55.62
-32.9	-39.37
-30.5	-23.94
-27.9	-13.64
-24.9	-10.4
-24.9	-10.4
-22.5	5.896
-19.9	18.15
-17.3	29.2
-14.6	39.16
-12	47.75
-9.43	55.85
-6.82	62.97
-4.16	68.92
-1.56	73.37
1.01	76.6
3.61	80.14
6.13	85.06
8.71	90.42
11.4	98.72
14	106.6
16.6	114
19.2	122.7
22	131.5
24.5	139.6
27.3	147.6
29.9	155.8
32.5	162.7
32.5	162.7
36.3	172
38.9	177.7
41.5	181.9
43.3	168.1
42.5	151.7
41.6	134
40.6	117.4
39.5	100.3
38.5	84.4
37.1	67.47
35.8	51.3
34.1	34.96
32.1	18.14
29.9	2.841
27.3	-10.88
24.5	-20.72
21.8	-31.67
19.1	-43.41
16.5	-54.08
13.9	-63.95
11.4	-72.78
8.66	-80.88
8.66	-80.88
3.26	-91.88
0.738	-93.8
-2	-96.3
-4.85	-101.6
-7.57	-107.8
-10.4	-115.2
-12.8	-121.7
-15.4	-129.2
-18.1	-136.6
-20.8	-144.1
-23.4	-149.8
-26.1	-155.3
-29	-160.4
-31.8	-164.6
-34.5	-168.1
-37	-167
-39.6	-170.4
-42.3	-173.6
-43.8	-159.4
-42.6	-136.6
-41.4	-115.3
-40.1	-97.72
-40.1	-97.72
-34.9	-44.89
-31.9	-30.43
-29.6	-14.7
-26.9	-10.39
-24.3	-4.905
-21.6	3.144
-18.9	11.92
-16.2	20.81
-13.5	29.36
-10.8	37.35
-8.06	45.54
-5.44	52.17
-2.76	58.16
-0.025	63.5
2.68	67.85
5.38	71.33
8.05	74.86
10.8	80.01
13.4	86.96
16.1	95.32
18.9	104
21.4	107.9
21.4	107.9
21.1	93
20	74.15
18.7	55.72
17.4	39.2
15.7	23.35
13.7	6.747
11	-6.248
8.32	-17.84
5.68	-30.86
3.06	-44.79
0.45	-56.11
-2.17	-65.04
-4.81	-70.58
-7.44	-74.37
-10.1	-77.05
-12.8	-79.69
-15.4	-84.61
-17.9	-91.49
-20.5	-99.44
-21.1	-85.22
-20	-70.21
-18.5	-54.44
-18.5	-54.44
-16.2	-35.7
-13.6	-23.69
-11.1	-15.25
-8.46	-5.927
-5.9	5.772
-3.25	19.27
-0.688	32.19
-0.386	27.51
0.998	34.81
3.59	49.05
6.15	56.35
8.76	61.12
11.4	65.41
14	73.29
16.6	83.77
19.2	97.27
21.8	110.2
24.4	120.3
27	128.5
29.6	135.9
32.3	142.1
34.9	147.5
34.9	147.5
37.8	152.1
40.4	156
43	159.2
45.6	161.1
48.3	162.1
50.9	162
53.5	159.4
56.1	158.6
58.8	157.6
61.4	155.7
64	153.9
66.6	151.6
69.3	149.3
71.9	145.7
71.9	131.2
72	117
71.9	111.7
71.3	95.39
70.4	78.01
69.4	61.18
68.3	44.62
67.1	28.53
67.1	28.53
63.4	-10.87
61.4	-26.41
58.8	-42.15
56.1	-54.46
53.5	-64.39
50.8	-70.79
48	-77.39
45.3	-83.57
42.5	-89.45
39.8	-94.57
37	-99.07
34.4	-103.5
31.6	-107.5
29	-110.9
26.4	-113.9
23.6	-115.4
21	-115.8
18.4	-116.5
15.8	-116.7
13.1	-117.4
10.5	-118.8
7.9	-120.4
7.9	-120.4
4.36	-121.4
1.73	-123.3
-0.873	-125
-3.45	-126.6
-6.1	-128.8
-8.7	-131
-11.3	-133.7
-13.9	-136.1
-16.5	-138.3
-19.2	-140.2
-21.8	-141.7
-24.5	-142.9
-27.1	-143.6
-29.9	-144.3
-32.6	-144.3
-35.3	-144
-38	-142.8
-40.6	-141.7
-43.3	-140.9
-45.9	-139.8
-48.6	-138.3
-51.3	-137.6
-51.3	-137.6
-54.6	-134.8
-57.3	-132.5
-59.9	-129.8
-62.6	-127.6
-65.4	-124.5
-66.3	-111.1
-66.3	-99.02
-66.4	-94.44
-66.4	-92.29
-65.6	-77.38
-65	-63.33
-63.8	-48.42
-62.3	-32.31
-60.5	-17.13
-53.9	14.76
-51.3	16.88
-48.5	18.14
-45.9	19.73
-43.3	21.42
-40.5	23.32
-37.8	25.51
-35.1	27.27
-35.1	27.27
-31.5	30.05
-28.8	32.53
-26	33.94
-23	35.38
-20.2	36.42
-17.4	38.54
-14.5	39.98
-11.6	42.12
-8.8	44.04
-5.95	46.19
-3.1	47.78
-0.4	48.52
2.47	49.89
5.29	51.68
8.13	54.3
10.9	55.12
13.7	56.7
16.5	58.28
19.4	58.69
22.2	59.57
25	61.28
27.9	63
27.9	63
39.3	67.86
42.4	68.59
45.4	66.62
48.4	65.09
51.1	63.69
54	60.98
57	59.05
60	56.18
63.3	53.19
66.3	53.33
70.4	37.46
69.5	19.35
66.8	-18.4
65.1	-34.69
62.9	-51.34
60	-67.67
57.3	-79.14
54.5	-86.52
51.8	-90.77
49	-93.02
46.3	-93.27
43.6	-94.46
43.6	-94.46
37.9	-98.09
35.1	-100.1
32.4	-101.1
29.6	-102.3
26.9	-103.6
24.3	-104.3
21.6	-105.2
19	-106.2
16.4	-106.3
13.7	-106.3
11	-105.8
8.27	-106.2
5.56	-106.2
2.85	-105.9
0.15	-105.8
-2.52	-106
-5.24	-105
-7.97	-105.2
-10.7	-105.1
-13.4	-103.9
-16.1	-103.5
-18.8	-102
-18.8	-102
-24	-98.18
-26.6	-95.33
-29.4	-92.38
-32	-89.22
-34.8	-87.25
-37.5	-84.58
-40.3	-81.21
-43	-78.05
-45.6	-73.36
-54	-63.06
-56.6	-56.6
-59.4	-51.79
-62.1	-46.05
-64.9	-42.76
-65.4	-29.22
-64.4	-10.27
-62.9	5.06
-60.1	20.82
-57.4	31.54
-54.8	39.18
-52	43.64
-49.4	46.78
-49.4	46.78
-43.8	42.14
-43.8	41.64
-41.1	52.81
-38.5	54.29
-35.6	55.42
-33.3	56.6
-30.5	57.3
-27.8	58.36
-25	59.16
-22.3	59.22
-19.7	59.54
-17	59.67
-14.3	60.34
-11.6	60.48
-8.88	61.1
-6.25	61.73
-3.58	61.62
-0.938	62.11
1.71	62.13
4.39	61.91
7	61.11
9.64	59.98
9.64	59.98
14.9	57.09
17.6	55.56
20.3	53.13
23	50.08
25.6	47.62
28.4	44.62
31	41.25
33.8	41.13
36.5	40.53
39.3	39.68
44.4	29.85
47.1	36.93
49.9	36.13
52.4	34.22
55.1	32.32
57.9	30.62
60.8	28.67
63.5	26.87
64.5	62.52
64.4	57.98
