"Kanda et al. 1988, Spec. PDC1"	
-5.1135	-31.844
-4.6063	-27.457
-4.0514	-23.572
-3.4727	-19.427
-2.8944	-15.538
-2.3363	-11.636
-1.8177	-7.2796
-1.3632	-3.1346
-0.99625	0.01344
-0.73365	2.4205
-0.58985	3.5971
-0.5752	3.6016
-0.69695	1.9445
-0.8994	-0.57928
-1.1267	-3.0987
-1.3576	-5.627
-1.5711	-7.7511
-1.7703	-9.5744
-1.959	-11.357
-2.1337	-12.866
-2.2922	-14.195
-2.4183	-15.107
-2.4978	-15.92
-2.5261	-16.293
-2.4994	-15.61
-2.4325	-14.95
-2.3382	-13.989
-2.2219	-12.907
-2.0891	-11.672
-1.954	-10.194
-1.831	-9.1837
-1.728	-8.1508
-1.6527	-7.4772
-1.6177	-7.1225
-1.6344	-7.558
-1.706	-8.3035
-1.8355	-9.5923
-2.0303	-11.748
-2.295	-14.182
-2.6286	-16.867
-3.0294	-19.517
-3.5008	-22.548
-4.0449	-26.37
-4.6472	-30.757
-5.2918	-35.904
-5.9691	-41.625
-6.668	-47.14
-7.3659	-51.469
-8.0435	-55.399
-8.6719	-58.627
-9.2246	-60.85
-9.608	-62.251
-9.7323	-62.813
-9.6244	-60.231
-9.3207	-56.921
-8.8389	-51.855
-8.2013	-45.743
-7.4293	-38.67
-6.5466	-31.359
-5.5451	-24.592
-4.4156	-17.357
-3.1597	-7.8723
-1.7847	2.1062
-0.29015	11.761
1.3256	22.207
3.0169	36.07
4.7299	51.033
6.418	65.426
8.0365	77.071
9.5371	81.436
10.892	83.556
12.084	84.018
13.103	84.584
13.927	83.798
14.538	83.623
14.924	83.628
15.07	83.232
14.958	78.441
14.582	73.716
13.941	66.118
13.042	56.746
11.895	45.478
10.517	34.139
9.009	23.28
7.4706	12.619
5.9344	4.0103
4.4269	-2.5238
2.9487	-6.7317
1.4937	-10.567
0.06595	-14.038
-1.3319	-17.851
-2.7097	-23.123
-4.0732	-30.129
-5.4202	-38.194
-6.7457	-45.806
-8.0456	-52.888
-9.3172	-58.273
-10.568	-63.037
-11.809	-66.127
-13.003	-68.184
-14.118	-69.482
-15.041	-70.631
-15.66	-71.107
-15.994	-70.241
-16.064	-70.645
-15.87	-65.503
-15.427	-61.138
-14.759	-54.608
-13.893	-46.484
-12.871	-37.902
-11.732	-29.972
-10.472	-22.194
-9.0853	-14.047
-7.5642	-5.5506
-5.9023	1.8278
-4.1393	8.0206
-2.3115	13.181
-0.43055	18.147
1.492	24.457
3.4248	34.772
5.3264	45.941
7.1607	55.708
8.8963	63.401
10.502	69.76
11.951	74.651
13.224	78.706
14.304	81.068
15.188	82.029
15.879	82.577
16.403	82.68
16.786	82.739
17.03	82.465
17.139	82.2
17.115	78.809
16.968	76.811
16.704	73.402
16.335	69.329
15.857	64.196
15.271	58.196
14.587	51.442
13.82	44.441
12.967	37.624
12.025	30.704
11.046	24.439
10.078	17.914
9.1681	12.493
8.3605	8.1329
7.6364	4.639
6.9755	2.0658
6.3872	-0.26497
5.8801	-1.9445
5.4367	-3.4804
5.0395	-4.4953
4.6814	-5.38
4.3549	-6.2961
4.0451	-7.1404
3.7371	-7.5221
3.4197	-8.29
3.0833	-9.2331
2.7225	-9.8438
2.331	-10.823
1.9266	-11.586
1.5261	-12.655
1.1423	-13.419
0.78685	-14.074
0.46915	-14.757
0.19845	-15.314
-0.0361	-15.601
-0.24595	-15.974
-0.4361	-16.23
-0.61175	-16.957
-0.7836	-17.011
-0.96385	-17.716
-1.1595	-18.26
-1.3779	-18.727
-1.6289	-19.234
-1.9223	-20.227
-2.2638	-21.075
-2.6595	-22.562
-3.114	-24.205
-3.6312	-26.249
-4.1832	-28.535
-4.7428	-31.18
-5.2793	-34.067
-5.7625	-36.128
-6.1718	-38.113
-6.4875	-39.546
-6.7116	-40.871
-6.846	-41.212
-6.8935	-41.571
-6.8569	-40.485
-6.7461	-39.079
-6.5706	-37.224
-6.327	-34.57
-6.0139	-31.939
-5.628	-28.638
-5.1677	-24.987
-4.6409	-21.012
-4.056	-17.352
-3.4259	-13.769
-2.7627	-10.208
-2.0724	-6.0985
-1.3618	-1.473
-0.6429	2.5238
0.0742	6.5701
0.77565	10.401
1.4483	13.993
2.0799	17.384
2.659	20.824
3.1697	23.909
3.5972	26.204
3.9283	28.103
4.1515	29.491
4.2575	30.003
4.2398	29.549
4.1148	28.081
3.8999	25.876
3.6132	23.41
3.2733	20.559
2.9025	17.811
2.5228	15.017
2.131	12.282
1.7237	9.4531
1.3006	6.597
0.86105	3.6735
0.40825	0.73202
-0.0547	-2.1601
-0.50705	-4.9623
-0.92845	-7.7242
-1.3151	-10.082
-1.6641	-12.224
-1.9753	-13.859
-2.2497	-15.39
-2.4887	-16.594
-2.6943	-17.716
-2.8702	-18.704
-3.0208	-19.607
-3.1486	-20.33
-3.2569	-20.873
-3.3317	-21.241
-3.36	-21.717
-3.3344	-21.017
-3.2519	-20.262
-3.1128	-19.167
-2.9181	-17.721
-2.6767	-16.109
-2.3979	-14.303
-2.0896	-12.219
-1.7607	-10.001
-1.4155	-7.531
-1.0597	-4.9983
-0.69525	-2.4879
-0.32425	-0.08986
0.0447	2.3801
0.403	4.6435
0.7441	6.835
1.0618	8.9232
1.349	10.805
1.5993	12.413
1.8075	13.724
1.969	14.802
2.087	15.57
2.1653	16.037
2.2122	16.315
2.2368	16.845
2.2421	16.701
2.2332	16.315
2.206	16.023
2.1553	15.448
2.0826	14.734
1.9901	13.966
1.8779	12.983
1.7468	11.802
1.5985	10.697
1.4345	9.5834
1.2539	8.1822
1.0568	6.6464
0.8395	4.9938
0.5986	3.2334
0.35055	1.5224
0.11115	-0.076322
-0.11605	-1.5268
-0.32805	-2.9864
-0.52335	-4.2842
-0.7009	-5.3665
-0.8555	-6.3904
-0.98225	-7.2661
-1.0791	-7.9173
-1.1448	-8.3618
-1.1789	-8.5998
-1.182	-8.7975
-1.1576	-8.2226
-1.1123	-7.7646
-1.0504	-7.311
-0.9763	-6.6554
-0.89765	-5.9638
-0.82225	-5.3037
-0.75615	-4.7468
-0.70505	-4.2842
-0.68255	-4.1539
-0.7012	-4.3292
-0.76135	-4.9219
-0.8633	-5.8515
-0.9824	-6.8799
-1.094	-7.7871
-1.1796	-8.4562
-1.2216	-8.8514
-1.2249	-8.8064
-1.1954	-8.4158
-1.1386	-7.8859
-1.0597	-7.1808
-0.96795	-6.3904
-0.8731	-5.5641
-0.7733	-4.6839
-0.66695	-3.8306
-0.54675	-2.8876
-0.4057	-1.8726
-0.2379	-0.64216
-0.03805	0.85327
0.1879	2.4341
0.434	4.2259
0.6874	5.9593
0.9357	7.7422
1.1681	9.3858
1.3742	10.877
1.5431	11.959
1.6653	12.835
1.7337	13.203
1.7421	13.252
1.688	12.601
1.5718	11.577
1.4079	10.208
1.2116	8.5146
0.9982	6.853
0.7826	5.133
0.57095	3.5342
0.3691	2.0747
0.1762	0.6916
-0.0086	-0.5524
-0.1777	-1.8367
-0.32345	-2.7349
-0.4464	-3.5253
-0.5474	-4.172
-0.628	-4.7423
-0.69015	-5.1824
-0.7368	-5.4339
-0.77155	-5.7392
-0.7967	-5.838
-0.8151	-6.2422
-0.83055	-6.1524
-0.84825	-6.3006
-0.8664	-6.3814
-0.8836	-6.4713
-0.89405	-6.6419
-0.89195	-6.606
-0.8756	-6.3051
-0.8429	-6.0265
-0.80245	-5.6674
-0.76285	-5.2228
-0.7338	-5.0521
-0.72405	-4.9084
-0.7357	-5.1285
-0.76875	-5.362
-0.8112	-5.7751
-0.8509	-6.1838
-0.8832	-6.4488
-0.904	-6.5746
-0.909	-6.8844
-0.89355	-6.4218
-0.86015	-5.9279
-0.8108	-5.5641
-0.74935	-5.1464
-0.6797	-4.4369
-0.60545	-3.7813
-0.5299	-3.2109
-0.46035	-2.6496
-0.40415	-2.232
-0.3662	-1.9445
-0.3511	-1.9041
-0.36425	-2.0433
-0.4092	-2.5149
-0.4848	-3.0897
-0.58955	-3.9519
-0.7165	-5.1959
-0.8577	-6.2108
-1.0093	-7.3739
-1.1671	-8.6134
-1.3334	-9.6372
-1.5114	-10.441
-1.7058	-12.094
-1.9191	-13.486
-2.1332	-14.658
-2.3307	-15.305
-2.5119	-16.432
-2.6758	-17.254
-2.8091	-18.219
-2.8984	-18.489
-2.933	-18.412
-2.9028	-18.098
-2.8097	-17.132
-2.6555	-16.207
-2.4379	-14.591
-2.1569	-12.799
-1.8179	-10.405
-1.428	-7.4502
-0.9936	-4.3292
-0.5218	-0.96099
-0.02345	2.3936
0.49075	6.2826
1.0112	9.6013
1.5298	13.181
2.0227	16.697
2.4666	19.468
2.8463	22
3.1479	24.066
3.3812	25.629
3.5571	26.828
3.684	27.731
3.7705	28.274
3.8173	28.593
3.8256	28.602
3.79	28.193
3.7074	27.313
3.5825	25.809
3.4216	24.578
3.2251	22.755
2.9948	21.102
2.736	18.965
2.4552	17.065
2.1558	14.986
1.8419	12.466
1.5202	10.261
1.1969	7.8993
0.8784	5.6
0.57065	3.7858
0.2811	1.7379
0.01765	-0.094274
-0.2167	-1.8322
-0.4191	-2.9325
-0.5906	-4.0372
-0.7321	-5.0612
-0.8465	-5.8515
-0.93715	-6.4622
-1.0089	-7.1943
-1.0661	-7.5221
-1.1152	-7.6702
-1.1629	-7.9352
-1.2097	-8.2585
-1.2557	-8.8019
-1.3013	-9.0848
-1.3475	-9.3678
-1.3929	-9.5385
-1.4364	-9.7451
-1.4782	-10.028
-1.518	-10.531
-1.5523	-10.8
-1.5775	-11.083
-1.594	-10.845
-1.6029	-11.07
-1.597	-10.661
-1.5718	-10.643
-1.5315	-10.221
-1.4808	-9.5923
-1.4191	-9.1927
-1.3447	-8.5998
-1.2682	-7.9712
-1.2005	-7.4143
-1.0977	-6.615
-0.91745	-5.1779
-0.64705	-2.9595
-0.2763	-0.18413
0.1855	3.3232
0.7273	6.9113
1.3385	11.209
2.0073	15.785
2.7145	20.563
3.4411	25.669
4.1677	30.946
4.8751	35.473
5.5437	39.699
6.1554	43.255
6.6954	46.129
7.1508	48.501
7.5094	50.319
7.7605	51.644
7.8956	52.421
7.9082	51.869
7.7944	50.378
7.5545	47.634
7.199	43.947
6.7409	39.501
6.1968	34.898
5.5839	29.904
4.9151	25.413
4.2021	21.084
3.4485	16.257
2.6595	10.652
1.8477	4.6659
1.0264	-0.4132
0.21325	-4.7692
-0.5762	-8.9502
-1.3392	-12.61
-2.0742	-16.356
-2.7833	-19.997
-3.469	-23.747
-4.132	-27.47
-4.7733	-30.937
-5.3962	-34.714
-6.0029	-38.383
-6.6023	-41.288
-7.2045	-44.571
-7.7797	-47.01
-8.3008	-49.556
-8.6819	-50.665
-8.842	-51.442
-8.8098	-50.126
-8.6199	-48.294
-8.2769	-44.89
-7.7896	-40.193
-7.1806	-35.118
-6.4728	-29.738
-5.656	-24.421
-4.7198	-18.731
-3.6923	-13.185
-2.6009	-6.0312
-1.4675	1.3787
-0.31475	7.5356
0.84355	13.091
1.9952	19.189
3.12	25.593
4.1971	32.141
5.191	38.342
6.0679	43.646
6.801	47.782
7.3672	50.751
7.7364	52.578
7.8819	53.301
7.7842	51.231
7.4324	47.809
6.8661	42.07
6.1306	35.343
5.2659	28.939
4.3107	22.526
3.2742	15.776
2.1662	8.2226
1.0273	0.64216
-0.10255	-5.609
-1.1988	-10.989
-2.2396	-15.974
-3.1971	-21.219
-4.0438	-25.615
-4.7587	-29.635
-5.3225	-33.151
-5.7165	-35.477
-5.9258	-36.555
-5.9509	-36.802
-5.7943	-34.691
-5.4787	-31.763
-5.0269	-27.906
-4.4674	-23.77
-3.8286	-19.679
-3.1372	-15.583
-2.4193	-11.317
-1.7055	-6.4354
-1.0271	-2.0792
-0.418	2.1331
0.0888	5.142
0.47155	7.4996
0.7105	8.8783
0.87265	9.8304
1.025	10.733
1.1544	11.55
1.2478	12.017
1.3082	12.448
1.338	12.992
1.3338	12.556
1.2955	11.954
1.221	11.573
1.1072	10.531
0.9435	8.9008
0.7207	7.091
0.4353	4.9579
0.0844	2.3038
-0.28735	-0.1033
-0.63695	-2.6271
-0.9441	-4.8366
-1.1897	-6.5835
-1.3857	-7.9442
-1.5443	-9.0085
-1.6633	-9.9561
-1.7407	-10.244
-1.7816	-10.441
-1.7917	-10.585
-1.7747	-10.419
-1.7364	-10.028
-1.6896	-9.6463
-1.6463	-9.2601
-1.6143	-8.9277
-1.6011	-8.9008
-1.6131	-9.04
-1.655	-9.3139
-1.7273	-9.974
-1.8296	-11.133
-1.9505	-11.573
-2.0811	-12.399
-2.2086	-13.32
-2.3201	-14.11
-2.4037	-14.416
-2.4489	-14.46
-2.4576	-14.869
-2.4309	-14.276
-2.3552	-13.71
-2.2157	-12.592
-2.015	-10.967
-1.7567	-9.2061
-1.4599	-6.9293
-1.1449	-4.5177
-0.82715	-2.0927
-0.5222	0.37719
-0.2508	2.0478
-0.03125	3.4849
0.15075	4.8096
0.30955	5.8111
0.44825	6.7991
0.57	7.6479
0.6692	8.2047
0.7412	8.7122
0.7912	9.296
0.8241	9.3005
0.84595	9.736
0.8616	9.9112
0.8762	10.023
0.89515	9.7765
0.916	9.8484
0.93535	9.9471
0.94955	10.288
0.95415	10.423
0.94385	10.118
0.91565	9.7092
0.85955	9.1881
0.76585	8.3484
0.6261	6.9338
0.4334	5.3934
0.18065	3.651
-0.1387	1.208
-0.5276	-1.6167
-0.9878	-5.0701
-1.4942	-8.6313
-2.0215	-12.269
-2.5419	-15.152
-3.0298	-18.147
-3.456	-20.622
-3.7931	-22.373
-4.0414	-23.927
-4.202	-25.153
-4.2751	-25.647
-4.2628	-25.319
-4.145	-24.035
-3.903	-22.104
-3.5405	-19.423
-3.0631	-16.477
-2.4943	-13.113
-1.8586	-8.9277
-1.1775	-4.0327
-0.4737	0.9296
0.22425	5.5866
0.88915	9.9381
1.5035	13.944
2.051	17.361
2.5148	20.316
2.8793	22.589
3.1459	24.273
3.3169	25.445
3.4011	25.872
3.409	25.961
3.3468	25.274
3.2236	24.021
3.0492	22.476
2.8342	20.514
2.5886	18.906
2.3208	16.62
2.0345	14.541
1.7327	12.359
1.4263	10.481
1.1254	8.3888
0.8418	6.3725
0.58675	4.5402
0.37085	3.1435
0.2034	1.7738
0.09005	1.0554
0.03475	0.87123
0.0268	0.38622
0.0565	1.0868
0.1135	1.6437
0.18925	2.6585
0.26875	3.1525
0.33875	3.7049
0.3952	4.1675
0.43435	4.8187
0.4584	5.0791
0.47075	5.2318
0.46995	4.7692
0.45755	4.5043
0.44035	4.2618
0.42505	4.3964
0.4199	4.3516
0.43375	4.675
0.45215	4.675
0.46305	5.0926
0.4598	4.5581
0.4394	4.2797
0.39225	3.8531
0.3092	3.3277
0.1836	1.967
0.01095	0.71407
-0.2064	-1.0374
-0.46485	-2.6181
-0.74465	-4.5941
-1.0253	-6.6643
-1.29	-8.2451
-1.5236	-9.9517
-1.707	-11.128
-1.8228	-11.681
-1.8751	-11.869
-1.8687	-11.824
-1.8101	-11.312
-1.7056	-10.27
-1.5659	-9.1298
-1.4016	-8.0251
-1.2224	-6.561
-1.0387	-5.1016
-0.8636	-3.7139
-0.70985	-2.3621
-0.57565	-1.4909
-0.4579	-0.49845
-0.342	0.20209
-0.2128	1.1855
-0.06585	2.5283
0.10235	3.44
0.2981	4.8276
0.5263	6.4218
0.7816	8.1643
1.0582	10.199
1.3479	12.107
1.6428	14.02
1.9349	16.261
2.2157	17.896
2.4771	19.643
2.7111	21.215
2.9104	22.67
3.0682	23.698
3.1809	24.443
3.2457	24.933
3.2723	25.512
3.2696	24.987
3.2441	24.767
3.1997	24.345
3.1481	23.792
3.101	23.397
3.0668	23.092
3.0529	23.02
3.0512	22.584
3.0545	22.809
3.0566	23.078
3.0531	22.719
3.0392	22.315
3.0096	22.611
2.9595	22.095
2.8869	21.506
2.7886	20.676
2.6622	19.724
2.5057	18.565
2.318	16.854
2.0962	15.26
1.837	13.683
1.5385	11.128
1.201	8.9861
0.8229	6.35
0.4039	3.3546
-0.05405	0.16618
-0.5483	-3.2468
-1.0749	-6.9113
-1.6292	-10.625
-2.2068	-14.231
-2.8039	-17.438
-3.4165	-20.891
-4.0401	-24.717
-4.6666	-28.835
-5.2874	-32.805
-5.8943	-36.6
-6.4795	-39.851
-7.037	-42.909
-7.5614	-45.909
-8.0485	-48.29
-8.4957	-50.243
-8.908	-51.981
-9.291	-53.09
-9.6496	-54.536
-9.9875	-55.583
-10.311	-56.872
-10.626	-57.832
-10.901	-58.416
-11.106	-59.112
-11.212	-59.207
-11.191	-58.021
-11.029	-56.023
-10.711	-52.439
-10.233	-48.061
-9.5877	-42.398
-8.7981	-36.03
-7.8875	-29.253
-6.8706	-22.952
-5.7611	-17.379
-4.5648	-10.104
-3.2917	-2.2005
-1.9545	4.9129
-0.56365	10.643
0.8623	15.749
2.307	22.782
3.7466	31.485
5.1537	39.851
6.5022	47.486
7.768	54.033
8.9289	59.108
9.9668	63.073
10.876	66.23
11.652	68.992
12.293	71.035
12.796	72.616
13.159	73.757
13.384	74.448
13.47	74.556
13.419	71.871
13.243	69.697
12.95	66.14
12.551	61.757
12.06	56.44
11.492	50.876
10.864	45.411
10.18	39.407
9.4425	33.793
8.6472	28.216
7.7877	23.334
6.8726	17.649
5.9117	11.649
4.9205	5.8919
3.9138	0.88467
2.8929	-3.1256
1.8564	-6.5386
0.82335	-9.4846
-0.189	-12.282
-1.1707	-15.3
-2.1115	-18.417
-3.0129	-21.798
-3.8758	-26.181
-4.6929	-30.21
-5.4581	-34.359
-6.1592	-38.185
-6.7848	-41.122
-7.3222	-44.055
-7.7592	-45.856
-8.0869	-47.364
-8.2975	-48.46
-8.3902	-48.577
-8.3669	-47.89
-8.2431	-46.614
-8.0347	-44.486
-7.7434	-41.522
-7.3729	-38.185
-6.9314	-34.624
-6.4277	-30.358
-5.8793	-26.729
-5.3016	-23.114
-4.6979	-19.418
-4.0713	-15.857
-3.4261	-12.417
-2.7663	-8.299
-2.1026	-3.8037
-1.4466	0.20209
-0.8004	3.8306
-0.1654	7.4413
0.44645	10.374
1.0253	13.091
1.5625	15.857
2.0492	18.444
2.4762	20.914
2.8345	23.285
3.1202	25.068
3.3309	26.069
3.4722	26.999
3.5496	27.367
3.5696	27.403
3.5391	26.994
3.4587	26.267
3.3284	24.601
3.1458	23.02
2.9081	21.282
2.6134	19.023
2.261	16.567
1.8494	13.652
1.3787	10.226
0.8584	6.9697
0.2974	3.0672
-0.29585	-0.76793
-0.91335	-5.2048
-1.5412	-9.04
-2.1676	-13.064
-2.7822	-16.279
-3.3774	-19.481
-3.9346	-22.607
-4.4359	-25.669
-4.8751	-28.337
-5.2473	-30.987
-5.5486	-32.545
-5.7781	-34.161
-5.937	-34.943
-6.0286	-35.356
-6.0573	-35.486
-6.0277	-35.181
-5.9455	-34.278
-5.8167	-33.021
-5.6458	-31.391
-5.4381	-29.738
-5.2073	-27.825
-4.9672	-25.934
-4.7221	-24.201
-4.4758	-22.409
-4.2385	-20.936
-4.0194	-19.706
-3.7996	-18.152
-3.5614	-17.137
-3.2968	-15.606
-2.9994	-13.796
-2.6685	-11.883
-2.3036	-9.5744
-1.9033	-6.6598
-1.4678	-3.9834
-1.002	-0.47598
-0.51255	2.5867
-0.00855	6.0626
0.50025	8.8783
1.0013	11.874
1.4816	14.671
1.934	17.411
2.3516	20.015
2.7156	22.261
3.0085	24.021
3.2141	25.575
3.317	26.285
3.3409	26.842
3.3096	25.907
3.2334	24.946
3.1214	24.111
2.9653	22.782
2.7585	20.968
2.4983	19.099
2.1828	16.773
1.8079	14.029
1.3707	11.178
0.8951	7.5984
0.40635	4.5177
-0.06105	1.1901
-0.4723	-1.8053
-0.8169	-3.9339
-1.0868	-5.9638
-1.2977	-7.1584
-1.4672	-8.5011
-1.5968	-9.0894
-1.6897	-9.8977
