Galeota 1996 Specimen CA3	
2128	
29.2	31.10015
28.91	29.73166
28.67	28.16451
28.24	26.487
27.9	24.80949
27.72	23.33064
27.67	21.89592
27.16	20.52743
27.01	19.15893
26.57	17.59178
26.32	16.135
26.1	14.96515
25.74	13.37593
25.44	12.22816
25.05	10.66101
24.65	9.44703
24.31	8.078535
23.91	6.77626
23.58	5.672635
23.14	4.171702
22.78	3.068078
22.26	1.986525
21.85	0.838755
21.4	-0.44145
20.76	-1.743727
20.24	-2.692845
19.71	-3.61989
19.16	-4.50279
18.57	-5.363615
18.03	-6.1803
17.47	-7.019055
16.9	-7.791595
16.33	-8.608275
15.74	-9.424955
15.16	-10.17542
14.6	-10.97003
13.97	-11.7205
13.41	-12.47097
12.82	-13.28765
12.24	-14.1264
11.68	-15.0093
11.13	-15.84805
10.54	-16.81924
10	-17.79044
9.43	-18.7837
8.9	-19.86525
8.32	-21.0351
7.75	-22.3153
7.22	-23.57343
6.69	-24.91986
6.15	-26.42078
5.6	-27.98793
5.25	-29.15777
4.91	-30.32762
4.59	-31.47539
4.28	-32.68938
3.92	-34.01372
3.62	-35.24979
3.26	-36.68449
2.93	-38.05299
2.61	-39.53185
2.31	-40.90034
1.98	-42.35713
1.63	-44.23329
1.4	-45.38106
1.05	-47.0365
0.75	-48.62571
0.44	-50.19285
0.15	-51.7821
-0.15	-53.50375
-0.45	-55.1592
-0.77	-56.8146
-1.07	-58.49215
-1.35	-60.08135
-1.65	-61.7147
-1.97	-63.3481
-2.26	-64.95935
-2.55	-66.5486
-2.84	-68.1378
-3.13	-69.6608
-3.45	-71.2721
-3.75	-72.83925
-4.08	-74.3181
-4.39	-75.8632
-4.66	-77.2979
-4.99	-78.79885
-5.29	-80.1673
-5.62	-81.60205
-5.92	-82.94845
-6.21	-84.31695
-6.55	-85.68545
-6.88	-86.9215
-7.18	-88.15755
-7.52	-89.43775
-7.86	-90.6959
-8.19	-91.86575
-8.51	-92.99145
-8.84	-94.1392
-9.19	-95.33115
-9.7	-96.8983
-10.19	-98.4213
-10.55	-99.5249
-11.06	-101.0038
-11.58	-102.4164
-12.12	-103.6966
-12.67	-105.1093
-13.21	-106.3895
-13.77	-107.6034
-14.32	-108.6629
-14.93	-109.7224
-15.44	-110.6936
-16.03	-111.6869
-16.62	-112.5256
-17.18	-113.276
-17.79	-113.8279
-18.36	-114.3135
-19.01	-114.6445
-19.65	-114.9315
-20.24	-115.1964
-20.92	-115.1081
-21.58	-115.086
-22.24	-114.799
-22.93	-114.6666
-23.61	-114.3355
-24.27	-113.7617
-24.96	-113.3643
-25.64	-112.7022
-26.34	-112.1283
-27.02	-111.5544
-27.68	-110.7377
-28.37	-110.0535
-28.93	-109.4134
-29.53	-108.7733
-30.18	-108.1332
-30.78	-107.5372
-31.39	-106.8089
-31.95	-106.1246
-32.56	-105.3741
-33.2	-104.6236
-33.77	-103.829
-34.29	-103.0786
-34.82	-102.4826
-35.41	-101.5997
-35.7	-100.3195
-35.77	-99.17175
-36.34	-99.17175
-36.87	-98.951
-37.37	-98.4213
-37.5	-96.92035
-37.37	-95.15455
-37.15	-93.45495
-36.84	-91.77745
-36.59	-89.79095
-36.22	-87.69405
-35.97	-85.7958
-35.69	-83.7872
-35.37	-81.82275
-35.03	-79.9466
-34.76	-78.0925
-34.45	-76.21635
-34.17	-74.3402
-33.85	-72.50815
-33.54	-70.6541
-33.22	-68.82205
-32.88	-67.0342
-32.6	-65.20215
-32.29	-63.4805
-31.92	-61.8692
-31.77	-60.6994
-31.45	-59.04395
-30.96	-56.9912
-30.7	-55.4461
-30.38	-53.74655
-30.06	-52.06905
-29.73	-50.34735
-29.43	-48.66986
-29.17	-46.94821
-28.86	-45.22655
-28.48	-43.54904
-28.2	-41.82739
-27.9	-40.14988
-27.59	-38.47237
-27.28	-36.88315
-26.97	-35.18356
-26.66	-33.52813
-26.37	-31.98306
-26.04	-30.34969
-25.72	-28.76047
-25.4	-27.23746
-25.1	-25.71446
-24.76	-24.27975
-24.45	-22.88918
-24.1	-21.5869
-23.77	-20.43913
-23.27	-18.87199
-22.72	-17.41521
-22.18	-16.02464
-21.64	-14.78858
-21.08	-13.50837
-20.53	-12.3606
-19.98	-11.2349
-19.42	-10.13128
-18.86	-9.18216
-18.28	-8.166825
-17.72	-7.195635
-17.16	-6.334805
-16.62	-5.407765
-16.04	-4.524862
-15.48	-3.61989
-14.93	-2.73699
-14.36	-1.94238
-13.82	-1.081553
-13.3	-0.309015
-12.77	0.08829
-12.24	1.456785
-11.68	2.273468
-11.22	3.421237
-10.66	4.370355
-10.08	5.341545
-9.5	6.511385
-8.97	7.7033
-8.38	8.91729
-7.85	10.17542
-7.35	11.45562
-6.84	12.75791
-6.34	13.81738
-5.94	15.07552
-5.54	16.24536
-5.14	17.72422
-4.64	19.181
-4.48	20.35085
-4.02	21.60898
-3.73	22.86711
-3.37	24.12524
-3.03	25.29509
-2.83	26.487
-2.45	27.63477
-2.06	28.84875
-1.89	30.12896
-1.5	31.40917
-1.3	32.77766
-1.02	33.96958
-0.69	35.24979
-0.58	36.50792
-0.17	37.83226
0.17	39.26698
0.51	40.67962
0.8	42.20262
1.07	43.76977
1.57	45.35899
1.86	46.88199
2.2	48.47121
2.59	49.95007
2.78	51.56135
3.33	53.0402
3.55	54.4308
3.9	55.8655
4.37	57.2119
4.78	58.55835
5.16	59.77235
5.49	61.05255
5.94	62.17825
6.22	63.37015
6.61	64.47375
7.28	65.9747
7.83	67.4094
8.46	68.82205
8.96	70.10225
9.47	71.31625
10.02	72.155
10.52	73.2145
11.16	74.27395
11.67	74.892
12.18	75.90735
12.68	76.45915
13.31	77.40825
13.81	78.247
14.59	78.95335
15.11	79.6817
15.83	80.4322
16.34	80.8295
16.92	81.49165
17.48	82.0435
18.22	82.3525
18.76	83.01465
19.31	83.3016
19.94	83.6989
20.47	83.91965
21.11	84.22865
21.61	84.5156
22.14	84.6922
22.84	84.9129
23.42	85.11155
24.16	85.19985
24.75	85.26605
25.37	85.26605
26.18	85.28815
26.8	85.2219
27.49	85.2219
28.08	85.0012
28.58	84.95705
29.31	84.6922
29.97	84.47145
30.64	84.2949
31.21	83.91965
31.81	83.721
32.47	83.34575
33.15	82.79395
33.93	82.5732
34.47	82.0435
35.01	81.6462
35.52	81.35925
36.1	80.5867
36.65	79.77
36.71	78.55605
37.11	76.9668
36.92	75.7749
36.62	74.6492
36.62	73.50145
36.42	72.3757
36.21	71.25005
36.08	70.03605
35.96	68.82205
35.74	67.54185
35.45	66.34995
35.34	65.158
35.25	64.01025
35.14	62.79625
34.83	61.60435
34.78	60.47865
34.59	59.3088
34.32	58.13895
34.04	55.8655
33.95	54.7398
33.57	52.5546
33.4	51.451
33.24	50.3253
33.11	49.1996
32.72	47.08065
32.62	45.9108
32.23	43.83598
31.9	41.71703
31.58	39.59806
31.32	37.52325
30.89	35.5588
