"Paultre, Legeron,  July-August 2000 test 1006025"	
-105.094	-116.23
-97.8087	-98.006
-85.713	-72.859
-67.1346	-41.221
-52.1462	-22.744
-40.7569	-10.342
-31.7571	-1.88E-01
-24.557	9.207
-14.705	25.532
-6.91558	40.588
3.36832	61.148
14.5887	82.178
24.7989	97.661
33.7986	107.47
40.9886	113.85
47.367	118.27
64.1661	125.15
80.3762	129.79
95.2788	127.13
102.998	124.51
107.504	119.71
98.178	96.048
82.6189	65.032
60.482	33.394
46.8619	18.694
32.9039	4.067
28.6833	-7.18E-01
10.1474	-32.485
-1.27365	-54.509
-14.3366	-74.797
-28.4304	-90.239
-42.8935	-101.02
-48.7566	-105.31
-58.0721	-108.84
-66.7034	-110.46
-86.0713	-115.44
-95.9343	-115.51
-105.592	-114.83
-106.931	-108.61
-96.8484	-81.299
-84.0815	-55.999
-65.5142	-27.117
-46.9247	-6.113
-40.1567	-2.70E-02
-25.1571	14.976
-11.5361	32.002
-1.16E-01	49.602
13.6626	69.607
31.3989	92.605
43.3671	102.75
57.8505	111.46
68.7246	114.71
91.8606	118.84
106.931	116.55
108.298	114.64
108.344	108.84
98.9536	83.904
84.5238	54.973
66.9666	28.626
49.9357	8.792
39.3986	-2.009
24.6622	-18.113
16.042	-27.988
2.76834	-45.393
-4.92617	-54.824
-17.5886	-70.872
-34.0304	-85.354
-55.0085	-96.555
-68.3664	-101.4
-83.534	-106.93
-93.0351	-108.9
-107.144	-108.14
-121.289	-106.94
-140.227	-100.78
-141.261	-99.871
-142.655	-94.151
-136.699	-79.61
-126.146	-58.535
-110.209	-31.265
-95.9251	-15.361
-84.7869	-6.333
-76.7973	-6.67E-01
-66.6194	5.728
-56.4092	12.004
-36.178	27.539
-20.1573	40.459
-5.35773	54.778
9.26288	67.009
22.1046	79.49
35.2519	89.114
49.7141	98.491
62.409	104.5
67.166	106.45
75.187	106.38
93.1551	111.16
123.847	108.21
129.922	104.92
141.796	102.19
143.726	101.92
144.456	89.683
136.136	72.92
123.884	48.753
110.311	27.102
99.7754	15.02
81.871	-8.80E-02
70.3349	-8.372
57.3141	-17.17
39.7569	-28.74
19.1998	-43.272
9.24164	-51.191
-4.87354	-62.3
-31.6408	-79.292
-45.5148	-85.269
-65.1135	-91.038
-78.6292	-95.186
-95.9066	-98.054
-114.733	-97.608
-128.814	-96.909
-142.055	-93.994
-142.627	-93.86
-143.394	-90.691
-131.132	-64.548
-118.584	-41.509
-104.041	-21.882
-89.3759	-7.886
-71.4189	5.005
-56.5145	15.752
-33.0415	31.919
-17.8628	42.644
-3.50516	54.089
15.1888	63.755
36.7782	77.859
55.3668	86.111
75.2397	92.735
92.8781	97.005
108.99	98.259
128.519	98.169
139.83	94.929
143.855	92.334
138.537	76.15
124.41	47.339
106.146	18.037
89.5236	1.123
72.3561	-12.107
55.6927	-23.909
35.5566	-34.873
21.1887	-43.352
21.1887	-43.352
4.02093	-55.737
-14.8103	-66.99
-41.3145	-79.146
-62.8928	-85.51
-78.0715	-89.402
-98.9352	-93.701
-112.056	-94.404
-126.146	-93.699
-138.509	-92.327
-149.312	-91.111
-165.664	-84.553
-171.925	-78.87
-173.504	-76.983
-162.257	-35.869
-152.682	-17.473
-142.489	-4.646
-137.669	-8.30E-02
-129.636	5.94
-117.919	14.009
-101.142	21.824
-80.0188	30.84
-55.1461	41.419
-35.2196	48.938
-18.5996	57.3
4.98932	67.359
38.8308	78.936
67.7034	87.866
90.0601	92.903
110.015	92.246
128.713	91.489
146.893	88.982
162.091	85.354
174.187	81.831
174.519	75.134
173.504	62.241
172.119	49.622
131.815	-12.744
113.238	-27.087
92.5272	-39.204
62.1985	-49.146
30.4515	-60.862
8.69448	-67.964
-17.21	-78.877
-38.8308	-83.945
-74.2609	-88.989
-96.5345	-91.057
-114.872	-90.654
-132.092	-88.206
-141.621	-86.062
-153.874	-82.62
-166.569	-80.459
-172.765	-73.892
-170.798	-69.072
-168.73	-56.97
-166.477	-52.305
-153.883	-24.839
-144.926	-10.813
-135.324	-2.08E-01
-133.597	7.06E-01
-118.02	16.633
-103.626	25.962
-87.4397	33.398
-67.6508	40.845
-49.6402	46.721
-34.5465	50.823
-22.8941	54.382
-6.83137	58.179
12.4419	61.194
39.4513	67.241
61.5457	71.79
80.7344	73.836
105.925	74.165
123.311	72.979
139.063	71.047
157.585	68.357
173.753	67.622
170.992	49.133
158.878	19.385
147.789	-1.71E-01
139.276	-11.086
131.501	-19.785
117.199	-31.401
98.1688	-41.194
82.3346	-47.017
64.5142	-51.89
47.5037	-56.724
31.999	-60.711
10.358	-64.575
-9.39953	-66.824
-52.8091	-77.73
-77.7345	-78.482
-93.2936	-77.796
-95.0479	-76.216
-96.1375	-66.714
-118.113	-66.326
-137.207	-61.084
-153.079	-58.442
-168.896	-53.274
-185.193	-46.863
-199.311	-43.433
-201.028	-27.065
-194.703	-15.137
-183.836	-5.515
-177.963	-1.748
