"Tanaka 90, Specimen 6"	
12.334	131.5
9.3873	75.807
7.5316	44.863
5.6759	17.791
3.8204	-12.377
2.7287	-35.582
1.419	-57.241
-0.10915	-76.581
-1.9648	-98.239
-3.1653	-109.84
-4.6937	-136.14
-6.7676	-169.4
-8.5141	-192.61
-10.26	-214.27
-12.225	-239.79
-13.644	-261.45
-15.063	-280.79
-16.701	-305.54
-18.01	-324.88
-19.32	-340.35
-20.302	-351.96
-21.94	-361.24
-22.376	-359.69
-22.158	-344.99
-21.831	-326.43
-21.176	-304
-20.739	-287.75
-19.975	-266.87
-19.32	-250.62
-18.556	-232.06
-17.465	-208.08
-13.644	-154.71
-11.789	-116.8
-10.151	-88.182
-7.7498	-53.372
-5.5669	-21.659
-3.0564	10.83
-1.419	33.262
2.6198	93.595
4.257	119.9
5.8943	147.74
7.6408	175.59
10.26	211.17
12.662	245.21
14.627	272.28
16.591	300.9
18.447	325.66
20.302	346.54
22.267	368.97
24.014	379.8
25.87	385.22
27.724	390.63
29.472	396.05
32.09	400.69
34.493	406.1
37.33	407.65
39.515	409.2
42.243	409.2
43.772	404.55
44.752	396.82
44.643	389.08
44.534	382.9
44.534	376.71
43.444	325.66
42.024	300.9
40.604	269.96
38.859	239.02
37.549	215.81
36.566	198.79
35.258	177.14
33.183	147.74
32.09	128.4
30.236	102.1
28.598	79.673
26.634	55.693
24.669	34.035
22.267	6.1881
19.975	-16.244
18.01	-31.715
14.627	-53.372
11.025	-72.711
7.4224	-89.73
4.1478	-102.88
0.65491	-119.9
-2.1831	-140.78
-4.8029	-162.44
-7.9682	-191.83
-10.479	-216.59
-12.334	-236.7
-14.627	-259.91
-17.028	-283.88
-18.774	-304.77
-23.25	-341.9
-25.761	-358.14
-27.615	-365.11
-29.909	-371.29
-33.073	-376.71
-36.347	-384.45
-38.859	-385.22
-40.714	-387.54
-42.461	-390.63
-43.663	-389.08
-44.425	-386.76
-44.534	-379.03
-44.861	-372.07
-45.08	-363.56
-45.08	-357.37
-44.534	-351.96
-44.206	-340.35
-43.335	-310.19
-42.134	-284.66
-40.932	-259.13
-39.731	-236.7
-38.204	-213.5
-37.003	-198.02
-35.149	-170.18
-33.292	-140.01
-31.653	-117.58
-30.018	-97.465
-27.724	-70.39
-25.105	-42.544
-22.595	-17.018
-19.538	11.603
-17.355	28.621
-15.063	44.863
-12.771	58.015
-10.151	72.711
-7.6408	85.86
-5.4577	95.143
-3.1653	104.43
0.10915	118.35
3.3838	135.37
5.8943	150.84
8.8415	171.72
11.134	190.29
13.426	208.08
15.718	228.97
17.792	248.3
20.521	269.96
23.359	289.3
25.761	304
28.707	320.24
31.219	334.16
33.292	344.99
35.583	355.05
38.204	362.01
41.369	372.84
44.425	379.8
44.315	352.73
43.553	333.39
42.898	316.37
42.134	300.9
41.26	284.66
40.386	269.19
38.969	242.89
36.02	187.97
34.384	162.44
32.746	136.91
30.673	112.93
28.598	77.351
26.416	51.054
24.669	34.035
23.141	13.924
21.503	-3.0941
19.648	-19.338
18.01	-30.941
16.155	-43.318
14.408	-53.372
11.898	-67.298
10.042	-75.807
7.9682	-85.86
5.7851	-92.825
3.9296	-101.33
1.6373	-110.61
-4.1478	-135.37
-6.9858	-149.29
-10.042	-166.31
-13.426	-185.65
-16.046	-206.53
-18.229	-225.1
-20.412	-242.89
-23.25	-261.45
-26.198	-281.56
-29.253	-304
-32.2	-321.01
-35.039	-337.26
-37.767	-351.18
-40.604	-362.01
-42.352	-367.43
-44.425	-370.52
-45.189	-370.52
-45.408	-365.88
-45.408	-355.82
-44.971	-354.27
-43.881	-330.3
-42.243	-291.62
-40.823	-263
-38.969	-231.28
-37.112	-204.21
-34.93	-170.18
-33.292	-145.42
-31.219	-117.58
-29.253	-88.182
-26.525	-54.919
-24.341	-32.488
-22.158	-10.056
-19.211	13.924
-16.591	34.035
-13.972	51.828
-11.134	68.072
-7.9682	85.09
-4.1478	99.786
-0.76408	113.71
2.6198	132.27
5.4577	150.07
9.1689	166.31
11.789	185.65
14.517	204.21
18.01	228.97
20.739	248.3
23.359	266.87
26.853	287.75
30.782	310.96
33.729	326.43
36.894	341.9
40.168	353.5
42.789	363.56
46.063	375.16
49.119	382.9
52.72	387.54
56.215	391.41
63.419	394.5
66.365	395.27
66.911	395.27
67.457	389.08
67.676	381.35
67.785	372.07
67.13	355.05
66.584	338.8
65.819	317.92
64.945	304
63.746	278.47
62.327	260.68
60.907	236.7
59.926	219.68
58.725	199.57
57.523	183.32
55.888	162.44
53.376	121.44
50.866	91.277
48.791	71.164
47.046	49.506
45.626	35.582
43.988	17.018
41.587	-2.3206
39.406	-18.565
37.44	-30.168
35.258	-42.544
33.619	-50.28
31.328	-61.881
27.615	-75.033
24.451	-85.86
21.503	-95.143
17.028	-110.61
13.535	-121.44
8.7323	-135.37
4.3663	-144.65
0.21831	-155.48
-3.0564	-164.76
-5.2393	-174.82
-8.9507	-184.87
-13.207	-202.66
-15.5	-211.95
-18.229	-227.42
-20.521	-243.66
-23.25	-260.68
-25.87	-276.15
-28.707	-294.72
-32.309	-311.73
-35.367	-325.66
-37.658	-336.49
-41.041	-347.31
-43.553	-356.6
-47.264	-360.47
-50.866	-369.74
-53.485	-375.94
-57.305	-380.58
-60.363	-384.45
-63.2	-386.76
-65.71	-389.86
-67.02	-389.08
-67.676	-382.9
-68.113	-374.39
-68.44	-360.47
-68.222	-352.73
-67.348	-335.71
-66.037	-313.28
-64.402	-285.43
-63.2	-261.45
-60.582	-226.64
-58.834	-198.02
-55.232	-157.8
-52.939	-130.73
-50.648	-103.65
-47.374	-71.164
-44.752	-45.636
-42.134	-20.885
-39.84	-0.77351
-37.221	17.018
-34.384	34.035
-31.219	47.184
-28.926	59.563
-22.922	81.994
-17.028	97.465
-12.007	116.03
-6.9858	131.5
-1.2007	146.97
2.5105	158.57
7.095	170.95
13.317	193.38
15.718	209.63
19.538	225.87
23.25	244.44
27.178	264.54
31.328	285.43
35.911	302.45
40.604	318.69
45.189	331.07
49.119	341.9
53.266	351.18
57.523	359.69
61.671	367.43
65.382	369.74
67.239	369.74
67.13	347.31
66.474	329.52
65.71	311.73
64.62	292.39
63.2	267.64
61.671	246.76
60.145	222
58.725	198.02
54.905	140.01
52.611	116.03
50.429	88.956
48.029	61.881
45.844	35.582
43.881	13.15
41.478	-7.7351
40.058	-17.791
37.33	-34.809
34.384	-47.184
30.018	-68.072
25.761	-84.316
20.194	-99.786
16.81	-109.07
5.4577	-141.56
-1.2007	-157.8
-10.479	-193.38
-16.591	-214.27
-22.376	-235.93
-26.307	-252.17
-30.236	-269.19
-34.384	-286.98
-38.313	-304
-41.697	-316.37
-46.391	-331.84
-49.883	-341.9
-52.611	-347.31
-57.851	-357.37
-60.472	-362.78
-63.528	-366.65
-65.71	-370.52
-67.567	-371.29
-68.003	-363.56
-67.785	-352.73
-67.457	-335.71
-66.802	-319.47
-65.491	-294.72
-63.419	-263.77
-61.671	-239.79
-59.817	-214.27
-58.179	-191.06
-56.54	-172.5
-54.795	-151.61
-52.939	-130.73
-50.975	-109.07
-48.9	-88.956
-46.391	-64.202
-43.881	-40.223
-41.151	-16.244
-39.406	-1.5471
-37.003	17.018
-35.367	28.621
-32.09	45.636
-29.035	59.563
-26.088	68.846
-16.155	101.33
-12.225	112.93
-7.4224	127.63
-2.7287	140.01
1.8556	154.71
6.6584	170.95
11.025	186.42
14.081	199.57
17.683	210.4
20.739	222.78
24.014	236.7
26.853	247.53
30.345	262.23
33.292	273.05
36.238	284.66
40.277	298.58
43.772	309.41
49.992	326.43
54.359	338.8
58.397	347.31
62.763	356.6
68.877	360.47
72.697	362.01
78.262	367.43
82.083	369.74
85.25	374.39
87.213	374.39
89.179	366.65
89.726	348.09
89.398	335.71
88.852	321.01
88.524	310.19
86.886	282.34
85.141	255.27
83.939	234.38
82.41	212.72
80.884	192.61
79.464	172.5
77.826	149.29
75.644	125.31
73.241	99.012
71.168	77.351
67.785	41.771
65.164	17.018
62.654	-3.0941
59.817	-22.432
55.997	-40.997
51.958	-60.337
46.609	-76.581
43.226	-84.316
39.949	-92.825
37.112	-99.786
32.855	-111.39
22.704	-134.59
14.954	-154.71
8.5141	-168.63
4.0386	-175.59
-0.65491	-183.32
-6.3309	-195.7
-10.806	-206.53
-14.081	-213.5
-16.046	-219.68
-19.866	-231.28
-24.014	-245.21
-27.287	-256.81
-30.345	-269.19
-34.056	-283.88
-37.003	-292.39
-40.604	-304.77
-44.315	-316.37
-47.81	-327.2
-50.538	-333.39
-54.031	-342.67
-57.523	-351.96
-61.016	-356.6
-63.528	-360.47
-68.113	-367.43
-73.678	-372.07
-77.716	-375.16
-81.537	-378.25
-84.704	-378.25
-87.978	-379.03
-90.051	-379.03
-91.58	-367.43
-91.689	-355.82
-91.47	-343.45
-91.252	-331.07
-90.924	-326.43
-89.07	-296.26
-87.323	-270.74
-84.922	-241.34
-83.175	-217.36
-80.665	-190.29
-78.044	-156.25
-75.316	-129.18
-72.151	-97.465
-68.877	-67.298
-65.491	-40.997
-63.091	-21.659
-60.582	-6.1881
-57.633	13.15
-53.703	35.582
-50.757	47.184
-47.701	56.467
-44.643	68.846
-41.369	79.673
-37.003	91.277
-33.292	101.33
-28.598	111.39
-23.686	119.12
-19.757	126.86
-13.317	134.59
-8.623	140.78
-2.8379	152.38
5.8943	177.14
11.789	191.83
16.264	204.21
19.648	211.95
23.905	225.87
28.598	239.79
32.855	252.17
37.986	265.32
43.881	283.11
49.228	299.35
54.686	311.73
59.708	321.79
64.074	329.52
70.622	341.13
74.333	345.77
77.826	349.64
81.755	352.73
86.23	352.73
89.616	349.64
90.051	335.71
89.726	320.24
89.179	305.54
88.524	291.62
87.978	280.79
87.541	266.09
84.267	217.36
81.973	194.16
80.775	177.14
79.573	161.67
77.716	140.01
75.862	117.58
74.442	104.43
72.588	86.634
70.404	65.75
68.768	49.506
66.911	34.809
64.945	13.924
63.2	0
60.907	-17.018
58.725	-32.488
48.136	-73.485
45.189	-81.22
42.024	-88.182
38.859	-95.917
35.583	-103.65
31.981	-112.93
29.035	-119.12
25.433	-129.18
21.067	-137.69
16.919	-146.2
4.5844	-162.44
-0.87323	-168.63
-5.4577	-176.36
-10.697	-187.97
-16.591	-201.89
-21.285	-213.5
-26.088	-226.64
-33.292	-252.94
-38.313	-263.77
-42.789	-275.38
-48.029	-289.3
-52.72	-302.45
-57.086	-312.5
-62.982	-324.88
-67.348	-333.39
-72.151	-341.9
-76.299	-349.64
-81.211	-353.5
-85.141	-355.82
-88.961	-358.92
-90.924	-356.6
-91.907	-346.54
-91.361	-329.52
-89.07	-294.72
-87.104	-263.77
-84.704	-232.83
-82.41	-201.89
-79.792	-173.27
-77.389	-147.74
-75.098	-126.86
-72.916	-103.65
-70.731	-81.994
-67.239	-56.467
-63.31	-25.527
-60.145	-1.5471
-56.65	20.885
-53.922	36.356
-50.866	48.732
-47.155	61.107
-43.444	72.711
-39.624	82.768
-35.367	93.595
-23.686	119.12
-18.556	125.31
-13.426	133.05
-8.4049	142.33
-1.5281	150.07
2.1831	159.35
6.5491	167.85
10.042	170.18
14.408	181.78
18.447	192.61
22.049	204.21
25.542	213.5
29.581	225.1
33.401	235.15
37.44	249.07
41.587	260.68
45.517	269.19
49.228	277.7
53.376	286.98
57.96	297.03
61.344	304.77
66.037	311.73
69.421	316.37
73.35	321.79
77.064	324.88
80.556	327.98
83.83	330.3
93.218	336.49
97.475	340.35
102.71	342.67
107.73	344.22
111.77	344.22
112.21	329.52
112.32	317.15
111.45	292.39
110.25	269.19
108.61	248.3
104.35	193.38
102.6	177.91
99.985	148.52
87.541	23.206
84.704	0
