"Wight and Soze, 1973, Spec. WS033E"	
1.2915	-6.0239
0.6765	-7.5296
-0.61498	-11.725
-1.722	-15.92
-2.7676	-20.438
-3.7516	-23.987
-4.6739	-27.86
-6.396	-34.421
-7.6876	-39.047
-9.5324	-45.072
-11.008	-50.769
-12.361	-56.797
-13.468	-61.529
-15.006	-67.876
-16.482	-72.391
-17.343	-74.758
-18.204	-77.235
-19.741	-81.105
-20.356	-82.288
-21.402	-84.223
-21.771	-84.761
-22.263	-85.406
-22.509	-85.406
-22.57	-84.116
-22.632	-81.105
-22.632	-77.555
-22.324	-73.254
-22.14	-69.918
-21.955	-66.262
-21.525	-62.067
-20.602	-57.117
-19.68	-52.816
-18.696	-48.941
-16.666	-41.521
-15.129	-34.959
-14.329	-30.979
-13.407	-26.999
-11.439	-19.577
-9.4094	-12.155
-8.4869	-8.3903
-7.6258	-4.3027
-6.5189	0.10757
-5.412	4.5178
-3.9975	10.111
-2.952	14.307
-0.79949	22.266
0.061498	24.956
1.0455	27.752
2.091	30.334
3.444	33.668
4.428	36.035
5.7196	38.509
6.7036	40.338
7.8105	42.704
8.7945	44.854
10.024	48.19
10.947	51.739
11.808	54.644
12.546	57.548
13.407	60.56
14.637	65.83
15.313	68.197
17.404	74.437
18.081	76.265
18.634	77.555
19.741	79.922
20.541	81.857
21.771	83.903
22.386	84.979
23.001	85.731
23.062	85.944
22.878	81.212
22.201	76.372
21.463	71.639
20.848	66.907
19.741	60.666
18.634	56.365
17.589	51.953
16.728	48.621
15.805	44.64
14.883	40.983
14.206	37.971
13.468	34.851
12.423	30.119
11.316	25.601
9.5324	18.501
8.0564	13.016
6.273	6.8842
5.0429	2.9043
3.9975	-0.53785
2.5829	-4.3027
1.1685	-6.8842
0.246	-8.4979
-1.2915	-12.585
-2.337	-17.103
-3.444	-21.513
-4.2436	-24.095
-5.5964	-28.075
-6.765	-31.624
-7.5029	-33.991
-8.5484	-37.648
-9.717	-41.843
-10.516	-44.854
-11.377	-47.758
-12.73	-51.632
-13.96	-56.04
-14.821	-59.59
-15.436	-62.388
-15.99	-64.972
-16.666	-67.445
-17.466	-70.025
-18.88	-74.113
-19.618	-75.834
-20.172	-77.124
-21.525	-80.46
-21.832	-80.891
-22.201	-81.536
-22.632	-81.643
-22.509	-79.383
-22.324	-76.479
-21.894	-71.746
-21.586	-67.876
-21.094	-63.033
-20.602	-58.731
-20.049	-54.537
-19.003	-49.266
-17.958	-44.533
-16.297	-38.186
-14.883	-32.593
-13.222	-26.784
-12.054	-21.728
-11.07	-17.318
-9.7785	-12.693
-8.733	-8.928
-7.6876	-4.7331
-6.0269	0.6454
-4.797	5.8086
-3.813	10.649
-2.5215	15.597
-1.5375	19.255
-0.36899	23.019
0.6765	26.246
3.3825	32.7
4.305	34.959
5.412	37.541
6.396	39.585
7.5029	41.951
8.6098	44.425
9.4094	46.468
10.209	48.835
11.377	52.602
13.653	60.239
14.637	63.464
15.805	66.475
16.912	69.487
18.819	73.254
20.541	77.017
21.463	79.17
22.201	80.673
22.755	81.75
23.001	82.395
23.247	82.613
23.062	79.601
22.447	75.834
21.709	71.208
21.033	66.369
20.11	61.849
19.003	57.01
17.958	52.384
16.728	47.113
15.621	42.489
14.391	37.218
13.161	32.055
11.746	26.569
10.578	22.051
9.5324	17.856
8.3025	13.016
7.3185	9.0357
6.396	5.5934
5.3505	2.0438
4.2436	-1.0757
3.0749	-3.8724
1.9065	-6.454
1.23	-7.9601
0.123	-9.7887
-0.79949	-11.617
-1.1685	-12.585
-2.6444	-18.286
-4.1819	-22.696
-4.4894	-23.665
-5.9654	-28.613
-6.9494	-31.194
-7.9949	-34.637
-8.4869	-36.573
-8.9174	-37.971
-9.7785	-41.305
-10.332	-43.242
-11.746	-48.403
-12.607	-51.201
-14.637	-58.3
-15.375	-60.56
-16.359	-63.571
-17.281	-66.262
-18.142	-68.521
-18.942	-70.781
-19.557	-72.391
-20.356	-74.437
-21.648	-77.342
-22.57	-79.277
-22.632	-79.277
-22.755	-75.082
-22.509	-70.35
-22.263	-66.475
-21.955	-62.606
-21.34	-58.625
-20.664	-54.857
-19.557	-49.698
-17.958	-43.779
-16.728	-39.047
-15.252	-33.668
-13.776	-28.29
-10.947	-17.748
-8.364	-8.8204
-7.38	-5.1632
-6.888	-3.227
-6.396	-0.43027
-5.7196	2.5816
-5.0429	5.8086
-4.1819	9.3581
-3.0749	13.554
-1.845	17.964
-1.0455	20.76
-0.061498	23.665
1.0455	27.107
2.091	29.903
3.1364	33.023
3.936	34.959
5.4734	38.401
6.5189	39.907
7.6876	42.489
9.4094	45.61
10.578	47.758
11.377	50.018
12.115	51.739
12.976	54.105
14.391	57.762
15.436	60.773
16.051	62.281
18.757	70.888
19.434	73.036
20.602	75.296
21.832	77.555
22.693	79.17
22.632	78.952
22.201	75.402
21.463	69.487
20.787	65.185
20.11	62.067
19.249	58.3
18.45	54.968
17.712	51.846
16.974	48.728
16.236	45.178
15.129	40.768
14.391	37.648
13.653	34.314
12.546	29.689
11.07	24.095
9.5938	18.824
8.7945	15.597
7.749	11.725
6.7036	7.6372
5.6578	3.6573
4.305	-0.43027
3.2596	-3.227
0.79949	-8.2826
0	-10.004
-0.79949	-12.263
-1.968	-15.49
-3.2596	-19.039
-4.428	-22.374
-5.7196	-25.923
-7.0109	-29.473
-8.364	-33.13
-9.5938	-36.25
-10.885	-40.015
-11.869	-43.134
-12.853	-46.037
-13.837	-49.586
-14.698	-52.602
-15.744	-56.152
-16.666	-59.59
-17.65	-63.357
-18.819	-68.303
-19.311	-69.811
-20.356	-72.178
-21.217	-73.899
-22.078	-75.514
-22.324	-75.62
-22.386	-73.899
-22.14	-71.208
-21.894	-67.983
-21.709	-65.399
-21.463	-62.174
-20.971	-58.086
-20.479	-54.212
-19.495	-49.804
-18.45	-45.392
-17.343	-40.768
-15.867	-35.604
-14.514	-30.872
-13.099	-25.709
-11.869	-20.975
-10.332	-15.274
-8.9789	-10.649
-7.9334	-6.7765
-6.7036	-2.1513
-5.781	1.2908
-4.92	5.3785
-3.936	9.7887
-2.8905	14.307
-2.091	16.995
-1.1685	20.438
-0.123	23.987
0.738	26.892
2.091	30.764
3.6284	34.099
5.0429	37.003
6.6418	40.015
8.0564	43.027
9.1018	45.61
10.516	49.053
11.808	52.277
13.284	56.04
14.452	59.27
15.498	62.388
17.22	67.12
18.511	70.995
19.741	73.899
20.602	76.047
21.832	78.2
23.124	80.246
24.108	81.75
26.568	84.116
28.412	85.624
29.705	86.269
31.181	86.914
32.779	87.345
34.072	87.559
35.486	87.239
36.591	85.838
37.884	83.578
39.053	81.75
40.528	80.135
42.065	78.525
43.419	76.372
44.587	74.331
45.57	72.609
46.495	71.315
47.109	70.563
47.109	67.552
46.431	63.251
45.634	59.376
44.895	56.258
43.912	51.526
43.297	48.403
42.619	45.178
41.758	41.091
40.958	37.433
39.606	32.163
38.621	28.29
37.76	24.956
36.591	20.868
35.486	17.103
34.318	13.876
32.779	9.5734
31.242	5.701
29.888	3.0119
27.551	-1.2908
25.89	-3.98
23.862	-6.2388
21.832	-8.6055
19.188	-11.832
16.851	-14.414
14.883	-16.458
12.484	-19.792
10.148	-22.482
7.5644	-25.709
5.781	-28.29
3.5055	-32.27
1.0455	-37.864
-0.4305	-41.091
-2.337	-45.178
-3.8745	-48.403
-5.4734	-51.739
-6.9494	-54.857
-8.4254	-57.441
-10.148	-59.701
-11.808	-61.636
-14.083	-63.789
-16.174	-65.617
-17.896	-66.8
-20.664	-68.303
-22.632	-68.842
-24.231	-69.166
-27.983	-69.38
-29.827	-69.06
-32.288	-68.948
-35.116	-69.06
-38.006	-68.842
-40.897	-68.521
-42.987	-67.876
-44.465	-67.552
-45.263	-67.552
-44.587	-64.216
-44.033	-60.346
-43.233	-56.04
-42.189	-51.308
-41.204	-47.113
-40.221	-43.565
-39.113	-39.907
-37.638	-34.851
-36.223	-31.194
-34.808	-27.86
-33.64	-24.74
-32.349	-21.191
-30.81	-17.856
-29.088	-14.199
-27.429	-11.08
-26.261	-8.2826
-25.092	-6.0239
-23.062	-2.2589
-21.34	0.43027
-19.557	3.0119
-17.589	5.4857
-15.498	8.0673
-13.407	10.326
-11.931	11.725
-9.717	13.554
