"Kanda et al. 1988, Spec. STC1"	
-25.949	-76.271
-25.5	-64.5
-25.001	-59.21
-22.5	-37.901
-20.002	-22.704
-17.501	-10.974
-15	-1.8491
-12.501	4.6446
-10	9.3914
-7.4995	12.607
-5.001	15.391
-2.5015	18.041
-0.5	20.695
0.0005	21.539
0.5	22.267
4	29.371
9	44.173
14	54.524
19	62.962
23.999	68.495
25.948	69.164
25.002	54.78
20	20.852
15.001	1.034
10	-10.364
5.0005	-17.199
2.5005	-20.167
0.5015	-23.216
0.001	-24.299
-0.5	-25.3
-3.9995	-33.864
-8.999	-48.558
-13.998	-58.743
-18.998	-66.934
-23.999	-71.43
-25.948	-72
-25.002	-56.444
-20.002	-21.739
-15.002	-1.5212
-10	9.9482
-5	16.352
-2.5005	19.114
-0.5005	21.786
-0.0015	22.702
0.4985	23.506
3.998	30.907
6.499	37.962
9	44.5
11.5	49.449
14	53.343
16.498	57.178
19	60.892
21.499	64.13
23.998	66.654
25.948	67.898
25.001	53.68
20	20.713
15.002	1.3754
10.001	-10.018
5.001	-16.902
2.5005	-19.925
0.5005	-23.001
0.0005	-23.926
-0.4985	-24.9
-3.9985	-32.912
-6.4995	-39.904
-8.9995	-46.034
-11.499	-51.185
-13.998	-55.182
-16.499	-58.86
-19	-62.322
-21.498	-65.434
-23.999	-67.536
-25.948	-68.704
-25	-54.131
-20	-20.814
-15.002	-1.3012
-10	10.096
-5.001	16.684
-2.5015	19.518
-0.5015	22.522
-0.0005	23.371
0.498	24.368
3.998	31.958
6.499	38.568
9.0005	44.509
11.499	48.933
14	52.539
16.5	56.087
19	59.356
21.499	62.688
24	65.396
25.999	66.757
27	67.381
27.999	67.628
29	67.794
29.999	67.866
31	67.853
32	67.7
32.998	67.574
34	67.372
34.6	67.435
34.501	60.645
34.002	55.692
31.501	35.851
29.001	21.723
26.5	11.574
24.001	2.8752
21.5	-3.6768
19.001	-8.2575
16.501	-11.841
14.002	-14.796
11.5	-17.203
9.0015	-19.251
6.5015	-21.676
4.0005	-24.352
0.5005	-29.018
0.0005	-30.038
-0.499	-30.914
-3.9995	-37.281
-6.499	-42.226
-8.9985	-46.932
-11.499	-50.826
-13.998	-54.082
-16.499	-56.875
-18.999	-59.435
-21.499	-61.896
-24	-63.957
-25.999	-65.309
-26.999	-66.041
-28	-66.436
-28.999	-66.728
-29.998	-66.943
-31	-67.064
-31.999	-67.285
-32.998	-67.509
-34	-67.41
-34.599	-67.473
-34.5	-59.403
-34	-54.526
-31.501	-35.027
-29.001	-21.389
-26.5	-11.217
-24.001	-2.7158
-21.5	3.6072
-19.001	8.2867
-16.502	12.032
-14.001	15.005
-11.501	17.385
-9.0015	19.572
-6.502	21.835
-4	24.476
-0.5005	29.048
-0.001	29.982
0.498	30.902
3.9995	36.839
8.9995	45.354
13.998	51.295
19	55.943
23.999	60.2
29	62.756
34	63.51
34.598	63.955
34	52.243
29	20.389
24.001	2.305
19.002	-9.1242
14	-15.649
9.001	-20.365
4	-25.574
0.502	-29.89
0	-30.945
-0.499	-31.704
-3.9985	-36.877
-8.999	-44.094
-13.998	-49.654
-18.999	-54.082
-23.999	-57.903
-29	-60.858
-34	-61.752
-34.599	-62.34
-34.001	-51.05
-29	-19.835
-24	-2.4867
-19	8.893
-14	15.719
-9.002	20.843
-4.0015	26.007
-0.5015	30.66
-0.0015	31.482
0.4985	32.25
3.9995	37.037
6.4995	40.558
9	43.827
11.5	46.301
14	48.663
16.5	50.797
19	52.858
21.498	54.708
23.999	56.54
26.5	58.188
28.999	59.239
31.5	59.792
33.999	60.016
34.6	60.42
34.001	48.982
29.002	18.768
24	1.6358
19.002	-9.1871
14.002	-15.618
9	-20.257
4.001	-25.287
0.5015	-29.517
0.0005	-30.321
-0.5	-30.972
-4.0005	-35.606
-6.4985	-38.763
-8.998	-41.579
-11.5	-43.995
-14	-46.182
-16.499	-48.279
-19	-50.085
-21.5	-51.796
-23.998	-53.345
-26.5	-54.912
-29	-56.075
-31.498	-56.933
-34	-57.504
-34.6	-58.051
-34	-46.851
-29.002	-17.778
-24	-1.6515
-19	9.1893
-14	15.872
-9.001	20.816
-4.001	26.003
-0.5005	30.108
0.0005	30.849
0.5005	31.563
4	35.254
6.5	37.877
9.0005	40.49
11.5	42.614
13.999	44.545
16.5	46.665
19	48.601
21.5	50.307
23.999	52.198
26.5	53.752
29	54.695
31.498	55.422
34	55.741
34.999	56.15
35.999	56.284
37	56.437
37.998	56.361
39	56.392
40	56.064
41	55.997
41.998	55.826
43	55.611
43.248	55.359
43.002	46.777
42.501	42.614
40.001	26.304
37.501	14.479
35.001	5.9021
32.5	-1.0453
30.001	-6.7979
27.502	-11.082
25	-14.284
22.501	-16.92
20.001	-19.089
17.502	-21.152
15	-22.978
12.502	-24.752
10.002	-26.463
7.4995	-28.179
5	-28.895
2.501	-31.816
0.5	-33.559
0.0005	-34.192
-0.5	-34.645
-3.9985	-37.115
-6.498	-39.042
-8.999	-40.847
-11.5	-42.563
-14	-44.112
-16.499	-45.684
-18.999	-47.17
-21.5	-48.616
-24	-49.739
-26.5	-50.781
-29	-51.63
-31.498	-52.195
-34	-52.397
-34.999	-52.739
-36	-52.865
-36.999	-52.887
-38	-52.896
-39	-52.86
-40	-52.671
-40.998	-52.748
-41.998	-52.492
-42.998	-52.317
-43.25	-52.097
-43.002	-45.033
-42.501	-40.982
-40	-25.098
-37.502	-13.588
-35.001	-5.4687
-32.501	0.89036
-30.001	6.7732
-27.5	10.878
-25	14.071
-22.502	16.586
-20	19.015
-17.501	20.74
-15.001	22.509
-10	25.935
-5.002	29.137
-2.502	30.768
-0.002	32.452
3.9995	34.688
9	37.463
13.999	39.803
18.998	42.381
24	44.146
28.998	45.848
33.999	46.562
38.999	46.418
43.498	45.632
44.499	46.162
45.499	46.122
46.5	46.261
47.5	46.036
48.499	45.951
49.498	45.479
50.499	45.08
51.499	44.905
52.499	44.563
51.501	30.839
50.501	24.557
49.502	19.159
48.502	14.417
47.502	10.101
47.25	9.2118
47.1	8.5696
