"Paultre, Legeron,  July-August 2000 test 10013025"	
10.005	74.724
15.622	90.01
21.24	102.33
26.994	111.97
32.528	119.02
38.177	124.06
42.901	126.98
47.54	128.34
47.045	121.89
42.617	109.1
38.156	96.665
33.706	84.407
29.235	72.146
24.974	59.837
20.903	47.742
16.054	32.996
10.509	15.269
6.0385	0.562
0.147	-19.026
-6.554	-40.234
-13.224	-59.282
-19.904	-75.647
-28.793	-90.833
-35.505	-98.403
-42.143	-103.03
-47.761	-104.6
-47.529	-98.208
-42.837	-84.514
-37.23	-68.723
-31.602	-53.201
-27.131	-40.535
-22.576	-27.473
-18.158	-13.562
-13.708	0.513
-8.1425	17.717
-2.5774	35.195
3.0718	52.285
8.8263	68.56
14.465	82.744
20.041	94.741
26.7	105.54
32.496	112.52
38.093	117.92
41.565	120.07
47.13	122.82
51.054	123.63
52.137	123.33
52.137	123.33
52.137	123.33
56.587	123.13
62.342	119.39
62.236	113.92
57.839	100.59
52.284	84.551
46.719	70.147
41.102	56.782
35.579	44.285
30.024	32.324
24.459	20.278
18.894	7.856
13.318	-4.902
7.7532	-17.502
1.0836	-32.476
-4.4815	-44.868
-11.151	-58.814
-17.831	-71.611
-23.396	-80.549
-31.192	-90.154
-37.872	-95.786
-44.563	-99.024
-50.149	-99.744
-55.609	-97.92
-61.153	-96.443
-65.624	-94.724
-64.172	-87.236
-59.764	-74.241
-55.114	-60.754
-50.696	-48.945
-46.151	-38.057
-41.554	-27.949
-37.146	-18.809
-32.717	-9.897
-26.942	0.876
-22.355	9.626
-15.675	23.225
-10.089	34.126
-4.5446	44.612
1.1256	54.893
7.869	66.968
14.56	77.698
21.314	87.363
28.078	95.071
34.853	100.96
40.491	104.73
46.057	107.32
52.905	109.03
57.439	108.84
59.996	108.02
62.92	104.57
63.173	97.014
59.806	85.54
55.714	73.005
50.149	58.098
44.584	44.468
39.019	32.136
33.433	20.518
27.889	9.521
22.323	-0.938
16.737	-11.111
11.172	-20.574
5.6072	-29.485
-1.052	-39.048
-7.7427	-48.34
-14.412	-56.887
-21.082	-64.827
-26.689	-70.537
-35.568	-77.605
-44.458	-82.908
-52.253	-85.984
-56.703	-87.095
-64.582	-87.141
-63.551	-80.945
-63.551	-80.945
-59.028	-67.268
-53.505	-51.279
-47.866	-37.156
-42.08	-24.077
-37.63	-15.161
-29.635	-0.078
-29.635	-0.078
-20.503	15.435
-8.1951	34.636
0.884	47.28
12.34	62.617
21.45	73.684
31.434	83.704
46.256	93.914
58.554	97.561
60.848	97.556
68.675	96.702
75.449	95.071
84.854	87.901
90.44	83.203
92.471	76.233
87.495	62.424
82.151	49.685
75.523	33.77
70.011	21.653
60.785	4.495
52.358	-9.277
36.788	-25.781
16.758	-42.683
0.0631	-54.883
-14.423	-64.238
-26.647	-71.919
-38.924	-77.944
-48.907	-81.282
-62.015	-81.777
-73.672	-78.67
-83.687	-74.58
-85.896	-73.096
-91.629	-70.679
-95.869	-65.462
-90.072	-49.915
-84.339	-36.028
-76.449	-18.291
-66.002	0.247
-59.08	10.403
-51.222	20.171
-42.196	28.418
-33.222	34.932
-24.133	40.41
-14.044	46.145
-3.9134	50.679
5.0601	55.3
17.505	60.598
25.248	64.177
33.212	67.503
41.091	70.374
49.002	72.742
55.693	74.334
59.017	74.91
69.706	75.501
74.261	74.907
77.764	73.389
82.266	72.864
86.359	70.618
91.924	68.831
93.775	66.887
89.431	54.741
84.118	41.782
78.553	28.543
73.009	16.643
68.559	8.03
64.098	0.786
