"Saatcioglu and Ozcebe 1989, Spec. U6"	
2.19	57.56
1.65	40.12
1.33	28.64
0.832	12
0.53	0.5615
0.53	0.5615
0.122	-16.25
-0.226	-28.35
-0.612	-41.61
-0.97	-53.88
-1.42	-67.2
-1.85	-79.54
-2.38	-94.45
-2.84	-108.1
-3.35	-123
-3.87	-138.8
-4.36	-151
-4.8	-166.3
-4.4	-150.9
-4.54	-133.9
-3.78	-119.6
-3.26	-103.9
-2.79	-89.36
-2.44	-78.48
-1.96	-64.45
-1.45	-51.97
-1.07	-36.39
-0.662	-21.75
-0.298	-6.998
0.098	7.916
0.098	7.916
0.208	11.49
0.226	9.486
0.568	24.27
0.976	39.12
1.45	54.35
1.92	69.04
2.41	83.61
2.86	98.24
3.38	113.4
3.84	128.4
4.26	143.4
4.8	158.1
4.96	160.3
4.9	152.6
5.28	167.6
5.84	182.3
6.96	196.6
8.14	211.2
9.4	225.7
10.6	240.1
11.8	254.4
13.3	268.6
14.8	282.9
17.1	295.9
17.1	295.9
19.6	307.6
21.6	317.6
21.9	316.2
22.1	301.5
21.7	289.6
21.4	276.1
21	261.6
20.6	246.6
20.1	232.3
19.6	217.8
19.1	202.6
18.6	188.9
18	173.7
17.5	160
17.9	149
17	150
16.2	135.3
16.1	122
15.2	105.7
14.6	93.75
14	79.45
13.4	64.96
12.5	49.77
11.8	34.37
11.8	34.37
11	19.68
10.3	5.008
9.74	-8.502
8.76	-22.56
8.64	-20.21
8.52	-18.12
8.5	-17.68
8.52	-17.66
8.52	-34.48
8.5	-47
8.5	-61.72
6.06	-59.36
5.52	-71.13
4.46	-85.68
3.5	-99.99
2.52	-115.5
1.61	-129.7
0.686	-144.2
-0.288	-158.9
-1.46	-173.5
-1.85	-176.1
-2.13	-161.9
-1.68	-144.9
-1.37	-133.1
-1.37	-133.1
-0.82	-114.1
-0.286	-98.4
0.286	-82.71
0.704	-72.29
2.21	-42.41
2.71	-24.31
2.87	-16.31
3.47	-17.17
0.87	-84.36
0.342	-97.91
-0.264	-113.4
-0.846	-128.6
-1.43	-144.2
-1.99	-159.5
-2.59	-175.2
-2.7	-176.6
-2.76	-170.6
-3.22	-185.6
-4.06	-200.1
-5.42	-214.1
-6.42	-220.5
-7.42	-234.3
-8.68	-249
-9.9	-263.4
-9.9	-263.4
-20.6	-310.3
-22	-319.4
-22.1	-315.9
-22.2	-314.7
-22.3	-303.5
-22.3	-301.5
-22	-289.4
-21.5	-274.9
-21	-261.2
-20.6	-246.8
-20.1	-231.8
-19.5	-217.1
-18.8	-201.4
-18.1	-187.4
-17.6	-172.8
-17.3	-165.7
-16.7	-152.9
-16.8	-157.2
-16.5	-142.7
-15.6	-128.3
-14.9	-114.2
-14.1	-99.57
-13.3	-84.58
-12.4	-70.79
-12.4	-70.79
-11.7	-56.49
-10.8	-41.92
-10.6	-37.91
-9.68	-23.94
-9.12	-15.18
-8.06	-0.6441
-7.6	3.499
-7.66	2.785
-8.32	-1.019
-7	10.89
-6.02	25.45
-4.74	40.04
-3.38	53.8
-1.88	68.56
-0.388	82.72
0.984	97.23
2.27	112
3.49	127.3
4.7	141.9
5.98	157.2
7.38	172.4
8.9	187.3
10.6	200.7
12	214.7
12	214.7
13.8	229.3
15.3	243.8
16.7	258.6
18.1	273.6
19.5	287.8
21.1	302.1
21.9	301.8
21.9	299.7
22	289.8
21.5	275.3
21.1	259.5
20.7	243.8
20.1	227.8
19.4	211.1
19	194.9
18.4	179.8
17.8	163.8
17.1	148.4
16.5	132.1
15.7	116.5
15	101.6
14.1	85.8
13.4	70.56
12.4	55.33
12.4	55.33
11.2	36.71
10.3	21.19
9.38	5.663
8.54	-8.967
7.54	-22.73
6.66	-37.16
5.8	-51.89
4.24	-66.67
2.96	-81.3
1.61	-96.31
0.248	-111.5
-1.04	-126.6
-2.39	-141.6
-3.77	-156.3
-5.26	-171
-6.88	-185.3
-8.88	-200.3
-11	-214.8
-12.8	-229.6
-14.5	-243.9
-16	-258.4
-17.4	-272.8
-19.1	-287
-20.5	-301.7
-20.5	-301.7
-22.3	-306.9
-22.4	-298.3
-21.7	-277.2
-21.1	-260
-20.6	-244.2
-20	-229.1
-19.4	-213.6
-18.7	-198.5
-18	-182.4
-17.3	-166.9
-16.8	-152.1
-16	-135.9
-15.1	-121.3
-14.2	-105.1
-13.5	-90.96
-13.3	-76.03
-11.5	-60.3
-10.5	-44.89
-9.46	-29.92
-8.66	-13.93
-7.42	0.3074
-7.2	2.193
-7.72	1.021
-7.22	-2.847
-7.22	-2.847
-6.52	12.65
-5.36	27.1
-4.06	42.3
-2.64	55.98
-1.19	69.96
0.326	84.25
1.72	98.9
3.03	114.3
4.26	129.4
5.52	144.2
6.96	159.1
8.28	174.1
9	189
11.1	203.2
12.9	217.2
14.9	231.9
16.4	246.3
17.7	260.1
19.1	274.6
20.5	288.8
22	304
22.1	297.1
21.7	269.8
21.2	254.2
21.2	254.2
19.9	220.1
19.5	203.5
18.9	187.9
17.9	171.9
17.6	155.7
16.9	140.1
16	124.2
15.4	108.1
14.6	92.33
13.8	77.51
12.9	62.16
11.9	46.57
10.9	31.82
10.1	17.3
9.1	2.825
8.52	-4.684
8.52	-2.253
7.82	-16.75
6.88	-31.19
5.76	-46.34
4.6	-60.71
3.12	-76.09
1.68	-91.22
0.27	-106.5
0.27	-106.5
-3.72	-141.6
-4.5	-156.9
-5.72	-171.2
-7.26	-185.7
-9.12	-200.2
-11.1	-214.9
-13	-229.8
-14.9	-244.2
-16.7	-259.1
-18.1	-273.5
-19.8	-287.4
-21.3	-301.6
-22.2	-303.2
-22.3	-295.4
-21.8	-281.4
-21.4	-267.4
-20.8	-251.2
-20.8	-235.8
-19.6	-219.8
-18.9	-204.4
-18.1	-184.9
-17.3	-167.2
-16.6	-151.7
-15.5	-135.4
-15.5	-135.4
-14.6	-113.6
-13.7	-98.58
-12.9	-83.32
-11.8	-67.94
-10.7	-52.42
-9.64	-37.2
-8.78	-23.4
-7.68	-7.795
-6.76	4.709
-6.8	1.351
-6.88	-2.086
-6.12	12.42
-5.02	26.79
-3.72	41.86
-2.27	56.39
-0.658	71.14
0.748	84.79
1.04	85.19
2.15	100.1
3.48	115.6
4.72	130.7
5.92	145.3
7.16	160.6
7.72	174
7.72	174
8.36	162.4
8.74	172.4
9.42	184.3
10.3	199.7
12.2	214.5
13.9	228.3
15.7	242.9
17.3	256.2
18.9	270.8
20.6	285.6
22.1	300.5
24.2	314.1
26.7	323.5
29.3	327.4
32	329.5
34.5	328.9
37.2	329.8
40	330.8
42.4	332
44	325.8
44	318
44.2	307.2
43.6	292.6
43.4	277.6
43.4	277.6
41	219.1
40.6	210.8
40	196
39.4	184
38.7	171.3
38.1	157.8
38	157.3
38	159
37.4	144.1
36.6	129.3
35.7	114.2
34.8	98.91
33.7	84.95
32.8	70.73
31.8	57.14
30.7	43
29.6	29.31
28.6	16.04
27.4	4.061
26.3	-9.281
25.7	-14.48
25.5	-11.55
24.6	-25.1
23	-38.72
23	-38.72
21.1	-52.81
19.8	-66.65
17.3	-76.37
14.7	-89.22
12.7	-101.7
10.1	-112
7.34	-126.8
4.9	-137.9
2.78	-148.3
0.246	-160.5
0.212	-153.8
-1.07	-167.8
-3.32	-179.4
-3.49	-169.5
-4.28	-178.1
-5	-188.7
-6.94	-201.5
-9.34	-214.6
-11.5	-228.3
-13.6	-242
-16.5	-256.6
-18.7	-269.7
-21	-282.2
-23.6	-293.9
-23.6	-293.9
-26.3	-303.8
-28.9	-311.3
-31.5	-316.1
-34.1	-317.7
-36.8	-319.9
-39.6	-321.5
-42.2	-324.2
-44	-318.3
-44.4	-299.1
-43.4	-282
-43.2	-267.1
-42.2	-251.3
-41.6	-238.4
-40.8	-223.9
-40	-208.3
-39.2	-192.8
-38.5	-179.2
-37.6	-164.4
-36.9	-150.7
-36.9	-155.8
-36.2	-141.1
-35.3	-126.3
-34.3	-111.2
-33.4	-95.98
-33.4	-95.98
-32.3	-81.52
-31.1	-66.79
-29.8	-52.52
-28.6	-37.89
-27.3	-23.19
-25.6	-11.3
-25	2.068
-23.3	12.81
-23.3	7.452
-22.1	22.79
-20.5	35.56
-18.4	48.98
-15.8	62.58
-13.2	75.68
-10.6	88.81
-7.96	101.1
-5.3	112.9
-2.64	124.7
-0.028	136.3
2.66	147.9
5.12	159.1
7.8	171.4
10.4	183.7
13.7	196.5
13.7	196.5
15.5	208.2
18.3	220.7
20.9	231.8
23.6	243.3
26.3	254.4
28.7	263.9
31.4	274.4
34.1	284.6
36.7	294.4
39.5	305.7
42.2	313.7
44.4	312.5
44.4	299.9
44	285.2
43.6	270.3
43	252.4
41.8	229.7
41	209.3
40	190
39	171
38.1	152
37.1	135
36.1	118.8
35.1	103
35.1	103
32.3	64.35
31.2	48.79
30.2	35.64
28.7	19.33
27	3.873
25.8	-11.88
25.6	-12.59
24.8	-10.01
24.3	-25.19
22.5	-39.69
20.4	-54.08
18.2	-67.81
15.7	-81.83
12.9	-95.73
10.1	-109.7
7.4	-122.5
4.82	-134.8
2.04	-146.4
-0.71	-158.4
-3.45	-170.2
-6.08	-181.7
-8.88	-193.6
-11.7	-205.3
-14.5	-215.7
-14.5	-215.7
-17.4	-228.3
-20.2	-239
-23	-249
-25.7	-257.4
-28.6	-265.9
-31.4	-277.6
-34.2	-288.7
-37.1	-297.7
-39.8	-305.8
-42.6	-312.9
-44.2	-308.1
-44.2	-306.4
-44.2	-292.8
-45	-307.9
-44.4	-293.3
-43.4	-269.1
-42.6	-249
-41.8	-232.2
-40.8	-215.4
-40	-199.1
-39	-181.7
-37.9	-163.8
-37	-148.4
-36	-131.7
-36	-131.7
-33.5	-95.95
-32.2	-80.69
-31.1	-65.45
-29.7	-50.57
-28.3	-35.41
-26.9	-19.25
-25.4	-4.422
-23.6	10.19
-23.5	8.474
-23.4	5.632
-22.2	20.79
-20.1	35.2
-17.9	49.09
-15.4	62.92
-12.7	77.15
-10	91.27
-7.28	104.4
-4.5	117.6
-2.1	127.8
0.756	140.1
3.66	152.8
6.42	164.3
9.24	176.3
12	188.5
12	188.5
14.8	200.1
17.6	213.3
19.7	223.4
22.6	233.8
25.4	244.1
28.1	254.6
31	265.8
33.7	275.8
36.6	286.5
39.4	297
42.2	306.9
44.4	308.8
44.4	297.8
43.6	266.3
42.8	248.1
41.8	226.8
40.8	206.2
39.8	186.7
39	169
38	151
37	134
36.1	117.8
35	101
33.9	85.63
33.9	85.63
31.3	49.9
30.3	35.99
28.6	20.39
26.8	4.46
25.6	-10.52
25.2	-13.67
25	-11.84
23.8	-26.91
21.9	-41.35
19.7	-55.34
17.5	-68.7
14.9	-82.66
12.1	-96.65
9.74	-108.7
5.94	-122.2
3.74	-136.3
0.878	-148.5
-1.99	-161
-4.8	-172.5
-7.64	-184
-10.5	-195
-13.2	-205.8
-16	-215.3
-18.8	-226.6
-18.8	-226.6
-21.7	-237.5
-24.5	-248.1
-27.2	-256.8
-29.9	-265.4
-32.2	-271.9
-35.2	-282.2
-37.6	-290.3
-40.4	-299.6
-43.2	-307.1
-44.4	-302.5
-44.6	-291.9
-45.4	-305.9
-44.6	-287.2
-43.6	-264.7
-42.8	-244.9
-41.8	-228.5
-41	-211.8
-40	-194.7
-39.2	-178
-38.1	-161.2
-37.1	-145.6
-36.3	-130.4
-35.1	-113.8
-33.9	-97.77
-33.9	-97.77
-31.5	-67.42
-30	-52.16
-28.7	-38.59
-27.2	-22.71
-25.5	-6.91
-23.8	8.06
-23.3	8.107
-23.5	5.621
-22.2	19.64
-20.2	33.85
-17.7	47.74
-15.3	62
-12.7	76
-9.92	90.27
-7.08	103.7
-4.24	117.1
-1.42	129.2
1.38	141.2
4.14	152.5
7.16	164.9
9.94	176.6
12.7	188.3
15.5	200.1
18.2	211.6
18.2	211.6
21	222.8
22.5	223.6
22.6	209.8
21.9	194.5
21.1	173.2
20.2	155.3
19.3	137.5
18.3	119.7
17.2	102.5
16.1	86.56
15.2	70.59
14	54.84
12.9	40.48
11.6	25.54
10.2	9.908
8.74	-4.123
8.54	-5.466
8.42	-4.157
7.02	-19.83
5.1	-34.47
3.06	-48.53
0.926	-63.57
-1.12	-78.98
-2.9	-93.09
-2.9	-93.09
-5.44	-112.7
-7.34	-126.7
-9.3	-142.2
-11.3	-156.6
-13.4	-171.5
-16	-186.7
-18.1	-199.8
-20.9	-214.3
-22	-212.4
-22.1	-210.8
-22.2	-202.5
-21.5	-189.8
-20.7	-169.6
-19.8	-152.3
-18.8	-134.3
-17.8	-118.4
-16.8	-102.8
-15.8	-87.37
-14.7	-72.24
-13.5	-56.79
-12.3	-42.61
-10.9	-28.07
-9.36	-13.47
-7.82	1.62
-7.82	1.62
-7.56	1.023
-6.4	14.27
-4.6	27.99
-2.8	42.05
-1.02	56.07
0.212	64.27
0.24	62.32
-2.32	33.55
-2.94	18.79
-4.1	5.87
-5.3	1.741
-5.3	1.757
-5.32	1.759
-5.32	1.692
-3.24	17.53
-3.21	17.56
0.844	63.52
0.846	67.52
0.846	67.28
0.666	61.99
1.41	75.7
2.8	89.96
4.32	103.5
5.9	118.2
5.9	118.2
7.88	132.9
9.22	143.2
11	157.7
12.6	168.8
12.6	161.6
13.6	176.8
15.5	191.5
17.5	205.9
19.9	219.8
22.4	232.7
25.1	243.9
27.4	253.3
30.1	262.4
32.7	274
35.3	285
38.1	295.6
41	303.8
43.6	313.3
46	321.4
48.4	326.7
51.2	330.7
53.8	334.2
56.4	337.2
59.2	339.9
59.2	339.9
61.8	341.5
64.4	342.8
66.4	339.3
66.4	331.2
67.2	318.8
66.2	303.5
65.6	288.9
65	273.9
64.2	258.5
63.8	243.4
63	228.5
62.2	213.4
61.8	198.5
60.6	183.6
60	168.5
59.4	157.1
59.2	159.8
58.6	144
57.8	128
57	113.5
56	98
55	82.25
54	67.37
52.8	52.17
52.8	52.17
51.6	37.06
50.2	22.7
48.6	7.781
47.2	-6.222
45.4	-20.37
44.8	-24.47
44.6	-19.41
43.4	-34.13
41.4	-47.95
38.6	-60.99
35.8	-72.68
33.4	-80.93
30.7	-92.12
28	-101.5
25.3	-110.7
22.6	-120.3
20.6	-127.7
17.8	-136.8
15.2	-145.3
12.6	-153.2
10	-160.7
7.6	-167.2
5.02	-173.8
2.4	-180.4
2.4	-180.4
-0.24	-187.5
-0.514	-183.9
-0.68	-175.5
-1.72	-189.5
-4.16	-197.3
-6.84	-203.3
-9.52	-209.6
-12.1	-216
-14.8	-222.3
-17.5	-228.7
-19.3	-236.2
-22	-240.5
-24.5	-247.4
-27.2	-253.6
-29.9	-260.4
-32.5	-267.8
-35	-274.8
-37.8	-281.4
-39.8	-289.1
-42.4	-293.9
-45	-300.1
-47.6	-305.4
-50.4	-310.7
-52.8	-312.9
-52.8	-312.9
-55.4	-315.7
-58	-317.2
-60.8	-318.7
-63.4	-319.1
-65.6	-319.4
-66.4	-313.7
-66.6	-298.3
-65.8	-282.2
-65.2	-266.3
-64.4	-251.3
-63.4	-235.1
-62.4	-219.4
-61.4	-204
-60.4	-188.2
-59.4	-172.9
-58.4	-157.1
-58	-148
-57.8	-150.9
-57	-135.6
-55.8	-120.4
-54.8	-105.3
-53.6	-90.26
-52.6	-75.76
-51.2	-61.63
-51.2	-61.63
-49.6	-47.1
-48	-33.35
-46.6	-19.22
-44.8	-5.231
-42.8	8.484
-41.2	19.56
-41.2	18.87
-41	15.1
-39.4	29.09
-36.6	41.96
-33.9	52.22
-31.1	63.1
-28.3	73.28
-25.6	83.43
-22.8	93.14
-20	103.8
-17.1	114.3
-14.4	123.4
-11.6	133.5
-8.72	142.2
-6.44	149.9
-3.54	157
-0.704	164.5
2.05	171.7
2.05	171.7
4.88	178.7
8.02	186
10.9	193.5
13.6	200.6
16.1	206.7
19	213.3
21.8	220.9
24.7	227.8
27.5	234.6
30.3	241.8
33.1	248.5
35.8	255.3
38.7	261.5
41.6	268
44.4	275.2
47.2	282.2
50	289.6
52.8	297.7
55.6	306.1
58.6	314.2
61.4	321.4
64.2	327.2
66.4	324.7
66.6	309.2
66.6	309.2
66	292.9
65.2	269.9
64	248.6
63.2	228.6
62.2	209.5
61.4	191.3
60.6	175.3
59.4	158.3
58.6	142
57.6	124.8
56	108
55.6	92.12
54.4	75.12
53.4	59.97
51.8	44.72
50.6	28.81
48.6	13.36
47.2	-1.321
45.4	-15.9
43.6	-30.41
41.2	-44.61
38.6	-56.65
35.9	-67.04
33.2	-77.42
33.2	-77.42
30.2	-88.51
27.4	-98.29
25	-106.8
22.2	-116.9
19.4	-127.4
16.6	-137.3
13.8	-145.9
12.1	-154.5
9.5	-159
6.7	-166.2
3.92	-173.5
1.14	-180.3
-1.66	-186.3
-4.5	-192.3
-7.34	-198.3
-10.1	-204.2
-12.8	-209.8
-15.8	-215.8
-18.6	-221.3
-21.3	-227.5
-24.2	-232.3
-27.1	-238.2
-29.7	-243.4
-32.5	-248.3
-32.5	-248.3
-35.4	-254
-38.3	-259.5
-41.2	-264.8
-44.4	-269.8
-47	-276.9
-49.8	-282.4
-52.6	-288.1
-55.2	-294.2
-58	-299.2
-60.8	-303.8
-63.6	-307
-66.4	-309.9
-66.6	-303.4
-66.8	-286.8
-65.8	-270.7
-65	-251.4
-64	-235.8
-63	-219.6
-61.8	-202.4
-60.8	-186.4
-59.6	-169.3
-58.4	-153.3
-57.4	-137.5
-56.2	-121.3
-56.2	-121.3
-54	-91.76
-52.8	-76.26
-51.2	-60.38
-49.6	-45
-47.6	-30.3
-46	-15.47
-44	-0.8301
-42	13.94
-41.2	17.23
-41.4	16.45
-41.2	13.23
-39.6	27.11
-36.8	40.93
-33.9	51.17
-31.1	61.78
-28.8	70.96
-26	79.98
-23.9	87.62
-21	98.36
-18.1	109.3
-15.4	118.8
-12.5	129
-9.72	138.1
-6.88	146
-6.88	146
-4.02	154.9
-1.16	163.1
1.65	169.9
4.42	176.6
7.32	183.4
10.2	191
13.1	196.8
16	204.1
18.9	210.3
21.6	216.8
24.3	223.2
27.2	229.7
29.9	235
32.7	241.9
35.4	248.3
38.2	254.1
41.2	260.8
44	267
46.8	273.3
49.6	280.2
52.4	287.1
55.2	295.1
58	302.8
60.8	309.3
60.8	309.3
63.6	316.8
66.4	322.9
66.6	316.3
66.6	296.7
66	279.8
65	258.1
64	237.9
63	218.3
62	199.5
61.2	184.9
60.4	168.5
59.4	152.1
58.6	136.1
57.6	119.5
56.6	103
55.4	85.87
54.4	70.37
53	54.12
51.6	38.96
50.2	23.79
48.4	8.657
46.8	-5.472
44.8	-20.4
44.2	-23.56
44.2	-23.56
44.2	-17.11
44.2	-16.98
44.2	-16.91
43	-32.5
40.8	-46.73
38	-58.38
35.1	-68.27
32.3	-78.47
29.5	-88.39
26.6	-98.25
23.8	-108.4
20.9	-118.7
18.2	-128.2
15.4	-137.4
12.6	-146.9
9.76	-155.1
6.96	-162.9
4.14	-169.9
1.28	-177.3
-1.55	-183.3
-4.3	-189.3
-7.06	-195.2
-9.88	-200.7
-12.7	-206.2
-12.7	-206.2
-15.3	-211.4
-18.1	-216.5
-20.9	-222.3
-23.7	-227
-26.4	-232.1
-29.2	-237
-31.9	-241.5
-34.4	-246
-37.1	-250.1
-39.9	-254.9
-42.6	-259.8
-45.4	-264.4
-48	-269.7
-50.8	-275
-53.2	-279.9
-56	-285.7
-58.8	-290.6
-61.6	-294.7
-64.4	-298.6
-66.8	-295.8
-66.8	-277.5
-66	-262.4
-65.2	-243.4
-64.2	-226.1
-64.2	-226.1
-61.8	-190.8
-60.6	-174.9
-59.6	-158.4
-58.4	-142.3
-57.2	-126.5
-56	-111.1
-54.8	-95.39
-54.2	-79.64
-52	-63.88
-50.4	-48.66
-48.8	-33.95
-46.8	-19.25
-44.8	-4.081
-42.4	9.497
-41.2	18.44
-41	16.06
-39.4	29.95
-36.6	42.09
-34.1	50.7
-31.2	60.83
-28.5	70.57
-25.6	81.11
-22.8	90.8
-19.9	100.9
-19.9	100.9
-17.3	110.7
-14.6	120.8
-11.9	129.8
-9.08	138.8
-6.14	148.5
-5.58	143
-6.1	136.4
-4.9	150.6
-2	160.5
0.768	167.3
3.61	174.5
6.36	181.1
9.3	188.2
12.3	194.2
14.9	199.4
17.7	207.2
20.5	213.4
23.3	219.6
26.1	225.7
28.9	232.1
31.7	237.9
34.6	243.9
37.4	249.8
40.2	256.1
40.2	256.1
43	261.7
44.4	258.7
44.2	244.7
43.8	228.3
42.8	207.7
41.8	188.9
40.8	171.7
39.8	155.6
38.8	139.3
37.8	122.9
36.5	105.6
35.4	90.06
34.1	73.57
34.2	57.28
31.3	41.07
30	25.94
28.1	11.09
26.2	-3.828
25	-12.97
25	-9.706
23.3	-25.54
20.6	-39.56
18.1	-48.68
15.4	-60.08
15.4	-60.08
12.6	-73.4
9.78	-86.22
7.02	-99.11
4.74	-109.6
1.84	-123
-0.718	-134
-3.51	-145
-6.26	-155.3
-9.16	-165.8
-12.1	-175.2
-15	-184
-17.8	-193.1
-20.8	-200
-23.6	-207.2
-26.1	-213.1
-28.4	-219
-31.2	-223.4
-34	-229.4
-36.7	-234.8
-39.5	-239.9
-42.4	-245.5
-43.8	-241.7
-44.2	-230.6
-43.4	-219.5
-43.4	-219.5
-41.2	-178
-40	-161.4
-39	-145.4
-37.8	-128.8
-36.5	-112.8
-35.3	-96.9
-33.8	-81.15
-32.4	-66.24
-31.1	-51.3
-29.4	-36.23
-27.6	-21.77
-25.4	-6.43
-23.6	7.597
-22.9	10.66
-22.8	8.828
-21	22.33
-18.2	33.74
-15.6	47.15
-12.8	59.59
-10.1	73
-7.36	87.55
-4.66	101.6
-1.9	114.7
0.236	118.6
0.236	118.6
0.274	115.6
-4.72	55.36
-7.82	23.56
0.42	108.8
0.504	119
2.47	133.7
5.34	147.1
8.24	158.3
11	169.7
13.6	178.4
16.4	187.9
19.1	196.7
21.8	205.5
24.6	213.7
27.4	222
30.4	230.1
31.6	233.9
34.4	240.9
37.2	247.9
39.9	255.1
42.8	261.1
45.8	268.3
48.4	275.5
51.2	282.2
51.2	282.2
54	288.9
56.6	295.3
59.4	301.3
62.2	307.5
65.2	312.5
68	317.8
70.8	321.7
73.6	325.4
76.4	327.9
79	330.3
81.6	332.4
84.4	334
87	335
88.8	327.3
88.8	319.9
89.8	306.6
88.4	288.3
87.4	265.9
86.4	245.4
85.6	226.1
84.6	208
84.2	189.9
82.8	173
81.8	156.7
81.8	156.7
79.2	115.7
78.2	99.96
77	84.2
75.6	68.7
74.2	52.94
73	37.11
71.6	22.53
69.8	8.519
68.6	-5.538
66.2	-20.22
64.2	-34.48
63.8	-34.63
63.6	-30.61
62.2	-45.83
59.4	-59.51
56.8	-72.27
54	-81.33
51.2	-90.36
48.4	-97.67
45.6	-105.2
42.6	-112.6
39.8	-120
36.9	-126.8
34.1	-134.5
34.1	-134.5
31.3	-142
28.6	-148.5
25.8	-154.9
23	-161.7
20.1	-168
17.4	-174
14.7	-179.5
12.2	-184.4
9.46	-189
6.62	-193.4
3.78	-198.6
1.12	-202.2
-1.67	-206.4
-4.52	-210.3
-7.38	-214.4
-10.2	-218.4
-13	-222.3
-15.8	-226
-18.5	-229.7
-21.5	-233.5
-24.3	-237.7
-27.1	-241.2
-29.9	-245
-32.7	-248.5
-32.7	-248.5
-35.5	-252.4
-38.3	-255.9
-41	-259.5
-43.8	-263
-46.6	-266.6
-49.4	-270.1
-52.2	-273.7
-55	-277.8
-57.8	-281.7
-60.6	-285.3
-63.4	-288.3
-66.2	-291.1
-69	-293.8
-71.8	-295.6
-74.6	-297.1
-77.4	-298.6
-80.2	-299
-82.8	-299.5
-85.8	-299.7
-87.8	-299.6
-88.4	-288.5
-88.4	-275.6
-87.8	-259.6
-86.8	-242.5
-86.8	-242.5
-84.6	-205.9
-83.4	-190
-82.2	-172.7
-81	-157.5
-79.6	-141.1
-78.4	-125.6
-77.2	-110.5
-75.6	-94.83
-74.4	-78.95
-72.8	-62.82
-71.4	-47.66
-70	-32.73
-67.2	-17.7
-65.2	-3.067
-63	11.51
-60.4	25.92
-57.8	39.24
-55.2	50.93
-52.2	60.02
-49.2	68.05
-46.2	75.93
-43.6	83.08
-40.8	89.93
-38	97.38
-38	97.38
-34.8	105.4
-31.8	112.5
-29	120.2
-26.2	127.6
-23.3	135.1
-20.4	142.9
-17.4	150.6
-14.6	157.7
-11.7	164.4
-8.76	170.8
-5.88	176.8
-3.02	182.1
-0.144	187.1
2.76	192.1
5.74	197
8.64	201.7
11.6	206.4
14.5	210.9
16.9	214.5
19.7	218.9
22.6	223.2
25.5	227.7
28.4	231.9
31.2	236.1
31.2	236.1
34.6	241.5
37.4	245.5
40.4	249.4
43.4	254.5
46.2	258.1
49.2	262.1
52.2	266.5
55.2	271.7
58.2	276.1
61	279.6
64	285.7
66.8	290.7
69.6	295.3
72.6	299.3
75.6	303.3
78.4	306.8
81.4	310.2
83.8	313.1
86.6	315.8
89	312.1
89.2	307.8
89.4	291
88.6	272.3
87.6	245.5
87.6	245.5
84.2	184.1
82.4	157.8
81	132.4
79.4	108.7
78	86.6
76.4	67.7
74.4	48.57
73.2	31.86
71.6	16.18
69.8	1.12
67.6	-13.46
65	-28.02
63	-43.55
