"Pujol 2002, No. 10-3-1.5S"	
11.26493425	108.864117
11.36175983	108.9086936
11.24915502	108.864117
11.30318081	108.8418287
11.78184509	110.4687545
11.8297382	110.4018896
11.7391832	110.3796098
11.84447042	110.3796098
11.76768234	110.3573215
11.90043063	106.5686023
11.88918547	106.5686023
11.84929433	106.5240257
11.92435867	106.5240257
11.87189446	106.5686023
12.45399325	109.9338782
12.49697435	109.9338782
12.56242278	109.9115899
12.41859788	109.9561579
12.52732746	109.9115899
13.07642241	110.8476213
13.00898594	110.8030532
13.02758188	110.7807649
13.06854812	110.7807649
13.00878164	110.7807649
13.43789801	111.0704871
13.38765423	111.0482073
13.43315071	111.0482073
13.48387714	111.0482073
13.4051955	111.0036308
13.58153139	105.3874082
13.59967022	105.3874082
13.51247077	105.3651284
13.59262588	105.3874082
13.55277432	105.3651284
13.59907266	103.8719239
13.56275158	103.8496356
13.62286919	103.8496356
13.6578432	103.8719239
13.52211604	103.8496356
13.75474794	107.7720761
13.83228297	107.7497878
13.71389279	107.7497878
13.84085314	107.7497878
13.77161504	107.7274995
14.27851543	109.8670133
14.34306241	109.8224452
14.35792614	109.7778687
14.34000181	109.8001569
14.32109687	109.7555804
14.53756139	110.2236003
14.62267193	110.2904567
14.52383915	110.2458886
14.63445974	110.2236003
14.63189201	110.2013121
14.65178651	107.5492103
14.57571985	107.5492103
14.68113219	107.526922
14.61227842	107.526922
14.65342214	107.526922
14.92050072	109.332137
14.87146228	109.332137
14.80223695	109.3098487
14.87858962	109.2875604
14.7835861	109.3098487
15.40684776	110.5356108
15.30097064	110.4910427
15.44756885	110.4910427
15.32773966	110.4464662
15.38340237	110.4018896
15.90553549	111.4270742
15.80720069	111.3825061
15.8541783	111.3602178
15.84875683	111.3379295
15.80176644	111.2710732
15.96150464	107.2149115
15.89173665	107.1703349
15.96745856	107.1703349
15.97649606	107.1480552
15.89151575	107.1480552
15.95121584	106.9474691
15.90106271	106.9697574
15.90726945	106.9697574
16.00214784	106.9697574
15.87196601	106.9474691
16.04784989	104.7856756
15.99958777	104.8302436
15.98341655	104.8079638
15.99715027	104.7856756
16.03945975	104.7856756
16.01651232	104.6519543
15.96156465	104.6296661
16.0388009	104.6296661
15.97667481	104.6296661
16.0657142	104.6519543
16.26264046	109.2652806
16.16961477	109.2652806
16.23308664	109.2652806
16.22767794	109.2429923
16.21720271	109.2207041
16.44076137	110.7584767
16.34058408	110.7139086
16.4541861	110.669332
16.39629913	110.6916203
16.45618947	110.669332
16.7632741	111.5385071
16.73251367	111.5162188
16.76783626	111.4716507
16.69362741	111.4716507
