"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
1.65577541	-2.40876992
0.20340309	-13.1723072
-2.0563447	-27.27108832
-4.2884563	-41.7909616
-6.5196534	-58.0628576
-8.5648412	-76.6421536
-8.960271	-80.3984896
-9.7538741	-89.6120768
-10.4790726	-96.4344192
-11.9345908	-111.1897696
-12.5730947	-117.8266304
-12.8289718	-118.6521792
-12.8436038	-118.2981184
-12.8415919	-113.9693248
-12.8328127	-113.9693248
-12.846896	-113.9693248
-12.8372023	-113.9524224
-12.8284231	-114.0195872
-12.8372023	-113.93552
-12.82129	-112.8070624
-12.6682027	-109.9772448
-12.4450647	-107.4165312
-12.2692978	-104.83936
-12.1381585	-102.3636032
-11.9956794	-100.0052736
-11.7862589	-97.6807488
-11.63244	-95.4909984
-11.1168449	-88.87104
-10.0993722	-78.6633248
-9.2763222	-69.6854816
-8.530456	-61.9370656
-7.9943761	-55.148528
-7.3785518	-49.2531488
-6.8832586	-44.1828736
-6.3309006	-39.76961248
-5.5202878	-33.2003168
-4.8305719	-27.79328352
-4.3080266	-24.00327616
-3.9444214	-21.24080128
-3.6442825	-19.15206496
-3.4158404	-17.46765184
-3.1762414	-15.85058144
-2.67034	-13.10496448
-1.3953441	-4.2616288
0.3416572	6.670385376
2.0545157	18.46146403
3.81681207	30.35361459
5.44334177	41.62251584
7.08212577	52.65560192
8.5692308	63.99186368
10.11910711	76.18721216
11.71801891	89.4606224
13.32900211	104.8395824
13.6331831	106.7092992
13.65046715	106.3386918
14.16659266	112.3353075
14.17451223	111.8468282
14.35013281	113.93552
14.67931623	116.8832986
14.67737749	116.5295936
14.66044095	116.3106186
14.68001125	116.1421728
14.67428648	116.0410698
14.67927965	115.8558106
14.65800838	115.7378941
14.65970935	115.6368355
14.67492663	115.5357325
14.65091186	115.5020611
14.65314324	115.4178605
14.65884972	115.3504733
14.57228315	111.8468282
14.07111886	105.8670704
13.6456203	100.5105664
13.18783989	95.45723808
12.77499801	90.63974272
12.38660986	86.15913888
11.98298614	82.04909792
11.58880006	78.14117408
11.22636542	74.57018624
10.41791084	67.108088
9.29528893	56.96776
8.3684066	48.46136032
7.60880461	41.45407453
6.9178267	35.74382109
6.27897529	30.8420984
5.58900333	26.20988893
4.99150561	22.03247856
4.35382476	17.51817667
3.23222709	9.466553856
2.16447518	3.116215424
0.88933296	-6.24926208
-1.2285393	-18.81521792
-3.4291921	-32.86342528
-5.7381217	-48.073984
-7.9398719	-65.8277312
-9.8255709	-85.4011552
-11.6757873	-104.014256
-11.8857565	-105.5470368
-11.9592823	-106.743104
-12.9760234	-117.809728
-13.027967	-117.8266304
-13.027967	-117.6580512
-13.0618035	-117.5401792
-13.0537559	-117.3716
-13.0592429	-117.253728
-13.0676563	-117.1865632
-13.0678392	-117.0855936
-13.0639983	-117.017984
-13.0703998	-116.9508192
-13.0738749	-116.8329472
-13.0508295	-116.7991424
-13.0636325	-116.7484352
-13.0802764	-116.7150752
-13.0702169	-116.6812704
-13.0592429	-116.5803008
-13.0555849	-116.546496
-13.0539388	-116.5126912
-13.0616206	-116.1421728
-12.9763892	-114.52488
-12.8792693	-112.9587392
-12.7878193	-111.5100256
-12.539624	-107.6696224
-11.674507	-96.6870656
-11.1468405	-89.8816256
-10.4317015	-82.7563744
-9.8001478	-76.1871232
-9.3010137	-70.2241344
-8.7720669	-64.6992736
-8.2998191	-59.7637728
-7.9369455	-55.2833024
-7.5157268	-51.1057408
-6.7733357	-44.31760352
-5.6613037	-35.37325376
-4.8622136	-29.1913344
-4.3226586	-24.76125984
-3.8930265	-21.74613856
-3.5436875	-19.35422656
-3.2814089	-17.46765184
-2.836779	-15.19365632
-1.8924663	-8.9106784
-0.455421	0.202134912
-0.1708286	1.398086464
-0.1249207	1.263329856
-0.1057162	1.24648528
0.00791957	0.960131936
-0.0106082	1.010665664
-0.0131688	1.02751024
0.000638321	1.010665664
0.00996805	0.960131936
0.43047344	4.531142016
2.13563185	16.97915914
3.91153598	29.56192397
5.63425279	41.35300707
7.26489774	52.60507264
8.70095538	63.95819232
9.08824613	65.54154688
9.45530814	68.6577712
11.02702271	81.94799488
11.60769363	86.14228096
11.59547591	85.73800224
11.60862642	85.48535584
11.60853497	85.28319424
11.89078625	88.33203136
12.95769682	98.80925088
13.92437819	109.5054454
14.51031663	114.2555981
14.50272628	113.9018486
15.7840871	126.703593
16.4816677	131.3526426
16.48854474	130.6788595
17.05948538	135.4121542
17.0782875	134.7215133
17.07044109	134.3846218
17.06674651	134.0814461
17.06910592	133.8456131
17.00446906	129.4829258
16.99005654	129.4323965
16.99148316	129.4155386
16.98460612	129.4155386
16.98398426	129.3481514
16.99234279	129.4155386
17.01271785	128.8765299
16.7293143	124.2274803
16.42220691	120.0500522
15.93971671	114.8788074
15.41825052	109.4717741
14.91077618	104.2668579
14.33453144	98.23657088
13.64071858	90.79133056
12.98291873	83.49772256
11.95787397	73.29000736
11.13956108	66.11427136
10.47009221	60.269288
9.88470247	54.94645536
9.17163024	48.94983968
8.33286913	42.02678566
7.65165808	36.45128438
7.0787787	31.95383152
6.53664481	27.99539619
6.04418656	24.52544912
5.62243745	21.5439903
5.21414978	19.03417517
4.84770963	16.81071338
4.50771682	14.8904495
4.24139613	13.2060097
4.01642913	11.74054938
3.85203861	10.40984122
3.63168069	9.163355936
3.44170246	7.849492352
3.15551883	6.384027584
2.7592294	4.12687664
2.07926207	-0.79169952
1.42855874	-5.4238912
0.9616882	-8.60750272
-0.8764568	-20.11221024
-3.0262634	-33.99201632
-5.3410458	-48.5623744
-7.5989463	-64.9688224
-9.4934245	-83.379984
-11.489778	-102.7003168
-12.3865367	-112.7225504
-12.6826518	-115.316624
-14.1057967	-129.2975776
-14.2925376	-129.2806752
-14.85148	-135.0248224
-14.9403694	-134.8562432
-14.9780468	-134.5528896
-15.0122491	-134.3171456
-14.9994461	-134.098304
-14.9798758	-133.8963648
-14.9840825	-133.744688
-14.984997	-133.6432736
-15.0071279	-133.4413344
-14.9764007	-133.3741696
-15.0107859	-133.2558528
-14.9829851	-133.1379808
-15.0018238	-133.1046208
-14.9899353	-132.9867488
