"Nagasaka 1982, Specimen HPRC 19 32"	
-0.63807	-34.91
-1.0116	-44.308
-1.2761	-51.023
-1.5719	-57.735
-2.0854	-68.326
-2.3811	-74.891
-2.7234	-82.35
-2.9571	-86.527
-2.7391	-73.846
-2.4589	-63.402
-2.1632	-52.962
-1.992	-45.352
-1.6652	-34.164
-1.2917	-24.168
-1.0272	-15.366
-0.73144	-5.2215
-0.48245	2.2378
-0.37351	6.7134
-0.077815	17.902
0.37351	29.39
0.77815	39.982
1.0427	47.887
1.4318	57.139
1.6964	64.447
1.9765	71.608
2.4745	83.992
2.8791	93.092
3.1438	99.506
3.5171	104.58
3.8753	107.12
4.093	104.28
4.3576	98.91
4.4353	91.9
4.2487	81.603
4.0307	71.608
3.7663	61.765
3.3459	50.574
3.0193	40.877
2.6457	32.522
1.9142	16.41
1.4629	7.0118
1.0272	0.29837
0.29571	-12.83
0.015563	-19.842
-0.38908	-29.986
-0.90264	-42.965
-1.245	-51.468
-1.6185	-59.225
-2.2099	-71.76
-2.7391	-80.411
-3.097	-86.229
-3.4862	-90.406
-3.9218	-92.643
-4.4353	-93.239
-4.6533	-85.78
-4.5443	-78.623
-4.3421	-66.684
-4.1397	-58.927
-3.9063	-49.528
-3.6261	-40.131
-3.237	-30.434
-2.8791	-22.975
-2.5056	-15.217
-1.8987	-4.923
-1.3384	3.4313
-0.90264	9.5481
-0.015563	21.184
0.73144	34.164
1.354	44.756
1.8364	52.366
2.2566	58.927
2.6769	66.088
3.1438	73.846
3.4862	78.921
4.0465	83.694
4.4666	85.482
4.6688	84.143
4.5756	77.28
4.4511	68.775
4.2642	62.508
4.0307	54.003
3.7196	45.65
3.4082	38.191
2.9726	30.136
2.3033	18.648
1.8831	11.935
1.3229	3.2821
0.85595	-4.028
0.077815	-16.112
-0.82484	-24.317
-1.6652	-34.462
-2.2099	-43.115
-2.5834	-49.978
-3.097	-57.139
-3.6261	-65.194
-4.0307	-71.012
-4.5288	-76.083
-4.3421	-64.896
-3.9218	-53.558
-3.6261	-42.965
-3.2995	-33.865
-2.7859	-21.483
-2.3189	-11.786
-1.743	-1.0443
-0.65364	12.979
0.80927	28.793
1.603	38.191
2.3033	47.291
2.8791	55.048
3.5171	64.447
3.984	71.608
4.4044	76.684
4.8245	79.815
5.0269	80.264
5.1824	77.28
4.9802	64.896
4.7468	55.644
4.3886	45.352
4.0307	36.7
3.7196	29.837
3.3927	23.571
2.9726	16.41
2.4434	9.5481
1.743	2.0886
1.105	-4.4756
0.52913	-9.2496
-0.40465	-18.201
-0.42019	-18.201
-1.0427	-25.213
-1.7586	-33.865
-2.2099	-39.683
-2.2099	-39.833
-2.7701	-48.932
-3.315	-57.735
-3.7506	-64.3
-4.4511	-71.462
-5.1359	-76.532
-5.8049	-79.664
-5.9606	-79.962
-5.9916	-69.522
-5.9139	-57.584
-5.6182	-47.74
-5.2446	-38.042
-4.8712	-29.688
-4.3421	-20.886
-3.7041	-11.935
-3.0658	-5.0725
-2.4278	-0.29837
-1.7119	6.2659
-0.65364	14.471
0.65364	25.959
1.2295	32.224
1.8987	39.683
2.6769	48.038
3.3772	56.094
4.1864	64.896
4.8245	71.906
5.5405	76.982
5.9451	76.381
6.2095	70.118
6.1318	61.614
5.9451	52.664
5.7117	44.907
5.4315	37.445
5.0579	29.091
4.7468	22.676
4.1709	14.173
3.5951	6.1164
3.0036	0.59674
2.2722	-4.774
1.105	-10.741
0.21788	-15.217
-0.94932	-20.289
-1.3851	-23.422
-2.2411	-31.628
-2.9103	-39.236
-3.6261	-46.846
-4.2177	-53.558
-4.9647	-61.018
-5.447	-65.194
-5.7117	-66.836
-5.9294	-67.432
-5.8362	-58.184
-5.6337	-47.291
-5.3068	-36.998
-4.9647	-28.047
-4.4821	-18.499
-4.1552	-13.725
-3.4862	-5.8184
-2.6302	0.14919
-1.6652	6.5644
-0.93378	11.338
1.4473	24.467
2.2566	29.837
2.9571	35.357
3.5639	40.28
4.1552	46.246
4.5133	50.125
4.9334	55.644
5.3536	60.124
5.8362	63.553
6.1318	65.492
6.0383	56.094
5.7272	44.907
5.4315	37.147
5.0579	28.345
4.6065	19.991
4.1864	14.024
3.5484	5.2215
2.8169	-1.1935
1.6497	-8.5037
0.29571	-14.471
-0.73144	-19.693
-1.5407	-23.124
-2.5989	-31.777
-3.5016	-38.788
-4.4821	-47.74
-5.2758	-55.498
-6.0074	-60.72
-5.8517	-51.766
-5.587	-42.369
-5.1669	-31.478
-4.731	-21.781
-4.1864	-13.427
-3.5016	-5.669
-2.8481	-0.29837
-1.8831	5.9674
-0.7937	12.382
2.1788	29.39
3.3927	38.639
4.1552	45.205
4.8245	51.17
5.447	55.942
5.9451	59.674
6.7699	63.553
7.4079	65.79
7.7503	63.104
7.7193	53.558
7.3457	43.264
7.0033	33.716
6.5052	24.168
6.0696	15.665
5.6027	7.9068
5.1514	2.9837
4.1864	-4.1772
3.3459	-8.5037
2.2099	-12.084
1.2761	-14.77
-0.077815	-18.499
-0.87152	-21.483
-2.0076	-27.002
-2.7701	-32.075
-3.315	-36.103
-3.9375	-41.772
-4.4821	-46.695
-4.9647	-51.17
-5.7739	-56.543
-6.3497	-60.124
-6.9098	-62.21
-7.3457	-62.063
-7.4079	-51.619
-7.268	-42.816
-6.9878	-35.208
-6.6299	-26.257
-6.303	-19.693
-5.8517	-11.636
-5.3068	-5.0725
-4.7622	-0.14919
-3.953	4.3264
-3.1747	8.0562
-2.2722	11.04
-1.1205	14.77
0.06225	18.201
1.8675	25.213
3.2527	33.268
3.8753	38.191
4.6378	43.115
5.2136	46.993
5.587	49.382
6.2563	52.366
6.8633	55.2
7.2834	57.139
7.7036	58.78
7.6103	50.574
7.4856	42.071
7.2834	35.208
7.0345	27.599
6.6299	16.709
6.2875	9.2496
5.6492	2.0886
5.0424	-3.4313
4.2954	-6.8624
2.5989	-11.786
1.4473	-14.62
0.34239	-17.753
-0.82484	-20.737
-1.7275	-23.273
-2.6147	-25.959
-3.4549	-31.18
-4.3264	-38.341
-5.0112	-43.711
-5.696	-47.887
-6.3807	-52.962
-6.9256	-56.841
-7.4546	-57.735
-7.4701	-50.725
-7.2057	-41.175
-6.8321	-31.329
-6.5832	-24.616
-6.1006	-15.366
-5.6337	-8.0562
-4.9334	-1.1935
-4.2019	3.2821
-3.2995	7.7578
-2.2566	10.89
-0.6225	16.261
0.85595	22.079
1.8675	26.555
3.206	31.18
4.062	35.208
4.6223	38.49
6.0541	46.246
7.0655	51.766
7.6103	53.558
7.4546	41.175
7.19	31.926
6.8633	23.124
6.5209	15.814
6.3185	11.189
5.7739	3.5805
5.1824	-1.641
4.5911	-5.8184
3.7351	-9.3986
2.8324	-11.786
1.9454	-13.278
0.093378	-18.051
-0.85595	-19.842
-2.4122	-25.809
-3.5171	-30.583
-4.3576	-32.97
-5.1359	-36.998
-5.8984	-44.159
-6.334	-47.887
-6.9256	-51.468
-6.9256	-51.468
-7.7815	-54.75
-8.5441	-56.543
-8.7307	-48.038
-8.5128	-34.91
-8.1082	-22.975
-7.5791	-12.532
-7.159	-5.3705
-6.7076	0
-5.7739	7.3103
-4.9957	10.592
-3.3617	13.874
-1.5719	17.604
0.20232	21.483
1.2917	24.168
2.6302	28.047
3.206	30.136
3.8595	33.418
4.4044	36.402
4.8712	39.236
5.2603	41.175
5.9451	44.605
6.4742	45.948
6.8788	46.397
7.3302	47.589
7.6413	48.786
7.9837	49.826
8.5286	50.872
9.1354	47.144
9.1976	43.562
8.9642	35.506
8.6998	27.748
8.3261	17.902
7.9215	7.0118
7.3457	-0.89512
6.6609	-7.0118
5.9451	-10.741
4.4821	-15.516
2.7234	-19.096
1.5563	-20.439
0.45133	-21.781
-1.3073	-21.632
-1.8364	-23.571
-3.1125	-26.108
-2.8636	-26.108
-3.2837	-28.942
-3.953	-30.583
-4.4199	-32.97
-5.2291	-34.462
-6.0228	-36.252
-6.3807	-37.893
-7.1123	-38.937
-7.7348	-43.264
-8.3261	-46.695
-8.762	-48.634
-8.8397	-37.744
-8.6063	-27.748
-8.3261	-19.245
-7.8905	-11.04
-7.5014	-4.028
-7.0655	1.641
-6.4587	6.4149
-5.5715	9.2496
-4.8712	10.89
-4.3264	12.084
-3.8285	13.128
-3.0815	14.919
-1.852	17.753
-0.21788	20.289
1.4007	23.422
2.4278	24.765
3.237	25.213
3.9375	26.257
4.2799	26.853
4.5598	28.494
5.0579	31.478
5.3536	32.821
6.1785	34.611
6.5209	35.506
6.7386	36.103
7.1745	36.7
7.7348	37.445
7.9215	37.595
8.1704	37.893
8.3883	38.191
8.9487	38.49
9.1044	36.103
8.6998	20.588
8.2639	10.145
7.8125	2.6853
7.3924	-2.5362
7.05	-6.1164
6.0074	-11.189
5.1669	-13.725
4.5443	-16.41
3.8285	-17.455
2.4278	-20.588
0.90264	-20.737
-0.46688	-21.035
-1.4007	-22.378
-1.7742	-24.168
-2.7391	-26.406
-3.3459	-29.837
-4.0307	-30.583
-4.5598	-33.567
-5.3226	-33.865
-6.0696	-35.208
-6.5209	-37.296
-7.2057	-38.49
-7.7503	-41.772
-8.2484	-45.948
-8.793	-49.528
-8.7307	-35.208
-8.5908	-26.406
-8.2639	-17.604
-7.8438	-8.9512
-7.2834	0.74593
-6.8788	7.1608
-6.5052	9.2496
-5.8362	11.189
-5.2758	13.427
-4.6223	16.112
-4.1552	17.753
-3.5171	19.543
-2.2878	20.588
-0.98047	21.483
0.40465	22.079
1.4629	23.87
3.4862	25.66
3.9997	27.002
4.5288	28.345
5.0112	31.18
5.447	32.821
6.0383	33.865
6.9723	35.357
8.2326	36.849
9.6335	38.191
11.096	38.49
11.875	37.893
12.17	34.462
11.983	22.676
11.501	10.89
11.081	2.5362
10.692	-4.028
10.194	-12.233
9.5557	-18.201
8.6375	-19.394
7.6881	-20.289
5.1514	-22.825
2.2878	-26.108
0.84038	-28.196
-0.20232	-29.539
-9.3378	-38.49
-10.676	-38.341
-11.283	-37.893
-11.657	-37.296
-11.812	-33.567
-11.797	-27.898
-11.719	-23.87
-11.517	-17.007
-11.19	-9.1002
-10.941	-3.4313
-10.738	0.89512
