"Wight and Sozen, 1973, Spec. WS033W"	
-24.444	-85.024
-24.613	-78.432
-24.051	-71.048
-23.489	-67.312
-22.703	-62.49
-21.859	-56.779
-21.242	-52.744
-20.455	-48.221
-19.555	-43.397
-18.544	-38.674
-17.533	-34.049
-16.353	-29.424
-14.835	-23.322
-13.487	-18.402
-12.194	-14.17
-10.565	-8.8564
-8.935	-4.0346
-7.3614	0.68886
-5.9566	4.4283
-4.6642	7.8725
-3.5403	11.12
-2.4164	14.269
-1.2925	17.418
-0.11239	20.665
0.78671	23.618
1.742	26.57
2.922	30.703
4.046	33.852
5.3383	37.591
6.6309	40.838
8.0919	44.381
9.3281	47.923
10.733	51.17
11.913	53.83
12.981	56.387
14.329	59.238
15.959	63.077
17.083	66.128
18.263	69.673
19.499	73.41
20.286	75.38
23.04	80.691
25.794	86.007
27.028	88.075
28.826	90.437
30.401	92.109
32.255	93.288
33.828	94.271
35.403	95.454
36.807	96.241
38.379	97.029
40.178	97.62
41.864	98.31
43.213	98.701
44.729	99.195
46.304	99.586
47.371	99.684
47.932	99.782
48.946	99.782
47.991	95.552
47.876	93.288
47.765	90.437
47.541	87.087
47.036	78.529
46.642	75.082
46.248	71.933
45.743	68.197
45.293	64.95
44.618	61.502
43.718	56.779
42.819	52.157
41.697	47.233
40.853	43.397
39.842	39.559
38.661	35.524
37.48	31.785
35.908	27.16
34.953	24.306
33.828	21.059
32.873	18.304
31.412	14.466
30.289	11.907
29.053	9.1518
27.422	5.4123
26.132	2.8538
25.063	0.98408
24.22	-0.59043
22.759	-2.657
21.41	-4.2315
19.275	-6.1013
17.083	-8.1679
15.566	-10.234
13.487	-13.187
11.857	-15.647
10.508	-18.205
9.3845	-20.862
7.9233	-23.913
6.2375	-27.357
3.5964	-33.163
2.0792	-36.312
0.28097	-39.953
-0.95529	-42.708
-1.8544	-45.072
-3.0345	-47.531
-4.383	-50.187
-6.35	-53.434
-9.2159	-58.451
-10.452	-60.715
-11.576	-62.881
-12.981	-65.933
-13.824	-67.605
-15.341	-70.065
-17.139	-72.622
-18.881	-75.18
-20.567	-77.542
-22.253	-79.415
-23.883	-80.593
-26.017	-82.368
-27.648	-82.759
-29.67	-82.955
-31.75	-82.662
-33.322	-82.168
-35.291	-81.283
-36.134	-80.3
-37.201	-77.84
-37.201	-74.887
-36.469	-68.099
-36.134	-64.456
-35.684	-59.634
-34.897	-55.008
-34.221	-51.17
-33.437	-46.446
-32.311	-39.855
-31.412	-35.032
-30.234	-29.424
-29.39	-25.487
-28.491	-21.551
-27.31	-16.532
-25.85	-10.825
-24.894	-7.2823
-23.77	-3.4442
-21.859	2.3618
-20.904	4.7233
-20.174	5.806
-17.982	7.7742
-16.184	8.9552
-14.217	9.9391
-12.644	10.529
-11.014	11.12
-9.7216	11.612
-8.4292	11.907
-7.3053	12.202
-6.4623	12.301
