"Pujol 2002, No. 10-1-2.25S"	
32189	
4.745181019	84.89736828
4.66030883	84.96423312
4.924230631	89.62212749
4.962677239	89.57755092
4.896189101	89.62212749
4.944456695	89.59983921
4.956416372	89.64441577
5.062347811	91.93993052
5.04505019	91.93993052
5.030102351	91.93993052
5.086033719	91.93993052
5.058889245	91.91764224
5.122001847	90.62502376
5.027517847	90.64731204
5.114610799	90.62502376
5.086649746	90.64731204
5.012370094	90.60273547
5.231814991	94.16858892
5.190148372	94.16858892
5.241013883	94.12401236
5.189546396	94.14630064
5.128286985	94.12401236
5.228937963	93.41084676
5.227390071	93.47770311
5.253082777	93.47770311
5.20527409	93.45541483
5.161598117	93.45541483
5.432777478	97.17727775
5.345557743	97.13270118
5.408561767	97.13270118
5.4006291	97.08813312
5.375702516	97.1104214
5.536684553	98.60361742
5.454340024	98.55904936
5.552377437	98.58132914
5.533391411	98.58132914
5.499232403	98.60361742
5.641452598	100.5648419
5.693242948	100.4979771
5.696773687	100.4979771
5.630473327	100.4756888
5.654596426	100.4979771
5.664676406	98.31389523
5.733147071	98.33618351
5.730926308	98.29160695
5.675362513	98.33618351
5.765913073	98.33618351
5.938742376	102.8380684
5.972583949	102.8157801
5.882269709	102.7935003
5.951482545	102.7935003
5.987401174	102.8603567
5.965223559	99.96310075
5.996677668	100.0076773
6.065623527	99.98538903
5.975236475	99.98538903
5.955318583	99.96310075
6.276368039	104.8215727
6.36859455	104.8215727
6.349786721	104.8215727
6.235205674	104.8215727
6.358582273	104.7992929
6.750588218	107.986271
6.850338628	107.9416944
6.753907548	107.9416944
6.74430851	107.8971263
6.819701417	107.8525498
6.775348741	106.2702006
6.883031817	106.2702006
6.797488673	106.2256325
6.800214649	106.2702006
6.870939291	106.2702006
6.876895816	105.5347467
6.787782334	105.557035
6.823571946	105.557035
6.865464346	105.5347467
6.822792092	105.5347467
6.844854741	105.2450245
6.86205943	105.2227363
6.808664664	105.2673043
6.832492683	105.2227363
6.92136793	105.2227363
6.893784988	103.9596432
6.914719052	103.9819315
6.833744537	103.9819315
6.849364609	103.9819315
6.935454481	103.9596432
6.86786139	103.6476327
6.905764464	103.669921
6.846195374	103.6476327
6.843975888	103.6030561
6.931540521	103.6476327
6.875396785	103.6030561
6.899225443	103.5584881
6.946690509	103.5807679
6.881677771	103.5807679
6.844793426	103.5584881
6.878254334	103.0013235
6.830338344	102.9567469
6.936782979	102.9790352
6.955532686	103.0013235
6.854804426	102.9790352
7.038851873	100.4553519
7.002971566	100.4330721
6.892829491	100.4107838
6.945005616	100.4330721
6.968928163	100.4107838
6.992217118	97.87011495
7.065058415	97.89239474
7.016433467	97.91468302
6.918089478	97.9369713
7.035385643	97.87011495
6.866786457	93.50194278
6.953297871	93.50194278
6.959582051	93.4796545
6.915196162	93.54651087
6.932471747	93.50194278
6.777949532	88.66575068
6.696134485	88.66575068
6.73369266	88.68803896
6.772574862	88.66575068
6.811151765	88.68803896
6.81037255	89.86922451
6.770557845	89.86922451
6.692403833	89.82465644
6.722701254	89.91380107
6.768299398	89.89151279
6.740720288	89.95837763
6.724447463	90.0029457
6.736770561	89.98065742
6.73556597	90.04752226
6.679859745	90.02523398
6.5662904	84.49816456
6.446775387	84.52044435
6.542424698	84.49816456
6.565378335	84.52044435
6.472043039	84.49816456
6.360193716	80.15228069
6.350546137	80.17456048
6.335599255	80.17456048
6.333593095	80.17456048
6.423601398	80.12999241
6.148732581	76.56413896
6.181247573	76.58642724
6.177317007	76.60870705
6.225173597	76.56413896
6.173763274	76.56413896
5.992633413	71.48279273
5.968039591	71.50508101
5.884113	71.48279273
5.980035674	71.48279273
5.993177586	71.5273693
5.760913321	66.84718667
5.727580792	66.86947495
5.704070846	66.86947495
5.738643732	66.82490261
5.720425425	66.84718667
5.739321394	68.40724754
5.713286663	68.40724754
5.640978043	68.42953582
5.701514126	68.40724754
5.712435275	68.40724754
5.741124447	68.69697398
5.686725004	68.74154629
5.641595667	68.71926226
5.710468714	68.71926226
5.716692217	68.71926226
5.456180122	62.52359106
5.400250351	62.52359106
5.440903032	62.52359106
5.421645558	62.50130277
5.414418017	62.50130277
5.174210546	57.73197552
5.182345681	57.70968724
5.259518329	57.79883611
5.179582341	57.73197552
5.125858005	57.77654783
5.103662825	56.10505403
5.10450112	56.10505403
5.079811813	56.10505403
5.064792119	56.12734231
5.116697755	56.12734231
5.08307302	57.17481092
5.061499296	57.19709495
5.023504569	57.15252264
5.077594243	57.15252264
5.120538903	57.17481092
4.970163134	53.76496272
4.974732082	53.80953503
4.910122364	53.787251
4.911397211	53.80953503
4.990294352	53.83182331
4.698441517	48.97334716
4.695204899	49.04020775
4.685937347	48.99563544
4.774997498	49.15164069
4.719161616	49.06249181
4.463224217	44.38230916
4.499743225	44.47145804
4.458582138	44.47145804
4.386250525	44.44916976
4.528978168	44.47145804
4.412468882	45.92008599
4.380955374	45.89779771
4.436556533	45.89779771
4.468578767	45.92008599
4.396554688	45.8532254
4.422974875	46.05380296
4.418677695	46.03151893
4.351718515	46.00923065
4.440106753	46.05380296
4.459128866	46.09837952
4.176148546	39.94728066
4.196373972	39.92499238
4.124880973	39.90270832
4.11650888	39.94728066
4.17907699	39.92499238
3.993621846	36.13627308
3.952295974	36.13627308
3.89711955	36.15856137
3.969522698	36.15856137
3.982629482	36.15856137
3.700329698	31.85724981
3.746992875	31.81267749
3.721178815	31.90182426
3.694507299	31.83496366
3.693906282	31.81267749
3.396964596	27.08792255
3.372406861	27.0433481
3.479321899	27.02106196
3.469474407	27.1102087
3.362556814	27.13249487
3.109706896	20.64709936
3.094888713	20.60252491
3.077722984	20.55795259
3.137928539	20.53566642
3.136466233	20.46880583
3.100767636	20.71395784
3.033936516	20.75853227
3.112892736	20.75853227
3.156403285	20.75853227
3.031078968	20.75853227
3.040455099	22.51917284
3.024432325	22.54145898
3.018882652	22.54145898
3.013438684	22.56374515
3.07828568	22.56374515
3.044787727	22.58603132
3.003403094	22.60831747
3.070254972	22.60831747
3.05210756	22.60831747
3.00815982	22.58603132
3.030096965	22.7197504
3.033898513	22.74203868
3.058437087	22.63060575
3.021227962	22.76432483
3.049613433	22.76432483
2.806950795	17.86127635
2.812665892	17.86127635
2.846893241	17.92813484
2.823939284	17.90584867
2.813454369	17.92813484
2.545660762	13.33709895
2.605122231	13.33709895
2.592051374	13.38167234
2.520558215	13.35938619
2.541149298	13.38167234
2.334470597	8.857496003
2.306782908	8.79063594
2.272375764	8.835209323
2.257499459	8.81292262
2.317596595	8.879782705
2.165757243	7.252861752
2.194920811	7.275148432
2.169723896	7.275148432
2.131585461	7.275148432
2.136427453	7.23057505
1.993568876	4.712191274
1.984336134	4.712191274
2.008364865	4.712191274
2.063893851	4.734477976
2.004254345	4.734477976
1.988325141	5.982526791
1.909876848	5.982526791
2.026298951	5.982526791
2.025425846	5.937953408
1.942867033	5.960240089
1.885607806	3.08527061
1.892325823	3.08527061
1.825389157	3.10755729
1.829592289	3.10755729
1.830738917	3.062984174
1.846119636	3.909874148
1.797875514	3.865301033
1.858776774	3.887587735
1.843155744	3.887587735
1.78294987	3.909874148
1.869342007	4.58181501
1.814201031	4.53724165
1.792083613	4.626387881
1.747569984	4.626387881
1.840271051	4.58181501
1.808521383	2.954894079
1.698509922	2.999467462
1.750178439	3.021753875
1.775518423	2.97718076
1.741584079	2.97718076
1.760596132	4.604101179
1.738422029	4.604101179
1.716427561	4.492668268
1.771569814	4.425808717
1.755168611	4.403522037
1.693743616	3.400625747
1.815443145	3.378339333
1.815714434	3.400625747
1.725234769	3.378339333
1.736580175	3.400625747
1.768979881	3.467485564
1.706211059	3.445199129
1.766345719	3.445199129
1.791886415	3.445199129
1.706211059	3.445199129
1.762048059	3.422912449
1.746499043	3.400625747
1.813293278	3.422912449
1.751198605	3.400625747
1.694251383	3.400625747
1.770493283	3.356052631
1.73641555	3.400625747
1.763123472	3.400625747
1.774045739	3.400625747
1.708868854	3.400625747
1.67158085	3.51205868
1.766795524	3.467485564
1.747772293	3.53434536
1.725941173	3.53434536
1.765827094	3.51205868
1.569654865	3.430712695
1.599657686	3.452999397
1.554837161	3.386139579
1.609728564	3.452999397
1.573444438	3.452999397
1.603273851	4.344462753
1.616781739	4.322176073
1.550932622	4.322176073
1.62074919	4.344462753
1.549894733	4.277602958
1.599634054	1.7146458
1.564459192	1.736932346
1.622516476	1.759218915
1.62450108	1.7146458
1.612940591	1.759218915
1.66704256	1.759218915
1.658541609	1.736932346
1.613083341	1.7146458
1.63041609	1.759218915
1.55757623	1.736932346
1.580080382	1.736932346
1.560928293	1.736932346
1.619057112	1.736932346
1.597792359	1.7146458
1.623862698	1.759218915
1.619694695	1.692359231
1.642814394	1.7146458
1.658070247	1.670072551
1.6620369	1.692359231
1.670940392	1.692359231
1.578298725	0.087725136
1.55605213	0.110011704
1.58605527	0.132298296
1.56478972	0.110011704
1.580682996	0.132298296
1.501325352	0.154584887
1.558543703	0.176871478
1.557339911	0.132298296
1.600978679	0.199158047
1.617818351	0.132298296
1.632880039	-5.729073417
1.570292608	-5.684500035
1.612889974	-5.729073417
1.58294288	-5.706786715
1.587909419	-5.751360098
1.611331384	-5.394774662
1.543006183	-5.417061342
1.569040914	-5.417061342
1.532324068	-5.372487959
1.569040914	-5.417061342
1.579013112	-6.887975467
1.575076958	-6.93254885
1.557219995	-6.910262147
1.550666603	-6.910262147
1.502839074	-6.93254885
1.448044594	-6.687396303
1.517716656	-6.665109623
1.480034892	-6.642823454
1.526670925	-6.687396303
1.525108024	-6.665109623
1.513159684	-6.731969685
1.52066458	-6.709683005
1.499544813	-6.731969685
1.524411201	-6.731969685
1.497919319	-6.754256388
1.399159695	-8.893768025
1.427887189	-8.893768025
1.405495928	-8.871481856
1.414563567	-8.871481856
1.417804016	-8.893768025
1.405963298	-8.782335092
1.364877737	-8.737762243
1.384867642	-8.737762243
1.332963044	-8.737762243
1.402724605	-8.760048945
1.355805628	-8.581755949
1.373828174	-8.604042652
1.407546159	-8.581755949
1.434978687	-8.604042652
1.419979592	-8.581755949
1.463615805	-8.559469269
1.371628807	-8.51489642
1.400280455	-8.559469269
1.351272128	-8.581755949
1.387173991	-8.559469269
1.363870346	-8.581755949
1.314046237	-8.537183101
1.379109433	-8.559469269
1.364783209	-8.537183101
1.398261522	-8.559469269
1.379350063	-8.51489642
1.397588331	-8.559469269
1.400343208	-8.51489642
1.387122895	-8.537183101
1.415012095	-8.537183101
1.299773105	-11.36757895
1.246521567	-11.36757895
1.300229697	-11.34529278
1.246139784	-11.34529278
1.324258348	-11.34529278
1.267806918	-10.87727388
1.338241829	-10.89956112
1.318925035	-10.89956112
1.30139852	-10.87727388
1.332856541	-10.89956112
1.283127758	-10.58754851
1.275901335	-10.58754851
