"Sakai et al. 1990, Spec. B2"	
-5.015	-312.96
-6.2625	-342.38
-7.585	-367.79
-8.765	-383.08
-10.01	-393.41
-9.9925	-369.8
-9.5175	-316.57
-8.775	-261.76
-7.6175	-190.06
-6.0175	-117.69
-4.565	-57.418
-3.685	-23.407
-3.31	-9.8394
1.0325	138.1
2.0125	179.94
3.015	217.91
4.0525	252.78
5.0225	278.89
5.0425	265.68
4.52	207.69
3.8575	155.72
3.5225	105.46
2.4925	48.55
1.8775	17.305
1.6075	6.1803
1.0525	-19.551
-0.01	-72.123
-1.045	-118.75
-2.0425	-163.09
-3.0375	-202.75
-4.0225	-238.97
-5	-270.98
-4.9625	-250.8
-4.5975	-209.3
-3.9525	-157.64
-3.21	-103.33
-2.585	-69.592
-2.0075	-32.54
-1.6475	-6.0135
-1.2325	13.773
0.0025	76.773
1.555	147.81
4.1175	247.74
5.8375	304.42
7.53	337.52
8.8425	356.3
10.042	370.95
11.307	379.25
12.64	377.69
13.895	373.58
15.087	369.29
16.317	361.6
17.59	354.18
18.8	336.61
20.085	329.12
20.315	314.16
20.083	276.64
19.57	241.23
18.833	182.92
17.995	144.06
16.212	85.975
14.467	37.837
13.238	14.293
11.585	-22.828
10.14	-54.416
9.0025	-76.685
7.7175	-97.845
5.81	-133.62
2.9825	-186.09
0.8925	-224.2
-0.0075	-240.12
-1.27	-264.42
-2.5225	-289.19
-3.7675	-311.26
-5.115	-330.11
-6.2625	-349.75
-7.5325	-362.54
-8.8475	-374.2
-10.02	-379.2
-11.252	-383.07
-12.547	-382.95
-13.765	-377.01
-15.047	-369.49
-16.325	-356.08
-17.522	-354.27
-18.802	-343.59
-20.042	-335.83
-20.13	-318.61
-19.913	-272.49
-19.132	-221.02
-18.49	-186.18
-17.615	-131.51
-15.078	-40.182
-14.545	-32.618
-14.04	-13.342
-13.002	21.71
-11.025	71.868
-8.385	114.83
-6.1375	139.55
-3.9075	159.8
-2.435	173.03
-1.1125	184.72
0.0175	193.79
2.0025	212.54
4.0275	230.39
6.075	246.86
8.085	260.51
10.257	256.96
15.81	45.921
15.977	35.277
16.327	38.033
14.525	2.8449
