Ang et al. 1981 Specimen 4	
7.3231	-57.126
1.7846	-65.706
-0.55385	-69.02
-6.5847	-76.626
-12.185	-83.253
-16.492	-88.515
-22.831	-95.534
-25.723	-98.657
-29.169	-102.55
-32.184	-106.06
-36.86	-110.74
-40.307	-113.86
-43.754	-116.98
-47.691	-119.52
-50.338	-120.3
-53.109	-120.3
-56.185	-119.91
-56.307	-113.08
-55.817	-98.461
-55.077	-88.324
-54.031	-77.404
-52.862	-68.628
-50.955	-57.321
-48.984	-46.015
-46.954	-34.9
-44.801	-24.761
-42.647	-15.403
-40.678	-6.8241
