"Sugano 1996, No.UC20L"	
-3.865415065	-328
-3.694493004	-317
-3.3842438	-292
-3.037546133	-264
-2.623619727	-232
-2.274904379	-200
-1.921331675	-167
-1.485140392	-121
-1.091072138	-80
-0.746820686	-39
-0.461295162	-3
-0.283500038	16
-0.123930003	35
0.144180005	68
0.387180096	94
0.623295399	126
0.807570867	147
1.02829679	167
1.183412728	183
1.408594601	208
1.61312191	224
1.822509965	244
2.020558579	259
2.234403363	275
2.405317907	284
2.632530031	299
2.823697059	310
3.024180527	321
3.217374821	328
3.433656636	338
3.620373108	346
3.83625293	350
4.036743274	357
3.843138431	335
3.530457432	312
3.093843746	275
2.619164576	240
2.153401437	198
1.678327782	154
1.228368051	106
0.814455889	57
0.522045234	27
0.279045036	-2
0.085455001	-25
-0.191160011	-57
-0.427680129	-86
-0.625320402	-108
-0.841590981	-131
-1.046116884	-152
-1.223913018	-172
-1.415074664	-186
-1.608666852	-207
-1.795374526	-220
-2.016103489	-242
-2.214152868	-254
-2.418683291	-270
-2.632530031	-282
-2.82167198	-293
-3.003929618	-303
-3.224260174	-313
-3.422315978	-321
-3.622398239	-327
-3.863389916	-337
-4.045653993	-342
-3.926169619	-326
-3.685582405	-305
-3.237625862	-271
-2.841922782	-242
-2.402887837	-204
-2.074424694	-175
-1.649167383	-136
-1.242138155	-93
-0.863866061	-53
-0.627750407	-25
-0.416340119	-1
-0.078570001	34
0.36450008	86
0.751680699	129
1.235253103	177
1.606641827	211
2.020558579	245
2.45715942	275
2.82167198	296
3.271647642	322
3.638194267	336
3.989354506	348
4.275308627	356
4.464056426	358
4.686829458	363
4.86707477	365
5.069599458	366
5.258354314	366
5.503819415	368
5.706350835	369
5.893086851	370
6.048229159	370
5.94493582	352
5.701895119	337
5.409440539	317
4.9322875	290
4.245740977	250
3.395179421	199
2.630099948	152
1.935101928	102
1.329618869	51
1.010071696	23
0.733455649	-4
0.371385084	-38
-0.065205	-81
-0.456840157	-119
-0.86629607	-155
-1.223913018	-183
-1.640257264	-218
-2.029468759	-245
-2.472954894	-271
-2.875539138	-294
-3.269217514	-310
-3.674241647	-325
-4.113294552	-339
-4.538583882	-350
-4.767838398	-350
-4.943628866	-350
-5.096332868	-352
-5.281037424	-352
-5.476680375	-352
-5.67718617	-356
-5.879719564	-354
-6.124788163	-353
-5.97855672	-332
-5.780477908	-317
-5.411465832	-296
-4.700600956	-258
-3.903892933	-210
-3.028635728	-163
-2.178107009	-112
-1.550346134	-64
-1.057456946	-27
-0.794205825	-6
-0.434160135	26
-0.110160002	56
0.346680069	95
0.787320803	129
1.226343036	164
1.599756739	194
2.056604319	223
2.468094748	245
2.843947862	264
3.172417555	280
3.674241647	300
4.265992788	322
4.581113249	328
4.738675144	331
5.231620682	344
5.634249389	349
6.007721892	354
5.796275522	333
5.458857745	311
4.871530292	279
4.216578399	243
3.469703757	199
2.64387042	148
1.903511353	100
1.280208454	54
0.873181096	21
0.578340318	-3
0.299295044	-28
-0.087885001	-60
-0.499365205	-95
-0.922591293	-127
-1.352299071	-159
-1.626892088	-180
-2.02258362	-204
-2.391952527	-225
-2.812356615	-248
-3.285013351	-271
-3.674241647	-286
-4.083727099	-300
-4.466486665	-310
-4.918515851	-323
-5.294404269	-330
-5.728629431	-337
-6.086711154	-340
-5.893086851	-315
-5.413896184	-286
-4.896238201	-258
-4.401275334	-230
-3.894982264	-201
-3.345766649	-170
-2.742693961	-134
-2.268019204	-107
-1.739078658	-71
-1.194752807	-30
-0.807570867	-1
-0.684045527	8
-0.206955015	47
0.713205597	123
1.554801187	183
2.407342965	233
3.080478117	267
3.678696944	289
4.061450275	306
4.538583882	318
4.984133794	329
5.227165081	335
5.553236872	341
6.012177687	352
6.455737831	352
6.86528256	356
7.265926333	357
7.711549748	359
8.098444126	358
8.064818284	340
7.747605383	322
7.229871983	298
6.262109171	250
5.267670588	207
4.304471277	170
3.332400913	129
2.488345362	87
1.874350839	52
1.399684514	22
1.02829679	-4
0.636660425	-30
0.351135071	-50
0.00243	-73
-0.452385152	-107
-0.749250692	-127
-1.151822515	-153
-1.579506487	-178
-2.047694133	-203
-2.452704287	-224
-2.871083957	-243
-3.282988244	-263
-3.633738977	-273
-4.115319721	-290
-4.522787281	-303
-4.907579547	-313
-5.305745842	-322
-5.674755783	-326
-6.066457461	-333
-6.548097108	-339
-6.937389516	-339
-7.351403875	-340
-7.727349396	-340
-8.18433223	-341
-8.053474647	-319
-7.700206423	-297
-7.227441356	-276
-6.525412323	-240
-5.762654977	-208
-4.812798492	-173
-3.919689126	-136
-2.988133918	-98
-2.321885605	-64
-1.692097975	-27
-1.291548546	-3
-1.03963685	8
-0.535410253	41
0.04293	79
0.5670003	111
1.313823733	156
2.007193311	193
2.745124051	228
3.435681754	257
4.047679157	277
4.70951193	296
5.479110736	312
5.985442936	320
6.642482379	329
7.191792207	336
8.080618367	344
7.87359833	320
7.455111938	299
6.651394323	261
5.665844369	214
4.718422908	177
3.757677336	138
2.868653858	96
2.052149226	57
1.491620463	26
1.001161652	-1
0.692955548	-22
0.202500014	-52
-0.411885115	-87
-1.037206837	-124
-1.705463165	-159
-1.993423039	-173
-2.713532889	-205
-3.541393107	-239
-4.110864349	-258
-4.81077326	-277
-5.281037424	-290
-6.005696531	-303
-6.698789749	-315
-7.47050617	-324
-8.049018221	-325
-7.837542345	-298
-7.484279972	-282
-7.011522319	-258
-6.277907237	-226
-5.571464657	-193
-4.745560909	-160
-3.908348268	-124
-3.035116022	-86
-2.385067333	-58
-1.86746572	-29
-1.413049644	-5
-1.28466349	1
-0.927046311	24
-0.375840087	58
0.481545184	109
1.21743297	148
2.112900527	192
3.163507113	237
4.097498237	267
4.936743036	288
5.566603913	301
6.111420692	311
6.817886607	322
7.562871935	333
8.204588945	335
8.625125977	338
8.996653374	340
9.410736547	337
9.750685587	338
10.14251195	338
10.61742455	337
11.16246862	334
11.65323887	330
11.93004381	332
12.18010815	327
11.98637856	310
11.67107084	295
11.25689218	275
10.35848896	240
9.226382524	204
8.138957309	174
6.923616249	146
5.688122914	117
4.326748326	80
3.390724168	51
2.758489551	27
2.355906524	14
1.966692522	-1
1.496075512	-25
0.825795927	-57
-0.148635005	-101
-1.086617112	-144
-2.02258362	-185
-2.868653858	-214
-3.516686588	-236
-4.146912383	-258
-4.923376432	-277
-5.753743518	-292
-6.462624249	-305
-7.310893126	-315
-7.995136103	-317
-8.575697929	-324
-9.035143819	-322
-9.302959969	-323
-9.672078994	-321
-10.19194717	-321
-10.5971633	-321
-10.99104982	-322
-11.41656346	-320
-11.83763941	-320
-12.35317165	-317
-12.06500467	-285
-11.76549983	-271
-11.1397747	-243
-10.39698443	-216
-9.368193033	-183
-8.26292847	-157
-6.90336147	-123
-5.78290831	-102
-4.648755362	-67
-3.642649559	-38
-2.673031438	-7
-1.894601194	22
-1.016956731	54
0.03159	97
1.129547372	136
2.101560278	169
3.123005137	203
4.061450275	228
4.860188966	249
5.683667203	265
6.565920892	278
7.358290715	291
8.219984071	299
9.014885674	306
9.744202546	311
10.63768584	314
11.44817384	315
12.24292937	311
11.93004381	288
11.49315805	271
10.79977776	242
9.964628206	211
9.037169635	180
7.785686724	150
6.442370086	118
5.382301638	93
4.095068036	59
3.309719678	37
2.551527343	14
1.658077504	-14
0.980911554	-37
-0.247455025	-84
-1.275753418	-122
-2.20969776	-151
-3.105184284	-180
-4.077246566	-209
-5.125901682	-232
-6.095622786	-251
-7.076743297	-265
-8.161644749	-279
-8.908733589	-288
-9.766488015	-293
-10.6198559	-298
-11.38535844	-299
-12.21131605	-301
-11.95719792	-274
-11.49113173	-251
-10.96633012	-231
-10.25515978	-202
-9.43545238	-179
-8.177444955	-142
-6.797631972	-112
-5.341795887	-76
-3.753222026	-33
-2.77671524	-5
-2.153401437	17
-1.125092344	54
0.03159	92
1.012501709	127
2.085764936	157
3.105184284	188
4.056994912	211
5.10078844	237
6.120332338	253
7.065400497	266
8.150301024	280
9.183434561	289
10.11333718	297
11.20501989	302
12.16430159	299
12.96358437	303
13.71349283	301
14.54212901	300
15.48155865	295
16.37610839	295
16.05168775	266
15.49493948	242
14.3215824	205
13.16179625	172
11.49113173	135
9.858871922	109
8.278728806	87
6.781833376	62
5.424832769	37
4.27733381	14
3.386268915	-5
2.817216805	-20
1.988967952	-44
0.765045737	-76
-0.132840004	-101
-1.181387714	-130
-2.14651628	-158
-3.190643466	-183
-4.146912383	-207
-5.312631801	-232
-6.295730716	-245
-7.290637796	-261
-8.21350191	-271
-9.197210304	-281
-10.1153632	-286
-11.17584186	-290
-12.23644458	-294
-13.15936417	-292
-14.07144869	-289
-14.66862212	-289
-15.42519726	-285
-16.3173059	-281
-15.97261276	-251
-15.47020524	-231
-14.96134907	-212
-14.18658208	-184
-13.05600155	-152
-11.93896008	-128
-10.24138264	-102
-8.469955011	-75
-6.979924684	-50
-5.634249389	-27
-4.558835951	-8
-3.719199681	14
-2.78562558	32
-1.595301683	60
0	99
2.020558579	142
4.131116047	187
6.124788163	219
7.317779945	238
8.31681175	246
9.372649964	257
10.2596171	263
11.39427415	272
12.37343694	276
13.20922194	279
14.28104149	281
15.34410258	279
16.35339839	278
15.97504582	248
15.28571504	224
14.46104489	195
13.43216713	163
12.3714104	138
10.86745196	110
9.262442736	85
7.850911406	61
6.282363105	39
4.94565411	15
3.897007415	-3
3.005954708	-22
1.90108131	-50
-0.18468001	-94
-2.43002362	-137
-4.324723139	-176
-6.059571212	-204
-8.031192532	-227
-9.113745769	-243
-10.16966077	-250
-11.19813062	-259
-12.10999211	-260
-13.22462521	-265
-14.23360893	-267
-15.23827553	-268
-16.23619992	-264
-15.82865825	-232
-15.23138264	-206
-14.5311826	-181
-13.65268667	-151
-12.7880758	-132
-11.64189127	-106
-10.17857533	-82
-8.67941604	-61
-7.286181627	-37
-6.019063917	-16
-5.341795887	-6
-4.1400268	15
-2.517911276	51
-0.843615988	84
0.281070037	99
0.686070532	105
1.257933277	122
2.157856539	140
4.135571423	176
6.277907237	207
8.267384973	228
9.147374608	239
10.23692534	246
11.37603748	255
12.24292937	257
13.24489273	262
14.31469043	264
15.60563651	268
16.3465043	265
17.04081864	265
17.93073057	264
18.89746198	260
19.52879086	258
20.39232682	254
19.97961299	227
19.50403939	208
18.92910779	189
18.03214223	158
16.84452076	130
14.93418413	97
12.22063792	64
9.001110156	30
7.301980777	10
6.469105587	-1
4.923376432	-22
3.242486114	-48
1.714373294	-72
0.065205	-97
-1.583961542	-127
-2.612279343	-139
-4.369682334	-172
-6.520956387	-201
-8.544096498	-222
-10.32688228	-237
-12.16875985	-247
-14.1886091	-255
-16.23863309	-252
-17.24807404	-254
-18.33638824	-249
-19.28290443	-246
-20.34484474	-242
-20.00883056	-214
-19.51742952	-194
-18.77372057	-168
-17.41923762	-128
-15.97058521	-99
-14.52429042	-76
-12.69120322	-54
-11.04089467	-36
-9.262442736	-17
-8.37312611	-6
-6.777377365	9
-5.589287397	28
-3.717174542	51
-1.95292226	77
-0.02025	101
-0.02025	90
1.984512865	128
4.054564715	157
5.949391598	179
8.024305341	198
9.987319352	216
12.1168821	229
14.03536854	237
16.26783113	240
18.25971668	242
20.33145244	237
19.75399409	202
17.98021923	142
15.29706813	84
10.01649376	24
7.173562564	-4
4.86707477	-33
2.259108978	-64
-0.270135032	-94
-4.639844413	-150
-6.617772016	-171
-8.798530946	-188
-12.73173553	-217
-14.75862824	-226
-16.79260835	-229
-18.37005916	-228
-20.52990567	-223
-19.99543915	-186
-19.02850928	-151
-17.46872187	-106
-15.47709838	-69
-12.67742228	-34
-10.20086175	-12
-6.827203748	27
-3.534912707	63
-0.373410086	96
3.800205335	144
5.956277803	164
8.083049151	183
9.798092943	196
11.79954315	208
14.14604195	218
16.22727833	221
18.2438957	223
20.1894151	218
22.09265434	214
24.13843171	209
26.16529232	198
28.29730003	187
30.24261348	176
32.42679199	166
32.23912311	145
31.7030457	126
30.39639845	88
28.71734403	49
26.76392072	18
24.64413815	3
24.05070091	-4
23.92641873	0
23.8610299	1
23.79564207	2
23.65106136	1
23.44353968	1
23.35338659	1
23.22465773	4
22.72196091	0
