"Xiao 98,Specimen nr HC4-8L16-T10-0.1P"	
-3.811905	-131.28272
-5.814441	-162.32976
-8.095869	-189.7072
-11.049127	-216.52864
-14.018133	-231.78528
-13.422376	-201.272
-12.579604	-171.29248
-11.578336	-141.53536
-10.605516	-114.44704
-9.271508	-82.33248
-7.763256	-50.2624
-6.235954	-22.37344
-3.707384	10.008
-0.617855	37.09632
1.7997805	72.88048
3.399917	108.13088
4.924044	145.2272
6.464046	179.6992
8.7074375	210.47936
10.9381925	237.05616
13.384403	262.29856
15.906623	270.48288
18.340197	269.68224
18.625312	265.18976
18.03273	236.01088
17.370552	210.74624
16.714597	186.01536
15.428214	144.42656
14.002258	109.1984
12.5668405	79.70816
10.8019215	49.72864
8.314563	21.5728
4.632579	-9.20736
1.394206	-40.78816
-0.956945	-83.93376
-2.506472	-113.6464
-4.322064	-142.336
-6.451346	-169.15744
-9.23036	-196.53488
-12.972542	-221.5104
-16.106267	-230.22848
-18.340197	-230.22848
-17.890236	-208.3888
-16.860393	-170.75872
-15.726029	-136.82048
-14.60119	-106.3072
-13.175234	-74.45952
-11.470513	-41.83344
-9.401429	-13.69984
-6.948805	9.47424
-6.803136	10.27488
-3.964051	33.40448
-0.117348	58.66912
2.3764875	91.05056
4.3442255	126.81248
6.1756925	162.08512
7.8772385	184.94784
10.396347	211.28
13.577697	236.78928
16.996664	257.04992
18.33372	260.74176
17.985232	233.11968
16.999712	197.84704
15.22222	141.80224
13.412851	98.92352
11.6416455	63.91776
9.265158	31.5808
6.5052575	4.98176
2.9943425	-23.66336
0.148971	-60.24816
-1.92659	-98.38976
-3.998849	-129.70368
-6.470396	-159.41632
-9.83869	-187.32752
-13.612495	-210.21248
-16.451707	-219.68672
-18.907379	-226.00288
-18.799683	-206.52064
-17.592421	-164.97632
-16.267811	-126.27872
-14.936978	-92.87424
-13.229082	-60.00352
-11.533886	-32.11456
-9.426829	-4.71488
-6.327775	21.5728
-2.56032	43.67936
0.9284335	73.65888
3.1464885	105.77344
5.015992	138.37728
6.8157725	169.6912
9.246108	196.53488
12.5161675	223.37856
16.147542	247.04192
18.574639	253.89184
17.646142	213.10368
16.812895	183.12416
15.925673	157.59264
14.166977	109.44304
12.2024775	69.96704
10.2442645	41.05504
7.3670795	12.09856
4.157218	-14.456
0.4657725	-53.66512
-1.654048	-90.5168
-3.754882	-121.29696
-5.738495	-147.85152
-9.011666	-174.18368
-12.779248	-200.20448
-16.600551	-216.52864
-18.69821	-221.5104
-18.099405	-193.88832
-17.237456	-165.48784
-15.954121	-129.97056
-14.686661	-95.49856
-13.023215	-63.65088
-11.353292	-35.27264
-9.376029	-6.58304
-6.086983	25.53152
-2.094484	49.19488
1.6001365	82.59936
3.485515	113.91328
5.3264435	147.31776
7.468489	176.27424
9.9146995	201.80576
13.374878	227.0704
16.898493	245.72976
20.6121	257.04992
24.449405	259.14048
27.126819	254.15872
26.480389	223.64544
25.491821	190.4856
24.313134	154.70144
22.649561	113.6464
21.046186	81.55408
18.891504	50.52928
16.280511	24.19712
12.4464445	1.31216
8.434959	-18.14784
4.4044235	-38.40848
0.9568815	-68.944
-1.359408	-100.25792
-3.580638	-129.4368
-6.806311	-156.81424
-10.859008	-184.16944
-14.867382	-204.69696
-18.682335	-216.79552
-22.421342	-222.57792
-26.28392	-225.20224
-27.491182	-225.46912
-27.000073	-194.42208
-26.220547	-169.15744
-25.311227	-143.40352
-24.179911	-113.6464
-22.82063	-83.4
-21.179282	-53.932
-19.034125	-24.19712
-16.20774	4.47024
-12.173966	30.51328
-8.457184	46.57056
-4.752975	61.8272
-0.782701	82.0656
2.287778	112.35648
5.1015265	148.1184
8.1402555	178.63168
12.0187085	203.36256
15.944723	225.736
19.67103	236.78928
23.44166	246.77504
27.069796	250.46688
27.316938	249.66624
26.331418	207.85504
24.810593	160.48384
23.143845	118.40576
20.995513	79.70816
18.863056	47.10432
15.681579	18.14784
11.5496975	-8.13984
6.98373	-30.78016
2.7694255	-53.932
-0.234569	-85.75744
-2.744089	-116.5376
-5.67182	-146.80624
-9.509125	-171.53712
-13.257657	-187.57216
-17.234281	-200.22672
-21.100034	-211.79152
-26.135076	-218.37456
-28.096464	-214.1712
-26.59761	-163.64192
-25.444323	-131.52736
-23.49881	-85.75744
-21.325078	-49.99552
-17.126585	2.8912
-11.866626	36.82944
-6.413373	57.33472
-1.410081	79.97504
2.8137485	118.67264
6.140831	155.2352
10.130155	186.54912
13.869162	204.96384
18.153126	223.91232
22.674834	238.10144
27.183842	244.68448
27.085671	211.52464
25.35555	159.43856
23.44166	113.6464
21.505672	79.44128
18.970752	44.72464
15.805277	16.59104
11.40079	-10.51952
6.216904	-33.40448
1.153414	-72.10208
-1.749171	-104.9728
-5.092065	-136.01984
-9.195435	-161.0176
-13.30833	-181.812
-17.687417	-197.84704
-22.063329	-208.12192
-26.312495	-214.68272
-27.90952	-214.9496
-27.60218	-190.73024
-25.840436	-139.4448
-23.882096	-93.14112
-21.841587	-56.31168
-18.961227	-17.10256
-15.035276	16.32416
-10.180955	43.41248
-5.323332	63.1616
-0.697103	87.09184
2.972181	123.92128
6.511544	160.48384
10.339324	184.41408
14.385671	203.36256
18.482818	221.26576
23.219918	233.6312
27.240865	238.6352
31.169991	241.79328
34.975546	241.5264
36.543996	241.25952
35.926141	213.63744
35.127565	188.90656
33.755584	151.27648
32.054165	113.40176
29.861256	75.26016
26.854404	39.45376
23.14702	10.27488
18.235549	-14.72288
13.035915	-33.67136
7.5825985	-55.24416
2.306828	-84.44528
-2.604643	-126.5456
-7.151624	-157.08112
-11.308969	-170.49184
-15.266543	-185.21472
-19.144996	-196.80176
-23.013924	-204.96384
-26.787856	-208.65568
-30.669357	-211.79152
-34.509837	-211.52464
-36.651819	-212.0584
-37.035232	-210.47936
-36.239831	-178.63168
-35.032569	-145.49408
-33.847532	-115.51456
-32.396303	-82.86624
-30.561661	-51.30768
-27.551507	-13.43296
-23.745825	18.14784
-19.097498	42.34496
-14.455394	58.66912
-9.87679	73.92576
-5.42798	89.71616
-1.156589	110.7552
2.7092275	138.37728
7.4272775	167.33376
11.603609	186.28224
15.348966	200.73824
19.512534	213.63744
23.546308	222.04416
27.972766	228.89408
31.604077	230.74
37.084	228.6272
36.591621	196.53488
35.298761	160.75072
33.85693	125.50032
32.066738	90.5168
29.309949	51.84144
25.380823	13.41072
20.770596	-15.52352
15.951073	-36.82944
11.445113	-56.0448
6.597142	-75.26016
1.964563	-98.65664
-2.439924	-125.50032
-6.35635	-146.02784
-10.500995	-159.17168
-14.60754	-170.75872
