"Kanda et al 1988, Spec. PDC2"	
-0.3295	-18.017
-1.645	-23.981
-2.9575	-32.213
-4.264	-41.194
-5.555	-49.92
-6.822	-57.621
-8.0705	-63.967
-9.302	-69.45
-10.479	-73.483
-11.559	-76.083
-12.429	-77.412
-12.976	-78.126
-13.222	-78.733
-13.186	-73.896
-12.876	-69.419
-12.31	-62.436
-11.517	-53.459
-10.533	-43.215
-9.405	-33.021
-8.175	-23.554
-6.8465	-14.011
-5.4155	-4.4325
-3.8785	3.2513
-2.225	9.04
-0.496	14.133
1.2835	19.724
3.094	27.062
4.9215	36.2
6.7275	45.483
8.3225	53.216
10.132	59.449
11.682	64.524
13.099	68.548
14.366	71.139
15.467	72.459
16.394	73.11
17.146	73.227
17.733	73.236
18.175	73.254
18.503	73.281
18.722	73.178
18.827	72.782
18.828	68.714
18.73	67.51
18.541	65.278
18.264	62.386
17.895	58.529
17.431	53.975
16.879	48.959
16.249	43.552
15.536	38.042
14.727	32.437
13.878	27.084
13.035	22.22
12.236	18.08
11.521	14.371
10.875	11.101
10.274	8.2361
9.7275	5.9458
9.2495	3.8755
8.817	2.2184
8.4175	0.91616
8.041	-0.36827
7.6845	-1.4236
7.3335	-2.425
6.9725	-3.5029
6.592	-4.5177
6.184	-5.4159
5.743	-6.5521
5.2655	-7.6389
4.768	-8.7526
4.2695	-9.8079
3.7815	-10.832
3.319	-11.847
2.8895	-12.664
2.504	-13.526
2.152	-14.384
1.8235	-15.125
1.5155	-15.861
1.2225	-16.562
0.934	-17.352
0.642	-18.215
0.3365	-18.983
0.013	-19.912
-0.3375	-21.111
-0.7235	-22.571
-1.1495	-24.313
-1.62	-26.514
-2.1355	-29.06
-2.699	-32.163
-3.2815	-35.536
-3.851	-38.872
-4.377	-41.823
-4.8265	-44.445
-5.182	-46.511
-5.4225	-47.733
-5.551	-48.361
-5.572	-48.011
-5.495	-45.393
-5.3225	-42.972
-5.07	-39.744
-4.7545	-36.205
-4.3755	-32.006
-3.938	-27.704
-3.4405	-23.132
-2.8845	-18.439
-2.281	-13.836
-1.6405	-9.6238
-0.976	-5.2542
-0.3035	-0.74095
0.371	3.6914
1.0405	8.1148
1.6915	12.206
2.316	15.848
2.9015	18.983
3.438	21.735
3.915	24.304
4.325	26.357
4.652	27.897
4.891	29.1
5.0295	29.765
5.059	29.81
4.976	27.834
4.7795	26.006
4.487	23.743
4.118	21.188
3.695	18.457
3.232	15.677
2.755	12.565
2.2855	9.1343
1.82	5.6539
1.361	2.1107
0.906	-1.5493
0.4565	-4.9399
0.0175	-7.9487
-0.4085	-10.755
-0.8005	-13.329
-1.142	-15.516
-1.4285	-17.415
-1.659	-18.861
-1.838	-20.033
-1.964	-21.035
-2.045	-21.587
-2.08	-21.776
-2.083	-20.806
-2.0535	-20.321
-2.0045	-19.548
-1.941	-18.888
-1.8535	-17.959
-1.732	-16.683
-1.5725	-15.237
-1.372	-13.603
-1.1375	-11.815
-0.866	-9.6103
-0.5695	-7.3245
-0.2625	-4.8815
0.05	-2.5553
0.3585	-0.1392
0.6565	2.0927
0.9405	4.3381
1.2115	6.5027
1.4655	8.3798
1.699	10.158
1.9035	11.573
2.0745	12.785
2.211	13.679
2.3085	14.29
2.3625	14.591
2.3775	14.222
2.3445	13.374
2.2745	12.601
2.1795	11.726
2.0685	10.702
1.9525	9.6193
1.8395	8.5864
1.7365	7.7017
1.6405	6.8126
1.5465	6.0222
1.4555	5.2722
1.368	4.4459
1.287	3.8217
1.211	3.1346
1.1385	2.6047
1.0715	2.0029
1.005	1.464
0.938	0.83532
0.863	0.17511
0.774	-0.64216
0.686	-1.4595
0.612	-2.0747
0.552	-2.663
0.507	-2.9414
0.4745	-3.3097
0.455	-3.3905
0.4455	-3.0043
0.456	-2.6181
0.4815	-2.0388
0.5205	-1.5179
0.5695	-0.93862
0.628	-0.33678
0.6905	0.36375
0.751	0.99699
0.804	1.5942
0.8485	1.9535
0.8745	2.2724
0.8815	1.5224
0.86	1.1137
0.8095	0.52091
0.721	-0.52994
0.584	-2.0703
0.4025	-3.9654
0.178	-5.7347
-0.0595	-7.5401
-0.2875	-9.1477
-0.4845	-10.657
-0.6285	-11.743
-0.7265	-12.417
-0.7795	-12.808
-0.795	-12.646
-0.77	-11.658
-0.72	-10.935
-0.653	-10.244
-0.5655	-9.296
-0.331	-6.4263
0.2585	-1.1407
1.109	6.0356
1.674	10.535
2.268	14.703
2.385	15.588
2.347	14.011
2.0775	11.636
1.664	8.1193
1.2175	4.2797
0.7995	0.55682
0.423	-2.7798
0.042	-5.9952
0.042	-5.9952
-0.1185	-7.2481
-0.1415	-7.3335
-0.1315	-6.8126
-0.123	-6.8035
-0.1085	-6.4758
-0.0585	-5.2677
0.039	-4.2124
0.1185	-3.3771
0.116	-3.8487
0.0325	-5.4833
-0.053	-6.4173
-0.0945	-6.835
-0.068	-5.7258
0.022	-4.3426
0.141	-3.1301
0.258	-1.931
0.3225	-1.747
0.291	-2.7393
0.1445	-4.4908
-0.0995	-6.9383
-0.386	-9.3813
-0.6825	-11.851
-1.0065	-14.393
-1.3615	-16.917
-1.648	-18.983
-1.8285	-20.298
-1.823	-18.884
-1.565	-16.293
-1.0705	-12.201
-0.36	-6.2242
0.5085	1.0149
1.466	8.8828
2.4235	15.79
3.2945	20.994
3.938	24.654
4.2715	26.55
4.3745	27.08
4.3265	25.458
4.1615	23.949
3.864	21.78
3.4625	19.194
2.968	16.117
2.413	12.404
1.8305	8.0206
1.2635	3.4669
0.763	-0.67365
0.383	-3.8531
0.144	-5.7213
0.0365	-6.5072
0.0195	-6.341
0.0405	-5.8605
0.0445	-5.9863
0.0185	-6.3994
-0.39	-6.9697
-0.121	-7.6748
-0.2195	-8.4517
-0.31	-9.1657
-0.3825	-9.1522
-0.3925	-8.6942
-0.363	-8.29
-0.2955	-7.4772
-0.2085	-6.5117
0.1625	-2.937
0.919	3.7678
1.9925	12.251
3.28	20.366
5.321	32.388
5.963	35.855
7.095	41.203
7.94	45.02
8.4105	46.96
8.4875	47.149
8.3	43.008
7.692	37.188
6.7625	29.94
5.6025	22.899
4.2555	15.888
2.76	6.2018
1.229	-4.2797
-0.243	-12.772
-1.6465	-21.264
-2.9775	-31.148
-4.23	-40.359
-5.4265	-48.784
-6.4735	-54.653
-6.908	-56.615
-6.5375	-49.534
-5.5495	-38.63
-4.099	-25.607
-2.261	-12.152
-0.1405	2.7798
2.0515	15.965
4.178	26.752
6.12	36.524
7.689	44.207
8.6895	48.712
8.9405	49.116
8.2795	41.05
6.846	29.725
4.9595	19.292
2.794	6.094
0.536	-8.3125
-1.5545	-19.804
-3.2685	-31.84
-4.392	-39.901
-4.7755	-42.672
-4.3775	-35.998
-3.341	-25.66
-1.9075	-14.258
-0.3325	-2.6989
1.13	7.9173
2.2075	14.981
2.6915	17.766
2.783	18.201
2.7205	16.477
2.491	14.613
2.1225	11.82
1.625	7.8275
0.9675	2.3487
0.119	-4.6974
-0.728	-11.106
-1.3165	-15.183
-1.6135	-17.299
-1.672	-17.725
-1.618	-15.857
-1.39	-13.621
-1.0565	-10.738
-0.727	-7.9038
-0.49	-5.8515
-0.4085	-5.3575
-0.49	-7.311
-0.6615	-9.2601
-0.8155	-10.76
-0.872	-10.459
-0.8105	-9.4306
-0.555	-6.7497
-0.1225	-2.8158
0.35	0.99699
0.742	4.136
0.946	5.8291
1.0445	6.588
1.081	5.9908
1.0465	5.3351
0.9935	4.7423
0.973	4.5985
1.0165	6.0491
1.0975	6.9068
1.176	7.576
1.2005	7.4906
1.093	5.4877
0.7825	2.2543
0.2175	-3.0088
-0.5935	-9.6732
-1.48	-16.32
