"""Matamoros et. al 1999 Specimen c10-20 South"""	
0.67818	18.41563742
1.3081	24.33177215
1.94564	29.98101358
2.667	35.18543286
3.2766	39.45572559
3.8354	43.32567838
4.572	47.15114896
5.1308	50.26490408
5.715	52.93383704
6.3246	56.04759216
7.0104	58.71652512
7.5946	60.94063592
8.2804	63.60956888
9.0678	66.27850184
9.5504	68.50261264
10.16	70.72672344
10.8712	72.50601208
11.5062	74.73012288
12.065	76.50941152
12.7	78.28870016
13.4112	80.95763312
14.0208	82.73692176
14.605	84.07138824
15.6464	86.29549904
15.9258	87.62996552
16.51	88.964432
17.1958	90.29889848
17.78	91.63336496
18.4912	92.96783144
19.1008	93.4126536
19.6596	93.85747576
20.3454	94.74712008
20.955	94.74712008
21.6154	93.85747576
22.2504	93.85747576
22.9108	93.85747576
23.495	92.96783144
24.1808	92.96783144
24.7904	91.63336496
25.4	91.63336496
24.765	84.96103256
24.13	81.84727744
23.495	78.73352232
22.7584	76.06458936
22.1234	72.95083424
21.5646	70.72672344
20.955	68.05779048
20.2946	64.94403536
19.5072	62.2751024
19.0246	59.60616944
19.0246	59.60616944
18.4658	56.93723648
17.7546	54.26830352
17.145	51.59937056
16.5354	49.37525976
15.7734	46.26150464
15.1892	43.72601833
14.5288	40.83467429
13.9954	38.69952792
13.3096	36.11955939
12.7	33.49510865
12.0904	31.1375512
11.4554	28.77999375
10.795	26.24450744
10.1346	23.84246778
9.525	21.70732141
8.8646	19.43872839
8.2296	16.99220651
7.5692	14.7236135
7.0104	12.4995027
6.3246	9.741605304
5.715	7.56197672
5.1308	5.248901488
4.3942	2.571072085
3.7592	-0.354078439
3.1496	-3.327269757
2.794	-4.937525976
1.87452	-6.049581376
1.29032	-10.63124962
0.64516	-14.94602458
-0.0124968	-19.12735288
-0.62992	-23.6200567
-1.40716	-29.7586025
-1.95326	-33.71751973
-2.5654	-38.96642122
-3.302	-43.85946498
-3.9624	-48.48561544
-4.5212	-51.59937056
-5.1308	-54.26830352
-5.715	-57.38205864
-6.5024	-60.94063592
-7.0612	-63.16474672
-7.62	-65.38885752
-8.3058	-68.50261264
-8.89	-70.28190128
-9.525	-72.50601208
-10.2108	-74.73012288
-10.795	-76.50941152
-11.5062	-78.28870016
-12.065	-80.0679888
-12.8016	-82.2920996
-13.3604	-84.07138824
-14.0716	-85.40585472
-14.605	-86.7403212
-15.3416	-88.964432
-15.9004	-89.85407632
-16.5862	-91.63336496
-17.1958	-92.52300928
-17.8816	-93.85747576
-18.4658	-94.74712008
-19.1008	-95.6367644
-19.685	-96.52640872
-20.4724	-96.97123088
-20.955	-97.41605304
-21.6154	-96.97123088
-22.2758	-96.97123088
-22.8854	-97.41605304
-23.5204	-96.52640872
-24.13	-96.97123088
-24.8158	-96.52640872
-25.654	-95.19194224
-24.765	-88.07478768
-24.003	-84.5162104
-23.495	-82.2920996
-22.7838	-79.17834448
-22.225	-76.50941152
-21.4122	-73.3956564
-20.9296	-71.1715456
-20.32	-68.50261264
-19.7104	-65.83367968
-19.05	-63.16474672
-18.415	-60.94063592
-17.653	-57.8268808
-17.1704	-55.60277
-16.4592	-52.93383704
-15.7988	-50.26490408
-15.2654	-48.48561544
-14.5796	-45.81668248
-13.8684	-43.59257168
-13.335	-41.54638974
-12.6238	-39.05538565
-12.0904	-36.92023928
-11.3538	-34.29578854
-10.8204	-32.07167774
-10.1346	-29.62515586
-9.525	-27.08966954
-8.9154	-24.42073658
-8.2042	-21.88525027
-7.5946	-19.21631731
-6.9088	-16.28049106
-6.2738	-13.70052253
-5.6388	-11.03158957
-5.08	-8.45162104
-4.2926	-5.11545484
-3.7592	-1.966113947
-3.2258	1.383396918
-2.50698	4.982008192
-1.90754	9.11885428
-1.25222	13.21121815
-0.61214	17.21461759
0.037592	21.48491033
0.66294	25.48830977
1.31572	30.38135353
1.93294	34.38475297
2.5654	38.16574133
3.2258	41.94672969
3.81	44.39325157
4.4704	48.04079328
5.207	50.70972624
5.842	52.93383704
6.3754	55.60277
7.0866	58.27170296
7.5946	59.60616944
8.3312	61.83028024
8.9154	64.05439104
9.7028	66.723324
10.1854	67.16814616
10.8966	68.9474348
11.5062	70.72672344
12.0904	72.50601208
12.7254	73.84047856
13.335	75.6197672
13.9954	76.50941152
14.605	77.39905584
15.24	79.17834448
15.9004	79.62316664
16.4846	80.95763312
17.3482	82.2920996
17.7546	82.73692176
18.4404	83.62656608
19.0246	84.07138824
19.7612	84.96103256
20.32	84.96103256
21.2344	86.29549904
21.6154	86.29549904
22.3012	86.7403212
22.8346	86.7403212
23.5204	87.62996552
24.4348	87.18514336
24.8158	87.18514336
25.4	87.62996552
24.638	81.40245528
24.0284	78.28870016
23.495	75.6197672
22.8854	72.95083424
22.0726	69.83707912
21.5646	67.16814616
20.9042	64.94403536
20.2946	61.83028024
19.7104	59.16134728
18.9484	56.49241432
18.3896	54.26830352
17.78	51.59937056
17.145	48.9304376
16.5354	46.26150464
15.9258	43.45912503
15.0368	40.52329878
14.605	38.12125911
13.97	35.63025502
13.3858	33.49510865
12.6492	30.73721126
11.9888	28.29068938
11.3792	26.02209636
10.7188	23.48661005
10.16	21.52939254
9.4488	19.21631731
8.89	16.680831
8.255	14.54568463
7.2644	11.65434059
6.9596	10.05298082
6.3754	7.695423368
5.6896	5.33786592
5.0546	3.202719552
4.445	0.800679888
3.81	-2.233007243
2.54	-5.738205864
1.92278	-9.608158656
1.19126	-13.56707588
-0.037592	-20.72871266
-0.64516	-24.55418323
-1.33604	-29.22481591
-2.032	-33.6285553
-2.6162	-37.67643695
-3.302	-41.32397866
-3.81	-44.482216
-4.4958	-48.04079328
-5.1054	-51.1545484
-5.8166	-53.82348136
-6.35	-56.49241432
-6.985	-58.71652512
-7.5946	-61.38545808
-8.3312	-63.16474672
-8.9408	-65.38885752
-9.6012	-67.61296832
-10.1854	-69.39225696
-10.8712	-70.72672344
-11.6332	-72.95083424
-12.0396	-74.28530072
-12.7	-75.6197672
-13.4112	-76.50941152
-13.97	-78.73352232
-14.6812	-79.62316664
-15.2146	-81.40245528
-16.0274	-82.2920996
-16.5862	-83.62656608
-17.145	-84.07138824
-17.78	-85.40585472
-18.4404	-86.29549904
-19.05	-86.7403212
-19.7104	-88.07478768
-20.32	-88.51960984
-20.9804	-88.964432
-21.59	-89.85407632
-22.3774	-90.29889848
-22.9108	-91.1885428
-23.4696	-91.1885428
-24.13	-91.63336496
-24.8666	-91.63336496
-25.4	-92.07818712
-24.7142	-85.85067688
-23.9522	-82.2920996
-23.495	-80.0679888
-22.8346	-76.95423368
-22.2758	-74.28530072
-21.5646	-71.61636776
-20.955	-68.9474348
-20.2438	-66.27850184
-19.7104	-63.60956888
-18.9738	-60.94063592
-18.4404	-58.27170296
-17.7292	-56.04759216
-17.0688	-53.3786592
-16.51	-51.1545484
-15.8496	-48.9304376
-15.1892	-46.26150464
-14.5796	-43.99291162
-13.9192	-41.72431861
-13.3604	-39.54469002
-12.4714	-37.00920371
-12.065	-35.00750399
-11.303	-32.29408882
-10.8204	-30.11446023
-10.16	-27.66793835
-9.4742	-24.95452318
-8.8392	-22.64144794
-8.2296	-19.88355055
-7.5946	-17.34806424
-6.985	-14.90154236
-6.1722	-11.78778724
-5.715	-9.608158656
-5.0546	-6.6723324
-4.4704	-4.056778099
-3.7592	-0.560475922
-3.1242	1.877149515
-2.4511	6.44992132
-1.85166	10.18642746
-1.2192	14.10086247
-0.62992	17.97081526
0.0124968	22.15214357
0.69596	26.4224363
1.29794	30.24790688
1.96596	34.11785967
2.5908	37.40954366
3.2512	40.92363872
3.8608	43.81498276
4.4958	46.7063268
5.1308	48.9304376
5.715	51.59937056
6.35	53.82348136
7.6454	58.27170296
8.255	60.0509916
8.9154	61.83028024
9.5758	64.05439104
10.3124	65.38885752
10.8204	67.16814616
11.4808	68.9474348
12.1158	70.28190128
12.7762	71.61636776
13.3858	72.95083424
13.9954	74.28530072
14.6558	75.17494504
15.24	76.50941152
15.9004	77.39905584
16.51	78.28870016
17.1704	79.62316664
17.9832	80.51281096
18.4658	80.95763312
19.1008	81.40245528
19.7104	82.73692176
20.3708	82.73692176
20.955	83.62656608
21.6662	83.62656608
22.3012	84.5162104
22.8854	84.96103256
23.6474	84.96103256
24.257	84.96103256
24.8412	85.40585472
25.4	85.40585472
25.908	85.40585472
26.67	85.40585472
27.432	85.40585472
28.194	84.07138824
28.448	83.62656608
29.21	83.62656608
29.972	82.73692176
30.48	82.73692176
31.242	82.2920996
31.75	81.40245528
31.242	73.84047856
30.48	70.72672344
29.972	67.61296832
29.21	64.94403536
28.448	61.83028024
27.94	59.60616944
27.432	56.93723648
26.67	54.26830352
25.908	51.1545484
25.3492	49.37525976
24.7142	46.7063268
24.13	44.30428714
23.495	41.81328304
22.8854	39.45572559
22.2504	37.23161479
21.59	34.69612848
21.0058	32.69442876
20.2946	30.51480018
19.6088	28.20172494
19.0246	26.28898966
18.3896	24.24280772
17.78	22.41903686
17.1704	20.59526601
16.4846	18.41563742
15.9004	16.59186657
15.24	14.85706014
14.605	12.72191378
13.8938	11.25400065
13.2588	9.519194224
12.7254	8.140245528
12.1158	6.805779048
11.2268	4.581668248
10.795	3.442923518
10.1092	1.347811145
9.525	0.023531092
8.89	-1.868253072
8.2296	-3.353959086
7.5946	-5.204419272
6.985	-7.161636776
6.35	-8.851960984
5.6642	-8.540585472
5.08	-12.41053826
4.3942	-15.34636452
3.7846	-17.30358202
3.2004	-19.97251498
2.31394	-24.06487886
1.2192	-27.49000949
0.5334	-29.31378034
0	-32.56098211
-0.7112	-35.5857728
-1.31572	-38.52159906
-1.90246	-41.76880082
-2.5908	-44.482216
-3.3528	-47.59597112
-3.8608	-49.37525976
-4.5974	-52.93383704
-5.1562	-54.71312568
-5.715	-57.38205864
-6.35	-59.16134728
-7.1374	-61.38545808
-7.62	-63.60956888
-8.2296	-64.94403536
-8.9408	-67.16814616
-9.5504	-68.9474348
-10.2108	-70.72672344
-10.795	-72.06118992
-11.4808	-73.3956564
-12.065	-75.17494504
-12.8016	-76.50941152
-13.3858	-77.39905584
-14.0208	-78.28870016
-14.605	-79.62316664
-15.3416	-80.51281096
-15.9258	-82.2920996
-16.5608	-82.2920996
-17.1704	-83.62656608
-18.034	-84.5162104
-18.4404	-84.5162104
-19.05	-85.85067688
-19.7104	-85.85067688
-20.3962	-86.7403212
-20.955	-87.62996552
-21.6408	-87.62996552
-22.225	-88.07478768
-22.987	-88.07478768
-23.495	-88.51960984
-24.1808	-88.964432
-24.8158	-88.964432
-25.4	-89.40925416
-25.908	-88.964432
-26.67	-89.40925416
-27.178	-88.51960984
-27.94	-88.51960984
-28.702	-88.07478768
-29.21	-87.62996552
-29.718	-87.62996552
-30.48	-87.18514336
-31.242	-85.85067688
-31.75	-85.85067688
-31.242	-79.17834448
-30.734	-76.95423368
-29.718	-73.84047856
-29.21	-71.1715456
-28.448	-68.50261264
-27.94	-65.83367968
-27.178	-63.60956888
-26.67	-60.94063592
-25.908	-58.71652512
-25.4	-56.49241432
-24.638	-53.82348136
-24.1046	-51.59937056
-23.4442	-48.9304376
-22.8092	-47.15114896
-22.3012	-44.92703816
-21.4884	-42.43603406
-20.9804	-40.34536991
-20.32	-38.34367019
-19.6342	-36.34197047
-19.1008	-34.25130632
-18.3134	-32.2496066
-17.78	-30.20342466
-17.2212	-28.69102932
-16.4846	-26.24450744
-15.7734	-24.42073658
-15.24	-22.55248351
-14.605	-20.59526601
-13.97	-18.9049418
-13.335	-16.99220651
-12.6238	-14.99050679
-12.1158	-13.16673594
